Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/32004/A/93618,NR/2025/31046/A/93565,NR/2025/31047/A/93564,NR/2025/32262/A/93598,NR/2025/32598/A/93609,NR/2025/32375/A/93683,NR/2025/32559/A/93613,NR/2025/32610/A/93611,NR/2025/32554/A/93559,NR/2025/31421/A/93686,NR/2025/29992/A/93302,NR/2025/32556/A/93614,NR/2025/29440/A/93175,NR/2025/32716/C,NR/2025/31041/A/93567,NR/2025/31042/A/93566,NR/2025/32745/C,NR/2025/32746/C,NR/2025/32737/C,NR/2025/32787/C,NR/2025/32788/C,NR/2025/32759/C,SR/2025/19225/C,NR/2025/32747/C/Alternate/1,NR/2025/32747/C,NR/2025/32701/C,NR/2025/32782/C,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,NR/2025/32673/C,NR/2025/32712/C,NR/2025/32715/C,NR/2025/32397/A/93167,NR/2025/32455/A/93608,NR/2025/32534/A/93587,NR/2025/32534/A/93588,NR/2025/32532/A/93584,NR/2025/32532/A/93583,NR/2025/32652/A/93514,NR/2025/32653/A/93512,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/93597,NR/2025/32535/A/93595,NR/2025/32599/A/93530,Total
5,01:00-01:15,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

6,01:15-01:30,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

7,01:30-01:45,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

8,01:45-02:00,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

9,02:00-02:15,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

10,02:15-02:30,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

11,02:30-02:45,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

12,02:45-03:00,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.63,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1422.9200000000003

13,03:00-03:15,8.76,8.76,0,26.93,76.74,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,96.38,0,0,0,0,0,0,0,265.04,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1658.5800000000002

14,03:15-03:30,8.76,8.76,0,26.93,76.74,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,96.38,0,0,0,0,0,0,0,279.5,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1673.0400000000002

15,03:30-03:45,8.76,8.76,0,26.93,76.74,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,96.38,0,0,0,0,0,0,0,289.14,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1682.6800000000003

16,03:45-04:00,8.76,8.76,0,26.93,76.74,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,96.38,0,0,0,0,0,0,0,298.78,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1692.3200000000002

17,04:00-04:15,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,260.23,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1406.8000000000004

18,04:15-04:30,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,269.86,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1416.4300000000003

19,04:30-04:45,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,269.86,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1416.4300000000003

20,04:45-05:00,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,279.5,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1426.0700000000004

21,05:00-05:15,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,236.13,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1382.7000000000003

22,05:15-05:30,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,240.95,0,192.76,12.53,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1387.5200000000002

23,05:30-05:45,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,236.13,0,192.76,11.57,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1381.7400000000002

24,05:45-06:00,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.53,0,0,0,0,0,0,0,0,0,231.31,0,192.76,11.57,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,0,0,0,0,0,0,0,0.04,0,0,0,1376.9600000000003

25,06:00-06:15,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.82,0,0,0,0,0,0,0,0,0,221.67,0,192.76,11.57,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,1,1360.5800000000004

26,06:15-06:30,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.82,0,0,0,0,0,0,0,0,0,216.86,0,192.76,11.57,0,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0,0.01,0.01,0,0,0,2.85,0.01,0,3,1359.9700000000003

27,06:30-06:45,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.82,0,0,0,0,0,0,0,0,0,212.04,0,192.76,11.57,0.84,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.08,0.03,0.04,0.15,0,0,3.45,0.03,0.04,5,1358.9300000000003

28,06:45-07:00,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.82,0,0,0,0,0,0,0,0,0,212.04,0,192.76,11.57,1.38,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.11,0.05,0.07,0.21,0,0,4.52,0.05,0.05,8,1363.71

29,07:00-07:15,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,0,0,0,0,0,0,0,0,0,0,192.76,11.57,1.98,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.14,0.09,0.12,0.29,0,0,6.81,0.08,0.14,11,1157.9299999999998

30,07:15-07:30,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,0,0,0,0,0,0,0,0,0,0,192.76,11.57,2.98,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.17,0.13,0.16,0.36,0,0,9.1,0.11,0.17,15,1165.46

31,07:30-07:45,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,0,0,0,0,0,0,0,0,0,0,192.76,11.57,3.86,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.19,0.19,0.24,0.39,0,0,11.39,0.13,0.19,18,1171.8600000000006

32,07:45-08:00,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,0,0,0,0,0,0,0,0,0,0,192.76,11.57,5.26,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.29,0.23,0.3,0.48,0,0,13.67,0.16,0.19,22,1179.8600000000001

33,08:00-08:15,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.96,0,0,0,0,0,0,0,0,0,0,0,164.09,11.57,6.2,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.2,0.28,0.37,0.48,1.64,0,16.84,0.24,0.13,25,1160.0800000000002

34,08:15-08:30,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.96,0,0,0,0,0,0,0,0,0,0,0,164.09,11.57,8.55,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.13,0.33,0.42,0.48,1.64,0,18.86,0.28,0.08,28,1167.47

35,08:30-08:45,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.96,0,0,0,0,0,0,0,0,0,0,0,164.09,13.49,5.89,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0.04,0.39,0.49,0.48,1.64,0,20.88,0.33,0.03,21,1161.7900000000002

36,08:45-09:00,8.76,8.76,0,26.93,76.74,0,0,0,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.96,0,0,0,0,0,0,0,0,0,0,0,164.09,13.49,5.89,26.93,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,17.52,0,0,0,0,0,0,0.41,0.6,0.48,1.64,0,22.91,0.41,0,25,1167.9600000000003

37,09:00-09:15,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,5.89,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.28,0.51,0.65,0.48,1.64,0,24.6,0.45,0.18,27,1232.9300000000003

38,09:15-09:30,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,6.87,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.53,0.67,0.48,1.64,0,26.3,0.46,0.19,28,1236.6800000000003

39,09:30-09:45,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,6.87,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.21,0.4,0.49,0.48,1.64,0,28,0.35,0.19,23,1232.8800000000003

40,09:45-10:00,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,7.85,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.2,0.4,0.49,0.48,1.64,0,29.45,0.35,0.19,25,1237.3000000000004

41,10:00-10:15,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,7.85,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.22,0.42,0.54,0.48,1.64,1.45,29,0.38,0.19,28,1241.4200000000005

42,10:15-10:30,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,7.85,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.24,0.45,0.57,0.48,1.64,1.45,28.61,0.4,0.19,32,1245.1300000000003

43,10:30-10:45,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,11.56,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0,0.42,0.67,0.48,1.64,1.45,28.27,0.35,0.19,49,1265.2800000000002

44,10:45-11:00,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,12.84,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.4,0.67,0,1.64,1.45,27.99,0.33,0.19,49,1266.0500000000004

45,11:00-11:15,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,14.11,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.17,0.67,0,1.64,1.45,43.33,0.13,0.19,56,1289.2300000000005

46,11:15-11:30,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,15.56,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.17,0.67,0,1.64,1.45,45,0.13,0.19,56,1292.3500000000004

47,11:30-11:45,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,16.93,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.15,0.67,0,1.64,1.45,58.78,0.39,0.19,49,1300.7400000000002

48,11:45-12:00,12.41,12.41,0,26.94,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,18.22,26.94,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.15,0.67,0,1.64,1.45,59.13,0.39,0.19,49,1302.3800000000006

49,12:00-12:15,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,19.4,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.15,0.67,0,1.64,1.45,59.32,0.39,0.19,49,1303.7700000000002

50,12:15-12:30,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,19.7,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.15,0.67,0,1.64,1.45,59.05,0.39,0.19,49,1303.8000000000004

51,12:30-12:45,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,19.96,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.22,0.67,0,1.64,1.45,50,0.39,0,60,1305.8900000000003

52,12:45-13:00,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,20.24,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.29,0.67,0,1.64,1.45,50,0.39,0,63,1309.2400000000002

