Time,Block,NR/2024/20190/C,NR/2024/19355/A/18845,NR/2024/19637/A/18692,NR/2024/19760/A/18653,NR/2024/19683/A/18286,NR/2024/19588/A/18353,NR/2024/20052/A/18505,NR/2024/19966/A/18666,NR/2024/20215/C,NR/2024/19432/A/18775,NR/2024/20130/A/18699,NR/2024/19475/A/18687,NR/2024/19699/A/18772,NR/2024/20142/A/18870,NR/2024/20221/C,NR/2024/20109/A/18843,NR/2024/20218/C,NR/2024/20040/A/18712,NR/2024/20033/A/18759,NR/2024/20050/A/18611,NR/2024/20031/A/18755,NR/2024/20048/A/18613,NR/2024/20141/A/18871,NR/2024/20037/A/18652,NR/2024/20082/A/18713,NR/2024/20034/A/18753,NR/2024/20090/A/18621,NR/2024/20041/A/18615,NR/2024/19779/A/18578,NR/2024/20194/C,NR/2024/20209/C,NR/2024/20144/A/18872,NR/2024/19918/A/18715,NR/2024/20193/C,Total
8,01:45-02:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,96.640000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1512.02

9,02:00-02:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1222.1

10,02:15-02:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1222.1

11,02:30-02:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1222.1

12,02:45-03:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1222.1

13,03:00-03:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

14,03:15-03:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

15,03:30-03:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

16,03:45-04:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

17,04:00-04:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

18,04:15-04:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

19,04:30-04:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

20,04:45-05:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,9.660000,0.000000,0.880000,13.530000,111.430000,1164.02

21,05:00-05:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,13.530000,111.430000,1173.69

22,05:15-05:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,13.530000,111.430000,1173.69

23,05:30-05:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,13.530000,111.430000,1173.69

24,05:45-06:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,13.530000,111.430000,1173.69

25,06:00-06:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,0.000000,111.430000,942.72

26,06:15-06:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,0.000000,111.430000,942.72

27,06:30-06:45,0.55,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,0.000000,111.430000,943.27

28,06:45-07:00,0.9,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.530000,19.330000,0.000000,0.880000,0.000000,111.430000,943.62

29,07:00-07:15,1.27,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.680000,19.330000,0.000000,0.880000,0.000000,111.430000,944.14

30,07:15-07:30,1.78,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.680000,19.330000,0.000000,0.880000,0.000000,111.430000,944.65

31,07:30-07:45,2.31,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.680000,19.330000,0.000000,0.880000,0.000000,111.430000,945.18

32,07:45:08:00,2.85,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.680000,19.330000,0.000000,0.880000,0.000000,111.430000,945.72

33,08:00-08:15,3.4,96.640000,0.000000,0.000000,1.930000,66.870000,4.830000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,944.63

34,08:15-08:30,3.97,96.640000,0.000000,0.000000,1.930000,66.870000,4.830000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,945.2

35,08:30-08:45,4.54,96.640000,0.000000,0.000000,1.930000,66.870000,4.830000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,945.77

36,08:45:09:00,5.11,96.640000,0.000000,0.000000,1.930000,66.870000,4.830000,0.000000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,946.34

37,09:00:09:15,5.67,96.640000,24.160000,48.320000,1.930000,66.870000,4.830000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1106.36

38,09:15-09:30,6.13,96.640000,24.160000,48.320000,1.930000,66.870000,4.830000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1106.82

39,09:30-09:45,6.58,96.640000,24.160000,48.320000,1.930000,66.870000,4.830000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1107.27

40,09:45-10:00,7.02,96.640000,24.160000,48.320000,1.930000,66.870000,4.830000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1107.71

41,10:00-10:15,7.46,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1110.08

42,10:15-10:30,7.79,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1110.41

43,10:30-10:45,8.1,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1110.72

44,10:45-11:00,8.33,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1110.95

45,11:00-11:15,8.55,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1111.17

46,11:15-11:30,8.71,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1111.33

47,11:30-11:45,8.8,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1111.42

48,11:45-12:00,8.87,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,0.000000,111.430000,1111.49

49,12:00-12:15,8.94,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1125.09

50,12:15-12:30,8.99,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1125.14

51,12:30-12:45,8.93,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1125.08

52,12:45-13:00,8.87,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1125.02

53,13:00-13:15,8.77,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.92

54,13:15-13:30,8.58,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.73

55,13:30-13:45,8.33,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.48

56,13:45-14:00,8.12,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.27

57,14:00-14:15,7.93,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.08

58,14:15-14:30,7.64,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1123.79

59,14:30-14:45,7.27,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1123.42

60,14:45-15:00,6.88,96.640000,24.160000,48.320000,1.930000,66.870000,6.760000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1123.03

61,15:00-15:15,6.46,96.640000,24.160000,48.320000,1.930000,66.870000,8.700000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.55

62,15:15-15:30,5.98,96.640000,24.160000,48.320000,1.930000,66.870000,8.700000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1124.07

63,15:30-15:45,5.53,96.640000,24.160000,48.320000,1.930000,66.870000,8.700000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1123.62

64,15:45-16:00,5.05,96.640000,24.160000,48.320000,1.930000,66.870000,8.700000,38.660000,0.000000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,183.620000,0.000000,14.500000,12.450000,0.000000,37.330000,0.000000,0.350000,72.480000,11.600000,37.330000,1.930000,48.320000,0.970000,19.330000,0.000000,0.880000,13.530000,111.430000,1123.14

