Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNA/NR/2025/08/01/6187,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/5784,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/6475,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/1044,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6452,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6209
7,01:30-01:45,75,23.33,0,0,0,25,62.66,0,0,0,0,0,0,62.67,0,0,25,0,0,28.81,10.1,10.5,0,0,70.27,15.27,19.37,270.98,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

8,01:45-02:00,75,23.67,0,0,0,25,63.66,0,0,0,0,0,0,63.67,0,0,25,0,0,27.81,10.1,10.5,0,0,70.27,15.27,19.37,270.98,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

9,02:00-02:15,75,24.33,0,0,0,25,64.34,0,0,0,0,0,0,64.33,0,0,25,0,0,27.01,10.1,10.5,0,0,70.27,15.27,19.37,270.98,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

10,02:15-02:30,75,25.33,0,0,0,25,64,0,0,0,0,0,0,64,0,0,25,0,0,26.41,10.1,10.5,0,0,70.27,15.27,19.37,270.98,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

11,02:30-02:45,73.99,26,0,0,0,24.67,64.34,0,0,0,0,0,0,64.33,0,0,24.67,0,0,26.61,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

12,02:45-03:00,73.99,27,0,0,0,24.67,64.34,0,0,0,0,0,0,64.33,0,0,24.67,0,0,25.21,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.24,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

13,03:00-03:15,72.49,25.22,0,0,0,24.17,64,0,0,0,0,0,0,64,0,0,24.17,0,0,33.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

14,03:15-03:30,70.99,24.72,0,0,0,23.67,63,0,0,0,0,0,0,63,0,0,23.67,0,0,33.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

15,03:30-03:45,69.49,23.95,0,0,0,23.17,62,0,0,0,0,0,0,62,0,0,23.17,0,0,32.81,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

16,03:45-04:00,67.99,23.13,0,0,0,22.67,60.34,0,0,0,0,0,0,60.33,0,0,22.67,0,0,32.41,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

17,04:00-04:15,73.01,22.55,0,0,0,24.33,60,0,0,0,0,0,0,60,0,0,24.33,0,0,31.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

18,04:15-04:30,72.49,22.02,0,0,0,24.17,59,0,0,0,0,0,0,59,0,0,24.17,0,0,29.61,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

19,04:30-04:45,72,21.51,0,0,0,24,63.34,0,0,0,0,0,0,63.33,0,0,24,0,0,27.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

20,04:45-05:00,70.5,20.99,0,0,0,23.5,62.66,0,0,0,0,0,0,62.67,0,0,23.5,0,0,24.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.2,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

21,05:00-05:15,66.13,20.8,0,0,0,22.04,62,0,0,0,0,0,0,62,0,0,22.04,0,0,22.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

22,05:15-05:30,64.87,20.62,0,0,0,21.62,61.34,0,0,0,0,0,0,61.33,0,0,21.62,0,0,18.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,26.24,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

23,05:30-05:45,63.46,20.46,0,0,0,21.15,60.66,0,0,0,0,0,0,60.67,0,0,21.15,0,0,16.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

24,05:45-06:00,62.04,20.31,0,0.27,0,20.68,60,0,0,0,0.06,0,0,60,0.49,0,20.68,0,0,14.41,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,27.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

25,06:00-06:15,57.32,19.46,1,0.43,1,19.11,59.34,3.5,1,0,0.09,1,0,59.33,1.73,3.8,19.11,0,0.99,33.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,26.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

26,06:15-06:30,55.64,18.37,2,0.68,2,18.54,58.34,13.2,2,0,0.14,2,1,58.33,2.96,13.7,18.54,0,3.36,33.01,10.1,10.5,0,0,70.27,15.27,19.37,231.24,102.57,96.35,-0,20.79,66.99,26.93,3.23,26.25,8.76,48.18,4.01,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,96.35

27,06:30-06:45,82.01,25.33,3,3.74,5,27.33,66.66,18.9,4,3,0.75,4,2,66.67,4.19,21.3,27.33,0,7.09,32.81,10.1,10.5,5.61,0.94,70.27,15.27,19.37,192.7,102.57,96.35,-0,20.79,56.48,26.93,3.23,25.23,8.76,48.18,4.01,24.09,10.75,0.94,0.73,12.67,26.93,24.09,100.38,19.27,8.76,96.35

28,06:45-07:00,82.99,25.33,4,7.47,7,27.67,66.66,27.9,6,5,1.5,7,4,66.67,5.43,30.6,27.67,0,12.35,32.41,10.1,10.5,5.61,1.55,70.27,15.27,19.37,149.83,102.57,96.35,-0,20.79,56.48,26.93,3.23,24.22,8.76,48.18,4.01,24.09,10.75,1.55,1.2,12.67,26.93,24.09,100.38,19.27,8.76,96.35

29,07:00-07:15,85.01,25.33,5,12.23,9,28.33,66.66,33,7,8,2.45,11,4,66.67,8.51,33,28.33,0,18.88,31.01,10.1,10.5,6.54,2.29,70.27,15.27,19.37,149.83,72.59,96.35,-0,20.79,38.54,26.93,3.14,24.22,8.76,48.18,4.01,24.09,10.75,2.29,1.76,12.67,26.93,24.09,52.99,19.27,8.76,96.35

30,07:15-07:30,85.99,25.33,7,18.35,12,28.67,66.66,33,10,13,3.67,13,6,66.67,11.59,33,28.67,0,26.36,29.61,10.1,10.5,6.54,3.14,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,26.93,3.16,24.22,8.76,48.18,4.01,24.09,10.75,3.14,2.42,12.67,26.93,24.09,52.99,19.27,8.76,96.35

31,07:30-07:45,87.49,26,8,26.5,15,29.17,66.66,33,13,20,5.3,17,8,66.67,14.68,33,29.17,0,33.31,30.52,10.1,10.5,6.54,4.05,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,26.93,3.2,24.22,8.76,48.18,4.01,24.09,10.75,4.05,3.13,9.69,26.93,24.09,52.99,19.27,8.76,96.35

32,07:45-08:00,90,27.01,12,36.7,19,30,66.66,33,16,26,7.34,18,9,66.67,17.76,33,30,0,40.65,30.84,10.1,10.5,6.54,5.04,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,26.93,3.2,26.25,8.76,48.18,4.01,24.09,10.75,5.04,3.9,9.69,26.93,24.09,52.99,19.27,8.76,96.35

33,08:00-08:15,70.69,23.84,16,48.93,22,23.57,72.46,33,19,33,9.79,25,11,72.47,26.4,33,23.57,0,48.2,31.43,10.1,10.5,6.54,6.12,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,26.93,3.2,27.25,8.76,48.18,2.02,24.09,10.75,6.12,4.73,9.69,26.93,24.09,52.99,19.27,8.76,96.35

34,08:15-08:30,74.33,24.9,19,62.52,25,24.78,74.22,33,22,33,12.51,29,13,74.22,30.86,33,24.78,0,55.77,32.04,10.1,10.5,6.54,7.25,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,26.93,3.2,27.25,8.76,48.18,2.02,24.09,10.75,7.25,5.6,9.69,26.93,24.09,52.99,19.27,8.76,96.35

35,08:30-08:45,78.46,22.67,18,64.29,25,26.16,66.66,33,24,33,12.86,32,13,66.67,35.33,33,26.16,0,63.06,31.49,10.1,10.5,6.54,8.26,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.48,3.2,26.24,8.76,48.18,3.56,24.09,10.75,8.26,6.38,9.69,18.48,24.09,52.99,19.27,8.76,96.35

36,08:45-09:00,83.22,23.33,21,78.57,29,27.74,68.34,33,27,33,15.71,37,15,68.33,39.79,33,27.74,0,70.1,30.57,10.1,10.5,6.54,9.14,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.48,3.2,26.24,8.76,48.18,3.56,24.09,10.75,9.14,7.06,9.69,18.48,24.09,52.99,19.27,8.76,96.35

37,09:00-09:15,72.49,24,21,93.52,35,24.17,70,33,31,33,18.7,41,17,70,46.58,33,24.17,0,76.95,35.01,10.1,10.5,6.35,9.89,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.2,26.24,8.76,48.18,3.56,24.09,10.75,9.89,7.64,9.69,18.53,24.09,52.99,19.27,8.76,96.35

38,09:15-09:30,75,25,21,108.81,39,25,71.66,33,36,33,21.76,47,20,71.67,53.37,33,25,0,83.19,34.61,10.1,10.5,6.35,10.59,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.2,26.24,8.76,48.18,3.56,24.09,10.75,10.59,8.17,9.69,18.53,24.09,52.99,19.27,8.76,96.35

39,09:30-09:45,77.51,26.67,21,123.42,45,25.83,73.34,33,39,33,24.68,46,22,73.33,60.16,33,25.83,0,89.3,40.02,10.1,10.49,7.94,11.24,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.2,26.24,8.76,48.18,2.02,24.09,10.75,11.24,8.68,9.69,18.53,24.09,52.99,19.27,8.76,96.35

40,09:45-10:00,79.99,28.33,23,137.01,51,26.67,76.02,33,43,33,27.4,48,25,76.02,66.2,33,26.67,0,95.1,40.02,10.1,10.49,7.94,11.82,70.27,15.27,19.37,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.2,26.24,8.76,48.18,2.02,24.09,10.75,11.82,9.14,9.69,18.53,24.09,52.99,19.27,8.76,96.35

41,10:00-10:15,82.5,30,25,139.61,57,27.5,76.26,33,49,33,27.92,48,28,76.25,70.8,33,27.5,0,100.5,40.02,10.1,10.49,7.76,8.77,70.27,15.27,15.49,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.72,26.24,8.76,48.18,6.54,24.09,10.75,8.77,6.77,9.69,18.53,24.09,52.99,19.27,8.76,96.35

42,10:15-10:30,85.01,31.67,27,152.77,60,28.33,76.64,33,54,33,30.55,52,30,76.64,75.37,33,28.33,0,87.68,40.02,10.1,10.49,7.76,9.22,70.27,15.27,15.49,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.72,27.25,8.76,48.18,6.54,24.09,10.75,9.22,7.13,9.69,18.53,24.09,52.99,19.27,8.76,96.35

43,10:30-10:45,90,33.64,25,176.26,53,30,78.34,33,54,33,35.25,58,27,78.33,71.93,33,30,0,87.68,40.02,10.1,10.49,7.76,9.67,70.27,15.27,15.49,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.72,27.25,8.76,48.18,6.54,24.09,10.75,9.67,7.47,9.69,18.53,24.09,52.99,19.27,8.76,96.35

44,10:45-11:00,94.99,33.59,27,192.16,55,31.67,78.34,33,57,33,38.43,62,27,78.33,76.03,33,31.67,0,87.68,40.02,10.1,10.49,7.76,9.99,70.27,15.27,15.49,149.83,54.92,96.35,-0,20.79,38.54,18.53,3.72,28.26,8.76,48.18,6.54,24.09,10.75,9.99,7.72,9.69,18.53,24.09,52.99,19.27,8.76,96.35

45,11:00-11:15,105.05,33.57,30,183.51,57,35.01,78.34,33,54,33,36.7,67,28,78.33,65.21,33,35.01,0,87.68,38.02,10.1,10.88,6.54,10.3,70.27,15.27,15.49,192.7,82.71,96.35,-107.92,20.79,39.11,18.53,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.3,7.96,9.69,18.53,24.09,52.99,19.27,8.76,96.35

46,11:15-11:30,105.33,33.56,32,194.71,59,35.11,78.34,33,54,33,38.94,69,29,78.33,68.11,33,35.11,0,87.68,38.02,10.1,10.88,6.54,10.49,70.27,15.27,15.49,231.24,82.71,96.35,-215.84,20.79,40.75,18.53,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.49,8.1,9.69,18.53,24.09,52.99,19.27,8.76,96.35

47,11:30-11:45,109.99,36.9,34,211.93,57,36.67,80,33,51,33,42.39,69,28,80,77.88,33,36.67,0,87.68,37.02,10.1,10.88,6.54,10.61,70.27,15.27,15.49,270.98,54.92,96.35,-215.84,20.79,38.54,18.53,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.61,8.2,9.69,18.53,24.09,52.99,19.27,8.76,96.35

48,11:45-12:00,109.99,36.88,36,221.1,59,36.67,80,33,51,33,44.22,69,29,80,83.88,33,36.67,0,112.84,37.22,10.1,10.88,6.54,10.64,70.27,15.27,15.49,270.98,54.92,96.35,-215.84,20.79,38.54,18.53,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.64,8.23,9.69,18.53,24.09,52.99,19.27,8.76,96.35

49,12:00-12:15,109.99,37.4,34,207.21,67,36.67,80,33,51,33,41.44,67,33,80,78.33,33,36.67,0,111.11,37.42,10.1,10.49,7.94,10.66,70.27,15.27,19.55,270.98,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.66,8.24,9.69,18.73,24.09,52.99,19.27,8.76,96.35

50,12:15-12:30,109.99,38.14,34,211.84,67,36.67,80,33,51,33,42.37,67,33,80,79.33,33,36.67,0,108.09,37.62,10.1,10.49,7.94,10.65,70.27,15.27,19.55,270.98,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.65,8.23,9.69,18.73,24.09,52.99,19.27,8.76,96.35

51,12:30-12:45,109.99,38.52,36,204.17,70,36.67,80,33,63,33,40.83,70,35,80,81.67,33,36.67,0,110.77,42.02,10.1,10.49,7.94,10.62,70.27,15.27,19.55,231.24,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.62,8.21,9.69,18.73,24.09,52.99,19.27,8.76,96.35

52,12:45-13:00,110.8,38.91,37,204.17,72,36.94,80,33,63,33,40.83,70,36,80,83.33,33,36.94,0,112.91,42.02,10.1,10.49,7.94,10.59,70.27,15.27,19.55,231.24,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,28.26,8.76,48.18,6.54,24.09,10.75,10.59,8.18,9.69,18.73,24.09,52.99,19.27,8.76,96.35

53,13:00-13:15,110.23,39.25,38,215,57,36.74,80,33,57,33,43,80,28,80,85.67,33,36.74,0,113.47,42.02,10.1,10.49,8.22,10.52,70.27,15.27,19.55,192.7,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,10.52,8.12,9.69,18.73,24.09,52.99,19.27,8.76,96.35

54,13:15-13:30,111.07,39.36,39,213.33,60,37.02,80,33,57,33,42.67,77,30,80,87.67,33,37.02,0,112.68,42.02,10.1,10.49,8.22,10.44,70.27,15.27,19.55,192.7,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,10.44,8.07,9.69,18.73,24.09,52.99,19.27,8.76,96.35

55,13:30-13:45,110.49,39.41,39,220.83,60,36.84,80,33,54,33,44.17,86,30,80,85,33,36.84,0,98.12,42.02,10.1,10.49,8.22,16.04,70.27,15.27,19.55,231.24,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,16.04,12.39,9.69,18.73,24.09,52.99,19.27,8.76,96.35

56,13:45-14:00,109.33,39.41,39,220.83,60,36.44,80,33,54,33,44.17,86,30,80,86,33,36.44,0,96.65,42.02,10.1,10.49,8.22,15.77,70.27,15.27,19.55,231.24,54.92,96.35,-215.84,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,15.77,12.19,9.69,18.73,24.09,52.99,19.27,8.76,96.35

57,14:00-14:15,107.1,39.17,39,226.67,67,35.71,80,33,60,33,45.33,86,33,80,87.33,33,35.71,0,94.59,42.02,10.1,10.49,8.22,15.39,70.27,15.27,19.55,192.7,54.92,96.35,-107.92,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,15.39,11.89,9.69,18.73,24.09,52.99,19.27,8.76,96.35

58,14:15-14:30,106.9,38.84,39,222.13,67,35.63,80,33,60,33,44.43,85,33,80,86.67,33,35.63,0,92.09,42.02,10.1,10.49,8.22,15.04,70.27,15.27,19.55,192.7,54.92,96.35,-0,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,15.04,11.62,9.69,18.73,24.09,52.99,19.27,8.76,96.35

59,14:30-14:45,106.76,38.97,39,214.89,67,35.58,80,33,60,33,42.98,78,33,80,85.33,33,35.58,0,81.45,42.02,10.1,10.49,8.22,14.72,70.27,15.27,19.55,192.7,54.92,96.35,-0,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,14.72,11.38,9.69,18.73,24.09,52.99,19.27,8.76,96.35

60,14:45-15:00,106.71,38.59,39,208.12,65,35.57,80,33,58,33,41.62,76,33,80,84,33,35.57,0,75.17,42.02,10.1,10.49,8.22,14.44,70.27,15.27,19.55,192.7,54.92,96.35,-0,20.79,38.54,18.73,3.72,27.25,8.76,48.18,6.54,24.09,10.75,14.44,11.16,9.69,18.73,24.09,52.99,19.27,8.76,96.35

61,15:00-15:15,105.37,40.67,35,181.33,60,35.12,80,33,57,33,36.27,70,30,80,77.93,33,35.12,0,69.12,42.02,10.1,10.49,8.41,13.09,70.27,15.27,19.55,192.7,54.92,96.35,-0,20.79,38.54,26.95,3.2,27.25,8.76,48.18,4.41,24.09,10.75,13.09,10.11,6.83,26.95,24.09,52.99,19.27,8.76,96.35

62,15:15-15:30,105.19,40.33,34,173.37,57,35.07,80,33,55,33,34.68,67,28,80,73.55,33,35.07,0,62.95,42.02,10.1,10.49,8.41,12.35,70.27,15.27,19.55,192.7,54.92,96.35,-0,20.79,38.54,26.95,3.2,27.75,8.76,48.18,4.4,24.09,10.75,12.35,9.54,6.83,26.95,24.09,52.99,19.27,8.76,96.35

63,15:30-15:45,103.38,40.33,31,171.52,53,34.47,80,33,51,33,34.3,60,27,80,65.51,33,34.47,0,56.42,42.02,10.1,10.49,8.41,11.65,70.27,15.27,19.55,192.7,102.57,96.35,-0,20.79,56.48,26.95,3.24,27.75,8.76,48.18,4.4,24.09,10.75,11.65,9.01,6.83,26.95,24.09,81.9,19.27,8.76,96.35

64,15:45-16:00,101.88,40.33,30,160.92,49,33.97,78.34,33,48,33,32.18,53,25,78.33,60.73,33,33.97,0,49.87,42.02,10.1,10.49,8.41,10.63,70.27,15.27,19.55,192.7,102.57,96.35,-0,20.79,56.48,26.95,3.24,27.75,8.76,48.18,4.4,24.09,10.75,10.63,8.21,6.83,26.95,24.09,100.38,19.27,8.76,96.35

65,16:00-16:15,99.01,40.33,27,146.35,43,33.01,76.66,33,40,24,29.27,53,22,76.67,51.96,33,33.01,0,43.61,41.02,10.1,10.88,8.78,9.74,70.27,15.27,19.55,231.24,102.57,96.35,-0,20.79,56.48,26.95,3.24,28.26,8.76,48.18,3.56,24.09,10.75,9.74,7.52,6.78,26.95,24.09,100.38,19.27,8.76,96.35

