Column1,Block,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28030/C,NR/2025/28014/C,NR/30092023/26122029/SH-06,NR/2025/27728/A/77860,GNA/NR/2025/06/01/2868,NR/2025/27919/C,NR/2025/27726/A/77862,NR/2025/27915/C,GNA/NR/2025/06/01/7663,NR/2025/27918/C,NR/2025/28000/C,NR/2025/28012/C,NR/2025/28017/C,GNA/NR/2025/06/01/2569,NR/2025/28018/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/4444,NR/2025/27935/C,NR/2025/28019/C,GNA/NR/2025/06/01/7782,NR/2025/27361/A/77470,NR/2025/27162/A/77864,NR/2025/28032/C,NR/2025/26564/A/77742,NR/2025/27725/A/77863,NR/2025/27979/C,NR/2025/26563/A/77741,NR/2025/27980/C,NR/2025/27168/A/77299,NR/2025/26889/A/77779,NR/2025/26861/A/77745,NR/2025/27981/C,NR/2025/27982/C,NR/2025/27281/A/77883,NR/2025/26561/A/77740,NR/2025/26975/A/77865,NR/2025/27157/A/77405,NR/2025/27242/A/77500,NR/2025/27393/A/77468,NR/2025/28031/C,NR/2025/27499/A/77778,NR/2025/27724/A/77439,NR/2025/27167/A/77298,NR/2025/26445/A/77878,NR/2025/26785/A/77345,NR/2025/26777/A/77427,NR/2025/26860/A/77486,NR/2025/28029/C,NR/2025/27462/A/77335,NR/2025/27727/A/77859,NR/2025/26569/A/77743,NR/2025/27360/A/77472,NR/2025/28033/C,NR/2025/27782/A/77858,NR/2025/26952/A/77304,NR/2025/26570/A/77744,NR/2025/27359/A/77474,NR/2025/27088/A/77872,NR/2025/26085/A/77386,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77329,NR/2025/27356/A/77477,Total
3,00:30-00:45,33.78,16.89,16.89,11.36,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,12.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2175.3999999999996

4,00:45-01:00,33.78,16.89,16.89,11.36,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,12.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2175.3999999999996

5,01:00-01:15,33.78,16.89,16.89,11.27,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2189.3099999999995

6,01:15-01:30,33.78,16.89,16.89,11.27,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2189.3099999999995

7,01:30-01:45,33.78,16.89,16.89,11.27,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2189.3099999999995

8,01:45-02:00,33.78,16.89,16.89,11.27,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2189.3099999999995

9,02:00-02:15,33.78,16.89,16.89,11.18,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,27.03,217.07,28.96,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,2172.29

10,02:15-02:30,33.78,16.89,16.89,11.18,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,27.03,217.07,28.96,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,2172.29

11,02:30-02:45,33.78,16.89,16.89,11.18,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,27.03,217.07,28.96,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,2172.29

12,02:45-03:00,33.78,16.89,16.89,11.18,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,27.03,217.07,28.96,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,2172.29

13,03:00-03:15,33.78,16.89,16.89,11.08,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,5.79,217.07,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,2121.89

14,03:15-03:30,33.78,16.89,16.89,11.08,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,5.79,217.07,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,2121.89

15,03:30-03:45,33.78,16.89,16.89,11.08,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,5.79,217.07,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,2121.89

16,03:45-04:00,33.78,16.89,16.89,11.08,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,0,0,0,0,24.85,144.78,5.79,217.07,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,2121.89

17,04:00-04:15,33.78,16.89,16.89,10.9,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,1612.1899999999998

18,04:15-04:30,33.78,16.89,16.89,10.9,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,1612.1899999999998

19,04:30-04:45,33.78,16.89,16.89,10.9,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,1612.1899999999998

20,04:45-05:00,33.78,16.89,16.89,10.9,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.53,0,0,0,1612.1899999999998

21,05:00-05:15,33.78,16.89,16.89,10.81,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,1612.1999999999998

22,05:15-05:30,33.78,16.89,16.89,10.81,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,1612.1999999999998

23,05:30-05:45,33.78,16.89,16.89,10.81,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,1612.1999999999998

24,05:45-06:00,33.78,16.89,16.89,10.81,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,111,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,28.96,0,8.77,0,0,33.78,135.13,0.63,0,0,0,1611.23

25,06:00-06:15,33.78,16.89,16.89,10.63,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.68,0.61,0,1,1400.3599999999997

26,06:15-06:30,33.78,16.89,16.89,10.63,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.68,1.29,0,4,1404.0399999999997

27,06:30-06:45,33.78,16.89,16.89,10.63,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.68,4.31,0,7,1410.0599999999997

28,06:45-07:00,33.78,16.89,16.89,10.63,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.68,7.19,0,14,1419.9399999999998

29,07:00-07:15,33.78,16.89,16.89,10.53,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.87,10.81,0,25,1434.6499999999996

30,07:15-07:30,33.78,16.89,16.89,10.53,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.87,15.5,0,35,1449.3399999999997

31,07:30-07:45,33.78,16.89,16.89,10.53,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.87,21.08,0,49,1468.9199999999996

32,07:45-08:00,33.78,16.89,16.89,10.53,0,0,26.93,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,8.77,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,26.32,0,0,0,8.77,0,0,0,135.13,0.87,27.27,0,63,1489.1099999999997

33,08:00-08:15,33.78,16.89,16.89,10.53,0,0,26.93,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,9.65,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,0,0,14.62,0,0,0,135.13,0.97,33.94,5.79,67,1542.7799999999995

34,08:15-08:30,33.78,16.89,16.89,10.53,0,0,26.93,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,0,0,14.62,0,0,0,135.13,0.97,40.65,5.79,81,1564.4599999999998

35,08:30-08:45,33.78,16.89,16.89,10.53,0,0,26.93,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,0,0,14.62,0,0,0,135.13,0.97,47.35,5.79,81,1571.1599999999996

36,08:45-09:00,33.78,16.89,16.89,10.53,0,0,26.93,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,30.89,26.93,11.9,16.89,33.78,135.13,0,108.45,11.89,0,55.92,0,0,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,0,0,0,0,0,10.62,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,0,0,14.62,0,0,0,135.13,0.97,54.18,5.4,95,1591.6

37,09:00-09:15,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,30.89,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,10.62,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,60.82,8.08,102,1623.6599999999996

38,09:15-09:30,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,30.89,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,66.48,8.69,116,1644.8899999999999

39,09:30-09:45,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,30.89,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,74.3,8.69,137,1673.7099999999998

40,09:45-10:00,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,30.89,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,79.61,8.69,151,1693.0199999999998

