Time,Block,NR/2023/15296/F,NR/2023/15306/F,NR/2023/13862/A,NR/2023/15397/D,NR/2023/12431/A,NR/2023/15415/C,NR/2023/14898/A,NR/2023/15057/F,NR/2023/15416/C,NR/2023/15411/C,NR/2023/15394/D,NR/2023/12422/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/12347/A,NR/2023/12168/A,NR/2023/15309/F,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12052/A,NR/2023/13635/A,NR/2023/15303/F,NR/2023/15426/C,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14746/A,NR/2023/15304/F,NR/2023/12053/A,NR/2023/15399/D,NR/2023/15425/C,NR/2023/15398/D,NR/2023/12148/A,NR/2023/15395/D,ER/2023/9521/C,Total
7,01:30-01:45,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,146.910000,0.000000,22.230000,0,0.000000,1326.86

8,01:45-02:00,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,108.250000,0.000000,22.230000,0,0.000000,1288.2

9,02:00-02:15,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.580000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,56.060000,18.360000,22.230000,0,0.000000,1254.27

10,02:15-02:30,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.580000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,17.400000,18.360000,22.230000,0,0.000000,1215.61

11,02:30-02:45,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.580000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1198.21

12,02:45-03:00,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.580000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1198.21

13,03:00-03:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1138.56

14,03:15-03:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1138.56

15,03:30-03:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1138.56

16,03:45-04:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,0.000000,1138.56

17,04:00-04:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1183.56

18,04:15-04:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1183.56

19,04:30-04:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1183.56

20,04:45-05:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1183.56

21,05:00-05:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1084.98

22,05:15-05:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1084.98

23,05:30-05:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1084.98

24,05:45-06:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.530000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,85.920000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,1084.98

25,06:00-06:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,962.39

26,06:15-06:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0,45.000000,962.39

27,06:30-06:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0.13,45.000000,962.52

28,06:45-07:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0.52,45.000000,962.91

29,07:00-07:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,0.9,45.000000,963.29

30,07:15-07:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,1.42,45.000000,963.81

31,07:30-07:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,1.82,45.000000,964.21

32,07:45:08:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,2.43,45.000000,964.82

33,08:00-08:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.970000,16.380000,6.050000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,3.05,45.000000,964.89

34,08:15-08:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,3.68,45.000000,967.54

35,08:30-08:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,4.01,45.000000,967.87

36,08:45:09:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,193.300000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,0.000000,18.360000,22.230000,4.51,45.000000,968.37

37,09:00:09:15,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,4.81,45.000000,960.22

38,09:15-09:30,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.23,45.000000,960.64

39,09:30-09:45,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.11,45.000000,960.52

40,09:45-10:00,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,0.000000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,4.14,45.000000,959.55

41,10:00-10:15,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.41,45.000000,1051.67

42,10:15-10:30,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,2.33,45.000000,1048.59

43,10:30-10:45,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,2.71,45.000000,1048.97

44,10:45-11:00,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,6.65,45.000000,1052.91

45,11:00-11:15,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,7.73,45.000000,1053.99

46,11:15-11:30,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.78,45.000000,1052.04

47,11:30-11:45,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.14,45.000000,1051.4

48,11:45-12:00,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,16.380000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.12,45.000000,1051.38

49,12:00-12:15,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,7.06,45.000000,1100.83

50,12:15-12:30,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,6.11,45.000000,1099.88

51,12:30-12:45,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,2.29,45.000000,1096.06

52,12:45-13:00,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,4.57,0.000000,1053.34

53,13:00-13:15,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,7.23,0.000000,1056

54,13:15-13:30,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,5.24,0.000000,1054.01

55,13:30-13:45,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,4.37,0.000000,1007.47

56,13:45-14:00,0.970000,0.930000,0.000000,8.220000,108.730000,0.000000,77.320000,0.970000,18.220000,8.070000,147.630000,0.000000,42.520000,24.160000,90.850000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,3.58,0.000000,1006.68

57,14:00-14:15,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.970000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,1.86,0.000000,1038.03

58,14:15-14:30,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.970000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,0.000000,18.360000,22.230000,4.92,0.000000,1041.09

59,14:30-14:45,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.970000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,4.830000,18.360000,22.230000,5.91,0.000000,1046.91

60,14:45-15:00,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.970000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,60.890000,18.360000,22.230000,7.65,0.000000,1104.71

61,15:00-15:15,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.920000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,88.920000,18.360000,22.230000,6.83,0.000000,1131.87

62,15:15-15:30,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.920000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,143.040000,18.360000,22.230000,2.72,0.000000,1181.88

63,15:30-15:45,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.920000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,143.040000,18.360000,22.230000,0.73,0.000000,1179.89

64,15:45-16:00,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.920000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,157.540000,18.360000,22.230000,0.64,0.000000,1194.3

