Time,Block,NR/2023/12562/C,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10236/A,NR/2023/10344/A,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11952/F,NR/2023/11960/F,NR/2023/12567/C,NR/2023/11955/F,NR/2023/10434/A,NR/2023/11862/F,NR/2023/12553/C,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10611/A,NR/2023/10229/A,NR/2023/11476/A,NR/2023/12565/C,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11956/F,NR/2023/10613/A,NR/2023/11963/F,NR/2023/11642/A,NR/2023/11643/A,NR/2023/12546/D,NR/2023/12564/C,NR/2023/12563/C,NR/2023/12547/D,ER/2023/7603/C,NR/2023/10223/A,NR/2023/12545/D,NR/2023/11284/A,NR/2023/12569/C,NR/2023/12542/D,NR/2023/11962/F,Total
3,00:30-00:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

4,00:45-01:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

5,01:00-01:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

6,01:15-01:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

7,01:30-01:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

8,01:45-02:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.82

9,02:00-02:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.680000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.73

10,02:15-02:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.680000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.73

11,02:30-02:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.680000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.73

12,02:45-03:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.680000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,922.73

13,03:00-03:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.590000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,886.29

14,03:15-03:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.590000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,886.29

15,03:30-03:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.590000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,886.29

16,03:45-04:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.590000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,886.29

17,04:00-04:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.490000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,885.16

18,04:15-04:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.490000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,885.16

19,04:30-04:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.490000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,885.16

20,04:45-05:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.490000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,885.16

21,05:00-05:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.410000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,0.000000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,872.46

22,05:15-05:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.410000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,0.000000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,872.46

23,05:30-05:45,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.410000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,0.000000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,872.46

24,05:45-06:00,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.410000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,0.000000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,872.46

25,06:00-06:15,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.310000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,779.89

26,06:15-06:30,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.310000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,1.5,0,0,3.5,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,784.89

27,06:30-06:45,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.310000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,3,0,0,7,0.000000,24.920000,0,33.720000,0.000000,0.000000,0.460000,789.89

28,06:45-07:00,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.310000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,6,0,0,14,0.000000,24.920000,0.24,33.720000,0.000000,0.000000,0.460000,800.13

29,07:00-07:15,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.220000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,10.5,0,0,24.5,100.000000,24.920000,0.34,33.720000,0.000000,66.850000,0.460000,980.97

30,07:15-07:30,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.220000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,15.6,0,0,36.4,100.000000,24.920000,0.43,33.720000,0.000000,66.850000,0.460000,998.06

31,07:30-07:45,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.220000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,22.2,0,0,51.8,100.000000,24.920000,0.76,33.720000,0.000000,66.850000,0.460000,1020.39

32,07:45:08:00,0.000000,0.780000,0.710000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.710000,11.220000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,0.000000,0.400000,0.000000,0.460000,14.450000,13.000000,24,0,0,56,100.000000,24.920000,1.2,33.720000,0.000000,66.850000,0.460000,1026.83

33,08:00-08:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,11.040000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,31.2,0,0,72.8,100.000000,24.920000,1.6,33.720000,0.000000,66.850000,0.460000,1081.05

34,08:15-08:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,11.040000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,38.4,0,0,89.6,100.000000,24.920000,2.07,33.720000,0.000000,66.850000,0.460000,1105.52

35,08:30-08:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,11.040000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,43.2,0,0,100.8,100.000000,24.920000,2.94,33.720000,0.000000,66.850000,0.460000,1122.39

36,08:45:09:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,11.040000,0.360000,24.080000,2.890000,28.530000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,49.5,0,0,115.5,100.000000,24.920000,3.42,33.720000,0.000000,66.850000,0.460000,1143.87

37,09:00:09:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.940000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,54.6,0,0,127.4,100.000000,24.920000,4.44,33.720000,0.000000,66.850000,0.460000,1162.81

38,09:15-09:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.940000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,60.3,0,0,140.7,100.000000,24.920000,5.16,33.720000,0.000000,66.850000,0.460000,1182.53

39,09:30-09:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.940000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,64.8,0,0,151.2,100.000000,24.920000,6.58,33.720000,0.000000,66.850000,0.460000,1198.95

40,09:45-10:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.940000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,69.6,0,0,162.4,100.000000,24.920000,6.32,33.720000,0.000000,66.850000,0.460000,1214.69

41,10:00-10:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,70.5,0,0,164.5,100.000000,24.920000,6.22,33.720000,0.000000,66.850000,0.460000,1217.5

42,10:15-10:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,75.6,0.9,2.1,176.4,100.000000,24.920000,6.32,33.720000,0.000000,66.850000,0.460000,1237.6

43,10:30-10:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,75,1.5,3.5,175,100.000000,24.920000,6.32,33.720000,0.000000,66.850000,0.460000,1237.6

44,10:45-11:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,30.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,76.5,2.1,4.9,178.5,100.000000,24.920000,7.28,33.720000,0.000000,66.850000,0.460000,1245.56

45,11:00-11:15,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,2.4,5.6,182,100.000000,24.920000,7.62,33.720000,0.000000,66.850000,0.460000,1231.71

46,11:15-11:30,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,4.8,11.2,182,100.000000,24.920000,7.81,33.720000,0.000000,66.850000,0.460000,1239.9

47,11:30-11:45,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78.6,4.8,11.2,183.4,100.000000,24.920000,8.73,33.720000,0.000000,66.850000,0.460000,1242.82

48,11:45-12:00,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78.6,5.1,11.9,183.4,100.000000,24.920000,8.83,33.720000,0.000000,66.850000,0.460000,1243.92

49,12:00-12:15,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78.6,5.4,12.6,183.4,100.000000,24.920000,8.84,33.720000,0.000000,66.850000,0.460000,1244.93

50,12:15-12:30,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78.6,5.4,12.6,183.4,100.000000,24.920000,9,33.720000,0.000000,66.850000,0.460000,1245.09

51,12:30-12:45,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78.6,5.4,12.6,183.4,100.000000,24.920000,8.73,33.720000,0.000000,66.850000,0.460000,1244.82

52,12:45-13:00,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,5.4,12.6,182,100.000000,24.920000,9.02,33.720000,0.000000,66.850000,0.460000,1243.11

53,13:00-13:15,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,5.7,13.3,182,100.000000,24.920000,8.89,33.720000,0.000000,66.850000,0.460000,1243.98

54,13:15-13:30,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,5.7,13.3,182,100.000000,24.920000,8.76,33.720000,0.000000,66.850000,0.460000,1243.85

55,13:30-13:45,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,78,5.1,11.9,182,100.000000,24.920000,8.75,33.720000,0.000000,66.850000,0.460000,1241.84

56,13:45-14:00,10.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,29.550000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,76.5,5.4,12.6,178.5,100.000000,24.920000,9.02,33.720000,0.000000,66.850000,0.460000,1238.11

