Column1,Block,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,NR/2025/25267/A/54208,NR/2025/25317/C,NR/2025/25266/A/54204,NR/2025/25265/A/54206,NR/2025/25315/C,NR/2025/24882/A/53990,GNA/WR/2025/01/01/8625,NR/2024/24418/A/53961,NR/30092023/26122029/SH-06,NR/2025/25070/A/54301,GNA/NR/2025/02/16/1380,NR/2025/24992/A/53988,GNA/NR/2025/02/16/1676,WR/2025/26047/A/54236,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,Total
8,01:45-02:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

9,02:00-02:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

10,02:15-02:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

11,02:30-02:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

12,02:45-03:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

13,03:00-03:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

14,03:15-03:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

15,03:30-03:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

16,03:45-04:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

17,04:00-04:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

18,04:15-04:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

19,04:30-04:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

20,04:45-05:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

21,05:00-05:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

22,05:15-05:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

23,05:30-05:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

24,05:45-06:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.29,0,26.99,275.78

25,06:00-06:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,4.81,0,0.43,26.99,17.3,0,9.61,0,0,0,1.19,0,26.99,248.83000000000004

26,06:15-06:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,4.81,0,0.43,32,17.3,0,9.61,0,0,0,1.19,0,25.87,252.72000000000003

27,06:30-06:45,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.43,32,17.3,0,9.61,0,0,0,1.19,0,32,315.57000000000005

28,06:45-07:00,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.43,32,17.3,0,9.61,0,0,0,1.19,0,32,315.57000000000005

29,07:00-07:15,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.48,32,17.3,0,9.61,0,0,0,1.19,0,32,315.62

30,07:15-07:30,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.48,32,17.3,0,9.61,0,0,0,1.19,0,32,315.62

31,07:30-07:45,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.48,32,17.3,0,9.61,0,0,0,1.19,0,32,315.62

32,07:45-08:00,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.48,32,17.3,0,9.61,0,0,0,1.19,0,32,315.62

33,08:00-08:15,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,32,316.11000000000007

34,08:15-08:30,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,32,316.11000000000007

35,08:30-08:45,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0.01,0.01,0,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,25.87,310.00000000000006

36,08:45-09:00,0,75,13.46,13.46,36.53,43.25,36.53,0.05,0,0.12,0.1,0,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,25.87,310.2500000000001

37,09:00-09:15,0,75,13.46,13.46,36.53,43.25,36.53,0.12,21.43,0.28,0.19,27.78,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,25.87,359.7800000000001

38,09:15-09:30,0,75,13.46,13.46,36.53,43.25,36.53,0.19,24.9,0.51,0.38,27.97,4.81,0,0.87,32,17.3,0,9.61,0,0,0,1.29,0,25.87,363.93000000000006

39,09:30-09:45,0,75,8.65,8.65,23.07,23.07,23.07,0.33,31.24,0.64,0.48,21.63,4.81,0,0.87,26.99,17.3,0,9.61,0,0,0,1.29,0,26.99,303.69000000000005

40,09:45-10:00,0,75,8.65,8.65,23.07,23.07,23.07,0.35,38.45,0.87,0.62,14.42,4.81,0,0.87,26.99,17.3,0,9.61,0,0,0,1.29,0,26.99,304.08000000000004

41,10:00-10:15,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,0.96,0.58,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.35

42,10:15-10:30,0,75,8.65,8.65,23.07,23.07,23.07,0.38,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.53999999999996

43,10:30-10:45,0,75,8.65,8.65,23.07,23.07,23.07,0.38,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.53999999999996

44,10:45-11:00,0,75,8.65,8.65,23.07,23.07,23.07,0.38,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.53999999999996

45,11:00-11:15,0,75,8.65,8.65,23.07,23.07,23.07,0.38,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.53999999999996

46,11:15-11:30,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.64

47,11:30-11:45,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.64

48,11:45-12:00,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,299.64

49,12:00-12:15,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,299.74

50,12:15-12:30,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,299.74

51,12:30-12:45,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,299.74

52,12:45-13:00,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,14.42,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,299.74

53,13:00-13:15,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.77,11.82,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,297.14000000000004

54,13:15-13:30,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0.38,11.15,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,296.08000000000004

55,13:30-13:45,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0,10.57,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,295.12

56,13:45-14:00,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0,10,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,294.55

57,14:00-14:15,0,75,8.65,8.65,23.07,23.07,23.07,0.48,38.45,1.06,0,3.65,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,288.1

58,14:15-14:30,0,75,8.65,8.65,23.07,23.07,23.07,0,38.45,0,0,3.56,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,286.47

59,14:30-14:45,0,75,8.65,8.65,23.07,23.07,23.07,0,38.45,0,0,3.36,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,286.27000000000004

60,14:45-15:00,0,75,8.65,8.65,23.07,23.07,23.07,0,38.45,0,0,3.08,3.84,0,0.87,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,285.99

61,15:00-15:15,0,75,8.65,8.65,23.07,23.07,23.07,0.21,38.45,0.46,0.34,1.63,3.84,0,0.67,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,285.35

62,15:15-15:30,0,75,8.65,8.65,23.07,23.07,23.07,0.22,38.45,0.48,0.31,1.73,3.84,0,0.67,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,285.45

63,15:30-15:45,0,75,8.65,8.65,23.07,23.07,23.07,0.13,38.45,0.34,0.23,2.31,3.84,0,0.67,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,285.71999999999997

64,15:45-16:00,0,75,8.65,8.65,23.07,23.07,23.07,0.2,38.45,0.44,0.3,2.98,3.84,0,0.67,26.99,17.3,0,5.77,0,0,0,1.19,0,26.99,286.63

65,16:00-16:15,0,75,8.65,8.65,23.07,23.07,23.07,0.12,36.53,0.35,0.26,0,3.84,0,0.53,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,281.48

66,16:15-16:30,0,75,8.65,8.65,23.07,23.07,23.07,0.11,29.22,0.25,0.17,0,3.84,0,0.53,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,273.97

67,16:30-16:45,0,75,8.65,8.65,23.07,23.07,23.07,0.06,23.07,0.14,0.12,0,3.84,0,0.53,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,267.61

68,16:45-17:00,0,75,8.65,8.65,23.07,23.07,23.07,0.04,17.21,0.08,0.06,0,3.84,0,0.53,26.99,17.3,0,5.77,0,0,0,1.29,0,26.99,261.61

69,17:00-17:15,0,75,8.65,8.65,31.72,31.72,31.72,0,0,0,0,0,4.81,0,0.53,26.99,17.3,0,9.61,0,0,0,1.29,0,26.99,274.98

70,17:15-17:30,0,75,8.65,8.65,31.72,31.72,31.72,0,0,0,0,0,4.81,0,0.53,26.99,17.3,0,9.61,0,0,0,1.29,0,26.99,274.98

71,17:30-17:45,0,75,8.65,8.65,31.72,31.72,31.72,0,0,0,0,0,4.81,0,0.53,23.22,17.3,0,9.61,0,0,0,1.29,0,23.22,267.44

72,17:45-18:00,0,75,8.65,8.65,31.72,31.72,31.72,0,0,0,0,0,4.81,0,0.53,32,17.3,0,9.61,0,0,0,1.29,0,18.15,271.15000000000003

73,18:00-18:15,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.53,32,17.3,0,9.61,0,38.45,200,1.19,50,32,604.1200000000001

74,18:15-18:30,0,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.53,32,17.3,0,9.61,0,38.45,200,1.19,50,32,604.1200000000001

75,18:30-18:45,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.53,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.1200000000001

76,18:45-19:00,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.53,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.1200000000001

77,19:00-19:15,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.62,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.21

78,19:15-19:30,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.62,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.21

79,19:30-19:45,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.62,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.21

80,19:45-20:00,50,75,13.46,13.46,36.53,43.25,36.53,0,0,0,0,0,4.81,0,0.62,31,17.3,0,9.61,0,38.45,200,1.19,50,31,652.21

81,20:00-20:15,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.62,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.78

82,20:15-20:30,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.62,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.78

83,20:30-20:45,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.62,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.78

84,20:45-21:00,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.62,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.78

85,21:00-21:15,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.58,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.74

86,21:15-21:30,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.58,32,17.3,0,5.77,0,38.45,150,1.29,50,32,542.74

87,21:30-21:45,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.58,25.87,17.3,0,5.77,0,38.45,150,1.29,50,32,536.61

88,21:45-22:00,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.58,25.87,17.3,0,5.77,0,38.45,150,1.29,50,32,536.61

89,22:00-22:15,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.53,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.17

90,22:15-22:30,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.53,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.17

91,22:30-22:45,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.53,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.17

92,22:45-23:00,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.53,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.17

93,23:00-23:15,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.48,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.12

94,23:15-23:30,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.48,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.12

95,23:30-23:45,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.48,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.12

96,23:45-24:00,50,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,3.84,0,0.48,25.87,17.3,7.93,5.77,23.78,38.45,150,1.19,50,32,568.12

