Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/3469,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/8036,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/03/01/9482,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,GNARE/NR/2024/12/20/3668
7,01:30-01:45,0,0,0,0,30.78,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.83,0,12.83,0,47.34,0,0,0,47.33,38.51,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,200,3.68,99.99,1.44,42,63.42,0

8,01:45-02:00,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.83,0,12.83,0,45.66,0,0,0,45.67,38.51,10,17.28,0,0,190.26,26.99,0,0,0,65.86,200,3.68,99.99,1.44,42,63.42,0

9,02:00-02:15,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,44,0,0,0,44,52.99,10.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.68,99.99,1.44,42,63.42,0

10,02:15-02:30,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,42,0,0,0,42,52.99,10.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.68,99.99,1.44,42,63.42,0

11,02:30-02:45,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,40,0,0,0,40,52.99,10.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.68,99.99,1.44,42,63.42,0

12,02:45-03:00,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,38.34,0,0,0,38.33,52.99,10.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.68,99.99,1.44,42,63.42,0

13,03:00-03:15,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,37.66,0,0,0,37.67,52.99,10.66,17.28,0,0,190.26,26.99,0,0,0,70,0,3.68,99.99,1.39,42,63.42,0

14,03:15-03:30,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,17.67,0,17.67,0,35.66,0,0,0,35.67,52.99,10.34,17.28,0,0,190.26,26.99,0,0,0,70,0,3.68,99.99,1.39,42,63.42,0

15,03:30-03:45,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,228.96,23.04,5.76,0,0,7,0,20.33,0,20.33,0,42.66,0,0,0,42.67,61.01,10,17.28,0,0,190.26,26.99,0,0,0,70,0,3.68,99.99,1.39,42,63.42,0

16,03:45-04:00,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,228.96,23.04,5.76,0,0,7,0,20,0,20,0,41.66,0,0,0,41.67,60,9.34,17.28,0,0,190.26,26.99,0,0,0,70,0,3.68,99.99,1.39,42,63.42,0

17,04:00-04:15,0,0,0,0,29.77,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,228.96,23.04,5.76,0,0,7,0,19.83,0,19.83,0,40,0,0,0,40,59.51,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

18,04:15-04:30,0,0,0,0,29.27,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,228.96,23.04,5.76,0,0,7,0,19.5,0,19.5,0,36,0,0,0,36,58.5,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

19,04:30-04:45,0,0,0,0,29.27,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,22.33,0,22.33,0,46,0,0,0,46,67.01,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

20,04:45-05:00,0,0,0,0,29.27,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,22.17,0,22.17,0,46,0,0,0,46,66.49,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

21,05:00-05:15,0,0,0,0,29.27,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,17.5,0,17.5,0,35.34,0,0,0,35.33,52.5,9.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

22,05:15-05:30,0,0,0,0,28.26,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,16.5,0,16.5,0,34.66,0,0,0,34.67,49.5,9.34,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

23,05:30-05:45,0,0,0,0,28.26,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,15.33,0,15.33,0,33.34,0,0,0,33.33,46.01,9,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

24,05:45-06:00,0,0,0,0,28.26,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,14.33,0,14.33,0,32.66,0,0,0,32.67,43.01,8.66,17.28,0,0,190.26,26.99,0,0,0,65.86,0,3.58,99.99,1.39,42,63.42,0

25,06:00-06:15,0,0,0,0,28.26,1.31,271.38,6.72,0,23.04,26.99,23.04,1.31,259.72,23.04,5.76,0,0,7,0,18.5,0,18.5,0,31.66,0,0,0,31.67,55.5,12.34,17.28,0,0,0,26.99,0,0,0,114.79,0,3.58,99.99,1.35,42,0,0

26,06:15-06:30,10.2,10.2,0,0,28.26,1.31,271.38,6.72,0,23.04,25.16,23.04,1.31,259.72,23.04,5.76,0,0,7,0,17.33,0,17.33,0,31,0,0,0,31,52.01,12.34,17.28,0,0,0,25.16,0,0,0,114.79,0,3.58,99.99,1.35,42,0,0

27,06:30-06:45,23.46,23.3,0,0,27.25,1.31,271.38,6.72,0,23.04,23.41,23.04,1.31,259.72,23.04,5.76,0,0,7,0,20,0,20,1,30,0,0.33,0,30,60,15,17.28,0,0,0,32,0,0,0,114.79,0,3.58,99.99,1.35,42,0,0.58

28,06:45-07:00,30.9,30.8,1,1,26.24,1.31,271.38,6.72,0,23.04,23.41,23.04,1.31,259.72,23.04,5.76,0.14,0,7,0,18.5,1,18.5,4,29.34,0.03,5.29,0,29.33,55.5,15,17.28,0,0,0,32,0,0,0,114.79,0,3.58,99.99,1.35,42,0,0.45

29,07:00-07:15,32.05,32.05,7,3,26.24,1.31,271.38,6.72,0,25.91,32,25.91,1.23,259.72,25.91,5.76,5.52,1,7,2,17.83,4,17.83,10,27.34,1.11,11.68,1,27.33,53.51,12.4,17.28,0,0,0,32,0,0,0,114.79,0,3.58,99.99,1.35,0,0,0.77

30,07:15-07:30,32.57,32.57,10,5,26.24,1.31,271.38,6.72,0,25.91,32,25.91,1.23,259.72,25.91,5.76,14.64,3,7,6,16.67,7,16.67,15,26,2.93,20.43,3,26,49.99,12.44,17.28,0,0,0,32,0.25,0.25,0.25,65.86,0,3.58,99.99,1.35,0,0,3.58

31,07:30-07:45,31,31,10,5,26.24,1.31,271.38,6.72,0,31.67,32,31.67,1.23,228.96,31.67,5.76,27.94,7,7,9,15.83,14,15.83,24,30,5.59,30.01,6,30,47.51,12.47,17.28,0,0,0,25.87,1.1,1.1,1.1,97.85,0,3.58,99.99,1.35,0,0,7.73

32,07:45-08:00,28.66,28.67,17,8,26.24,1.31,271.38,6.72,0,31.67,32,31.67,1.23,228.96,31.67,5.76,45.22,12,7,15,14.83,25,14.83,28.67,29.33,9.05,40.52,10,29.33,44.51,12.49,17.28,0,0,0,25.87,2.31,2.31,2.31,89.39,0,3.58,99.99,1.35,0,0,13.43

33,08:00-08:15,31.24,31.23,30,15,26.24,1.31,271.38,6.72,0,34.55,32,34.55,1.23,259.72,34.55,5.76,65.44,16,7,23,13.33,42,13.33,31.23,28.67,13.09,51.29,18,28.67,40.01,10.94,17.28,0,0,0,25.87,3.75,3.75,3.75,80.92,0,3.49,99.99,1.35,0,0,20.81

34,08:15-08:30,31.56,31.57,37,18,25.23,1.31,271.38,6.72,0,34.55,32,34.55,1.23,259.72,34.55,5.76,87.63,21,7,33,10.17,60,10.17,31.57,27.67,17.53,62.01,25,27.67,30.49,8.97,17.28,0,0,0,25.87,5.23,5.23,5.23,72.45,0,3.49,99.99,1.35,0,0,28.95

35,08:30-08:45,32.66,32.67,45,23,25.23,1.31,271.38,6.72,0,34.55,26.99,34.55,1.23,228.96,34.55,5.76,109.63,25,7,38,7.5,84,7.5,32.67,26.33,21.93,72.22,36,26.33,22.5,7.1,17.28,0,0,0,26.99,6.71,6.71,6.71,70,0,3.49,99.99,1.35,0,0,37.9

36,08:45-09:00,32.66,32.67,55,28,26.24,1.31,271.38,6.72,0,34.55,26.99,34.55,1.23,228.96,34.55,5.76,132.15,29,7,46,7.17,102,7.17,32.67,24.67,26.43,82.09,43,24.67,21.49,5.43,17.28,0,0,0,26.99,8.21,8.21,8.21,70,0,3.49,99.99,1.35,0,0,46.46

37,09:00-09:15,32.66,32.67,62,31,27.25,1.31,271.38,6.72,0,23.04,26.99,23.04,1.23,193.53,23.04,0,152.85,32,7,59,7.17,119,7.17,32.67,22.67,30.57,99.3,51,22.67,21.49,7.55,17.28,0,0,0,26.99,9.7,9.7,9.7,70,0,3.49,99.99,1.35,0,0,54.57

38,09:15-09:30,32.66,32.67,70,35,27.25,1.31,271.38,6.72,0,23.04,26.99,23.04,1.23,193.53,23.04,0,172.06,34,7,66,7.17,137,7.17,32.67,20.67,34.41,107.52,58,20.67,21.49,8.74,17.28,0,0,0,26.99,10.96,10.96,10.96,70,0,3.49,99.99,1.35,0,0,62.76

39,09:30-09:45,32.66,32.67,77,38,27.25,1.31,271.38,6.72,0,23.04,26.99,23.04,1.23,193.53,23.04,0,189.72,37,7,73,7.17,147,7.17,32.67,18.33,37.95,115.12,63,18.33,21.49,9.49,17.28,0,0,0,26.99,12.17,12.17,12.17,70,0,3.49,99.99,1.35,0,0,69.92

40,09:45-10:00,32.66,32.67,81,41,26.24,1.31,271.38,6.72,0,23.04,26.99,23.04,1.23,193.53,23.04,0,205.82,39,7,80,7.17,161,7.17,32.67,16.67,41.16,121.99,69,16.67,21.49,10.01,17.28,0,0,0,26.99,13.19,13.19,13.19,70,0,3.49,99.99,1.35,0,0,76.37

41,10:00-10:15,32.66,32.67,87,43,26.24,1.31,230.35,12.48,0,23.04,26.99,23.04,1.15,193.53,23.04,0,220.27,41,7,85,7.17,172,7.17,32.67,15,44.06,127.71,73,15,21.49,10.1,17.28,0,0,0,26.99,14.3,14.3,14.3,70,0,3.49,99.99,1.39,0,0,82.33

42,10:15-10:30,32.66,32.67,92,46,25.23,1.31,230.35,12.48,0,23.04,26.99,23.04,1.15,193.53,23.04,0,233.33,43,7,89,7.17,182,7.17,32.67,15,46.67,134.95,78,15,21.49,9.96,17.28,0,0,0,26.99,15.12,15.12,15.12,70,0,3.49,99.99,1.39,0,0,88.23

43,10:30-10:45,32.66,32.67,95,48,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,193.53,23.04,0,237.5,45,7,92,7.17,189,7.17,32.67,15,47.5,140.99,81,15,21.49,9.77,17.28,0,0,0,26.99,15.85,15.85,15.85,70,0,3.49,99.99,1.39,0,0,96.67

44,10:45-11:00,32.66,32.67,97,48,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,162.21,23.04,0,237.5,47,7,95,7.17,193,7.17,32.67,15,47.5,146.72,82,15,21.49,9.56,17.28,0,0,0,26.99,16.52,16.52,16.52,70,0,3.49,99.99,1.39,0,0,97.67

45,11:00-11:15,32.66,32.67,98,49,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,49,7,98,7.17,210,7.17,32.67,15,47.5,151.51,90,15,21.49,8.96,17.28,0,0,0,26.99,17.13,17.13,17.13,70,0,3.49,99.99,1.39,0,0,98.33

46,11:15-11:30,32.66,32.67,100,50,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,49,7,98,7.17,210,7.17,32.67,15,47.5,155.62,90,15,21.49,8.23,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.39,0,0,98.33

47,11:30-11:45,32.66,32.67,100,50,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,49,7,98,7.17,210,7.17,32.67,13.33,47.5,155.79,90,13.33,21.49,7.53,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.39,0,0,98.33

48,11:45-12:00,32.66,32.67,100,50,25.23,1.39,230.35,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,50,7,98,7.17,210,7.17,32.67,13.33,47.5,155.79,90,13.33,21.49,6.82,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.39,0,0,98.33

49,12:00-12:15,32.66,32.67,100,50,25.23,1.39,211.16,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,50,7,98,7.16,210,7.17,32.67,13.33,47.5,155.79,90,13.33,21.5,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.44,0,0,98.33

50,12:15-12:30,32.06,32.07,100,50,25.23,1.39,211.16,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,50,7,98,7.16,210,7.17,32.07,13.33,47.5,155.79,90,13.33,21.5,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.44,0,0,98.33

51,12:30-12:45,31.9,31.9,100,50,25.23,1.39,211.16,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,50,7,98,7.16,210,7.17,31.9,13.33,47.5,155.79,90,13.33,21.5,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,99.99,1.44,0,0,98.33

52,12:45-13:00,31.56,31.57,100,50,24.72,1.39,191.96,12.48,0,23.04,26.99,23.04,1.15,137.25,23.04,0,237.5,50,7,98,7.16,210,7.17,31.57,13.33,47.5,155.79,90,13.33,21.5,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,71.2,1.44,0,0,98.33

53,13:00-13:15,31.56,31.57,100,50,24.72,1.39,149.26,12.48,0,23.04,26.99,23.04,1.23,137.25,23.04,0,237.5,50,7,98,7.17,210,7.17,31.57,13.34,47.5,155.79,90,13.33,21.49,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,52.79,1.44,0,0,98.33

54,13:15-13:30,31.56,31.57,100,50,25.23,1.39,149.26,12.48,0,23.04,26.99,23.04,1.23,137.25,23.04,0,237.5,50,7,98,7.17,210,7.17,31.57,13.34,47.5,154.14,90,13.33,21.49,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,52.79,1.44,0,0,98.33

55,13:30-13:45,31.56,31.57,100,50,25.23,1.39,149.26,12.48,0,23.04,26.99,23.04,1.23,137.25,23.04,0,237.5,50,7,98,7.17,210,7.17,31.57,13.34,47.5,149.79,90,13.33,21.49,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,52.79,1.44,0,0,98.33

56,13:45-14:00,31.56,31.57,100,50,25.23,1.39,191.96,12.48,0,23.04,26.99,23.04,1.23,137.25,23.04,0,237.5,49,7,98,7.17,210,7.17,31.57,13.34,47.5,144.43,90,13.33,21.49,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,52.79,1.44,0,0,98.33

57,14:00-14:15,31.56,31.57,100,50,25.23,1.39,211.16,12.48,0,23.04,26.99,23.04,1.31,137.25,23.04,0,237.5,48,7,91,7.17,210,7.17,31.57,13.34,47.5,142.16,90,13.33,21.49,7,17.28,0,0,0,26.99,17.66,17.66,17.66,70,0,3.49,52.79,1.49,0,0,98.33

58,14:15-14:30,31.56,31.57,100,50,25.23,1.39,211.16,12.48,0,23.04,26.99,23.04,1.31,137.25,23.04,0,237.5,47,7,91,7.17,210,7.17,31.57,13.34,47.5,139.24,90,13.33,21.49,7,17.28,0,0,0,26.99,17.22,17.22,17.22,70,0,3.49,52.79,1.49,0,0,98.33

59,14:30-14:45,31.56,31.57,97,48,25.73,1.39,211.16,12.48,0,23.04,26.99,23.04,1.31,137.25,23.04,0,237.5,46,7.2,90,7.17,193,7.17,31.57,13.34,47.5,132.44,82,13.33,21.49,7,17.28,0,0,0,26.99,16.53,16.53,16.53,70,0,3.49,52.79,1.49,0,0,97.67

60,14:45-15:00,31.56,31.57,93,47,26.24,1.39,211.16,12.48,0,23.04,26.99,23.04,1.31,137.25,23.04,0,237.5,44,7.6,88,7.17,186,7.17,31.57,13.34,47.5,125.86,79,13.33,21.49,7,17.28,0,0,0,26.99,15.94,15.94,15.94,70,0,3.49,52.79,1.49,0,0,96.67

61,15:00-15:15,32.06,32.07,87,43,26.24,1.39,249.55,12.48,0,23.04,26.99,23.04,1.38,137.25,23.04,0,233.33,42,7.8,86,7.17,179,7.17,32.07,13.34,46.67,119.95,76,13.33,21.49,7,17.28,61.64,0,0,26.99,15.28,15.28,15.28,70,0,3.49,81.58,1.49,0,0,93.67

62,15:15-15:30,32.06,32.07,83,42,26.24,1.39,249.55,12.48,0,23.04,26.99,23.04,1.38,137.25,23.04,0,226.67,40,8,82,7.17,165,7.17,32.07,13.34,45.33,113.46,70,13.33,21.49,7,17.28,61.64,0,0,26.99,14.46,14.46,14.46,70,0,3.49,99.99,1.49,0,0,90

63,15:30-15:45,32.06,32.07,80,40,26.24,1.39,249.55,12.48,0,23.04,26.99,23.04,1.38,137.25,23.04,0,216.67,37,8.2,77,9.83,158,9.83,32.07,15,43.33,107.45,67,15,29.51,7,17.28,52.29,0,0,26.99,13.55,13.55,13.55,70,0,3.49,99.99,1.49,0,0,86

64,15:45-16:00,32.06,32.07,73,37,26.24,1.39,249.55,12.48,0,23.04,26.99,23.04,1.38,137.25,23.04,0,204.17,34,8.4,73,15.17,144,15.17,32.07,15,40.83,98.09,61,15,45.49,7,17.28,52.29,0,0,26.99,12.5,12.5,12.5,70,0,3.49,99.99,1.49,0,0,79.48

65,16:00-16:15,32.06,32.07,65,32,26.24,1.39,271.38,12.48,0,23.04,26.99,23.04,1.38,162.21,23.04,0,187.13,32,11.21,66,7.5,133,7.5,32.07,15,37.43,89.22,57,15,22.5,7.34,17.28,52.29,0,0,26.99,11.42,11.42,11.42,65.86,0,3.58,99.99,1.49,0,0,71.56

66,16:15-16:30,32.06,32.07,57,28,26.24,1.39,271.38,12.48,0,23.04,26.99,23.04,1.38,193.53,23.04,0,166.76,28,10.6,59,7.5,116,7.5,32.07,15,33.35,78.25,49,15,22.5,7.34,17.28,52.29,0,0,26.99,10.17,10.17,10.17,65.86,0,3.58,99.99,1.49,0,0,63.65

67,16:30-16:45,32.66,32.67,52,26,26.24,1.39,271.38,12.48,0,23.04,26.99,23.04,1.38,193.53,23.04,0,146.38,25,10.6,51,10,95,10,32.67,18.34,29.28,66.12,40,18.33,30,7.34,17.28,61.64,0,0,26.99,7.84,7.84,7.84,65.86,0,3.58,99.99,1.49,0,0,55.74

68,16:45-17:00,32.66,32.67,43,22,27.25,1.39,271.38,12.48,0,23.04,26.99,23.04,1.38,228.96,23.04,0,126.01,21,10.6,44,11.5,81,11.5,32.67,25,25.2,54.97,34,25,34.5,7.34,17.28,67.19,0,0,26.99,6.65,6.65,6.65,65.86,0,3.58,99.99,1.49,0,0,47.82

69,17:00-17:15,32.66,32.67,35,18,28.26,1.39,271.38,12.48,100,36.47,26.99,36.47,1.53,228.96,36.47,0,111.12,16,10.4,36,12.17,67,12.17,32.67,27.34,22.23,42.18,28,27.33,36.49,7.34,17.28,67.19,0,0,26.99,5.35,5.35,5.35,65.86,0,3.58,99.99,1.54,0,0,40.1

70,17:15-17:30,29.8,29.62,27,13,29.27,1.39,271.38,12.48,100,36.47,26.99,36.47,1.53,228.96,36.47,0,89.95,12,10.2,28,12.83,46,12.83,18,29.34,17.99,30.54,19,29.33,38.51,9,17.28,67.19,0,0,26.99,4.01,4.01,4.01,65.86,0,3.58,99.99,1.54,0,0,32.37

71,17:30-17:45,17.11,17,16,8,30.28,1.39,271.38,12.48,100,36.47,26.99,36.47,1.53,259.72,36.47,0,68.77,8,12.61,20,13.33,28,13.33,8,32,13.75,21.42,12,32,40.01,8.34,17.28,67.19,0,0,26.99,2.78,2.78,2.78,65.86,0,3.58,99.99,1.54,0,0,24.64

72,17:45-18:00,4.4,4.37,10,5,30.78,1.39,271.38,12.48,100,36.47,26.99,36.47,1.53,259.72,36.47,0,47.58,4,12.21,13,13.67,18,13.67,1,34,9.52,12.56,7,34,40.99,8.34,17.28,67.19,0,0,26.99,1.63,1.63,1.63,65.86,0,3.58,99.99,1.54,0,0,16.92

73,18:00-18:15,0,0,5,2,30.78,1.39,271.38,12.48,100,36.47,32,36.47,1.45,259.72,36.47,0,36.23,3,11.41,8,10.5,11,10.5,0,35,7.25,0.42,4,35,31.5,8.34,17.28,67.19,50,0,25.87,0.8,0.8,0.8,65.86,0,3.68,99.99,1.54,0,0,12.87

74,18:15-18:30,0,0,3,1,31.29,1.39,271.38,12.48,100,36.47,32,36.47,1.45,259.72,36.47,0,24.87,1,11,5,11.83,4,11.83,0,36,4.98,0,1,36,35.51,8.34,17.28,67.19,50,0,23.41,0.24,0.24,0.24,94.09,0,3.68,99.99,1.54,0,0,8.83

75,18:30-18:45,0,0,1,0,31.29,1.39,271.38,12.48,100,36.47,32,36.47,1.45,259.72,36.47,0,13.52,0,11,2,15,1,15,0,40,2.71,0,0,40,45,10,17.28,67.19,50,0,32,0.05,0.05,0.05,114.79,50,3.68,99.99,1.54,0,0,4.78

