Column1,Block,NR/2024/24052/A/47108,NR/2024/24520/C,NR/2024/24097/A/46956,NER/2024/2770/A/47170,NR/2024/24146/A/46952,NR/2024/23952/A/46945,WR/2024/25054/A/47176,NR/2024/24088/A/47200,NR/2024/24051/A/47110,NR/2024/24060/A/47161,NR/2024/24519/C,NR/2024/24517/C,NR/2024/24225/A/47223,NR/2024/24227/A/47224,NR/2024/24071/A/47106,NR/2024/24518/C,NR/2024/24224/A/47222,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,Total
8,01:45-02:00,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

9,02:00-02:15,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

10,02:15-02:30,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

11,02:30-02:45,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

12,02:45-03:00,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

13,03:00-03:15,2.89,0,7.7,0,5.77,0.34,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.28000000000003

14,03:15-03:30,2.89,0,7.7,0,5.77,0.34,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.28000000000003

15,03:30-03:45,2.89,0,7.7,0,5.77,0.34,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.28000000000003

16,03:45-04:00,2.89,0,7.7,0,5.77,0.34,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.28000000000003

17,04:00-04:15,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,395.28000000000003

18,04:15-04:30,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,395.28000000000003

19,04:30-04:45,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,395.28000000000003

20,04:45-05:00,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,395.28000000000003

21,05:00-05:15,2.89,0,7.7,38.48,5.77,0.43,0,4.81,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,437.61

22,05:15-05:30,2.89,0,7.7,38.48,5.77,0.43,0,4.81,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,437.61

23,05:30-05:45,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,447.22999999999996

24,05:45-06:00,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,0,0,0,142.69,447.22999999999996

25,06:00-06:15,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0.29,0.19,0,0,0.29,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,257.75

26,06:15-06:30,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,257.65

27,06:30-06:45,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,257.65

28,06:45-07:00,2.89,0,14.43,38.48,5.77,0.43,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,257.65

29,07:00-07:15,2.89,0,14.43,38.48,5.77,0.53,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,257.75

30,07:15-07:30,2.89,0,14.43,38.48,5.77,0.53,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,24.05,0,26.23,1.65,24.05,0,0,0,0,0,261.25

31,07:30-07:45,2.89,0,14.43,38.48,5.77,0.53,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,24.05,0,26.23,1.65,24.05,0,0,0,0,0,261.25

32,07:45-08:00,2.89,0,14.43,38.48,5.77,0.53,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,268.69

33,08:00-08:15,2.89,0,14.43,38.48,5.77,0.82,0,4.81,2.89,17.32,0,0,0.19,0.19,0,0,0.29,8.74,8.74,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,268.98

34,08:15-08:30,2.89,0,14.43,38.48,5.77,0.82,0,4.81,2.89,17.32,0,0,0.29,0.19,0,0,0.38,8.74,8.74,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,269.17

35,08:30-08:45,2.89,0,7.7,38.48,5.77,0.82,0,4.81,0,17.32,0,0,0.29,0.19,0,0,0.38,13.47,13.47,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,269.01

36,08:45-09:00,2.89,0,7.7,38.48,5.77,0.82,0,4.81,0,17.32,0,0,0.19,0.19,0,0,0.38,13.47,13.47,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,268.90999999999997

37,09:00-09:15,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,11.26,0.19,0.19,3.85,18.76,0.38,13.47,13.47,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,287.19

38,09:15-09:30,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,13.76,0.29,0.19,3.85,16.26,0.48,13.47,13.47,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,287.39000000000004

39,09:30-09:45,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,16.55,0.29,0.19,3.85,13.47,0.58,13.47,13.47,80,24.05,0,33.67,1.65,24.05,0,0,0,0,0,287.49

40,09:45-10:00,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,19.53,0.29,0.19,3.85,10.49,0.58,13.47,13.47,80,28.86,0,33.67,1.65,28.86,0,0,0,0,0,297.11

41,10:00-10:15,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,14.91,0.29,0.19,4.81,7.12,0.58,13.47,13.47,80,28.86,0,33.67,1.65,28.86,0,0,0,0,0,290.08000000000004

42,10:15-10:30,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,17.51,0.29,0.19,4.81,3.56,0.58,13.47,13.47,80,28.86,0,33.67,1.65,28.86,0,0,0,0,0,289.12

43,10:30-10:45,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,24.72,0.29,0.19,4.81,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,262.75

44,10:45-11:00,2.89,15.87,7.7,0,5.77,0.82,0,4.81,0,17.32,7.02,24.05,0.29,0.19,4.81,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,262.08

45,11:00-11:15,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,23.76,0.29,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,259.86

46,11:15-11:30,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,23.76,0.29,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,259.86

47,11:30-11:45,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,24.05,0.29,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,260.15

48,11:45-12:00,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,25.3,0.38,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,261.49

49,12:00-12:15,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,6.93,0.38,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,243.12

50,12:15-12:30,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,20.49,0.38,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,256.68

51,12:30-12:45,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,13.85,0.38,0.19,6.73,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,250.04

52,12:45-13:00,3.85,15.87,7.7,0,5.77,0.82,0,0,0,17.32,7.02,13.95,0.38,0.19,6.73,0,0.67,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,250.23000000000002

53,13:00-13:15,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,5.77,0,0.67,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,265.28

54,13:15-13:30,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,5.77,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,265.19

55,13:30-13:45,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,5.77,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,265.19

56,13:45-14:00,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,5.77,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,265.19

57,14:00-14:15,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,4.81,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.23

58,14:15-14:30,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,4.81,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.23

59,14:30-14:45,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,4.81,0,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.23

60,14:45-15:00,3.85,15.87,7.7,0,5.77,0.77,0,0,0,17.32,7.02,30.01,0.38,0.19,4.81,0,0.77,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.42

61,15:00-15:15,3.85,15.87,7.7,0,5.77,0.63,0,0,0,17.32,7.02,28.09,0.38,0.19,4.81,1.92,0.67,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.18

62,15:15-15:30,3.85,15.87,7.7,0,5.77,0.63,0,0,0,17.32,7.02,24.92,0.38,0.19,4.81,5.1,0.67,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.19

63,15:30-15:45,3.85,15.87,7.7,0,5.77,0.63,0,0,0,17.32,7.02,21.55,0.38,0.19,4.81,8.47,0.67,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.19

64,15:45-16:00,3.85,15.87,7.7,0,5.77,0.63,0,0,0,17.32,7.02,18.09,0.38,0.19,4.81,11.93,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,264.1

65,16:00-16:15,3.85,15.87,7.7,0,5.77,0.48,0,0,0,17.32,7.02,14.72,0.38,0.19,2.89,15.3,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,262.03

66,16:15-16:30,3.85,15.87,7.7,0,5.77,0.48,0,0,0,17.32,7.02,11.45,0.38,0.19,2.89,18.57,0.58,8.74,8.74,80,22.3,0,26.23,1.65,22.3,0,0,0,0,0,262.03

67,16:30-16:45,3.85,15.87,7.7,0,5.77,0.48,0,0,0,17.32,7.02,8.47,0.38,0.19,2.89,21.55,0.58,13.47,13.47,80,24.05,0,43.29,1.65,24.05,0,0,0,0,0,292.05

68,16:45-17:00,3.85,15.87,7.7,0,5.77,0.48,0,0,0,17.32,7.02,5.77,0.38,0.19,2.89,24.24,0.58,13.47,13.47,80,24.05,0,43.29,1.65,24.05,0,0,0,0,0,292.03999999999996

69,17:00-17:15,3.85,0,7.7,0,5.77,0.48,0,3.85,0,17.32,0,0,0.38,0.19,0.96,0,0.58,13.47,13.47,80,22.3,0,43.29,1.65,22.3,0,0,0,0,0,237.56

70,17:15-17:30,3.85,0,7.7,0,5.77,0.48,0,3.85,0,17.32,0,0,0.38,0.19,0.96,0,0.58,13.47,13.47,80,22.3,0,43.29,1.65,22.3,0,0,0,0,0,237.56

71,17:30-17:45,3.85,0,7.7,0,5.77,0.48,0,3.85,0,17.32,0,0,0.38,0.19,0.96,0,0.58,13.47,13.47,80,22.3,0,43.29,1.65,22.3,0,0,0,0,0,237.56

72,17:45-18:00,3.85,0,7.7,0,5.77,0.48,0,3.85,0,17.32,0,0,0.38,0.19,0.96,0,0.58,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,0,0,0,0,244.89999999999998

73,18:00-18:15,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0.38,0.19,0,0,0.58,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,520.9499999999999

74,18:15-18:30,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0.38,0.19,0,0,0.77,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,521.14

75,18:30-18:45,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0.38,0.19,0,0,0.77,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,521.14

76,18:45-19:00,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0.38,0.19,0,0,0.67,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,521.04

77,19:00-19:15,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,519.8

78,19:15-19:30,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,519.8

79,19:30-19:45,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,519.8

80,19:45-20:00,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,43.29,1.65,25.97,0,150,50,0,0,519.8

81,20:00-20:15,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,610.18

82,20:15-20:30,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,610.18

83,20:30-20:45,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,610.18

84,20:45-21:00,3.85,0,7.7,38.48,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,610.18

85,21:00-21:15,3.85,0,7.7,0,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,571.7

86,21:15-21:30,3.85,0,7.7,0,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,33.67,1.65,25.97,0,250,50,0,0,571.7

87,21:30-21:45,3.85,0,7.7,0,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,26.23,1.65,25.97,0,250,50,0,0,564.26

88,21:45-22:00,3.85,0,7.7,0,5.77,0.53,38.48,3.85,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,0,26.23,1.65,25.97,0,250,50,0,0,564.26

89,22:00-22:15,2.89,0,7.7,0,5.77,0.48,38.48,0.96,0,17.32,0,0,0,0,0,0,0,13.47,13.47,80,25.97,47.56,26.23,1.65,25.97,0,250,50,0,142.69,750.6099999999999

90,22:15-22:30,2.89,0,7.7,0,5.77,0.48,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,28.86,47.56,26.23,1.65,28.86,0,250,50,0,142.69,746.9300000000001

91,22:30-22:45,2.89,0,7.7,0,5.77,0.48,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,28.86,47.56,26.23,1.65,28.86,0,250,50,0,142.69,746.9300000000001

92,22:45-23:00,2.89,0,7.7,0,5.77,0.48,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,28.86,47.56,26.23,1.65,28.86,0,250,50,0,142.69,746.9300000000001

93,23:00-23:15,2.89,0,7.7,0,5.77,0.43,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,25.97,47.56,26.23,1.65,25.97,0,250,50,0,142.69,741.0999999999999

94,23:15-23:30,2.89,0,7.7,0,5.77,0.43,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,25.97,47.56,26.23,1.65,25.97,0,250,50,0,142.69,741.0999999999999

95,23:30-23:45,2.89,0,7.7,0,5.77,0.43,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,250,50,0,142.69,733.76

96,23:45-24:00,2.89,0,7.7,0,5.77,0.43,38.48,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.65,22.3,0,250,50,0,142.69,733.76

