Block,Time Block,TALA,RIHAND2,SASAN,RSTPSU1TO6,SIMHST1,RSTPSU7,SINGRAULI_HYDRO,TANDA2,SIMHST2,SALAL,SEWA2,TALST2,RIHAND3,SINGRAULI,TANAKPUR,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_LF,AURY_RF,DADRI_LF,ANTA_RF,DADRI_GF,AURY_GF,CHAMERA1,CHAMERA2,DADRT2,CHAMERA3,BSIUL,BRBCL,RAPPB,RIHAND1,RAMPUR,RAPPC,KHSTPP-I,KISHANGANGA,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,PARBATI3,NAPP,NTPL,NLCEXP,KGSU1AND2,KGSU3AND4,DHAULIGNGA,JHAJJAR,FSTPP I & II,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,34.3,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,12.18,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,18.92,52.77,0,0,0,0,0

10,02:15-02:30,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,34.3,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,20.13,52.77,0,0,0,0,0

11,02:30-02:45,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,20.13,52.77,0,0,0,0,0

12,02:45-03:00,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,20.13,52.77,0,0,0,0,0

13,03:00-03:15,10.27,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,19.96,52.77,0,0,0,0,0

14,03:15-03:30,10.27,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,15.73,52.77,0,0,0,0,0

15,03:30-03:45,10.13,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,15.89,52.77,0,0,0,0,0

16,03:45-04:00,10.13,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,11.47,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,15.89,52.77,0,0,0,0,0

17,04:00-04:15,9.99,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,11.47,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

18,04:15-04:30,9.99,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,11.47,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

19,04:30-04:45,9.99,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,17.15,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

20,04:45-05:00,9.99,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,16.88,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

21,05:00-05:15,9.84,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,508.04,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

22,05:15-05:30,9.84,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,508.04,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,5.44,43.54,0,0,0,0,38.9,111.38,17.34,52.77,0,0,0,0,0

23,05:30-05:45,9.7,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,508.04,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,8.16,43.54,0,0,0,0,29.25,111.38,17.34,52.77,0,0,0,0,0

24,05:45-06:00,9.43,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,111.38,19.1,52.77,0,0,0,0,0

25,06:00-06:15,9.43,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,35.21,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,139.25,19.1,52.77,0,0,0,0,0

26,06:15-06:30,9.27,117.78,402.81,0,0,0,0,1.49,0,62.97,0,0,123.48,103.27,9.17,0,0,35.21,10.68,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,13,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,139.25,19.1,52.77,0,0,0,0,0

27,06:30-06:45,9.13,117.78,402.81,0,0,0,0,1.49,0,62.97,0,0,123.48,103.27,9.17,0,0,30.6,19.23,32.91,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,111.38,19.1,52.77,0,0,0,0,0

28,06:45-07:00,8.85,117.78,402.81,0,0,0,0,1.49,0,62.97,0,0,123.48,103.27,9.17,0,0,30.6,19.23,16.45,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,111.38,19.1,52.77,0,0,0,0,0

29,07:00-07:15,8.85,117.78,397.36,0,0,0,0,1.49,0,62.97,0,0,123.48,103.27,9.17,0,0,30.6,48.71,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,52.36,43.54,0,0,0,0,29.25,111.38,19.1,52.77,0,0,0,0,0

30,07:15-07:30,8.85,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,48.71,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,556.43,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,6.8,43.54,0,0,0,0,29.25,111.38,16.92,52.77,0,0,0,0,0

31,07:30-07:45,8.85,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,16.03,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,508.04,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,16.63,52.77,0,0,0,0,0

32,07:45-08:00,8.85,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,459.66,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,16.63,52.77,0,0,0,0,0

33,08:00-08:15,8.71,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,411.27,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,16.63,52.77,0,0,0,0,0

34,08:15-08:30,11.47,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,411.27,10.34,6.31,14.52,0,45.8,2.36,58.15,43.47,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,16.63,52.77,0,0,0,0,0

35,08:30-08:45,11.61,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,30.6,10.68,0,0,11.84,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,38.23,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

36,08:45-09:00,11.75,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,10.68,0,0,11.84,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,38.23,0,95.68,9.35,0,0,3.88,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

37,09:00-09:15,11.75,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,10.68,0,0,11.84,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,38.23,0,83.96,9.35,0,0,2.32,0,0,0,0,110.13,0,0,14.96,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

38,09:15-09:30,11.75,117.78,397.36,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,16.03,0,0,11.84,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,38.23,0,83.96,9.35,0,0,0.96,0,0,0,0,110.13,0,0,14.96,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

39,09:30-09:45,11.75,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,10.68,0,0,11.84,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,0,70.74,9.35,0,0,0.96,0,0,0,0,110.13,0,0,14.96,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

40,09:45-10:00,11.47,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,16.03,0,0,11.84,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,0,70.74,9.35,0,0,0.96,0,0,0,0,110.13,0,0,14.96,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

41,10:00-10:15,11.95,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.17,0,0,23.26,48.71,0,0,11.84,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,0,70.74,9.35,0,0,0.96,0,0,0,0,110.13,0,0,3.81,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

42,10:15-10:30,11.95,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.43,0,0,23.26,48.71,0,0,11.84,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,0,70.74,9.35,0,0,0.96,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

43,10:30-10:45,12.23,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.43,0,0,23.26,12.82,0,0,12,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

44,10:45-11:00,12.23,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.43,0,0,23.26,10.68,0,0,12,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,29.25,111.38,15.13,52.77,0,0,0,0,0

45,11:00-11:15,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

46,11:15-11:30,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

47,11:30-11:45,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,6.31,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

48,11:45-12:00,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

49,12:00-12:15,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

50,12:15-12:30,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,10.68,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

51,12:30-12:45,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

52,12:45-13:00,12.09,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.36,58.15,32.22,1.39,70.74,9.35,0,0,0,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

53,13:00-13:15,12.17,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,49.15,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.58,58.15,38.23,1.39,83.96,9.35,0,0,0,0,0,0,0,120.15,0,0,0,43.54,0,0,0,0,19.46,111.38,17.92,52.77,0,0,0,0,0

54,13:15-13:30,12.17,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,49.15,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.58,58.15,38.23,1.39,83.96,9.35,0,0,0,0,0,0,0,120.15,0,0,0,43.54,0,0,0,0,19.46,111.38,17.92,52.77,0,0,0,0,0

55,13:30-13:45,12.17,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,23.26,11.76,0,0,12,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,365.15,10.34,0,14.52,0,45.8,2.58,58.15,38.23,1.39,83.96,9.35,0,0,0,0,0,0,0,120.15,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

56,13:45-14:00,12.17,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,78.18,9.43,0,0,30.6,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,430.63,10.34,0,14.52,0,45.8,2.58,58.15,38.23,1.39,83.96,9.35,0,0,0,0,0,0,0,120.15,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

57,14:00-14:15,12.17,117.78,389.2,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,9.43,0,0,36.41,10.68,0,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,430.63,10.34,0,14.52,0,45.8,2.04,58.15,38.23,1.39,83.96,9.35,0,0,0,0,0,0,0,95.12,0,0,0,43.54,0,0,0,0,19.46,111.38,15.13,52.77,0,0,0,0,0

