Column1,Block,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/4651,NR/2025/25159/A/57044,NR/2025/25513/A/57053,NR/2025/25568/C,NR/2025/25569/C,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,WR/2025/26426/A/57144,WR/2025/26427/A/57145,WR/2025/26582/A/57392,WR/2025/26499/A/57396,Total
31,07:30-07:45,36.48,36.48,31.54,0,6.72,31.54,36.48,5.24,5.76,0,0,5.76,0.58,0,0,0,0,17.28,0,0,167.57,0,0,40.32,421.74999999999994

32,07:45-08:00,36.48,36.48,32,0,6.72,32,36.48,5.24,10.83,0,0,5.76,0.58,0,0,0,0,17.28,0,0,167.57,0,0,40.32,427.74

33,08:00-08:15,36.48,36.48,32,0,6.72,32,36.48,5.24,12.59,0,0,5.76,0.96,0,0,0,0,17.28,0,0,0,0,0,40.32,262.31

34,08:15-08:30,36.48,36.48,32,0,6.72,32,36.48,5.24,19.96,0,0,5.76,0.96,0,0,0,0,17.28,0,0,0,0,0,40.32,269.68

35,08:30-08:45,36.48,36.48,32,0,6.72,32,36.48,5.24,27.65,0,0,5.76,0.96,0,0,0,0,17.28,0,0,0,0,0,40.32,277.37

36,08:45-09:00,36.48,36.48,32,0,6.72,32,36.48,5.24,35.29,0,0,5.76,0.96,0,0,0,0,17.28,0,0,0,0,0,40.32,285.01

37,09:00-09:15,23.04,23.04,32,0,6.72,25.83,23.04,5.15,47.09,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,302.97999999999996

38,09:15-09:30,23.04,23.04,32,0,6.72,25.83,23.04,5.15,54.3,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,310.19

39,09:30-09:45,23.04,23.04,32,0,6.72,25.87,23.04,5.15,61.25,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,317.18

40,09:45-10:00,23.04,23.04,32,0,6.72,25.87,23.04,5.15,67.79,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,323.71999999999997

41,10:00-10:15,23.04,23.04,32,0,6.72,25.87,23.04,5.15,73.84,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,329.77000000000004

42,10:15-10:30,23.04,23.04,32,0,6.72,25.87,23.04,5.15,79.08,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,335.00999999999993

43,10:30-10:45,23.04,23.04,32,0,6.72,25.87,23.04,5.15,87.52,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,343.45

44,10:45-11:00,23.04,23.04,32,0,6.72,25.87,23.04,5.15,90.64,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,346.57

45,11:00-11:15,23.04,23.04,32,0,6.72,25.87,23.04,5.05,92.65,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,348.47999999999996

46,11:15-11:30,23.04,23.04,32,0,6.72,25.87,23.04,5.05,93.66,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,349.48999999999995

47,11:30-11:45,23.04,23.04,32,0,6.72,25.87,23.04,5.05,94.01,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,349.84

48,11:45-12:00,23.04,23.04,32,0,6.72,25.87,23.04,5.05,94.06,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,349.89000000000004

49,12:00-12:15,23.04,23.04,32,0,6.72,25.87,23.04,5.05,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.83

50,12:15-12:30,23.04,23.04,32,0,6.72,25.87,23.04,5.05,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.83

51,12:30-12:45,23.04,23.04,32,0,6.72,25.87,23.04,5.05,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.83

52,12:45-13:00,23.04,23.04,32,0,6.72,25.87,23.04,5.05,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.83

53,13:00-13:15,23.04,23.04,32,0,6.72,25.87,23.04,4.96,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.73999999999995

54,13:15-13:30,23.04,23.04,32,0,6.72,25.87,23.04,4.96,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.73999999999995

55,13:30-13:45,23.04,23.04,32,0,6.72,25.87,23.04,4.96,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.73999999999995

56,13:45-14:00,23.04,23.04,32,0,6.72,25.87,23.04,4.96,95,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,350.73999999999995

57,14:00-14:15,23.04,23.04,32,0,6.72,25.87,23.04,4.96,91.2,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,346.94

58,14:15-14:30,23.04,23.04,32,0,6.72,25.87,23.04,4.96,91.2,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,346.94

59,14:30-14:45,23.04,23.04,32,0,6.72,25.87,23.04,4.96,90.56,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,346.3

60,14:45-15:00,23.04,23.04,32,0,6.72,25.87,23.04,4.96,89.6,0,0,5.76,0.91,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,345.34

61,15:00-15:15,23.04,23.04,32,0,6.72,25.87,23.04,4.87,86.4,0,0,5.76,0.67,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,341.81

62,15:15-15:30,23.04,23.04,32,0,6.72,25.87,23.04,4.87,82.52,0,0,5.76,0.67,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,337.93

63,15:30-15:45,23.04,23.04,32,0,6.72,25.87,23.04,4.87,77.67,0,0,5.76,0.67,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,333.08

64,15:45-16:00,23.04,23.04,32,0,6.72,25.87,23.04,4.87,70.15,0,0,5.76,0.67,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,325.56

65,16:00-16:15,23.04,23.04,32,0,6.72,25.87,23.04,4.87,63.63,0,0,5.76,0.53,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,318.90000000000003

66,16:15-16:30,23.04,23.04,32,0,6.72,25.87,23.04,4.87,56.7,0,0,5.76,0.53,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,311.97

67,16:30-16:45,23.04,23.04,32,0,6.72,25.87,23.04,4.87,49.42,0,0,5.76,0.53,0,14.4,38.4,0,17.28,0,0,0,0,0,40.32,304.69

68,16:45-17:00,23.04,23.04,32,0,6.72,25.87,23.04,4.87,42.38,0,0,5.76,0.53,0,21.02,31.78,0,17.28,0,0,0,0,0,40.32,297.65000000000003

69,17:00-17:15,36.48,36.48,32,100,6.72,25.87,36.48,4.87,37.77,0,0,5.76,0.53,0,0,0,0,17.28,0,0,0,0,0,40.32,380.5599999999999

70,17:15-17:30,36.48,36.48,32,100,6.72,25.87,36.48,4.87,31.01,0,0,5.76,0.53,0,0,0,0,17.28,0,0,0,0,0,40.32,373.7999999999999

71,17:30-17:45,36.48,36.48,32,100,6.72,25.87,36.48,4.87,24.75,0,0,5.76,0.53,0,0,0,0,17.28,0,0,0,0,0,40.32,367.5399999999999

72,17:45-18:00,36.48,36.48,32,100,6.72,25.87,36.48,4.87,19.35,0,0,5.76,0.53,0,0,0,0,17.28,0,0,0,0,0,40.32,362.13999999999993

73,18:00-18:15,36.48,36.48,32,100,6.72,0,36.48,4.96,11.88,0,0,5.76,0.53,33.6,0,0,0,17.28,0,100,0,0,0,40.32,462.48999999999995

74,18:15-18:30,36.48,36.48,32,100,6.72,32,36.48,4.96,9.53,0,0,5.76,0.53,33.6,0,0,0,17.28,0,100,0,0,0,40.32,492.13999999999993

75,18:30-18:45,36.48,36.48,31.57,100,6.72,31.57,36.48,4.96,7.55,0,50,5.76,0.53,33.6,0,0,0,17.28,0,100,0,0,0,40.32,539.3000000000001

76,18:45-19:00,36.48,36.48,31.57,100,6.72,31.57,36.48,4.96,4.53,0,50,5.76,0.53,33.6,0,0,0,17.28,0,100,0,0,0,40.32,536.28

77,19:00-19:15,36.48,36.48,31.57,100,6.72,31.57,36.48,5.15,2.53,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,0,0,0,40.32,534.5600000000001

78,19:15-19:30,36.48,36.48,31.57,100,6.72,31.57,36.48,5.15,0.3,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,0,0,0,40.32,532.33

79,19:30-19:45,36.48,36.48,31.57,100,6.72,31.57,36.48,5.15,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,0,0,0,40.32,532.0300000000001

80,19:45-20:00,36.48,36.48,31.57,100,6.72,31.57,36.48,5.15,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,0,0,0,40.32,532.0300000000001

81,20:00-20:15,36.48,36.48,31.54,100,6.72,31.54,36.48,5.33,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,580.1500000000001

82,20:15-20:30,36.48,36.48,31.54,100,6.72,31.54,36.48,5.33,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,580.1500000000001

83,20:30-20:45,36.48,36.48,32,100,6.72,3.08,36.48,5.33,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,552.1500000000001

84,20:45-21:00,36.48,36.48,32,100,6.72,12.39,36.48,5.33,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,561.46

85,21:00-21:15,36.48,36.48,22.2,100,6.72,22.2,36.48,5.42,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,561.5600000000001

86,21:15-21:30,36.48,36.48,22.2,100,6.72,22.2,36.48,5.42,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,561.5600000000001

87,21:30-21:45,36.48,36.48,22.2,100,6.72,22.2,36.48,5.42,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,561.5600000000001

88,21:45-22:00,36.48,36.48,22.2,100,6.72,22.2,36.48,5.42,0,0,50,5.76,0.62,33.6,0,0,0,17.28,0,100,48,0,0,40.32,561.5600000000001

89,22:00-22:15,23.04,23.04,23.22,100,6.72,23.22,23.04,5.42,0,55.49,50,5.76,0.53,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,793.16

90,22:15-22:30,23.04,23.04,23.22,100,6.72,23.22,23.04,5.42,0,55.49,50,5.76,0.53,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,793.16

91,22:30-22:45,23.04,23.04,23.22,100,6.72,23.22,23.04,4.96,0,55.49,50,5.76,0.53,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,792.7

92,22:45-23:00,23.04,23.04,23.22,100,6.72,23.22,23.04,4.96,0,55.49,50,5.76,0.53,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,792.7

93,23:00-23:15,23.04,23.04,26.99,0,6.72,26.99,23.04,4.87,0,55.49,50,5.76,0.48,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,700.1

94,23:15-23:30,23.04,23.04,26.99,0,6.72,26.99,23.04,4.87,0,55.49,50,5.76,0.48,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,700.1

95,23:30-23:45,23.04,23.04,26.99,0,6.72,26.99,23.04,4.87,0,55.49,50,5.76,0.48,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,700.1

96,23:45-24:00,23.04,23.04,26.99,0,6.72,26.99,23.04,4.87,0,55.49,50,5.76,0.48,33.6,0,0,166.48,17.28,0,100,48,24,24,40.32,700.1

