Block,Time,TALA,KISHANGANGA,SASAN,KHSTPP-I,KHSTPP-II,FSTPP I & II,KUDGI,SINGRAULI_HYDRO,BRBCL,DHAULIGNGA,AURY_CRF,JHAJJAR,NAPP,BSIUL,SINGRAULI,NJPC,DADRI_LF,RIHAND2,AURY_RF,AURY_LF,URI,TANDA2,ANTA_RF,KOTESHWR,KOLDAM,RAPPC,CHAMERA2,DADRI_RF,TANAKPUR,UNCHAHAR1,PARBATI3,SALAL,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI2,ANTA_GF,CHAMERA1,DADRT2,SEWA2,RIHAND1,RIHAND3,CHAMERA3,RAMPUR,RAPPB,DADRI_GF,ANTA_LF,DULHASTI,TEHRI,UNCHAHAR4,DADRI_CRF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
12,02:45-03:00,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,24.19,1.053398,12.633190,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,12.580100,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,11.776425,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,627.890041,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

13,03:00-03:15,21.110182,2.113900,405.243729,40.461376,142.750749,17.616210,24.19,1.053398,15.858816,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,1.238949,0.000000,47.006995,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,11.776425,20.084614,0.000000,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,604.415066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

14,03:15-03:30,21.110182,2.113900,405.243729,40.461376,142.750749,17.620269,24.19,1.053398,13.479620,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,47.006995,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,11.776425,20.084614,0.000000,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,604.415066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

15,03:30-03:45,21.110182,2.113900,405.243729,40.461376,142.750749,17.620269,24.19,1.053398,13.790697,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,556.030066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

16,03:45-04:00,21.110182,2.113900,405.243729,40.461376,142.750749,17.620269,24.19,1.053398,15.691556,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,507.645066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

17,04:00-04:15,21.110182,2.113900,405.243729,40.461376,142.750749,17.620269,24.19,1.053398,14.862937,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,3.239850,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,468.937066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

18,04:15-04:30,21.110182,2.113900,405.243729,40.461376,142.750749,17.620269,24.19,1.053398,14.983622,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,3.239850,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,450.550766,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,16.689381,0.783837,0.000000,0.000000,0,0,0,0,0

19,04:30-04:45,21.110182,2.113900,405.243729,40.461376,142.750749,18.822829,24.19,1.053398,15.410676,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,3.239850,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,448.615366,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

20,04:45-05:00,21.110182,2.113900,405.243729,40.461376,142.750749,18.822829,24.19,1.053398,13.058605,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,5.183759,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

21,05:00-05:15,21.110182,2.113900,405.243729,40.461376,142.750749,18.822829,24.19,1.053398,16.285152,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,10.367517,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

22,05:15-05:30,21.110182,2.113900,405.243729,40.461376,142.750749,18.822829,24.19,1.053398,17.424951,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,50.671242,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

23,05:30-05:45,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,18.082319,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,50.671242,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

24,05:45-06:00,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,17.829485,37.135857,0.000000,636.640056,38.785636,12.684225,133.165294,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,23.435372,7.437742,20.084614,66.580197,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

25,06:00-06:15,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,19.353960,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,0.000000,7.437742,20.084614,66.580197,78.712718,25.854802,0.000000,41.659485,32.779383,0.000000,40.786697,439.906066,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

26,06:15-06:30,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,19.353960,37.135857,0.000000,543.263200,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,4.958495,16.887623,66.580197,78.712718,21.897696,0.000000,41.659485,32.779383,0.000000,40.786697,435.639573,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.783837,0.000000,0.000000,0,0,0,0,0

27,06:30-06:45,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,19.353960,37.135857,0.000000,438.081661,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,4.958495,11.845809,66.580197,78.712718,14.263898,0.000000,28.875394,32.779383,0.000000,40.786697,435.639573,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

28,06:45-07:00,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,18.526569,37.135857,0.000000,376.148861,38.785636,12.684225,137.413400,118.414019,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,4.958495,11.845809,9.071578,78.712718,14.263898,0.000000,28.875394,32.779383,0.000000,40.786697,435.639573,16.053045,44.175505,121.248253,29.586066,1.346616,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

29,07:00-07:15,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,24.19,1.053398,19.353960,37.135857,0.000000,376.148861,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,4.958495,8.728557,3.239850,78.712718,10.676344,0.000000,28.875394,32.779383,0.000000,40.786697,435.639573,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

30,07:15-07:30,21.110182,2.113900,405.243729,40.461376,142.750749,19.181653,29.03,1.053398,19.353960,37.135857,0.000000,376.148861,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,4.958495,8.728557,3.239850,78.712718,10.676344,0.000000,28.875394,32.779383,0.000000,40.786697,435.639573,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

31,07:30-07:45,21.110182,2.113900,405.243729,30.143178,118.311776,14.961803,23.22,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,7.437742,8.670495,3.239850,78.712718,10.579574,0.000000,18.225178,32.779383,0.000000,40.786697,365.107265,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

