Block,Time,AURY_CRF,CHAMERA3,AURY_GF,BSIUL,SALAL,AURY_RF,DULHASTI,ANTA_LF,UNCHAHAR3,DADRI_GF,UNCHAHAR2,DADRI_LF,ANTA_GF,RAPPC,RIHAND3,JHAJJAR,SEWA2,SINGRAULI_HYDRO,TANDA2,URI2,DHAULIGNGA,RAPPB,KOTESHWR,NAPP,UNCHAHAR1,CHAMERA2,DADRI_CRF,ANTA_RF,CHAMERA1,TANAKPUR,URI,RAMPUR,KISHANGANGA,RIHAND1,SINGRAULI,ANTA_CRF,NJPC,UNCHAHAR4,AURY_LF,DADRI_RF,BRBCL,RIHAND2,PARBATI3,TALA,FSTPP I & II,KOLDAM,KHSTPP-I,KHSTPP-II,TEHRI,DADRT2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,271.834517,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,19.293970,57.293340,18.840167,3.828894,20.065760,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

19,04:30-04:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,240.964117,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,19.293970,58.564811,18.840167,3.828894,20.065760,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

20,04:45-05:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,19.293970,58.564811,18.840167,3.828894,20.065760,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

21,05:00-05:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,21.381032,0.000000,34.816891,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,17.520399,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,7.359441,3.687083,20.065760,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

22,05:15-05:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,21.381032,0.000000,34.816891,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,17.520399,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,8.831329,3.403462,16.105281,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

23,05:30-05:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,21.138801,0.000000,34.419233,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,17.662658,3.119840,16.105281,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

24,05:45-06:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,18.771036,0.000000,30.215851,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,2.836218,16.105281,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

25,06:00-06:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,18.771036,0.000000,30.215851,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,2.552596,16.105281,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

26,06:15-06:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,18.771036,0.000000,30.215851,0.000000,0.000000,65.266898,125.970622,144.356743,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,2.268974,16.105281,8.947402,42.745857,142.003840,0.000000,371.099735,386.362350,0,0,0,0,0

