Time,Block,NR/2023/15380/C,NR/2023/11954/A,NR/2023/13573/A,NR/2023/11315/A,NR/2023/14187/F,NR/2023/13284/A,NR/2023/14688/F,NR/2023/13858/A,NR/2023/11328/A,NR/2023/15384/C,NR/2023/11654/A,NR/2023/13859/A,NR/2023/13983/F,NR/2023/11470/A,NR/2023/15377/C,NR/2023/12646/A,NR/2023/13983/F/II,NR/2023/15375/D,NR/2023/11739/A,NR/2023/11325/A,NR/2023/15381/C,NR/2023/11203/A,NR/2023/11458/A,NR/2023/15370/D,NR/2023/14688/F/II,NR/2023/15383/C,NR/2023/15376/D,NR/2023/15388/C,NR/2023/11697/A,NR/2023/13283/A,NR/2023/11469/A,ER/2023/9493/C,Total

3,00:30-00:45,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,126.610000,152.710000,188.470000,0.240000,21.250000,0.000000,23.130000,0.630000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1486.14

4,00:45-01:00,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,76.350000,152.710000,188.470000,0.240000,21.250000,0.000000,23.130000,0.630000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1435.88

5,01:00-01:15,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,29.000000,152.710000,188.470000,0.180000,21.250000,0.000000,23.130000,0.490000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1388.33

6,01:15-01:30,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.180000,21.250000,0.000000,23.130000,0.490000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.33

7,01:30-01:45,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.180000,21.250000,0.000000,23.130000,0.490000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.33

8,01:45-02:00,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.180000,21.250000,0.000000,23.130000,0.490000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.33

9,02:00-02:15,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.150000,21.250000,0.000000,23.130000,0.430000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.24

10,02:15-02:30,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.150000,21.250000,0.000000,23.130000,0.430000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.24

11,02:30-02:45,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.150000,21.250000,0.000000,23.130000,0.430000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.24

12,02:45-03:00,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,0.000000,152.710000,188.470000,0.150000,21.250000,0.000000,23.130000,0.430000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1359.24

13,03:00-03:15,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,20.300000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,3.870000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.6

14,03:15-03:30,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,20.300000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,3.870000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.6

15,03:30-03:45,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,20.300000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,3.870000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.6

16,03:45-04:00,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,20.300000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,3.870000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.6

17,04:00-04:15,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.59

18,04:15-04:30,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.59

19,04:30-04:45,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.59

20,04:45-05:00,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1299.59

21,05:00-05:15,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1201.01

22,05:15-05:30,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1201.01

23,05:30-05:45,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1201.01

24,05:45-06:00,0.000000,0.000000,62.820000,22.230000,3.870000,81.860000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.530000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1201.01

25,06:00-06:15,0.000000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,0.000000,24.160000,85.030000,0.000000,1084.22

26,06:15-06:30,0.000000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,0.000000,24.160000,85.030000,0.000000,1084.22

27,06:30-06:45,0.000000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0,17.780000,0.000000,24.160000,85.030000,70.000000,1154.22

28,06:45-07:00,0.000000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,0.000000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0.19,17.780000,0.000000,24.160000,85.030000,70.000000,1154.41

29,07:00-07:15,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0.48,17.780000,0.000000,24.160000,85.030000,70.000000,1154.83

30,07:15-07:30,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,0.87,17.780000,0.000000,24.160000,85.030000,70.000000,1155.22

31,07:30-07:45,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,1.16,17.780000,0.000000,24.160000,85.030000,70.000000,1155.51

32,07:45:08:00,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,0.000000,0.680000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,1.16,17.780000,0.000000,24.160000,85.030000,70.000000,1155.51

33,08:00-08:15,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,5.050000,0.000000,0.970000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,1.26,17.780000,0.000000,24.160000,85.030000,100.000000,1187.92

34,08:15-08:30,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,1.45,17.780000,0.000000,24.160000,85.030000,100.000000,1189.12

35,08:30-08:45,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,1.93,17.780000,0.000000,24.160000,85.030000,100.000000,1189.6

36,08:45:09:00,0.000000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,0.000000,63.060000,0.000000,193.300000,0.000000,6.770000,2.13,17.780000,0.000000,24.160000,85.030000,100.000000,1189.8

37,09:00:09:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,0.000000,193.300000,0.000000,6.770000,2.71,17.780000,0.000000,24.160000,85.030000,100.000000,1227.6

38,09:15-09:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,0.000000,193.300000,0.000000,6.770000,2.9,17.780000,0.000000,24.160000,85.030000,100.000000,1227.79

39,09:30-09:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,0.000000,193.300000,0.000000,6.770000,3.09,17.780000,0.000000,24.160000,85.030000,100.000000,1227.98

40,09:45-10:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,0.000000,193.300000,0.000000,6.770000,3.38,17.780000,0.000000,24.160000,85.030000,100.000000,1228.27

41,10:00-10:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,3.67,0.000000,0.000000,24.160000,85.030000,100.000000,1301.63

42,10:15-10:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,4.06,0.000000,0.000000,24.160000,85.030000,100.000000,1302.02

43,10:30-10:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,4.35,0.000000,0.000000,24.160000,85.030000,30.000000,1232.31

44,10:45-11:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.32,0.000000,0.000000,24.160000,85.030000,30.000000,1233.28

45,11:00-11:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.61,0.000000,0.000000,24.160000,85.030000,30.000000,1233.57

46,11:15-11:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.8,0.000000,0.000000,24.160000,85.030000,30.000000,1233.76

47,11:30-11:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.99,0.000000,0.000000,24.160000,85.030000,30.000000,1233.95

48,11:45-12:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,6.28,0.000000,0.000000,24.160000,85.030000,30.000000,1234.24

49,12:00-12:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,7.25,0.000000,0.000000,24.160000,85.030000,30.000000,1235.21

50,12:15-12:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,7.54,0.000000,0.000000,24.160000,85.030000,30.000000,1235.5

51,12:30-12:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,7.25,0.000000,0.000000,24.160000,85.030000,30.000000,1235.21

52,12:45-13:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,6.77,0.000000,0.000000,24.160000,85.030000,30.000000,1234.73

53,13:00-13:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,6.57,17.780000,0.000000,24.160000,85.030000,30.000000,1252.31

54,13:15-13:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.99,17.780000,0.000000,24.160000,85.030000,30.000000,1251.73

55,13:30-13:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.8,17.780000,0.000000,24.160000,85.030000,30.000000,1251.54

56,13:45-14:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,0.000000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,90.850000,193.300000,0.000000,6.770000,5.32,17.780000,0.000000,24.160000,85.030000,30.000000,1251.06

57,14:00-14:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,4.83,17.780000,0.000000,24.160000,85.030000,30.000000,1289.17

58,14:15-14:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,4.64,17.780000,0.000000,24.160000,85.030000,30.000000,1288.98

59,14:30-14:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,3.87,17.780000,0.000000,24.160000,85.030000,30.000000,1288.21

60,14:45-15:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,3.38,17.780000,0.000000,24.160000,85.030000,30.000000,1287.72

61,15:00-15:15,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,3.19,17.780000,0.000000,24.160000,85.030000,0.000000,1257.53

62,15:15-15:30,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,2.71,17.780000,0.000000,24.160000,85.030000,0.000000,1257.05

63,15:30-15:45,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,2.42,17.780000,0.000000,24.160000,85.030000,0.000000,1256.76

64,15:45-16:00,8.220000,0.000000,62.820000,22.230000,0.970000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,6.060000,23.130000,0.970000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,1.93,17.780000,0.000000,24.160000,85.030000,0.000000,1256.27

65,16:00-16:15,8.220000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,23.130000,0.820000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,1.74,17.780000,0.000000,24.160000,85.030000,0.000000,1255.8

66,16:15-16:30,8.220000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,23.130000,0.820000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,1.45,17.780000,0.000000,24.160000,85.030000,0.000000,1255.51

67,16:30-16:45,8.220000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,23.130000,0.820000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,0.97,17.780000,0.000000,24.160000,85.030000,0.000000,1255.03

68,16:45-17:00,8.220000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,23.130000,0.820000,18.360000,42.520000,24.160000,29.000000,63.060000,106.320000,193.300000,0.000000,6.770000,0.77,17.780000,0.000000,24.160000,85.030000,0.000000,1254.83

69,17:00-17:15,0.000000,0.000000,62.820000,22.230000,3.870000,0.000000,24.160000,84.570000,48.320000,0.000000,152.710000,188.470000,0.000000,21.250000,3.030000,0.000000,0.820000,18.360000,42.520000,24.160000,0.000000,63.060000,48.320000,193.300000,0.000000,6.770000,0.29,17.780000,0.000000,24.160000,85.030000,0.000000,1136

