Block,Time,KHSTPP-II,MAPS,NLCIIST1,NLCIIST2,PARBATI3,RIHAND3,SASAN,SEWA2,SIMHST1,SINGRAULI,ANTA_LF,ANTA_RF,CHAMERA1,KGSU3AND4,NLCEXP,NLCTS2EXP,NNTPP,RAPPC,ANTA_CRF,AURY_GF,FSTPP I & II,KKNP,NJPC,SIMHST2,TANAKPUR,AURY_LF,DADRI_GF,KHSTPP-I,NTPL,RAPPB,SALAL,TALA,TALST2,UNCHAHAR2,URI2,AURY_CRF,DADRI_CRF,BRBCL,BSIUL,CHAMERA2,KGSU1AND2,KOLDAM,RIHAND1,RIHAND2,RSTPSU7,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,AURY_RF,DADRI_LF,CHAMERA3,JHAJJAR,KKNPPU2,KOTESHWR,KUDGI,NAPP,PARBATI2,SINGRAULI_HYDRO,UNCHAHAR4,DADRT2,KISHANGANGA,RAPPD,RSTPSU1TO6,TANDA2,URI,DHAULIGNGA,DULHASTI,RAMPUR,TEHRI,TEHRIPSP,UNCHAHAR3,ANTA_GF,DADRI_RF
8,01:45-02:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.34,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.4,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,28.71,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

9,02:00-02:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.4,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

10,02:15-02:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.4,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

11,02:30-02:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.44,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

12,02:45-03:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.4,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

13,03:00-03:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.4,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

14,03:15-03:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.37,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

15,03:30-03:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.37,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

16,03:45-04:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.37,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

17,04:00-04:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.34,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

18,04:15-04:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.32,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

19,04:30-04:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,24.2,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

20,04:45-05:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,23.97,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,52.36,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

21,05:00-05:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,23.73,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

22,05:15-05:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,23.38,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

23,05:30-05:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.96,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

24,05:45-06:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.85,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.7,0,44.52,32.74,0,0,24.99,13.04,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

25,06:00-06:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.6,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

26,06:15-06:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.55,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

27,06:30-06:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.55,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

28,06:45-07:00,49.43,0,0,0,33.46,130.84,416.25,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.55,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,42.84,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

29,07:00-07:15,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.64,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,652.48,0,42.84,0,24.36,38.71,0,3.23,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

30,07:15-07:30,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.67,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,652.48,0,42.84,0,24.36,38.71,0,3.23,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

31,07:30-07:45,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.79,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,653.15,0,42.84,0,24.36,38.71,0,3.23,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

32,07:45-08:00,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.6,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,11.91,0,0,45.53,0,0,81.92,22.93,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,651.4,0,42.84,0,24.36,38.71,0,3.23,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

33,08:00-08:15,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.09,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,23.07,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,651.4,0,42.84,0,24.36,38.71,0,3.23,689.39,4.65,39.97,0,5.73,45.27,42.46,38.32,5.68,57.14,192.57,27.38,0,104.09

34,08:15-08:30,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.09,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,23.19,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,649.17,0,42.84,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,45.27,42.46,38.32,5.68,38.09,192.57,27.38,0,104.09

35,08:30-08:45,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.09,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,25.85,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,649.17,0,42.84,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,45.27,42.46,38.32,5.68,19.05,103.98,27.38,0,104.09

36,08:45-09:00,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,52.09,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,25.93,0,44.52,32.74,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,647.21,0,42.84,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

37,09:00-09:15,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,51.59,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.01,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,645.88,0,20.51,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,46.59,42.46,38.32,5.68,0,0,27.38,0,104.09

38,09:15-09:30,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,51.59,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.13,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,46.59,42.46,38.32,5.68,0,0,27.38,0,104.09

39,09:30-09:45,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,51.59,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.28,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,46.59,42.46,38.32,5.68,0,0,27.38,0,104.09

40,09:45-10:00,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,51.59,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.28,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,46.59,42.46,38.32,5.68,0,0,27.38,0,104.09

41,10:00-10:15,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.83,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.45,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.22,0,33.95,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,2.33,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

42,10:15-10:30,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.83,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.45,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,33.95,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

43,10:30-10:45,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.58,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.45,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

44,10:45-11:00,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.58,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.45,0,44.52,32.74,0,0,24.99,0,47.12,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

45,11:00-11:15,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.08,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.35,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

46,11:15-11:30,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.08,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.27,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,45.27,42.46,38.32,5.68,0,0,27.38,0,104.09

47,11:30-11:45,49.43,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.08,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.04,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,46.92,42.46,38.32,5.68,0,0,27.38,0,104.09

48,11:45-12:00,54.71,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,50.08,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,25.98,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,46.92,42.46,38.32,5.68,0,0,27.38,0,104.09

49,12:00-12:15,54.71,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,49.81,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,25.98,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,645.88,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,36.43,42.46,38.32,5.68,0,0,27.38,0,104.09

50,12:15-12:30,59.95,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,49.81,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.06,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,644.75,0,20.29,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,36.43,42.46,38.32,5.68,0,0,27.38,0,104.09

51,12:30-12:45,59.95,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,49.81,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.27,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,644.47,0,30.43,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,36.43,42.46,38.32,5.68,19.05,0,27.38,0,104.09

52,12:45-13:00,65.19,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,49.81,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.41,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,644.47,0,42.84,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,36.43,42.46,38.32,5.68,38.09,0,27.38,0,104.09

53,13:00-13:15,65.19,0,0,0,33.46,130.84,418.77,18.34,0,97.47,0,49.56,42.15,0,0,0,0,65.43,0,0,20.8,0,175.8,0,11.91,0,0,45.53,0,0,81.92,26.47,0,44.52,32.74,0,0,24.99,0,0,0,8.63,48.09,125.27,0,0,21.65,0,81.57,0,0,644.47,0,42.84,0,24.36,38.71,0,3.23,689.39,0,39.97,0,5.73,41.95,42.46,38.32,5.68,76.19,0,27.38,0,104.09

