Time,Block,NR/2024/19143/A/13668,NR/2024/19030/A/13656,NR/2024/18976/A/13706,NR/2024/18855/A/13967,NR/2024/18919/A/14209,NR/2024/18977/A/13707,NR/2024/19297/C,NR/2024/19316/C,NR/2024/18936/A/13693,NR/2024/19306/C,NR/2024/18935/A/13692,NR/2024/18978/A/13708,NR/2024/19024/A/13759,NR/2024/19245/A/13963,NR/2024/19121/A/13965,NR/2024/19317/C,NR/2024/19115/A/13671,NR/2024/19075/A/13649,NR/2024/18996/A/14178,NR/2024/19308/C,NR/2024/19291/C,NR/2024/19313/C,NR/2024/18986/A/13679,NR/2024/19172/A/14320,NR/2024/19043/A/13650,NR/2024/18934/A/13691,NR/2024/19296/C,Total
16,03:45-04:00,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

17,04:00-04:15,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

18,04:15-04:30,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

19,04:30-04:45,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

20,04:45-05:00,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

21,05:00-05:15,0.000000,0.000000,0.000000,0.000000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,134.55

22,05:15-05:30,0.000000,0.000000,0.000000,0.000000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,134.55

23,05:30-05:45,0.000000,0.000000,0.000000,0.000000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,134.55

24,05:45-06:00,0.000000,0.000000,0.000000,0.000000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,134.55

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0,124.93

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0,124.93

27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.21,125.14

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.68,125.61

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,1.08,126.11

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,1.58,126.61

31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,2.14,127.17

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,2.73,127.76

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,3.31,128.68

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,3.81,129.18

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,4.47,129.84

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,5.01,130.38

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,5.43,130.8

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,6.04,131.41

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,6.51,131.88

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,6.97,132.34

41,10:00-10:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,66.930000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,7.34,293.3

42,10:15-10:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,66.930000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,7.69,293.65

43,10:30-10:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,66.930000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.04,294

44,10:45-11:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,66.930000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.29,294.25

45,11:00-11:15,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.45,294.41

46,11:15-11:30,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.63,294.59

47,11:30-11:45,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.74,294.7

48,11:45-12:00,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,0.000000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.9,294.86

49,12:00-12:15,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.84,389.6

50,12:15-12:30,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.9,389.66

51,12:30-12:45,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.8,389.56

52,12:45-13:00,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.79,389.55

53,13:00-13:15,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.67,389.43

54,13:15-13:30,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.52,389.28

55,13:30-13:45,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.4,389.16

56,13:45-14:00,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,8.03,388.79

57,14:00-14:15,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,7.84,388.6

58,14:15-14:30,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,7.14,387.9

59,14:30-14:45,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,6.16,386.92

60,14:45-15:00,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.970000,0.000000,46.440000,4.840000,6.26,387.02

61,15:00-15:15,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,6.47,386.99

62,15:15-15:30,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,5.05,385.57

63,15:30-15:45,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,4.3,384.82

64,15:45-16:00,0.000000,19.350000,39.660000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,14.510000,4.840000,1.930000,0.000000,0.000000,48.370000,19.350000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,3.66,384.18

65,16:00-16:15,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,1.930000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,3.88,291.53

66,16:15-16:30,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,1.930000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,3.54,291.19

67,16:30-16:45,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,1.930000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,3.65,291.3

68,16:45-17:00,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,52.630000,0.000000,6.770000,0.000000,5.800000,0.000000,4.840000,1.930000,0.000000,0.000000,48.370000,0.000000,48.370000,0.000000,0.000000,0.000000,0.730000,0.000000,46.440000,4.840000,2.94,290.59

69,17:00-17:15,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,108.930000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,2.29,233.97

70,17:15-17:30,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,108.930000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.68,233.36

71,17:30-17:45,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,142.790000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.2,266.74

72,17:45-18:00,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,142.790000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.77,266.31

73,18:00-18:15,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,142.790000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.45,217.62

74,18:15-18:30,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.21,241.95

75,18:30-18:45,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,241.74

76,18:45-19:00,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,241.74

77,19:00-19:15,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

78,19:15-19:30,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

79,19:30-19:45,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

80,19:45-20:00,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

81,20:00-20:15,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

82,20:15-20:30,2.000000,0.000000,0.000000,66.930000,0.000000,0.000000,167.360000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0,292.11

