Time,Block,NR/2023/13654/D,NR/2023/13678/C,NR/2023/13053/F,NR/2023/10720/A,NR/2023/11712/A,NR/2023/13653/D,NR/2023/10705/A,NR/2023/10959/A,NR/2023/12916/F,NR/2023/12706/A,NR/2023/10432/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13665/C,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13655/C,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/12872/F,NR/2023/11888/A,NR/2023/11953/A,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12169/A,NR/2023/13641/D,NR/2023/12920/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/13642/D,ER/2023/8392/C,NR/2023/13053/F/II,NR/2023/13643/D,NR/2023/12813/F,NR/2023/13658/C,NR/2023/13677/C,NR/2023/12922/F,NR/2023/13315/F,NR/2023/11709/A,NR/2023/13660/C,NR/2023/12915/F,SR/2023/6285/C,NR/2023/10650/A,NR/2023/10947/A,NR/2023/12661/A,NR/2023/11266/A,NR/2023/11507/A,NR/2023/10786/A,NR/2023/12921/F,Total

3,00:30-00:45,0,0,22.050000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,68.710000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,2.140000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1895.93

4,00:45-01:00,0,0,22.050000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,19.350000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,2.140000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1846.57

5,01:00-01:15,0,0,17.320000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.530000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,6.870000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.27

6,01:15-01:30,0,0,17.320000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.530000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,6.870000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.27

7,01:30-01:45,0,0,17.320000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.530000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,6.870000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.27

8,01:45-02:00,0,0,17.320000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.530000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,6.870000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.27

9,02:00-02:15,0,0,17.060000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,7.130000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.810000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.12

10,02:15-02:30,0,0,17.060000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,7.130000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.810000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.12

11,02:30-02:45,0,0,17.060000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,7.130000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.810000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.12

12,02:45-03:00,0,0,17.060000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,7.130000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.810000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1827.12

13,03:00-03:15,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.47

14,03:15-03:30,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.47

15,03:30-03:45,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.47

16,03:45-04:00,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.47

17,04:00-04:15,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.630000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.38

18,04:15-04:30,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.630000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.38

19,04:30-04:45,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.630000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.38

20,04:45-05:00,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.440000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.630000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1732.38

21,05:00-05:15,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,0.000000,0.930000,1633.62

22,05:15-05:30,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,0.000000,0.930000,1633.62

23,05:30-05:45,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,0.000000,0.930000,1633.62

24,05:45-06:00,0,1.4,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,0.000000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0.6,1.020000,4.840000,0.000000,16.540000,0.370000,0.00,48.380000,23.220000,62.900000,74.820000,300.460000,0.000000,0.930000,1635.62

25,06:00-06:15,0.6,2.1,24.190000,23.710000,64.350000,1.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.530000,7.630000,0.000000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0.9,1.020000,4.840000,0.000000,16.440000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1302.95

26,06:15-06:30,0.9,4.9,24.190000,23.710000,64.350000,2.1,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.530000,7.630000,0.000000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,2.1,1.020000,4.840000,0.000000,16.440000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1307.95

27,06:30-06:45,1.2,7.7,24.190000,23.710000,64.350000,2.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.530000,7.630000,0.000000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,110.240000,32.000000,0.000000,0.000000,62.900000,0.000000,3.3,1.020000,4.840000,0.000000,16.440000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1344.95

28,06:45-07:00,7.5,0,24.190000,23.710000,64.350000,17.5,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.530000,7.630000,0.000000,12.570000,23.220000,0.000000,0.19,0.930000,85.640000,48.380000,110.240000,50.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.440000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1373.14

29,07:00-07:15,9,0,24.190000,23.710000,64.350000,21,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,0.39,0.930000,85.640000,48.380000,110.240000,50.000000,0.000000,58.060000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1435.44

30,07:15-07:30,12,2.8,24.190000,23.710000,64.350000,28,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,0.61,0.930000,85.640000,48.380000,110.240000,50.000000,0.000000,58.060000,62.900000,0.000000,1.2,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1449.66

31,07:30-07:45,15,9.1,24.190000,23.710000,64.350000,35,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,1.13,0.930000,85.640000,48.380000,110.240000,50.000000,0.000000,58.060000,62.900000,0.000000,3.9,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1469.18

32,07:45:08:00,22.8,1.4,24.190000,23.710000,64.350000,53.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,1.16,0.930000,85.640000,48.380000,110.240000,50.000000,0.000000,58.060000,62.900000,0.000000,0.6,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.930000,1484.21

33,08:00-08:15,25.8,6.3,24.190000,23.710000,64.350000,60.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,1.74,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,2.7,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1582.24

34,08:15-08:30,31.5,6.3,24.190000,23.710000,64.350000,73.5,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,32.610000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,2.03,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,2.7,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1601.53

35,08:30-08:45,37.5,3.5,24.190000,23.710000,64.350000,87.5,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,2.42,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,1.5,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1618.94

36,08:45:09:00,42,3.5,24.190000,23.710000,64.350000,98,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,2.71,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,1.5,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1634.23

37,09:00:09:15,37.2,27.3,24.190000,23.710000,64.350000,86.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,3.39,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,11.7,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1677.01

38,09:15-09:30,39.6,31.5,24.190000,23.710000,64.350000,92.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,33.630000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,3.87,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,13.5,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1691.49

39,09:30-09:45,43.2,35,24.190000,23.710000,64.350000,100.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,35.670000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,4.06,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,15,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1710.72

40,09:45-10:00,45.6,39.2,24.190000,23.710000,64.350000,106.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,35.670000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,4.06,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,16.8,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,0.000000,0.980000,1724.72

41,10:00-10:15,49.2,39.2,24.190000,23.710000,64.350000,114.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,4.84,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,16.8,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1830.4

