Time,Block,NR/2024/20532/C,NR/2024/20130/A/20910,NR/2024/19966/A/20876,NR/2024/20548/C,NR/2024/20033/A/21188,NR/2024/20041/A/20963,NR/2024/19699/A/21190,NR/2024/19919/A/21151,NR/2024/20031/A/21185,NR/2024/20144/A/20882,NR/2024/19432/A/21192,NR/2024/19779/A/20868,NR/2024/20090/A/20776,NR/2024/20034/A/21184,NR/2024/20037/A/20859,NR/2024/19918/A/21147,NR/2024/20211/A/20883,NR/2024/19757/A/21187,NR/2024/19475/A/21122,NR/2024/20142/A/20881,NR/2024/19637/A/20874,NR/2024/20048/A/20950,NR/2024/19683/A/20809,NR/2024/20531/C,NR/2024/20350/A/20646,NR/2024/19760/A/20860,NR/2024/19588/A/20903,NR/2024/20212/A/20884,NR/2024/20521/C,NR/2024/19791/A/21148,NR/2024/20052/A/20647,NR/2024/20550/C,NR/2024/20525/C,NR/2024/20141/A/20880,NR/2024/20530/C,NR/2024/20050/A/20943,NR/2024/19355/A/21279,NR/2024/20109/A/21278,Total
6,01:15-01:30,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.580000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1811.96

7,01:30-01:45,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.580000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1611.54

8,01:45-02:00,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.580000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1611.54

9,02:00-02:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,14.470000,90.460000,96.490000,241.220000,1528.6

10,02:15-02:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,14.470000,90.460000,96.490000,241.220000,1528.6

11,02:30-02:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,14.470000,90.460000,96.490000,241.220000,1528.6

12,02:45-03:00,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,14.470000,90.460000,96.490000,241.220000,1528.6

13,03:00-03:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

14,03:15-03:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

15,03:30-03:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

16,03:45-04:00,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

17,04:00-04:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

18,04:15-04:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

19,04:30-04:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

20,04:45-05:00,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,308.770000,37.270000,0.880000,24.120000,0.480000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,9.650000,90.460000,96.490000,183.330000,1465.84

21,05:00-05:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,53.070000,90.460000,96.490000,183.330000,1273.87

22,05:15-05:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,53.070000,90.460000,96.490000,183.330000,1273.87

23,05:30-05:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,53.070000,90.460000,96.490000,183.330000,1273.87

24,05:45-06:00,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,53.070000,90.460000,96.490000,183.330000,1273.87

25,06:00-06:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1136.85

26,06:15-06:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1136.85

27,06:30-06:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1136.85

28,06:45-07:00,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.530000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1136.85

29,07:00-07:15,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.680000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1137

30,07:15-07:30,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.680000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1137

31,07:30-07:45,0,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.680000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1137

32,07:45:08:00,0.25,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.680000,1.930000,37.270000,72.370000,0.000000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1137.25

33,08:00-08:15,0.83,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.960000,1.930000,37.270000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1333.39

34,08:15-08:30,1.95,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,73.330000,37.270000,0.880000,24.120000,0.960000,1.930000,37.270000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1334.51

35,08:30-08:45,2.38,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,121.570000,37.270000,0.880000,24.120000,0.960000,1.930000,37.270000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1383.18

36,08:45:09:00,2.72,0.480000,0.000000,0.000000,12.430000,0.000000,48.240000,121.570000,37.270000,0.880000,24.120000,0.960000,1.930000,37.270000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1383.52

37,09:00:09:15,2.96,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1558.31

38,09:15-09:30,3.24,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1558.59

39,09:30-09:45,3.7,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1559.05

40,09:45-10:00,4.3,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,0.000000,64.730000,9.650000,0.000000,0.000000,0.350000,50.170000,0.000000,96.490000,183.330000,1559.65

41,10:00-10:15,4.49,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1658.26

42,10:15-10:30,4.73,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1658.5

43,10:30-10:45,5.51,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1659.28

44,10:45-11:00,5.22,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1658.99

45,11:00-11:15,4.94,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1658.71

46,11:15-11:30,5.21,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1658.98

47,11:30-11:45,5.41,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1659.18

48,11:45-12:00,6.02,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,0.000000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1659.79

49,12:00-12:15,5.17,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1672.45

50,12:15-12:30,4.6,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1671.88

51,12:30-12:45,4.98,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1672.26

52,12:45-13:00,4.74,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1672.02

53,13:00-13:15,7.39,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1674.67

54,13:15-13:30,5.41,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1672.69

55,13:30-13:45,6.07,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1673.35

56,13:45-14:00,4.9,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,242.920000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1672.18

