Time,Block,NR/2024/20560/A/24150,NR/2024/19757/A/24156,NR/2024/20109/A/24085,NR/2024/20144/A/23815,NR/2024/20516/A/23820,NR/2024/20130/A/23849,NR/2024/20597/A/24114,NR/2024/20142/A/23816,NR/2024/20777/A/24021,NR/2024/20524/A/24177,NR/2024/19637/A/23810,NR/2024/19918/A/24136,NR/2024/19355/A/24086,NR/2024/20090/A/23755,NR/2024/20598/A/24023,NR/2024/20554/A/23702,NR/2024/20041/A/24117,NR/2024/19779/A/23787,NR/2024/21020/A/24056,NR/2024/20540/A/23565,NR/2024/21147/C,NR/2024/20558/A/24151,NR/2024/20141/A/23817,NR/2024/21136/C,NR/2024/19642/A/24237,NR/2024/20552/A/23749,NR/2024/20557/A/24152,NR/2024/20572/A/24149,NR/2024/21118/C,NR/2024/20553/A/23747,NR/2024/19978/A/24137,NR/2024/19699/A/24158,NR/2024/20050/A/24115,NR/2024/19432/A/24161,NR/2024/19475/A/24099,NR/2024/20037/A/24029,NR/2024/19791/A/24138,NR/2024/19683/A/23742,NR/2024/20048/A/24116,NR/2024/20211/A/23818,NR/2024/19760/A/24034,NR/2024/19966/A/23790,NR/2024/20212/A/23819,NR/2024/20513/A/23823,NR/2024/19919/A/24135,NR/2024/21127/C,NR/2024/21120/C,NR/2024/19588/A/23860,NR/2024/19640/A/24236,NR/2024/21149/C,NR/2024/20515/A/23822,NR/2024/20599/A/24025,NR/2024/20537/A/24084,NR/2024/19988/A/24031,NR/2024/21121/C,Total

3,00:30-00:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2338.69

4,00:45-01:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2338.69

5,01:00-01:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.580000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,0.000000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2281.63

6,01:15-01:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.580000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,0.000000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2281.63

7,01:30-01:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.580000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,0.000000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2281.63

8,01:45-02:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.580000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,28.940000,10.960000,0.000000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2281.63

9,02:00-02:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2169.76

10,02:15-02:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2169.76

11,02:30-02:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2169.76

12,02:45-03:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,1.930000,7.720000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,14.470000,66.750000,90.680000,77.180000,0.880000,0.000000,0.000000,96.470000,0,2169.76

13,03:00-03:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

14,03:15-03:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

15,03:30-03:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

16,03:45-04:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

17,04:00-04:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

18,04:15-04:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

19,04:30-04:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

20,04:45-05:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.480000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,0.000000,11.580000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,2070.33

21,05:00-05:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,1847.54

22,05:15-05:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,1847.54

23,05:30-05:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,1847.54

24,05:45-06:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,77.180000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,77.180000,0.880000,0.000000,57.880000,96.470000,0,1847.54

25,06:00-06:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,0,1534.96

26,06:15-06:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,0,1534.96

27,06:30-06:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,0.44,1535.4

28,06:45-07:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.530000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,0.7,1535.66

29,07:00-07:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.680000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,1.09,1536.2

30,07:15-07:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.680000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,1.6,1536.71

31,07:30-07:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.680000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,2.5,1537.61

32,07:45:08:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.680000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,3.18,1538.29

33,08:00-08:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.960000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,2.73,1732.39

34,08:15-08:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.960000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,73.320000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,1.5,1731.16

35,08:30-08:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.960000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,4.47,1782.35

36,08:45:09:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,96.470000,1.930000,0.000000,0.000000,0.000000,0.960000,2.890000,6.750000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,5.7,1783.58

