Column1,Block,NR/2024/22754/A/37221,NR/2024/22874/A/37267,NR/2024/22848/A/37239,NR/2024/23102/C,NR/2024/22734/A/37200,NR/2024/23101/C,NR/2024/22837/A/37263,NR/2024/22833/A/37264,NR/2024/22888/A/37224,NR/2024/22820/A/36978,NR/2024/22802/A/37266,NR/2024/22832/A/37265,NR/2024/23017/A/36953,NR/2024/22860/A/37235,NR/2024/22835/A/37213,NR/2024/21658/A/36952,NR/2024/22816/A/36993,NR/2024/23104/C,NR/2024/23114/C,NR/2024/22839/A/37262,NR/2024/23117/C,NR/2024/22753/A/37225,NR/2024/23038/A/36960,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/2024/23103/C,Total
15,03:30-03:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.63,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4799999999998

16,03:45-04:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.63,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4799999999998

17,04:00-04:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4299999999998

18,04:15-04:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4299999999998

19,04:30-04:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4299999999998

20,04:45-05:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4299999999998

21,05:00-05:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1211.8099999999997

22,05:15-05:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1211.8099999999997

23,05:30-05:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,8.72,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1211.8099999999997

24,05:45-06:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.58,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1210.8399999999997

25,06:00-06:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,968.7399999999997

26,06:15-06:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,0.07,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,968.8099999999998

27,06:30-06:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,0.23,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,968.9699999999997

28,06:45-07:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,0.69,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,969.4299999999997

29,07:00-07:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,1.12,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,969.8599999999998

30,07:15-07:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,1.81,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,970.5499999999996

31,07:30-07:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,2.56,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,971.2999999999996

32,07:45-08:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,7.75,0,91.04,0.68,0,3.17,0,6.78,0,0,3.87,41.16,0,0,12.47,12.12,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,971.9099999999997

33,08:00-08:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,8.72,0,91.04,0.97,0,3.89,0,6.78,0,0,3.87,41.16,0,0,12.47,12.02,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,973.7899999999998

34,08:15-08:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.18,4.84,0,37.41,8.72,0,91.04,0.97,0,4.53,0,6.78,0,0,3.87,41.16,0,0,12.47,12.02,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,974.4299999999997

35,08:30-08:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,8.72,0,91.04,0.97,0,5.22,0,6.78,0,0,3.87,41.16,0,0,12.47,12.02,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,975.0999999999998

36,08:45-09:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,9.68,0,91.04,0.97,0,5.82,0,6.78,0,0,3.87,41.16,0,0,12.47,12.02,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,976.66

37,09:00-09:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,9.68,0,91.04,0.97,0,6.28,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1030.2899999999997

38,09:15-09:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,11.62,0,91.04,0.97,0,6.37,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1032.3199999999997

39,09:30-09:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,11.62,0,91.04,0.97,0,7.44,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1033.3899999999996

40,09:45-10:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,11.62,0,91.04,0.97,0,7.51,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1033.4599999999996

41,10:00-10:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,11.62,0,91.04,0.97,41.16,8.65,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.5999999999997

42,10:15-10:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.69,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,11.93,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.6099999999997

43,10:30-10:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.37,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.8399999999997

44,10:45-11:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.55,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1035.0199999999998

45,11:00-11:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.53,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.9999999999998

46,11:15-11:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,6.69,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.1599999999999

47,11:30-11:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,5.03,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1032.4999999999998

48,11:45-12:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,4.59,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.48,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1032.0599999999997

49,12:00-12:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.33,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.7099999999998

50,12:15-12:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,6.15,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1033.5299999999997

51,12:30-12:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,5.66,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1033.0399999999997

52,12:45-13:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,4.84,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1032.2199999999998

53,13:00-13:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.7,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1035.0799999999997

54,13:15-13:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,8.1,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1035.4799999999998

55,13:30-13:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,9.69,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1037.0699999999997

56,13:45-14:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,0,91.04,0.97,41.16,7.42,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.39,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1034.7999999999997

57,14:00-14:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,7.73,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.57,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1048.8499999999997

58,14:15-14:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,6.43,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.57,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1047.5499999999997

59,14:30-14:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,5.56,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.57,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1046.6799999999996

60,14:45-15:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,4.11,10.65,6.78,42.61,0,3.87,41.16,0,0,12.47,12.57,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1045.2299999999998

61,15:00-15:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,2.79,29.06,6.78,24.21,0,3.87,41.16,0,0,12.47,12.76,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1044.1099999999997

62,15:15-15:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,4.58,25.96,6.78,27.31,0,3.87,41.16,0,0,12.47,12.76,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1045.8999999999996

63,15:30-15:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,5.51,22.57,6.78,30.7,0,3.87,41.16,0,0,12.47,12.76,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1046.8299999999997

64,15:45-16:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.97,41.16,4.15,18.89,6.78,34.38,0,3.87,41.16,0,0,12.47,12.76,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1045.4699999999996

65,16:00-16:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.87,41.16,5.93,36.22,6.78,17.05,0,3.87,41.16,0,0,12.47,12.95,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1047.3399999999997

66,16:15-16:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.87,41.16,4.91,31.96,6.78,21.31,0,3.87,41.16,0,0,12.47,12.95,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1046.3199999999997

67,16:30-16:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.87,41.16,3.23,27.6,6.78,25.67,0,3.87,41.16,0,0,12.47,12.95,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1044.6399999999996

68,16:45-17:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,82.32,37.41,12.59,13.56,91.04,0.87,41.16,3.56,23.24,6.78,30.02,0,3.87,41.16,0,0,12.47,12.95,24.8,0,82.32,18.4,1.94,20.58,0,0,28.09,1044.9599999999996

69,17:00-17:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,12.59,13.56,91.04,0.82,0,1.78,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,989.9599999999997

70,17:15-17:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,12.59,13.56,91.04,0.82,0,1.5,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,989.6799999999997

71,17:30-17:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,12.59,13.56,91.04,0.82,0,0.95,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,989.1299999999998

72,17:45-18:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,12.59,13.56,91.04,0.82,0,0.59,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,988.7699999999999

73,18:00-18:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0.3,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,987.5099999999996

74,18:15-18:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,25.16,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0.07,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,987.2799999999999

75,18:30-18:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

76,18:45-19:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

