Time,Block,NR/2023/12922/F,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13373/C,NR/2023/11709/A,NR/2023/10956/A,NR/2023/11266/A,NR/2023/13395/C,NR/2023/10947/A,NR/2023/11447/A,NR/2023/10432/A,NR/2023/13151/F,NR/2023/12921/F,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12915/F,NR/2023/10460/A,NR/2023/10436/A,NR/2023/13367/D,NR/2023/13375/C,NR/2023/13368/D,NR/2023/12916/F,NR/2023/12872/F,NR/2023/10651/A,NR/2023/12956/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13398/C,NR/2023/12814/F,NR/2023/11507/A,NR/2023/10959/A,NR/2023/11712/A,SR/2023/6080/C,NR/2023/12661/A,NR/2023/10435/A,NR/2023/13430/C,NR/2023/12169/A,NR/2023/13381/C,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10561/A,NR/2023/13402/C,NR/2023/13360/D,NR/2023/13372/C,NR/2023/13366/D,NR/2023/13401/C,Total

3,00:30-00:45,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,17.200000,0.000000,23.210000,12.710000,43.520000,33.650000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.870000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.17

4,00:45-01:00,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,17.200000,0.000000,23.210000,12.710000,43.520000,33.650000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.870000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.17

5,01:00-01:15,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,27.520000,0.000000,23.210000,12.710000,43.520000,23.330000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.770000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.12

6,01:15-01:30,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,27.520000,0.000000,23.210000,12.710000,43.520000,23.330000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.770000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.12

7,01:30-01:45,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,27.520000,0.000000,23.210000,12.710000,43.520000,23.330000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.770000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.12

8,01:45-02:00,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,27.520000,0.000000,23.210000,12.710000,43.520000,23.330000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.770000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.12

9,02:00-02:15,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.680000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1277.91

10,02:15-02:30,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.680000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1277.91

11,02:30-02:45,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.680000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1277.91

12,02:45-03:00,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.680000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1277.91

13,03:00-03:15,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

14,03:15-03:30,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

15,03:30-03:45,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

16,03:45-04:00,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

17,04:00-04:15,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

18,04:15-04:30,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

19,04:30-04:45,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

20,04:45-05:00,1.020000,0.610000,98.650000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,0.000000,0.520000,0.440000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1218.14

21,05:00-05:15,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1118.43

22,05:15-05:30,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1118.43

23,05:30-05:45,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1118.43

24,05:45-06:00,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,23.210000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,0.000000,0.610000,48.360000,0,0,0,0,0,1118.43

25,06:00-06:15,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,0.3,0,0.6,1.4,0.7,1044.11

26,06:15-06:30,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,0.6,0,1.56,3.64,1.4,1048.31

27,06:30-06:45,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,0.9,0,2.34,5.46,2.1,1051.91

28,06:45-07:00,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,29.560000,0.000000,0.520000,0.530000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,1.35,0.19,3.51,8.19,3.15,1057.5

29,07:00-07:15,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.680000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,1.8,0.39,4.68,10.92,4.2,1093.07

30,07:15-07:30,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.680000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,2.55,0.61,7.2,16.8,5.95,1104.19

31,07:30-07:45,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.680000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,3,1.13,7.8,18.2,7,1108.21

32,07:45:08:00,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.680000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,3,2.32,10.2,23.8,7,1117.4

33,08:00-08:15,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,5.7,2.8,14.7,34.3,13.3,1136.14

34,08:15-08:30,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,6.9,3.58,17.4,40.6,16.1,1149.92

35,08:30-08:45,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,8.7,3.77,20.4,47.6,20.3,1166.11

36,08:45:09:00,1.020000,0.610000,0.000000,62.870000,0.000000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,8.7,4.26,21.9,51.1,20.3,1171.6

37,09:00:09:15,1.020000,0.610000,0.000000,62.870000,24.180000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,11.7,4.26,23.4,54.6,27.3,1210.78

38,09:15-09:30,1.020000,0.610000,0.000000,62.870000,24.180000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,28.530000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,12,5.13,26.1,60.9,28,1221.65

39,09:30-09:45,1.020000,0.610000,0.000000,62.870000,24.180000,0.000000,85.080000,37.840000,0.000000,0.000000,12.710000,43.520000,13.010000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,11.7,5.03,27.6,64.4,27.3,1227.59

40,09:45-10:00,1.020000,0.610000,0.000000,62.870000,24.180000,0.000000,85.080000,25.800000,0.000000,0.000000,12.710000,43.520000,25.040000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,11.7,5.13,29.4,68.6,27.3,1233.68

41,10:00-10:15,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,11.4,5.13,31.5,73.5,26.6,1330.61

42,10:15-10:30,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,13.5,5.13,34.2,79.8,31.5,1346.61

43,10:30-10:45,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,14.1,5.13,34.8,81.2,32.9,1350.61

44,10:45-11:00,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,15,5.13,35.4,82.6,35,1355.61

