Column1,Block,NR/2025/29985/A/87636,NR/2025/30334/A/87216,NR/2025/31266/C,GNARE/NR/2024/12/20/3668,NR/2025/31132/A/87665,NR/2025/31136/A/87824,NR/2025/31136/A/87820,NR/2025/31138/A/87886,NR/2025/31138/A/87887,NR/2025/31202/C,NR/2025/31137/A/87884,NR/2025/31137/A/87885,NR/2025/30101/A/87687,NR/2025/31212/C,NR/2025/31255/C,NR/2025/31259/C,NR/2025/29352/A/87482,NR/2025/31251/C,NR/2025/31252/C,NR/2025/31256/C,NR/2025/29915/A/87265,NR/2025/31210/C,NR/2025/31245/C,NR/2025/31253/C,NR/2025/30822/A/87633,NR/2025/31246/C,NR/2025/31126/A/87615,NR/2025/29628/A/87640,NR/2025/31205/C,NR/2025/27962/A/87654,NR/2025/29440/A/87272,NR/2025/30082/A/87681,NR/2025/30086/A/87627,NR/2025/30083/A/87629,NR/2025/30084/A/87628,NR/2025/30217/A/87625,NR/2025/31244/C,NR/2025/29439/A/87333,NR/2025/29910/A/87638,NR/2025/31178/C,NR/2025/29353/A/87479,NR/2025/30191/A/87215,NR/2025/30121/A/87213,NR/2025/31188/C,NR/2025/29167/A/87264,NR/2025/26975/A/87643,NR/2025/27978/A/87691,NR/2025/30067/A/87741,NR/2025/27970/A/87659,NR/2025/31154/C,NR/2025/27964/A/87656,NR/2025/27968/A/87658,NR/2025/31262/C,NR/2025/30105/A/87626,NR/2025/27963/A/87655,NR/2025/31224/C,NR/2025/28725/A/87664,NR/2025/31256/C/Alternate/1,NR/2025/29992/A/87336,NR/2025/31211/C,NR/2025/31254/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.51

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.51

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.77,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.58,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.19

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.77,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.58,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.19

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.77,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.58,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2456.2

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.77,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.58,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2456.2

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.67,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.3,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2430.74

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.67,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.3,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2430.74

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.67,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.3,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2430.74

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.67,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.3,49.05,26.7,224.82,19.24,26.7,15.24,43.71,81.75,2430.74

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,5.77,96.18,0,0,0,0,144.27,0,17.49,144.27,0,143.07,0,44.24,0,0,134.89,20.75,17.12,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1972.1000000000001

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,5.77,96.18,0,0,0,0,144.27,0,17.49,144.27,0,143.07,0,44.24,0,0,134.89,20.75,17.12,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1972.1000000000001

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,5.77,96.18,0,0,0,0,144.27,0,17.49,144.27,0,143.07,0,44.24,0,0,134.89,20.75,17.12,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1972.1000000000001

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,54.1,5.77,96.18,0,0,0,0,144.27,0,17.49,144.27,0,143.07,0,44.24,0,0,134.89,20.75,17.12,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1972.1000000000001

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,17.03,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1629.3700000000003

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,17.03,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1629.3700000000003

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,17.03,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1645.3200000000002

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,17.03,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1645.3200000000002

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,141.67,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,50.69,44.24,0,0,134.89,20.75,16.94,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1642.5700000000004

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,12.5,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.94,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1642.5700000000004

23,05:30-05:45,0,0,0,0.84,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.94,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1642.4500000000005

24,05:45-06:00,1,0,0,1.49,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.63,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.94,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1644.1000000000001

25,06:00-06:15,3,0,0,3.79,0,0.13,0,0,0.03,0,0,0.03,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.82,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.84,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1648.6800000000003

26,06:15-06:30,7,0,0,6.1,0,0.2,0,0,0.05,0,0,0.1,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.82,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.84,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1655.15

27,06:30-06:45,11,0,0.35,8.41,0,0.38,0.12,0.08,0.1,0,0.08,0.19,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.82,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.84,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1662.4100000000003

28,06:45-07:00,16,0,0.57,10.71,0,0.48,0.24,0.14,0.1,0,0.17,0.19,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.82,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.84,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1670.3000000000002

29,07:00-07:15,25,0,0.82,15.01,0,0.48,0.38,0.23,0.19,0,0.28,0.19,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.87,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.75,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1684.24

30,07:15-07:30,35,0,1.23,19.3,0,0.48,0.55,0.37,0.19,0,0.37,0.19,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.87,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.75,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1699.3400000000004

31,07:30-07:45,46,0,1.6,23.6,0,0.48,0.67,0.53,0.19,0,0.53,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.87,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.75,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1715.5500000000004

32,07:45-08:00,60,0,2.17,27.89,0,0.48,0.88,0.62,0.19,0,0.7,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.87,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.75,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1734.8800000000003

33,08:00-08:15,70,2.92,2.56,33.44,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.96,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.66,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1755.5800000000004

34,08:15-08:30,84,3.41,3.53,38.98,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,11.54,76.58,0,96.18,0.96,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.66,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1776.5800000000004

35,08:30-08:45,81,3.93,1.82,44.53,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,13.47,76.58,0,96.18,0.96,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.66,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1779.8700000000003

36,08:45-09:00,88,4.46,1.82,50.08,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,0,0,13.47,76.58,0,96.18,0.96,48.09,26.23,8.74,26.23,7.69,0,0,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,0,0,0,0,0,17.49,0,0,143.07,0,44.24,0,0,134.89,20.75,16.66,0,26.7,224.82,19.24,26.7,15.24,43.71,81.75,1792.9500000000003

37,09:00-09:15,109,4.94,2.18,55.53,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.57,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1866.02

38,09:15-09:30,119,5.35,2.18,60.97,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.57,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1881.87

