Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21144/A/26303,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/21210/A/26286,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21062/A/26362,NR/2024/21476/C,NR/2024/21099/A/26289,NR/2024/21199/A/26305,NR/11072024/11072024/IEX_240710_01473,NR/01102023/23072042/L_NR_2012_04,NR/2024/19779/A/26266,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21227/A/26575,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/26331,NR/2024/21108/A/26571,NR/2024/20877/A/26593,NR/2024/21156/A/26337,NR/2024/21173/A/26388,NR/2024/21339/A/26283,NR/01102023/02012046/L_NR_2021_17,NR/2024/21096/A/26584,NR/2024/21160/A/26334,SR/2024/13489/C,NR/2024/21243/A/26299,NR/2024/21146/A/26333,NR/2024/21103/A/26576,NR/2024/21075/A/26632,NR/2024/21158/A/26330,NR/2024/21152/A/26244,NR/2024/21089/A/26581,NR/2024/21023/A/26307,NR/2024/20574/A/26597,NR/2024/21458/C,NR/2024/20573/A/26539,NR/2024/21076/A/26630,NR/2024/21238/A/26640,NR/2024/21141/A/26288,NR/2024/21113/A/26579,NR/2024/21104/A/26573,NR/2024/21312/A/26161,NR/2024/21150/A/26332,NR/2024/21072/A/26582,NR/2024/20711/A/26645,NR/2024/21153/A/26336,NR/2024/20966/A/26245,NR/2024/21376/A/26644,NR/2024/20930/A/26504,NR/2024/21087/A/26390,NR/2024/21459/C,NR/2024/21142/A/26287,NR/2024/21460/C,NR/2024/20688/A/26392,NR/01102023/14082046/L_NR_2021_16,NR/2024/21159/A/26338,NR/2024/21183/A/26634,NR/2024/21186/A/26592,Total
28,06:45-07:00,81.880000,32.000000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.670000,61.410000,0.000000,0.000000,14.530000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,365.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,0.000000,0.44,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2480.21

29,07:00-07:15,81.880000,25.860000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.770000,61.410000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,89.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,0.000000,0.72,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2197.99

30,07:15-07:30,81.880000,25.860000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.770000,61.410000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,0.000000,1.57,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2109.84

31,07:30-07:45,81.880000,26.330000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.770000,61.410000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,0.000000,1.66,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2110.4

32,07:45:08:00,81.880000,26.330000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.770000,61.410000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,0.000000,1.79,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2110.53

33,08:00-08:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.59,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2111.48

34,08:15-08:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.11,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2112

35,08:30-08:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.5,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2112.39

36,08:45:09:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.75,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2112.64

37,09:00:09:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.94,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.76

38,09:15-09:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.06,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.88

39,09:30-09:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.21,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.03

40,09:45-10:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.94,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.76

41,10:00-10:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.7,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.52

42,10:15-10:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.44,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.26

43,10:30-10:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.73,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.55

44,10:45-11:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.74,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.56

45,11:00-11:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,7.08,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.64

46,11:15-11:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,5.31,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.87

47,11:30-11:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,7.79,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2117.35

48,11:45-12:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,6.16,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.72

49,12:00-12:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.21,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2113.77

50,12:15-12:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,6.99,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.55

51,12:30-12:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.98,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2113.54

52,12:45-13:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.29,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2112.85

53,13:00-13:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,5.96,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.52

54,13:15-13:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,5.06,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.62

55,13:30-13:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.59,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.15

56,13:45-14:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,6.17,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,11.560000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.73

57,14:00-14:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.08,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2112.68

58,14:15-14:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.23,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2111.83

59,14:30-14:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.48,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2113.08

60,14:45-15:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,10.850000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.41,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2110.01

61,15:00-15:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.37,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.19

62,15:15-15:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,2.77,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.59

63,15:30-15:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.39,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.21

64,15:45-16:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.960000,0.000000,0.000000,0.000000,14.070000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.09,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2115.91

65,16:00-16:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,4.2,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2117.26

