Column1,Block,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2143,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,WR/2025/26047/A/51914,ER/2025/15683/A/51909,NR/2025/24882/A/51689,NR/2025/25070/A/51946,NR/2025/24992/A/51688,NR/2024/24418/A/51706,NER/2025/2918/A/51911,NR/2025/25134/C,NR/2025/25135/C,Total
12,02:45-03:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

13,03:00-03:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

14,03:15-03:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

15,03:30-03:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

16,03:45-04:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

17,04:00-04:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

18,04:15-04:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

19,04:30-04:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

20,04:45-05:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

21,05:00-05:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

22,05:15-05:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

23,05:30-05:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

24,05:45-06:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

25,06:00-06:15,25.35,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.43,9.17,0,0,268.86

26,06:15-06:30,25.35,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.43,9.17,0,0,268.86

27,06:30-06:45,25.35,25.96,1.29,32,8.65,23.08,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.43,9.17,0,0,274.62000000000006

28,06:45-07:00,25.35,25.96,1.29,32,8.65,23.08,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.43,9.17,0,0,274.62000000000006

29,07:00-07:15,32,25.96,1.29,32,8.65,23.08,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.48,9.17,0,0,281.32000000000005

30,07:15-07:30,32,25.96,1.29,32,8.65,23.08,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.48,9.17,0,0,281.32000000000005

31,07:30-07:45,32,25.96,1.29,32,8.65,23.08,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.48,9.17,0,0,281.32000000000005

32,07:45-08:00,32,25.96,1.29,32,8.65,25.96,8.65,0,75,0,0,0,25.96,0,7.34,4.81,17.31,9.62,0.48,9.17,0,0,284.20000000000005

33,08:00-08:15,32,34.62,1.29,32,8.65,34.62,8.65,0,75,0,0,0,34.62,0,7.34,4.81,17.31,9.62,0.87,9.17,0,0,310.57

34,08:15-08:30,32,34.62,1.29,32,8.65,34.62,8.65,0,75,0,0,0,34.62,0,7.34,4.81,17.31,9.62,0.87,9.17,0,0,310.57

35,08:30-08:45,32,34.62,1.29,32,8.65,34.62,8.65,0,75,0,0,0,34.62,0,7.34,4.81,17.31,9.62,0.87,9.17,0,0,310.57

36,08:45-09:00,32,34.62,1.29,32,8.65,34.62,8.65,0,75,0,0,0,34.62,0,7.34,4.81,17.31,9.62,0.87,9.17,0,0,310.57

37,09:00-09:15,32,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.87,9.17,34.81,18.08,328.84

38,09:15-09:30,32,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.87,9.17,38.46,14.42,328.83

39,09:30-09:45,32,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.87,9.17,38.46,14.42,328.83

40,09:45-10:00,32,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,4.81,17.31,9.62,0.87,9.17,38.46,14.42,328.83

41,10:00-10:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

42,10:15-10:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

43,10:30-10:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

44,10:45-11:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

45,11:00-11:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

46,11:15-11:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

47,11:30-11:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

48,11:45-12:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

49,12:00-12:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

50,12:15-12:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,318.14

51,12:30-12:45,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

52,12:45-13:00,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

53,13:00-13:15,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

54,13:15-13:30,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

55,13:30-13:45,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

56,13:45-14:00,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

57,14:00-14:15,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

58,14:15-14:30,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

59,14:30-14:45,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

60,14:45-15:00,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.87,9.17,38.46,14.42,314

61,15:00-15:15,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.67,9.17,38.46,14.42,313.8

62,15:15-15:30,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.67,9.17,38.46,14.42,313.8

63,15:30-15:45,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.67,9.17,38.46,14.42,313.8

64,15:45-16:00,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.67,9.17,38.46,14.42,313.8

65,16:00-16:15,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.53,9.17,38.46,14.42,313.66

66,16:15-16:30,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.53,9.17,38.46,14.42,313.66

67,16:30-16:45,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.53,9.17,35.58,17.31,313.67

68,16:45-17:00,26.99,23.08,1.29,26.99,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,3.85,17.31,5.77,0.53,9.17,27.6,22.69,311.07000000000005

69,17:00-17:15,26.12,36.54,1.29,32,8.65,36.54,8.65,0,75,0,0,0,36.54,0,7.34,4.81,17.31,9.62,0.53,9.17,0,0,310.10999999999996

70,17:15-17:30,26.12,36.54,1.29,32,8.65,36.54,8.65,0,75,0,0,0,36.54,0,7.34,4.81,17.31,9.62,0.53,9.17,0,0,310.10999999999996

71,17:30-17:45,26.12,36.54,1.29,32,8.65,36.54,8.65,0,75,0,0,0,36.54,0,7.34,4.81,17.31,9.62,0.53,9.17,0,0,310.10999999999996

72,17:45-18:00,26.12,36.54,1.29,32,8.65,36.54,8.65,0,75,0,0,0,36.54,0,7.34,4.81,17.31,9.62,0.53,9.17,0,0,310.10999999999996

73,18:00-18:15,25.35,36.54,1.29,32,8.65,36.54,8.65,0,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.53,9.17,0,0,597.7999999999998

74,18:15-18:30,25.35,36.54,1.29,32,8.65,36.54,8.65,0,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.53,9.17,0,0,597.7999999999998

75,18:30-18:45,19.31,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.53,9.17,0,0,641.7599999999999

76,18:45-19:00,19.31,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.53,9.17,0,0,641.7599999999999

77,19:00-19:15,19.31,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.63,9.17,0,0,641.8599999999999

78,19:15-19:30,19.31,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.63,9.17,0,0,641.8599999999999

79,19:30-19:45,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.63,9.17,0,0,647.8999999999999

80,19:45-20:00,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,200,0,36.54,38.46,7.34,4.81,17.31,9.62,0.63,9.17,0,0,647.8999999999999

81,20:00-20:15,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.63,9.17,0,0,593.0899999999999

82,20:15-20:30,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.63,9.17,0,0,593.0899999999999

83,20:30-20:45,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.63,9.17,0,0,593.0899999999999

84,20:45-21:00,25.35,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.63,9.17,0,0,593.0899999999999

85,21:00-21:15,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.58,9.17,0,0,593.81

86,21:15-21:30,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.58,9.17,0,0,593.81

87,21:30-21:45,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.58,9.17,0,0,593.81

88,21:45-22:00,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.58,9.17,0,0,593.81

89,22:00-22:15,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.53,9.17,0,0,593.7599999999999

90,22:15-22:30,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.53,9.17,0,0,593.7599999999999

91,22:30-22:45,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.53,9.17,0,0,593.7599999999999

92,22:45-23:00,26.12,36.54,1.29,32,8.65,36.54,8.65,50,75,50,150,0,36.54,38.46,7.34,3.85,17.31,5.77,0.53,9.17,0,0,593.7599999999999

93,23:00-23:15,26.12,23.08,1.29,32,8.65,23.08,8.65,50,75,50,150,0,23.08,38.46,7.34,3.85,17.31,5.77,0.48,9.17,0,0,553.3299999999999

94,23:15-23:30,26.12,23.08,1.29,32,8.65,23.08,8.65,50,75,50,150,0,23.08,38.46,7.34,3.85,17.31,5.77,0.48,9.17,0,0,553.3299999999999

95,23:30-23:45,26.12,23.08,1.29,32,8.65,23.08,8.65,50,75,50,150,0,23.08,38.46,7.34,3.85,17.31,5.77,0.48,9.17,0,0,553.3299999999999

96,23:45-24:00,26.12,23.08,1.29,32,8.65,23.08,8.65,50,75,50,150,0,23.08,38.46,7.34,3.85,17.31,5.77,0.48,9.17,0,0,553.3299999999999

