Time,Block,NR/2024/20142/A/20693,NR/2024/20144/A/20694,NR/2024/20141/A/20692,NR/2024/20037/A/20640,NR/2024/19637/A/20659,NR/2024/20526/C,NR/2024/19918/A/20945,NR/2024/20052/A/20459,NR/2024/19760/A/20641,NR/2024/20130/A/20630,NR/2024/19588/A/20902,NR/2024/20520/C,NR/2024/20502/C,NR/2024/20031/A/20934,NR/2024/20212/A/20691,NR/2024/20211/A/20688,NR/2024/19791/A/20946,NR/2024/20501/C,NR/2024/20033/A/20935,NR/2024/20528/C,NR/2024/20048/A/20916,NR/2024/20109/A/21075,NR/2024/20500/C,NR/2024/19919/A/20957,NR/2024/20350/A/20458,NR/2024/19757/A/20936,NR/2024/19966/A/20653,NR/2024/20034/A/20933,NR/2024/19475/A/20900,NR/2024/19699/A/20940,NR/2024/20517/C,NR/2024/20041/A/20917,NR/2024/19779/A/20622,NR/2024/19683/A/20571,NR/2024/20090/A/20544,NR/2024/20050/A/20915,NR/2024/19355/A/21076,NR/2024/19432/A/20939,Total
19,04:30-04:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

20,04:45-05:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

21,05:00-05:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,30.150000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1244.92

22,05:15-05:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,30.150000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1244.92

23,05:30-05:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,30.150000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1244.92

24,05:45-06:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,30.150000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1244.92

25,06:00-06:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,0.000000,96.490000,24.120000,1110.8

26,06:15-06:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,0,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,0.000000,96.490000,24.120000,1110.8

27,06:30-06:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,0.57,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,0.000000,96.490000,24.120000,1111.37

28,06:45-07:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,1.03,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,0.000000,96.490000,24.120000,1111.83

29,07:00-07:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,1.23,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.680000,1.930000,1.930000,0.000000,96.490000,24.120000,1112.18

30,07:15-07:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,1.28,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.680000,1.930000,1.930000,0.000000,96.490000,24.120000,1112.23

31,07:30-07:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,1.35,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.680000,1.930000,1.930000,0.000000,96.490000,24.120000,1112.3

32,07:45:08:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,1.59,73.330000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.680000,1.930000,1.930000,0.000000,96.490000,24.120000,1112.54

33,08:00-08:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,9.650000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,2.09,73.330000,0.000000,242.920000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1308.6

34,08:15-08:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,9.650000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,2.12,73.330000,0.000000,242.920000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1308.63

35,08:30-08:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,9.650000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,2.13,121.570000,0.000000,242.920000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1356.88

36,08:45:09:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,0.000000,9.650000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,24.120000,12.430000,0.000000,0.000000,183.330000,2.33,121.570000,0.000000,242.920000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1357.08

37,09:00:09:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,9.650000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.36,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1560.61

38,09:15-09:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,9.650000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.4,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1560.65

39,09:30-09:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,9.650000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.45,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1560.7

40,09:45-10:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,9.650000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.98,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1561.23

41,10:00-10:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.44,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1566.55

42,10:15-10:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.62,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1566.73

43,10:30-10:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.78,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1566.89

44,10:45-11:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.88,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1566.99

45,11:00-11:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,5.07,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1567.18

46,11:15-11:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,5.12,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1567.23

47,11:30-11:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,5.31,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1567.42

48,11:45-12:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,0.000000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,5.41,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1567.52

49,12:00-12:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,5.17,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1580.79

50,12:15-12:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.64,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1580.26

51,12:30-12:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.49,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1580.11

52,12:45-13:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.39,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1580.01

53,13:00-13:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,4.06,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1579.68

54,13:15-13:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,3.86,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1579.48

55,13:30-13:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,3.62,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1579.24

56,13:45-14:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,3.48,121.570000,0.000000,242.920000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1579.1

57,14:00-14:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,3.33,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1384.64

