Time,Block,NR/2023/15152/C,NR/2023/15095/D,ER/2023/9251/C,NR/2023/15090/D,NR/2023/15093/D,NR/2023/11654/A,NR/2023/13983/F,NR/2023/14187/F,NR/2023/11328/A,NR/2023/15113/C,NR/2023/11325/A,NR/2023/11470/A,NR/2023/13284/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13983/F/II,NR/2023/15101/C,NR/2023/11739/A,NR/2023/15114/C,NR/2023/15109/C,NR/2023/11458/A,NR/2023/11697/A,NR/2023/11203/A,NR/2023/15096/D,NR/2023/13573/A,NR/2023/15105/C,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/11315/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/15091/D,NR/2023/13859/A,NR/2023/15102/C,NR/2023/12646/A,NR/2023/15154/C,Total

3,00:30-00:45,0,0,0.000000,0,0,152.530000,0.630000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,0.000000,36.420000,0.240000,3.190000,42.470000,67.580000,386.160000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1812.6

4,00:45-01:00,0,0,0.000000,0,0,152.530000,0.630000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,0.000000,36.420000,0.240000,3.190000,42.470000,40.550000,386.160000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1785.57

5,01:00-01:15,0,0,0.000000,0,0,152.530000,0.490000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.180000,3.190000,42.470000,40.550000,386.160000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1741.93

6,01:15-01:30,0,0,0.000000,0,0,152.530000,0.490000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.180000,3.190000,42.470000,40.550000,289.620000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1645.39

7,01:30-01:45,0,0,0.000000,0,0,152.530000,0.490000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.180000,3.190000,42.470000,40.550000,241.350000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1597.12

8,01:45-02:00,0,0,0.000000,0,0,152.530000,0.490000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.180000,3.190000,42.470000,40.550000,193.080000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1548.85

9,02:00-02:15,0,0,0.000000,0,0,152.530000,0.420000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.150000,3.190000,42.470000,40.550000,193.080000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1548.75

10,02:15-02:30,0,0,0.000000,0,0,152.530000,0.420000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.150000,3.190000,42.470000,40.550000,144.810000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1500.48

11,02:30-02:45,0,0,0.000000,0,0,152.530000,0.420000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.150000,2.220000,42.470000,40.550000,144.810000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1499.51

12,02:45-03:00,0,0,0.000000,0,0,152.530000,0.420000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,0.000000,36.420000,0.150000,2.220000,42.470000,40.550000,96.540000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1451.24

13,03:00-03:15,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,40.550000,96.540000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1391.68

14,03:15-03:30,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,40.550000,48.270000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1343.41

15,03:30-03:45,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

16,03:45-04:00,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

17,04:00-04:15,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

18,04:15-04:30,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

19,04:30-04:45,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

20,04:45-05:00,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1254.59

21,05:00-05:15,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1199.56

22,05:15-05:30,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,4.830000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1160.95

23,05:30-05:45,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1156.12

24,05:45-06:00,0,0,0.000000,0,0,152.530000,0.530000,3.860000,48.270000,0.000000,24.140000,21.230000,81.770000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1156.12

25,06:00-06:15,0,1.4,0.000000,0,0.6,152.530000,0.680000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1041.46

26,06:15-06:30,0,6.3,0.000000,0,2.7,152.530000,0.680000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1048.46

27,06:30-06:45,0,10.5,0.000000,0,4.5,152.530000,0.680000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1054.46

28,06:45-07:00,0,17.5,0.000000,0,7.5,152.530000,0.680000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,2.220000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1064.46

29,07:00-07:15,0,31.5,0.000000,0.26,13.5,152.530000,0.680000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,5.120000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1084.73

30,07:15-07:30,0,42,0.000000,0.49,18,152.530000,0.680000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,5.120000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1099.96

31,07:30-07:45,0,51.8,0.000000,0.72,22.2,152.530000,0.680000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,5.120000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1114.19

32,07:45:08:00,0,60.2,0.000000,0.82,25.8,152.530000,0.680000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,5.120000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1126.29

33,08:00-08:15,0,68.6,50.000000,0.97,29.4,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1189.69

34,08:15-08:30,0,77.7,50.000000,0.97,33.3,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1202.69

35,08:30-08:45,0,84,50.000000,1.16,36,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1211.88

36,08:45:09:00,0,95.9,50.000000,1.45,41.1,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1229.17

37,09:00:09:15,0,108.5,50.000000,1.93,46.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1255.86

38,09:15-09:30,0,115.5,50.000000,1.93,49.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1265.86

39,09:30-09:45,0,119,50.000000,2.13,51,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.010000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1272.99

40,09:45-10:00,0,122.5,50.000000,2.13,52.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.010000,42.470000,0.000000,0.000000,0.000000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1277.99

41,10:00-10:15,0,128.1,50.000000,2.13,54.9,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1377.71

42,10:15-10:30,0,131.6,50.000000,2.42,56.4,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1383

43,10:30-10:45,0,135.1,50.000000,2.56,57.9,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1388.14

44,10:45-11:00,0,137.2,50.000000,2.51,58.8,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1391.09

45,11:00-11:15,0,147,50.000000,2.7,63,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1405.28

46,11:15-11:30,0,154,50.000000,2.99,66,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1415.57

47,11:30-11:45,0,165.9,50.000000,3.19,71.1,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1432.77

48,11:45-12:00,0,171.5,50.000000,3.09,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,8.980000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1440.67

49,12:00-12:15,0,171.5,0.000000,4.35,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1392.6

50,12:15-12:30,0,171.5,0.000000,5.22,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1393.47

51,12:30-12:45,0,171.5,0.000000,6.09,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1394.34

52,12:45-13:00,0,171.5,0.000000,6.96,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1395.21

53,13:00-13:15,0,171.5,0.000000,7.82,73.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1396.07

54,13:15-13:30,0,157.5,0.000000,7.82,67.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1376.07

55,13:30-13:45,0,154,0.000000,6.96,66,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1370.21

56,13:45-14:00,0,143.5,0.000000,6.09,61.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,90.750000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1354.34

57,14:00-14:15,0,136.5,0.000000,5.22,58.5,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1382.01

58,14:15-14:30,0,133,0.000000,4.35,57,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1376.14

59,14:30-14:45,0,126,0.000000,3.48,54,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1365.27

60,14:45-15:00,0,116.2,0.000000,1.21,49.8,152.530000,0.970000,0.970000,48.270000,14.480000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,0.000000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1363.48

61,15:00-15:15,0,107.1,0.000000,1.21,45.9,152.530000,0.970000,0.970000,48.270000,14.480000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,0.000000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1369.79

62,15:15-15:30,0,98.7,0.000000,1.11,42.3,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,30.890000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1374.1

63,15:30-15:45,0,91,0.000000,1.11,39,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,40.550000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1372.76

