Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/9334,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/4565,WR/2025/27361/A/61331,NR/2025/25791/A/61303,NR/2025/25795/A/61300,NR/2025/25826/C,WR/2025/27369/A/61413,WR/2025/27350/A/61050,NR/2025/25790/A/61304,NR/2025/25792/A/61302,NR/2025/25794/A/61301,NR/2025/25752/A/60913,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,30.5,9.62,7.27,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,568.34

4,00:45-01:00,30.5,9.62,7.27,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,568.34

5,01:00-01:15,30.5,9.62,7.19,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,564.24

6,01:15-01:30,30.5,9.62,7.19,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,564.24

7,01:30-01:45,30.5,9.62,7.19,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,564.24

8,01:45-02:00,30.5,9.62,7.19,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,564.24

9,02:00-02:15,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

10,02:15-02:30,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

11,02:30-02:45,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

12,02:45-03:00,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

13,03:00-03:15,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

14,03:15-03:30,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

15,03:30-03:45,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

16,03:45-04:00,30.5,9.62,7.09,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.64000000000004

17,04:00-04:15,30.5,9.62,6.99,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.54

18,04:15-04:30,30.5,9.62,6.99,25.97,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.48,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,511.54

19,04:30-04:45,26.96,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.63000000000005

20,04:45-05:00,26.96,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.63000000000005

21,05:00-05:15,26.95,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.95,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.61000000000007

22,05:15-05:30,26.95,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.95,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.61000000000007

23,05:30-05:45,26.95,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.95,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.61000000000007

24,05:45-06:00,26.95,9.62,6.99,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.95,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,504.61000000000007

25,06:00-06:15,22.58,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,22.58,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,495.79

26,06:15-06:30,22.58,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,22.58,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,495.79

27,06:30-06:45,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0.77,512.4000000000001

28,06:45-07:00,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,1.28,512.9100000000001

29,07:00-07:15,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,3.71,515.34

30,07:15-07:30,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,7.8,519.4300000000001

31,07:30-07:45,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,13.96,525.59

32,07:45-08:00,30.5,9.62,6.91,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,22.56,534.19

33,08:00-08:15,21.55,9.62,6.81,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,3.85,31.44,393.5900000000001

34,08:15-08:30,21.55,9.62,6.81,22.12,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,3.85,40.71,402.86000000000007

35,08:30-08:45,21.55,9.62,6.81,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,3.85,49.99,390.0200000000001

36,08:45-09:00,26.48,9.62,6.81,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,3.85,58.68,403.6400000000001

37,09:00-09:15,26.56,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,66.85,414.18000000000006

38,09:15-09:30,26.56,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,30,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,74.38,421.7100000000001

39,09:30-09:45,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,81.47,426.1600000000001

40,09:45-10:00,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,87.64,432.33000000000004

41,10:00-10:15,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,93.59,440.21000000000004

42,10:15-10:30,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,99.09,445.71000000000004

43,10:30-10:45,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.62000000000006

44,10:45-11:00,26.96,9.62,6.72,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.62000000000006

45,11:00-11:15,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

46,11:15-11:30,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

47,11:30-11:45,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

48,11:45-12:00,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

49,12:00-12:15,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

50,12:15-12:30,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

51,12:30-12:45,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

52,12:45-13:00,26.96,9.62,6.63,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.5300000000001

53,13:00-13:15,26.96,9.62,6.54,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.44000000000005

54,13:15-13:30,26.96,9.62,6.54,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.44000000000005

55,13:30-13:45,26.96,9.62,6.54,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.44000000000005

56,13:45-14:00,26.96,9.62,6.54,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,8.66,100,446.44000000000005

57,14:00-14:15,26.96,9.62,6.44,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,7.7,100,445.38000000000005

58,14:15-14:30,26.96,9.62,6.44,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,7.7,100,445.38000000000005

59,14:30-14:45,26.96,9.62,6.44,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,7.7,100,445.38000000000005

60,14:45-15:00,26.96,9.62,6.44,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,7.7,100,445.38000000000005

61,15:00-15:15,26.96,9.62,6.35,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,100,444.32000000000005

62,15:15-15:30,26.96,9.62,6.35,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,99.19,443.51000000000005

63,15:30-15:45,26.96,9.62,6.35,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,93.88,438.20000000000005

64,15:45-16:00,26.96,9.62,6.35,0,0,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,0,48.1,0,10.93,32.79,32.79,6.73,85.23,429.55000000000007

65,16:00-16:15,26.96,9.62,6.35,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,3.85,79.14,472.5000000000001

66,16:15-16:30,26.96,9.62,6.35,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.96,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,3.85,72.58,465.9400000000001

67,16:30-16:45,26.59,9.62,6.35,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.59,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,3.85,68.31,460.9300000000001

68,16:45-17:00,26.59,9.62,6.35,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.59,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,3.85,60.4,453.0200000000001

69,17:00-17:15,26.59,9.62,6.44,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.59,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,0,51.9,440.7600000000001

70,17:15-17:30,26.59,9.62,6.44,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,26.59,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,0,43.59,432.45000000000016

71,17:30-17:45,24.71,9.62,6.44,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,24.71,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,0,34.67,419.7700000000001

72,17:45-18:00,24.71,9.62,6.44,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,24.71,48.1,48.1,10.33,6.73,1.92,48.1,0,10.93,32.79,32.79,0,25.47,410.57000000000005

73,18:00-18:15,0,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,0,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,17.15,401.07000000000005

74,18:15-18:30,0,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,0,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,10.23,394.1500000000001

75,18:30-18:45,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,4.94,449.8600000000001

76,18:45-19:00,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,2.76,447.6800000000001

77,19:00-19:15,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,1.35,446.27000000000015

78,19:15-19:30,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0.34,445.2600000000001

79,19:30-19:45,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

80,19:45-20:00,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

81,20:00-20:15,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

82,20:15-20:30,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

83,20:30-20:45,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

84,20:45-21:00,30.5,9.62,6.58,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,444.92000000000013

85,21:00-21:15,30.5,9.62,6.81,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,445.15000000000015

86,21:15-21:30,30.5,9.62,6.81,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,445.15000000000015

87,21:30-21:45,30.5,9.62,6.81,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,445.15000000000015

88,21:45-22:00,30.5,9.62,6.81,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,1.92,48.1,48.1,10.93,32.79,32.79,0,0,445.15000000000015

89,22:00-22:15,30.5,9.62,6.99,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.4100000000001

90,22:15-22:30,30.5,9.62,6.99,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.4100000000001

91,22:30-22:45,30.5,9.62,6.99,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.4100000000001

92,22:45-23:00,30.5,9.62,6.99,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.4100000000001

93,23:00-23:15,30.5,9.62,7.09,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.5100000000001

94,23:15-23:30,30.5,9.62,7.09,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.5100000000001

95,23:30-23:45,30.5,9.62,7.09,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.5100000000001

96,23:45-24:00,30.5,9.62,7.09,0,50,9.62,1.92,9.62,2.89,2.89,0,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,48.1,10.93,32.79,32.79,0,0,443.5100000000001

