Time,Block,NR/2023/17938/C,NR/2023/17901/A/779,NR/2023/17905/A/751,NR/2023/16187/A,NR/2023/17064/A,WR/2023/20254/A/811,WR/2023/18560/A,NR/2023/17937/C,NR/2023/17941/C,WR/2023/18560/A/II,WR/2023/20256/A/812,Total
50,12:15-12:30,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,6.38,24.17,100.000000,0.000000,237.23

51,12:30-12:45,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.99,24.17,100.000000,0.000000,236.84

52,12:45-13:00,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.61,24.17,100.000000,0.000000,236.46

53,13:00-13:15,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.41,24.17,100.000000,0.000000,236.17

54,13:15-13:30,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.03,24.17,100.000000,0.000000,235.79

55,13:30-13:45,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,4.64,24.17,100.000000,0.000000,235.4

56,13:45-14:00,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,4.16,24.17,100.000000,0.000000,234.92

57,14:00-14:15,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,3.87,24.17,100.000000,0.000000,234.63

58,14:15-14:30,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,3.67,24.17,100.000000,0.000000,234.43

59,14:30-14:45,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,3.29,24.17,100.000000,0.000000,234.05

60,14:45-15:00,3.690000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,3.09,24.17,100.000000,0.000000,233.85

61,15:00-15:15,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,2.9,24.17,100.000000,0.000000,233.75

62,15:15-15:30,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,2.42,24.17,100.000000,0.000000,233.27

63,15:30-15:45,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,2.04,24.17,100.000000,0.000000,232.89

64,15:45-16:00,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,1.74,24.17,100.000000,0.000000,232.59

65,16:00-16:15,3.880000,0.630000,1.930000,0.000000,100.000000,0.000000,0.000000,1.55,0,100.000000,0.000000,207.99

66,16:15-16:30,3.880000,0.630000,1.930000,0.000000,100.000000,0.000000,0.000000,1.45,0,100.000000,0.000000,207.89

67,16:30-16:45,3.880000,0.630000,1.930000,0.000000,100.000000,0.000000,0.000000,1.27,0,100.000000,0.000000,207.71

68,16:45-17:00,3.880000,0.630000,1.930000,0.000000,100.000000,0.000000,0.000000,0.9,0,100.000000,0.000000,207.34

69,17:00-17:15,3.880000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0.61,0,100.000000,0.000000,207

70,17:15-17:30,3.880000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0.35,0,100.000000,0.000000,206.74

71,17:30-17:45,3.880000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0.14,0,100.000000,0.000000,206.53

72,17:45-18:00,3.880000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0,0,100.000000,0.000000,206.39

73,18:00-18:15,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

74,18:15-18:30,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

75,18:30-18:45,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

76,18:45-19:00,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

77,19:00-19:15,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

78,19:15-19:30,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

79,19:30-19:45,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

80,19:45-20:00,3.880000,0.630000,1.930000,0.000000,100.000000,55.000000,100.000000,0,0,0.000000,25.000000,286.44

81,20:00-20:15,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

82,20:15-20:30,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

83,20:30-20:45,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

84,20:45-21:00,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

85,21:00-21:15,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

86,21:15-21:30,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

87,21:30-21:45,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

88,21:45-22:00,3.880000,0.580000,1.930000,0.000000,0.000000,55.000000,100.000000,0,0,0.000000,25.000000,186.39

89,22:00-22:15,3.780000,0.580000,1.930000,34.170000,0.000000,55.000000,100.000000,0,0,0.000000,0.000000,195.46

90,22:15-22:30,3.780000,0.580000,1.930000,34.170000,0.000000,55.000000,100.000000,0,0,0.000000,0.000000,195.46

91,22:30-22:45,3.780000,0.580000,1.930000,34.170000,0.000000,55.000000,100.000000,0,0,0.000000,0.000000,195.46

92,22:45-23:00,3.780000,0.580000,1.930000,34.170000,0.000000,55.000000,100.000000,0,0,0.000000,0.000000,195.46

93,23:00-23:15,3.780000,0.580000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

94,23:15-23:30,3.780000,0.580000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

95,23:30-23:45,3.780000,0.580000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

96,23:45-24:00,3.780000,0.580000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

