Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/08/3642,GNA/NR/2025/08/01/3698,GNA/NR/2025/06/07/5932,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
26,06:15-06:30,0,2,2,1,26.08,8.7,0,4.64,14.14,13.73,28.66,7.69,8.7,28.67,3.84,14.54,11.15,2,7,2,0.93,1.78,5.77,115.17,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

27,06:30-06:45,3,5,4,2,25.42,8.47,0,9.03,21.03,20.42,27.66,7.38,8.47,27.67,7.69,14.54,11.15,4,7,3,1.81,3.38,5.77,115.17,10.71,129.86,0.49,28.77,10.46,99.99,15.21,0,14.54,-0,14.33,0.49,5.88,0.37,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

28,06:45-07:00,5,7,7,4,25.51,8.5,0,15.39,29.5,28.64,27,7.04,8.5,27,13.02,14.54,11.15,7,7,4,3.08,5.75,5.77,94.09,10.71,129.86,1.07,27.76,10.46,99.99,15.21,0,14.54,-0,14.33,1.07,5.88,0.83,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

29,07:00-07:15,8,11,11,6,27.8,9.27,0,23.61,33,33,29,7.24,9.27,29,19.58,14.54,11.15,10,7,5,4.72,9.18,5.77,85.62,10.71,129.86,1.77,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,1.77,5.88,1.37,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

30,07:15-07:30,13,16,13,8,30.04,10.02,0,33.58,33,33,32.66,7.74,10.02,32.67,26.87,14.54,11.15,15,7,7,6.72,13.21,5.77,77.15,10.71,129.86,2.63,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,2.63,5.88,2.04,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

31,07:30-07:45,20,21,23,11,32.43,10.81,0,45.49,33,33,32.13,8.47,10.81,32.13,32.08,14.54,11.15,19,7,12,9.1,18.09,5.77,68.68,10.71,128.52,3.46,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,3.46,5.88,2.67,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,269.94

32,07:45-08:00,26,28,29,14,34.94,11.64,0,59.17,33,33,33.59,9.38,11.64,33.6,34.1,14.54,11.15,25,7,16,11.83,23.85,5.77,64.03,10.71,102.18,4.49,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,4.49,5.88,3.47,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,231.55

33,08:00-08:15,33,37,35,19,38.65,12.89,0,73.83,33,33,34.22,9.94,12.89,34.22,36.61,14.54,11.15,31,7,20,14.77,30.19,5.59,70,10.71,102.18,5.67,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,5.67,3.7,4.38,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,193.16

34,08:15-08:30,33,45,40,22,39.53,13.17,0,88.97,33,33,34.4,10.36,13.17,34.41,41.89,14.54,11.15,39,7,23,17.79,36.76,5.59,70,10.71,102.18,6.83,27.76,10.46,99.99,15.21,0,14.54,-0,17.27,6.83,3.7,5.28,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,183.83

35,08:30-08:45,33,52,47,26,39.36,13.13,0,104.66,33,33,34.47,10.66,13.13,34.47,49.07,14.54,11.82,43,7,26,20.93,43.52,5.59,70,10.71,102.18,8.01,24.72,10.46,99.99,15.21,0,14.54,-0,17.27,8.01,3.7,6.19,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,168.44

36,08:45-09:00,33,59,53,30,38.83,12.94,0,120.42,33,33,34.47,10.95,12.94,34.47,58.16,14.54,11.82,51,7,29,24.09,50.14,5.59,70,10.71,102.18,9.17,24.72,10.46,99.99,15.21,0,14.54,-0,17.27,9.17,3.7,7.09,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,56.26,158.27

37,09:00-09:15,33,65,60,33,41.54,13.85,0,135.48,33,33,36.21,11.36,13.85,36.22,65.55,14.54,11.82,56,7,31,27.1,59.18,5.59,70,10.71,102.18,10.28,24.72,10.46,99.99,15.21,0,14.54,-0,17.27,10.28,3.7,7.95,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,187.72

38,09:15-09:30,33,72,67,36,44.15,14.71,0,149.66,33,33,38.78,11.79,14.71,38.78,71.94,14.54,11.82,61,7,34,29.93,65.23,5.59,70,10.71,129.86,11.33,24.72,10.46,99.99,15.21,0,14.54,-0,17.27,11.33,3.7,8.77,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,226.11

39,09:30-09:45,33,77,73,39,43.29,14.44,0,173.62,33,33,35,12.3,14.44,35,77.67,14.54,11.82,67,7,36,34.72,75.41,5.59,70,10.71,102.18,12.22,24.23,10.46,99.99,15.21,0,14.54,-0,17.27,12.22,3.7,9.45,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,262.51

40,09:45-10:00,33,82,77,41,45.81,15.27,0,187.29,33,33,37.34,12.81,15.27,37.33,83.09,14.54,11.82,73,7,38,37.46,81.26,5.59,70,10.71,128.1,13.12,24.23,10.46,99.99,15.21,0,14.54,-0,17.27,13.12,3.7,10.13,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,269.94

41,10:00-10:15,33,87,82,43,49.94,16.64,0,200,33,33,39.34,13.27,16.64,39.33,87.2,14.54,13.21,78,7,40,40,85.54,5.59,70,10.71,129.86,13.89,24.23,10.46,99.99,15.21,0,14.54,-108.33,14.33,13.89,3.7,10.73,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,57.7,269.94

42,10:15-10:30,33,91,87,45,51.69,17.24,0,212.5,33,33,41.34,13.74,17.24,41.33,81.85,14.54,13.21,82,7,41,42.5,89.68,5.59,70,10.71,129.86,14.56,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,14.56,3.7,11.26,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,59.19,269.94

43,10:30-10:45,33,90,91,45,53.74,17.92,0,227.42,33,33,45,14.22,17.92,45,82.82,14.54,13.21,81,7,42,45.48,93.72,5.59,70,10.71,102.18,15.07,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,15.07,3.7,11.65,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,269.94

44,10:45-11:00,33,90,93,45,56.09,18.69,0,237.25,33,33,46.66,14.68,18.69,46.67,80.88,14.54,13.21,81,7,43,47.45,97.76,5.59,70,10.71,102.18,15.79,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,15.79,3.7,12.2,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,56.26,269.94

45,11:00-11:15,33,90,97,45,61.15,20.39,0,242.13,33,33,47,14.84,20.39,47,81.85,14.54,15.4,81,7,43,48.43,100,4.18,70,10.71,72.31,16.23,24.23,10.84,99.99,15.21,0,14.54,-216.67,14.33,16.23,3.7,12.54,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,38.39,269.94

46,11:15-11:30,33,90,98,45,63.41,21.13,0,245.83,33,33,47.66,14.88,21.13,47.67,80.88,14.54,17.56,81,7,43,49.17,100,4.18,70,10.71,72.31,16.6,24.23,10.84,99.99,15.21,0,14.54,-216.67,14.33,16.6,3.7,12.84,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,38.39,269.94

47,11:30-11:45,33,88,98,44,66.09,22.03,0,245.83,33,33,48.34,14.87,22.03,48.33,80.88,14.54,17.56,78,5.6,43,49.17,100,4.18,70,10.71,100,16.79,24.23,10.84,99.99,15.21,0,14.54,-216.67,14.33,16.79,3.7,12.98,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,46.43,269.94

48,11:45-12:00,33,87,98,43,68.91,22.97,0,245.83,33,33,48.66,14.84,22.97,48.67,82.82,14.54,17.56,78,5.6,43,49.17,100,4.18,70,10.71,100,16.86,24.23,10.84,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,12.62,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,8.49,20.4,46.12,269.94

49,12:00-12:15,33,87,96,43,57.49,19.17,0,245.83,33,33,50.66,15.06,19.17,50.67,82.82,14.54,17.56,78,5.6,43,49.17,100,5.59,70,10.71,129.86,16.86,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,64.56,269.94

50,12:15-12:30,33,87,95,43,58.5,19.5,0,245.83,33,33,54,15.41,19.5,54,82.82,14.54,17.56,78,5.6,43,49.17,100,5.59,70,10.71,129.86,16.86,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,64.06,269.94

51,12:30-12:45,33,92,95,46,60,20,0,245.83,33,33,54,15.83,20,54,82.82,14.54,17.56,82,5.6,43,49.17,100,5.59,70,10.71,129.86,16.86,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,63.98,269.94

52,12:45-13:00,33,92,95,46,61.01,20.33,0,245.83,33,33,53.66,16.25,20.33,53.67,81.85,14.54,17.56,82,5.6,43,49.17,100,5.59,70,10.71,129.86,16.86,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,63.55,269.94

53,13:00-13:15,33,92,95,46,79.99,26.67,0,245.83,33,33,66.66,25,26.67,66.67,80.88,14.54,17.56,82,7,43,49.17,100,5.67,70,10.71,129.86,16.86,24.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,56.26,269.94

54,13:15-13:30,33,90,95,45,79.5,26.5,0,245.83,33,33,66.66,24.67,26.5,66.67,80.88,14.54,17.56,82,7,43,49.17,100,5.67,70,10.71,119.38,16.86,25.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,56.26,269.94

55,13:30-13:45,33,90,87,45,79.01,26.33,0,245.83,33,33,66.66,29.2,26.33,66.67,79.74,14.54,17.56,85,7,42,49.17,100,5.67,70,10.71,129.86,16.86,25.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.86,3.7,13.03,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,60.61,269.94

56,13:45-14:00,33,92,87,46,78.49,26.17,0,245.83,33,33,66.66,28.8,26.17,66.67,73.72,14.54,17.56,85,7,42,49.17,100,5.67,70,10.71,129.86,16.81,25.23,10.46,99.99,15.21,0,14.54,-216.67,14.33,16.81,3.7,13,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,62.59,269.94

57,14:00-14:15,33,90,87,45,77.51,25.83,0,243.33,33,33,66.66,29.2,25.83,66.67,67.29,14.54,17.56,85,10,41,48.67,100,5.86,70,10.71,129.86,16.37,25.23,10.46,99.99,15.21,0,14.54,-108.33,14.33,16.37,3.7,12.66,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

58,14:15-14:30,33,85,87,42,76.5,25.5,0,237.5,33,33,66.66,28.8,25.5,66.67,60.94,14.54,17.56,85,10.4,41,47.5,100,5.86,70,10.71,129.86,16.14,25.23,10.46,99.99,15.21,0,14.54,-0,14.33,16.14,3.7,12.47,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

59,14:30-14:45,33,87,87,43,84,28,0,230.81,33,33,66.34,27.6,28,66.33,58.74,14.54,15.37,79,20.01,39,46.16,98.12,7.45,64.03,10.71,129.86,15.97,26.24,10.46,99.99,15.21,0,14.54,-0,14.33,15.97,3.7,12.35,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

60,14:45-15:00,33,85,86,43,82.99,27.67,0,219.58,33,33,68,25.6,27.67,68,56.17,14.54,13.21,75,20.61,38,43.92,94.21,7.45,64.03,10.71,129.86,15.47,26.24,10.46,99.99,15.21,0,14.54,-0,14.33,15.47,3.7,11.96,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

61,15:00-15:15,33,77,83,38,90.75,30.25,0,208.37,33,33,69.66,33.24,30.25,69.67,53.38,14.54,11.82,69,21.21,37,41.68,85.46,7.81,64.03,10.71,129.86,14.48,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,14.48,3.7,11.19,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

62,15:15-15:30,33,73,77,37,90.19,30.07,0,199.36,33,33,69.66,32.22,30.07,69.67,49.81,14.54,11.82,64,21.61,36,39.87,80.53,7.81,64.03,10.71,129.86,13.89,28.27,10.46,99.99,15.21,0,14.54,-0,14.33,13.89,3.7,10.73,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

63,15:30-15:45,33,70,73,35,89.66,29.88,0,178.21,33,33,69.34,35,29.88,69.33,44.48,14.54,11.82,60,23.01,33,35.64,75.39,7.81,70,10.71,129.86,13.26,28.27,10.46,99.99,15.21,0,14.54,-0,14.33,13.26,3.7,10.24,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

64,15:45-16:00,33,67,69,33,89.1,29.7,0,165.54,33,33,68.34,35,29.7,68.33,39.25,14.54,11.82,57,24.01,32,33.11,70.02,7.81,70,10.71,129.86,12.16,28.27,10.46,99.99,15.21,0,14.54,-0,14.33,12.16,3.7,9.4,9.66,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,6.52,20.4,76.1,269.94

