Time,Block,NR/2023/13283/A,NR/2023/14688/F,NR/2023/13859/A,NR/2023/15350/C,NR/2023/15316/C,NR/2023/11203/A,NR/2023/13983/F,NR/2023/13983/F/II,NR/2023/11328/A,NR/2023/11654/A,NR/2023/11469/A,NR/2023/15323/C,NR/2023/11458/A,NR/2023/11315/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/15332/C,NR/2023/15321/C,NR/2023/11470/A,NR/2023/11697/A,NR/2023/11325/A,NR/2023/14688/F/II,NR/2023/14187/F,NR/2023/11739/A,NR/2023/15331/C,NR/2023/15308/D,NR/2023/15333/C,NR/2023/12646/A,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15311/D,NR/2023/15314/D,Total
28,06:45-07:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1014.72

29,07:00-07:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.26,1044.11

30,07:15-07:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.49,1044.34

31,07:30-07:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.72,1044.57

32,07:45:08:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.82,1044.67

33,08:00-08:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,5.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.97,1046.11

34,08:15-08:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,5.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,1.45,1046.59

35,08:30-08:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,5.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,1.74,1046.88

36,08:45:09:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,5.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,0.000000,0.000000,0.000000,0.000000,0.000000,1.74,1046.88

37,09:00:09:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,8.210000,5.040000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,1.93,1090.16

38,09:15-09:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,1.93,1093.2

39,09:30-09:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.13,1093.4

40,09:45-10:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.13,1093.4

41,10:00-10:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.13,1184.2

42,10:15-10:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.42,1184.49

43,10:30-10:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.9,1184.97

44,10:45-11:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.9,1184.97

45,11:00-11:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.04,1185.11

46,11:15-11:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.24,1185.31

47,11:30-11:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.33,1185.4

48,11:45-12:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.38,1185.45

49,12:00-12:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.48,1185.55

50,12:15-12:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.86,1185.93

51,12:30-12:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.86,1185.93

52,12:45-13:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,4.35,1186.42

53,13:00-13:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.86,1185.93

54,13:15-13:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,3.38,1185.45

55,13:30-13:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.9,1184.97

56,13:45-14:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,90.800000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,0.000000,0.000000,0.000000,28.980000,2.42,1184.49

57,14:00-14:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.93,1222.58

58,14:15-14:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.74,1222.39

59,14:30-14:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.45,1222.1

60,14:45-15:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.35,1222

61,15:00-15:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.21,1221.86

62,15:15-15:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.11,1221.76

63,15:30-15:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,1.11,1221.76

64,15:45-16:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.970000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,8.080000,21.240000,0.000000,24.150000,24.150000,0.970000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,0.97,1221.62

65,16:00-16:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,5.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,0.77,1221.12

66,16:15-16:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,5.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,0.68,1221.03

67,16:30-16:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,5.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,0.48,1220.83

68,16:45-17:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,106.260000,22.220000,84.520000,28.980000,8.210000,5.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,28.980000,5.900000,23.120000,0.000000,0.000000,28.980000,0.29,1220.64

69,17:00-17:15,24.150000,0.000000,188.370000,11.760000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,5.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.19,1079.15

