Column1,Block,NR/2025/24839/A/50257,NR/2024/24434/A/49990,NR/2025/24838/A/50253,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,NR/2024/24508/A/50346,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/2470,NR/30092023/26122029/SH-06,NR/2025/24946/C,NR/2025/24944/C,NR/2024/24614/A/50337,NR/2025/24948/C,NR/2024/24435/A/49989,GNA/NR/2025/01/20/4168,NR/2024/24418/A/50025,GNA/NR/2025/01/20/9046,NR/2024/24566/A/49980,WR/2024/25501/A/50291,GNA/NR/2025/01/20/4698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,NER/2024/2820/A/50276,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,NR/2024/24507/A/50352,GNA/NR/2025/01/02/1250,NR/2025/24953/C,NR/2025/24954/C,SR/2024/15456/A/49993,NR/2025/24837/A/50246,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,Total
23,05:30-05:45,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,16.33,0,0.43,0,5.76,0,0,1.37,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,0,0,0,0,389.05000000000007

24,05:45-06:00,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,16.33,0,0.43,0,5.76,0,0,1.37,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,0,0,0,0,389.05000000000007

25,06:00-06:15,0,0,0,24.02,48.04,0,8.65,0,26.9,43.23,19.21,24.02,8.73,0,0,0,0,0,0,0,16.33,0,0.38,0,5.76,0,0,1.47,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,326.64,0,0,0,737.8299999999999

26,06:15-06:30,0,0,0,24.02,48.04,0,8.65,0,26.9,43.23,19.21,24.02,8.73,0,0,0,0,0,0,0,16.33,0,0.38,0,5.76,0,0,1.47,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,326.64,0,0,0,737.8299999999999

27,06:30-06:45,0,0,0,24.02,48.04,0,8.65,0,26.9,43.23,19.21,24.02,8.73,0,0,0,0,0,0,0,16.33,0,0.38,0,5.76,0,0,1.47,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,326.64,0,0,0,737.8299999999999

28,06:45-07:00,0,0,0,24.02,48.04,0,8.65,0,26.9,43.23,19.21,24.02,8.73,0,0,0,0,19.21,0,0,16.33,0,0.38,0,5.76,0,0,1.47,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,326.64,0,0,0,757.04

29,07:00-07:15,0,0,0,36.51,48.04,9.61,14.41,0,26.9,36.51,19.21,36.51,14.41,30.74,96.07,0,0,57.64,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,124.89,0,0,0,925.61

30,07:15-07:30,0,0,0,36.51,48.04,9.61,14.41,0,26.9,36.51,19.21,36.51,14.41,30.74,96.07,0,0,57.64,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,124.89,0,0,0,925.61

31,07:30-07:45,0,0,0,36.51,48.04,9.61,14.41,0,26.9,36.51,19.21,36.51,14.41,30.74,96.07,0,0,57.64,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,124.89,0,0,0,925.61

32,07:45-08:00,0.01,0,0.01,36.51,48.04,9.61,14.41,0,26.9,36.51,19.21,36.51,14.41,30.74,96.07,0,0,57.64,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,124.89,0.01,0,0,925.64

33,08:00-08:15,0.02,0,0.04,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,96.07,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,0,0.05,0,0,845.88

34,08:15-08:30,0.05,0,0.08,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,96.07,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,0,0.11,0,0,846.01

35,08:30-08:45,0.11,0,0.15,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,96.07,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,0,0.2,0,0,846.2300000000001

36,08:45-09:00,0.12,0,0.18,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,96.07,0,0,16.33,5.76,0.86,90.31,5.76,0,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,0,0.25,0,0,846.32

37,09:00-09:15,0.17,3.84,0.26,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,0,30.74,96.07,0,14.41,124.89,0,28.82,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,0,20.17,0,28.82,31.7,0,48.04,0,0,0,0.35,0,0,790.8800000000002

38,09:15-09:30,0.38,3.84,0.31,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,0,30.74,96.07,0,14.41,124.89,0,28.82,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,0,20.17,0,28.82,31.7,0,48.04,0,0,0,0.86,0,0,791.6500000000002

39,09:30-09:45,0.38,3.84,0.38,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,0,30.74,96.07,0,14.41,124.89,0,28.82,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,0,20.17,0,28.82,31.7,0,48.04,0,0,0,0.86,0,0,791.7200000000001

40,09:45-10:00,0.38,3.84,0.47,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,0,30.74,96.07,0,14.41,124.89,0,28.82,16.33,5.76,0.86,90.31,5.76,0,7.69,1.47,0,20.17,0,28.82,31.7,0,48.04,0,0,0,0.86,0,0,791.8100000000001

41,10:00-10:15,0.38,4.8,0.53,36.51,48.04,0,11.53,0,26.9,36.51,19.21,36.51,7.87,0,0,0,0,153.71,6.54,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,624.7099999999999

42,10:15-10:30,0.38,4.8,0.57,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,7.87,0,0,0,0,153.71,6.54,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,627.6299999999999

43,10:30-10:45,0.38,4.8,0.58,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,7.87,0,0,0,0,153.71,6.54,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,627.64

44,10:45-11:00,0.38,4.8,0.58,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,7.87,0,0,0,0,153.71,6.54,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,627.64

45,11:00-11:15,0.38,6.72,0.58,34.59,48.04,0,11.53,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,467.11000000000007

46,11:15-11:30,0.38,6.72,0.58,34.59,48.04,0,11.53,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,467.11000000000007

47,11:30-11:45,0.38,6.72,0.58,34.59,48.04,0,11.53,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,467.11000000000007

48,11:45-12:00,0.38,6.72,0.58,34.59,48.04,0,11.53,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,467.11000000000007

49,12:00-12:15,0.38,6.72,0.58,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,464.33000000000004

50,12:15-12:30,0.38,6.72,0.58,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,464.33000000000004

51,12:30-12:45,0.38,6.72,0.58,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,464.33000000000004

52,12:45-13:00,0.38,6.72,0.67,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.86,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,464.52000000000004

53,13:00-13:15,0.38,5.76,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,446.06

54,13:15-13:30,0.38,5.76,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.96000000000004

55,13:30-13:45,0.38,5.76,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.96000000000004

56,13:45-14:00,0.38,5.76,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.96000000000004

57,14:00-14:15,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,445.20000000000005

58,14:15-14:30,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,445.20000000000005

59,14:30-14:45,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.1000000000001

60,14:45-15:00,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.77,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.1000000000001

61,15:00-15:15,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.67,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.86,0,0,445.00000000000006

62,15:15-15:30,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.67,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,445.1

63,15:30-15:45,0.38,4.8,0.67,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.67,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.96,0,0,445.1

64,15:45-16:00,0.36,4.8,0.61,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.67,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.88,0,0,444.94

65,16:00-16:15,0.31,2.88,0.54,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,14.41,38.43,0,0.78,0,0,442.51

66,16:15-16:30,0.27,2.88,0.47,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,19.5,33.34,0,0.67,0,0,442.29

67,16:30-16:45,0.22,2.88,0.39,28.82,48.04,0,8.65,0,26.9,28.82,19.21,28.82,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,19.79,25.75,0,0.5,0,0,463.51000000000005

68,16:45-17:00,0.17,2.88,0.3,28.82,48.04,0,14.41,0,26.9,36.51,19.21,28.82,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,0,0,0,0.38,0,0,431.16

69,17:00-17:15,0.12,0.96,0.22,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,0,0,0,0.28,0,0,444.49

70,17:15-17:30,0.09,0.96,0.12,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,0,0,0,0.19,0,0,444.27000000000004

71,17:30-17:45,0.05,0.96,0.07,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,0,0,0,0.11,0,0,444.1

72,17:45-18:00,0.02,0.96,0.03,36.51,48.04,0,14.41,0,26.9,36.51,19.21,36.51,14.41,0,0,0,0,28.82,0,0,16.33,0,0.48,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,28.82,48.04,0,0,0,0.05,0,0,443.97

73,18:00-18:15,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,28.82,0,0,16.33,5.76,0.48,90.31,5.76,38.43,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,134.5,0.01,50,30,1031.1799999999998

74,18:15-18:30,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,28.82,0,0,16.33,5.76,0.48,90.31,5.76,38.43,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,134.5,0,50,30,1031.17

75,18:30-18:45,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,28.82,0,0,16.33,5.76,0.48,90.31,5.76,38.43,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,134.5,0,50,30,1031.17

76,18:45-19:00,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,0,0,0,16.33,5.76,0.48,90.31,5.76,38.43,7.69,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,134.5,0,50,30,1002.35

77,19:00-19:15,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,0,0,0,16.33,5.76,0.58,90.31,5.76,38.43,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,115.28,0,50,30,983.13

