Block,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01122023/15122023/HP-15,NR/01102023/23072042/L_NR_2012_04,NR/08122023/15122023/HP-19,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NER/13122023/13122023/DD20231213AR21752,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16
13,03:00-03:15,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.77,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

14,03:15-03:30,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.78,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

15,03:30-03:45,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.79,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

16,03:45-04:00,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.8,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

17,04:00-04:15,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.700000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.81,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

18,04:15-04:30,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.700000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.86,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

19,04:30-04:45,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.700000,31.600000,25.850000,1.120000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.89,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

20,04:45-05:00,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.700000,31.600000,25.850000,1.120000,57.030000,191.520000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,11.01,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

21,05:00-05:15,100.300000,25.850000,0.000000,33.520000,178.330000,95.760000,0.000000,0.000000,0.000000,1.700000,31.600000,25.850000,1.120000,57.030000,229.820000,127.340000,1.140000,22.980000,10,0,0.000000,0,0,0,0,11.15,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

22,05:15-05:30,100.300000,25.850000,0.000000,33.520000,224.000000,95.760000,0.000000,0.000000,0.000000,1.700000,74.010000,25.850000,1.120000,57.030000,269.320000,127.340000,1.140000,22.980000,10,0,0.000000,0,0,0,0,11.41,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

23,05:30-05:45,100.300000,25.850000,0.000000,37.830000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,74.010000,25.850000,1.120000,57.030000,269.320000,127.340000,1.140000,22.980000,10,0,0.000000,0,0,0,0,11.42,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

24,05:45-06:00,100.300000,25.850000,0.000000,42.130000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,74.010000,25.850000,1.120000,57.030000,269.320000,127.340000,1.140000,22.980000,10,0,0.000000,0,0,0,0,11.51,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

25,06:00-06:15,100.300000,30.640000,0.000000,46.440000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,74.010000,25.300000,1.080000,0.000000,269.320000,230.480000,1.140000,22.980000,10,0,0.000000,0,0,0,0,14.47,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

26,06:15-06:30,100.300000,30.640000,0.000000,58.610000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,74.010000,25.300000,1.080000,0.000000,269.320000,230.480000,1.140000,22.980000,10,0,0.000000,0,0,0,0,14.92,3.33,0,3.34,0,0,0,0,0,7.27,7.27,0,0,47.88,3.34,0

27,06:30-06:45,100.300000,30.640000,0.000000,58.610000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,86.380000,0.000000,1.080000,0.000000,269.320000,230.480000,1.140000,22.980000,10,0,0.000000,0,1,1.39,0,14.9,3.33,0,3.34,0,0.23,0,0,0,7.77,7.77,0,0,47.88,3.34,0

28,06:45-07:00,100.300000,30.640000,0.000000,58.610000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.980000,10,0,0.000000,0,4,5.22,0,15.06,3.33,0,3.34,0,4.31,0,0,0,8.23,8.23,0,0,47.88,3.34,0

29,07:00-07:15,100.300000,30.640000,0.000000,58.610000,259.130000,95.760000,0.000000,0.000000,0.000000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,0,0.000000,0,11.3,19,0,12.07,3.33,0,3.34,0,12.2,0,2.365119,0,8.86,8.86,0,0,47.88,3.34,0

30,07:15-07:30,100.300000,30.640000,0.110000,58.610000,259.130000,95.760000,0.110000,0.000000,0.110000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,1,0.000000,0,19.9,31.22,0,12.14,3.33,0.35,3.34,1,24.23,1,8.07839,0,9.46,9.46,0,0,47.88,3.34,0

31,07:30-07:45,100.300000,30.640000,0.390000,58.610000,259.130000,95.760000,0.380000,0.000000,0.380000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,5,0.000000,3,29.88,29.89,6.13,12.18,3.33,2.25,3.34,4,29.88,2,14.803893,0,9.86,9.86,1,1.22,47.88,3.34,0

32,07:45:08:00,100.300000,30.640000,0.930000,58.610000,259.130000,95.760000,0.910000,0.000000,0.910000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,9,0.000000,4,29.88,29.89,17.52,12.66,3.33,6.82,3.34,11,29.88,4,22.843351,0,10.15,10.15,3,3.5,47.88,3.34,0

33,08:00-08:15,100.300000,30.640000,1.710000,58.610000,259.130000,95.760000,1.660000,0.000000,1.660000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,13,0.000000,7,30.05,30.05,34.93,15.73,3.33,13.77,3.34,28,30.05,12,32.469288,0,10.63,10.63,6,6.99,47.88,3.34,0

34,08:15-08:30,100.300000,30.640000,2.700000,58.610000,259.130000,95.760000,2.640000,0.000000,2.640000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,20,0.000000,10,30.05,30.05,59.38,15.93,3.33,22.07,3.34,46,30.05,19,43.146389,0,10.72,10.72,9,11.88,47.88,3.34,0

35,08:30-08:45,100.300000,30.640000,4.350000,58.610000,259.130000,95.760000,4.250000,0.000000,4.250000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,27,0.000000,13,31.72,31.71,67.8,16.33,3.33,30.19,3.34,51,31.72,22,53.72616,0,9.68,9.68,16,13.56,47.88,3.34,0

36,08:45:09:00,100.300000,30.640000,6.030000,58.610000,259.130000,95.760000,5.870000,0.000000,5.870000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,22.020000,10,35,0.000000,17,31.72,31.71,89.16,16.67,3.33,37.23,3.34,67,31.72,28,63.429961,0,8.57,8.57,20.27,17.83,47.88,3.34,0

37,09:00:09:15,100.300000,30.640000,7.470000,58.610000,259.130000,95.760000,7.290000,0.000000,7.290000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.180000,22.020000,10,43,0.000000,22,31.72,31.71,103.93,17.13,3.33,43.97,3.34,84,31.72,36,71.518084,0,7.42,7.42,24.1,20.78,47.88,3.34,0

38,09:15-09:30,100.300000,30.640000,8.780000,58.610000,259.130000,95.760000,8.560000,0.000000,8.560000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.180000,22.020000,10,51,0.000000,25,31.72,31.71,121.1,16.93,3.33,50.33,3.34,98,31.72,42,80.053925,0,6.67,6.67,26.54,24.22,47.88,3.34,0

39,09:30-09:45,100.300000,30.640000,9.940000,58.610000,259.130000,95.760000,9.700000,0.000000,9.700000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.180000,22.980000,10,59,0.000000,30,31.72,31.71,135.33,16.67,3.33,56.35,3.34,116,31.72,49,88.18098,0,6.67,6.67,29.63,27.06,47.88,3.34,0

40,09:45-10:00,100.300000,30.640000,11.030000,58.610000,259.130000,95.760000,10.760000,0.000000,10.760000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.180000,22.980000,10,67,0.000000,33,32.22,32.21,150.18,15.72,3.33,61.98,3.34,130,32.22,55,95.831118,0,6.67,6.67,31.94,30.03,47.88,3.34,0

41,10:00-10:15,100.300000,30.640000,11.990000,58.610000,259.130000,95.760000,11.710000,0.000000,11.710000,1.700000,74.010000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,22.980000,10,72,0.000000,36,32.22,32.21,187.37,15.99,3.33,67.1,3.34,140,32.22,60,102.848611,0,6.67,6.67,34.53,37.47,47.88,3.34,0

42,10:15-10:30,100.300000,30.640000,12.840000,58.610000,259.130000,95.760000,12.520000,0.000000,12.520000,1.700000,74.010000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,22.980000,10,77,0.000000,39,32.22,32.21,200,15.51,3.33,71.35,3.34,151,32.22,64,108.990134,0,6.67,6.67,36.74,40,47.88,3.34,0

43,10:30-10:45,100.300000,30.640000,13.570000,58.610000,259.130000,95.760000,13.240000,0.000000,13.240000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,22.980000,10,82,0.000000,41,32.22,32.21,211.42,13.54,3.33,75.24,3.34,161,32.22,69,117.876363,0,6.67,6.67,38.93,42.28,47.88,3.34,0

44,10:45-11:00,100.300000,30.640000,14.170000,58.610000,259.130000,95.760000,13.830000,0.000000,13.830000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,23.940000,10,85,0.000000,43,32.22,32.21,221.69,13.36,3.33,78.63,3.34,168,32.22,72,121.925291,0,6.67,6.67,39.88,44.34,47.88,3.34,0

45,11:00-11:15,100.300000,30.640000,14.680000,58.610000,259.130000,95.760000,14.320000,0.000000,14.320000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,23.940000,10,88,0.000000,44,32.22,32.21,229.58,13.03,3.33,81.54,3.34,175,32.22,75,124.611599,0,6.67,6.67,41.49,45.92,47.88,3.34,0

46,11:15-11:30,100.300000,30.640000,15.030000,58.610000,259.130000,95.760000,14.670000,0.000000,14.670000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,23.940000,10,90,0.000000,45,32.22,32.21,229.58,12.96,3.33,83.84,3.34,182,32.22,78,126.937786,0,6.67,6.67,42.64,45.92,47.88,3.34,0

47,11:30-11:45,100.300000,30.640000,15.340000,58.610000,259.130000,95.760000,14.960000,0.000000,14.960000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,23.940000,10,90,0.000000,45,32.22,32.21,229.58,13.03,3.33,85.7,3.34,186,32.22,79,128.349071,0,6.67,6.67,41.86,45.92,47.88,3.34,0

48,11:45-12:00,100.300000,30.640000,15.550000,58.610000,248.900000,95.760000,15.170000,0.000000,15.170000,1.700000,86.380000,30.640000,1.080000,0.000000,269.320000,230.480000,1.220000,22.980000,10,90,0.000000,45,32.22,32.21,229.58,12.92,3.33,86.73,3.34,189,32.22,81,129.847953,0,6.67,6.67,42.75,45.92,47.88,3.34,0

49,12:00-12:15,100.300000,30.640000,15.730000,58.610000,224.000000,95.760000,15.350000,0.000000,15.350000,1.750000,86.380000,30.640000,0.770000,0.000000,269.320000,230.480000,1.290000,22.980000,10,90,0.000000,45,32.22,32.21,229.58,12.77,3.33,87.58,3.34,189,32.22,81,134.383531,0,6.67,6.67,44,45.92,47.88,3.34,0

50,12:15-12:30,100.300000,30.640000,15.720000,58.610000,224.000000,95.760000,15.340000,0.000000,15.340000,1.750000,86.380000,30.640000,0.770000,0.000000,269.320000,230.480000,1.290000,22.020000,10,90,0.000000,45,32.22,32.21,229.58,12.67,3.33,88.43,4,189,32.22,81,134.081808,0,6.67,6.67,44,45.92,47.88,3.34,0

51,12:30-12:45,100.300000,30.640000,15.710000,58.610000,224.000000,95.760000,15.330000,0.000000,15.330000,1.750000,73.610000,30.640000,1.010000,0.000000,269.320000,230.480000,1.290000,22.020000,10,91,0.000000,45,32.22,32.21,229.58,18.71,3.33,88.61,4.34,189,32.22,81,133.157173,0,6.67,6.67,43.5,45.92,47.88,3.34,0

52,12:45-13:00,100.300000,30.640000,15.650000,58.610000,224.000000,95.760000,15.270000,0.000000,15.270000,1.750000,73.610000,30.640000,1.010000,0.000000,269.320000,230.480000,1.290000,22.020000,10,91,0.000000,45,32.22,32.21,229.58,18.67,3.33,87.3,5,189,32.22,81,131.560961,0,6.67,6.67,43.5,45.92,47.88,3.34,0

53,13:00-13:15,100.300000,25.300000,15.500000,33.520000,224.000000,95.760000,15.120000,0.000000,15.120000,1.660000,54.770000,30.640000,1.010000,0.000000,269.320000,230.480000,1.290000,21.070000,10,88,0.000000,44,32.22,32.21,229.58,18.82,3.33,86.45,5.62,186,32.22,79,129.020648,0,6.67,6.67,42.13,45.92,47.88,3.34,0

54,13:15-13:30,100.300000,25.300000,15.280000,33.520000,224.000000,95.760000,14.910000,0.000000,14.910000,1.660000,54.770000,30.640000,1.010000,0.000000,229.820000,230.480000,1.290000,21.070000,10,87,0.000000,44,32.22,32.21,229.58,19.1,3.33,85.44,5.88,182,32.22,78,125.818491,0,6.67,6.67,41.67,45.92,47.88,3.34,0

55,13:30-13:45,100.300000,25.300000,15.010000,33.520000,224.000000,95.760000,14.650000,0.000000,14.650000,1.660000,54.770000,30.640000,1.010000,0.000000,229.820000,230.480000,1.140000,21.070000,10,84,0.000000,42,32.22,32.21,229.58,19.34,3.33,84.3,6.1,179,32.22,76,124.076284,0,6.67,6.67,41.02,45.92,47.88,3.34,0

56,13:45-14:00,100.300000,25.300000,14.650000,33.520000,224.000000,95.760000,14.290000,0.000000,14.290000,1.660000,73.610000,30.640000,1.010000,0.000000,269.320000,230.480000,1.140000,21.070000,10,82,0.000000,41,32.22,32.21,229.58,19.45,3.33,82.27,6.3,175,32.22,75,118.460343,0,6.67,6.67,39.5,45.92,47.88,3.34,0

57,14:00-14:15,100.300000,25.300000,14.140000,58.610000,224.000000,95.760000,13.800000,0.000000,13.800000,1.660000,73.610000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,21.070000,10,79,0.000000,40,32.22,32.21,227.18,19.59,3.33,79.18,6.4,168,32.22,72,112.386951,0,6.67,6.67,37.95,45.43,47.88,3.34,0

58,14:15-14:30,100.300000,25.300000,13.460000,58.610000,224.000000,95.760000,13.130000,0.000000,13.130000,1.660000,73.610000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,21.070000,10,75,0.000000,37,32.22,32.21,217.34,19.62,3.33,75.85,6.45,161,32.22,69,105.651715,0,6.67,6.67,35.98,43.47,47.88,3.34,0

59,14:30-14:45,100.300000,25.300000,12.600000,58.610000,224.000000,95.760000,12.290000,0.000000,12.290000,1.660000,73.610000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,0.000000,10,70,0.000000,35,32.22,32.21,207.73,19.73,3.33,71.97,6.49,151,32.22,64,98.001577,0,6.67,6.67,34.1,41.55,47.88,3.34,0

60,14:45-15:00,100.300000,25.300000,11.740000,58.610000,224.000000,95.760000,11.450000,0.000000,11.450000,1.660000,73.610000,30.640000,1.080000,0.000000,269.320000,230.480000,1.140000,0.000000,10,66,0.000000,33,32.22,32.21,198.02,20.08,3.33,67.98,6.53,140,32.22,60,89.34894,0,6.67,6.67,31.89,39.6,47.88,3.34,0

61,15:00-15:15,100.300000,30.640000,10.750000,58.610000,259.130000,95.760000,10.500000,0.000000,10.500000,1.660000,86.380000,30.640000,1.160000,0.000000,269.320000,230.480000,1.140000,0.000000,15.12,62,0.000000,31,32.22,32.21,177.13,19.31,5.04,63.56,7.23,126,32.22,54,81.056424,0,6.67,6.67,29.8,35.42,47.88,5.04,0

62,15:15-15:30,100.300000,30.640000,9.680000,58.610000,259.130000,95.760000,9.440000,0.000000,9.440000,1.660000,86.380000,30.640000,1.160000,0.000000,269.320000,230.480000,1.140000,0.000000,15.15,57,0.000000,28,32.22,32.21,162.21,18.93,5.05,57.9,7.48,112,32.22,48,70.651847,0,7.04,7.04,26.82,32.44,47.88,5.05,0

63,15:30-15:45,100.300000,30.640000,8.470000,58.610000,259.130000,95.760000,8.270000,0.000000,8.270000,1.660000,65.120000,30.640000,1.160000,0.000000,269.320000,230.480000,1.140000,0.000000,15.47,50,0.000000,25,32.22,32.21,147.55,16.45,5.16,51.63,7.6,98,32.22,42,59.809285,0,15.17,15.17,23.71,29.51,47.88,5.14,0

64,15:45-16:00,100.300000,30.640000,7.240000,58.610000,259.130000,95.760000,7.060000,0.000000,7.060000,1.660000,65.120000,30.640000,1.160000,0.000000,269.320000,230.480000,1.140000,0.000000,15.84,43,0.000000,22,32.22,32.21,131.7,16.13,5.28,44.85,7.65,84,32.22,36,48.37301,0,15.55,15.55,20.35,26.34,47.88,5.28,0

65,16:00-16:15,100.300000,30.640000,5.860000,58.610000,259.130000,95.760000,5.720000,0.000000,5.720000,1.700000,65.120000,30.640000,1.160000,0.000000,269.320000,230.480000,1.220000,0.000000,16,31,0.000000,16,24.6,33,115.07,14.17,5.33,38.4,7.49,70,33,30,37.364987,0,16.18,16.18,15.81,23.01,47.88,5.34,0

66,16:15-16:30,100.300000,30.640000,4.200000,58.610000,259.130000,95.760000,4.100000,0.000000,4.100000,1.700000,65.120000,30.640000,1.160000,0.000000,269.320000,230.480000,1.220000,0.000000,16.09,27,0.000000,13,12,29.67,96.45,14.09,5.36,31.79,7.2,56,24.85,24,25.01381,0,16.41,16.41,10.3,19.29,47.88,5.37,0

67,16:30-16:45,100.300000,30.640000,2.890000,58.610000,259.130000,95.760000,2.830000,0.000000,2.830000,1.700000,65.120000,30.640000,1.240000,0.000000,269.320000,230.480000,1.220000,23.940000,16.27,18,0.000000,9,4,11.07,76.5,14.11,5.42,24.83,6.84,42,13.46,18,17.606997,0,15.41,15.41,7.5,15.3,47.88,5.43,0

68,16:45-17:00,100.300000,30.420000,1.770000,58.610000,259.130000,95.760000,1.720000,0.000000,1.720000,1.700000,65.120000,30.420000,1.240000,0.000000,269.320000,230.480000,1.220000,23.940000,16.42,10,0.000000,5,0.7,6.5,54.19,14.12,5.47,17.46,6.56,28,5.31,12,9.304748,0,15.52,15.52,6,10.84,47.88,5.47,0

69,17:00-17:15,100.300000,29.690000,0.930000,58.610000,259.130000,95.760000,0.910000,0.000000,0.910000,1.700000,65.120000,29.690000,1.240000,0.000000,269.320000,230.480000,1.220000,23.940000,16.64,7,0.000000,3,0,3.25,32.75,14.22,5.55,10.3,6.82,14,1.02,6,4.944364,0,15.62,15.62,3,6.55,47.88,5.54,0

70,17:15-17:30,100.300000,29.690000,0.380000,58.610000,259.130000,95.760000,0.370000,0.000000,0.370000,1.700000,65.120000,29.690000,1.240000,0.000000,269.320000,230.480000,1.220000,23.940000,16.64,3,0.000000,1,0,1.08,16.19,14.23,5.55,4.84,7.16,4,0,2,1.002499,0,15.74,15.74,1,3.24,47.88,5.53,0

