Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2024/08/24/6404,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/08/24/7149,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/22052037/LT-59,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/jitpl,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30092024/LT_MEJA_DELHI
14,03:15-03:30,0,0,0,0,0,16.6,20.66,0,20.67,53,53,0,0,0,0,0,0,62,16.34,0,0,30.27,193.14,4.36,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,6.39

15,03:30-03:45,0,0,0,0,0,16.4,20.16,0,20.17,52,52,0,0,0,0,0,0,60.5,16,0,0,30.78,150.18,4.36,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

16,03:45-04:00,0,0,0,0,0,16.2,19.66,0,19.67,50.33,50.33,0,0,0,0,0,0,59,15.34,0,0,30.78,150.18,4.36,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

17,04:00-04:15,0,0,0,0,0,16.2,18.84,0,18.83,49.67,49.67,0,0,0,0,0,0,56.5,14.66,0,0,30.78,150.18,4.23,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

18,04:15-04:30,0,0,0,0,0,15.8,17.84,0,17.83,48.67,48.67,0,0,0,0,0,0,53.5,14,0,0,30.78,150.18,4.23,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

19,04:30-04:45,0,0,0,0,0,16.2,16.84,0,16.83,47,47,0,0,0,0,0,0,50.5,13,0,0,30.78,150.18,4.23,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

20,04:45-05:00,0,0,0,0,0,16.2,15.84,0,15.83,46.33,46.33,0,0,0,0,0,0,47.5,12.34,0,0,30.78,150.18,4.23,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

21,05:00-05:15,0,0,0,0,0,16.4,23.34,0,23.33,60,60,0,0,0,0,0,0,70,20,0,0,30.78,150.18,4.08,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

22,05:15-05:30,0,0,0,0,0,16.6,23.34,0,23.33,60.67,60.67,0,0,0,0,0,0,70,20,0,0,30.78,150.18,4.08,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

23,05:30-05:45,0,0,0,0,0,16.6,23.16,0,23.17,52.67,52.67,0,0,0,0,0,0,69.5,19.66,0,0,30.78,150.18,4.08,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

24,05:45-06:00,0,0,0,0,0,17,22.84,0,22.83,51.33,51.33,0,0,0,0,0,0,68.5,19.34,0,0,31.29,150.18,4.08,26.9071,0,82.08,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,7.03

25,06:00-06:15,0.82,0,1,0,2.46,16.6,22.84,0,22.83,51,51,4,0.49,1,9.85,9.41,1.4,68.5,19.34,1,1,31.29,150.18,3.9,26.9071,0,100.61,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.03,57.65,170.58,0,96.57,26.9071,48.28,7.03

26,06:15-06:30,2.92,1,2,0,5.58,16.6,22.84,0,22.83,50,50,9,1.11,1,15.49,14.78,4.26,68.5,19.34,2,4,30.79,193.14,3.9,26.9071,0,100.61,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.03,57.65,170.58,0,96.57,26.9071,48.28,7.03

27,06:30-06:45,4.94,3,5,0,9.48,16.4,22.66,0,22.67,49,49,12,1.89,3,25.33,24.28,6.8,68,19,3,7,30.28,231.77,3.9,26.9071,0,100.61,12.44,70.37,0.72,0,0,21.25,0,0,0,24.14,0.74,24.68,96.57,15.03,57.65,170.58,0.72,96.57,26.9071,48.28,7.03

28,06:45-07:00,7.94,4,8,0,14.15,16.2,22.5,0,22.5,47.33,47.33,16,2.83,6,31.22,31.22,10.02,67.5,18.66,5,14,30.28,231.77,3.9,26.9071,0,100.61,12.44,70.37,1.05,0,0,21.25,0,0,0,24.14,1.08,24.68,96.57,15.03,57.65,170.58,1.05,96.57,26.9071,48.28,7.03

29,07:00-07:15,10,5,10,0,21.93,16.2,16.5,0,16.5,47.33,47.33,19,4.39,9,33,33,14.51,49.5,18,7,21,30.28,193.14,3.9,26.9071,0,100.61,12.44,70.37,1.54,0,0,21.25,0,0,0,24.14,1.57,24.68,96.57,15.03,57.65,122.3,1.54,96.57,26.9071,48.28,7.03

30,07:15-07:30,13,6,12,0,32.14,16.2,16.34,0,16.33,47.67,47.67,27,6.43,12,33,33,19.49,49,16.66,8,28,30.79,150.18,3.9,26.9071,0,71.64,12.44,70.37,2.07,0,0,21.25,0,0,0,24.14,2.12,24.68,96.57,15.03,57.65,110.09,2.07,96.57,26.9071,48.28,7.03

31,07:30-07:45,17,8,17,0,44.49,15.4,16.34,0,16.33,47.33,47.33,32,8.9,16,32,32,20.91,49,16,11,39,30.79,150.18,3.9,26.9071,0,53.11,12.44,70.37,2.65,0,0,21.25,0,0,0,24.14,2.72,24.68,96.57,15.03,57.65,110.09,2.65,96.57,26.9071,48.28,7.03

32,07:45-08:00,20,11,23,0,58.63,14.4,16.34,0,16.33,48,48,32,11.72,21,32,32,28.14,49,15.34,14,49,30.79,150.18,3.9,26.9071,0,53.11,12.44,70.37,3.45,0,0,21.25,0,0,0,24.14,3.53,24.68,96.57,15.03,57.65,110.09,3.45,96.57,26.9071,48.28,7.03

33,08:00-08:15,24,14,29,0,74.11,14,16.16,0,16.17,47.33,47.33,32.33,14.82,22,32.34,32.33,36.55,48.5,14.66,17,53,29.77,150.18,3.8,26.9071,0,53.11,12.44,70.37,4.26,0,0,21.25,0,0,0,24.14,4.37,24.68,96.57,15.03,57.65,110.09,4.26,96.57,26.9071,48.28,7.03

34,08:15-08:30,30,17,35,0,90.16,13.4,15.84,0,15.83,46.33,46.33,32.33,18.03,28,32.34,32.33,44.93,47.5,13.34,20,67,30.27,150.18,3.8,26.9071,0,53.11,12.44,70.37,5.07,0,0,21.25,0,0,0,24.14,5.21,24.68,96.57,15.03,57.65,110.09,5.07,96.57,26.9071,48.28,7.03

35,08:30-08:45,37,19,41,0,106.43,13.6,15.5,0,15.5,46.33,46.33,32.33,21.29,38,32.34,32.33,52.92,46.5,13,26,88,31.29,150.18,3.8,26.9071,0,53.11,12.44,70.37,5.9,0,0,21.25,0,0,0,24.14,6.05,24.68,96.57,15.03,57.65,110.09,5.9,96.57,26.9071,48.28,7.03

36,08:45-09:00,43,23,47,0,122.78,14,15.16,0,15.17,46.33,46.33,32.33,24.55,43,32.34,32.33,60.19,45.5,12.66,29,100,30.28,150.18,3.8,26.9071,0,53.11,12.44,70.37,6.68,0,0,21.25,0,0,0,24.14,6.87,24.68,96.57,15.03,57.65,110.09,6.68,96.57,26.9071,48.28,7.03

37,09:00-09:15,53,26,54,0,139.08,7.21,14.84,0,14.83,46,46,32.33,27.82,49,32.34,32.33,65.24,44.5,13,31,114,30.28,150.18,3.8,26.9071,0,53.11,12.44,70.37,7.4,0,0,0,0,0,0,0,7.58,24.68,0,15.03,57.65,110.09,7.4,0,26.9071,0,0

38,09:15-09:30,58,29,61,0,154.71,7.21,14.34,0,14.33,46,46,32.33,30.94,54,32.34,32.33,67.61,43,13,33.5,126,28.27,150.18,3.8,26.9071,0,53.11,12.44,70.37,8.09,0,0,0,0,0,0,0,8.3,24.68,0,15.03,57.65,110.09,8.09,0,26.9071,0,0

39,09:30-09:45,67,32,68,0,169.24,7.21,17.5,0,17.5,54.33,54.33,32.33,33.85,61,32.34,32.33,69.28,52.5,16.66,38,144,28.27,150.18,3.8,26.9071,0,53.11,12.44,70.37,9.17,0,0,0,0,0,0,0,9.41,24.68,0,15.03,57.65,110.09,9.17,0,26.9071,0,0

40,09:45-10:00,72,35,72,0,182.35,7.21,17.66,0,17.67,53,53,32.33,36.47,64,32.34,32.33,70.87,53,16.66,39,151,29.27,150.18,3.8,26.9071,0,53.11,12.44,70.37,10.33,0,0,0,0,0,0,0,10.58,24.68,0,15.03,57.65,110.09,10.33,0,26.9071,0,0

41,10:00-10:15,78,38,80,0,204.16,7.61,20,0,20,55.67,55.67,32.33,40.83,69,32.34,32.33,73.2,60,16.66,41,161,29.27,150.18,3.72,26.9071,0,53.11,12.44,70.37,11.31,0,0,0,0,0,0,0,11.59,24.68,0,14.84,57.65,110.09,11.31,0,26.9071,0,0

42,10:15-10:30,82,40,84,0,215.59,8.01,19.66,0,19.67,54,54,32.33,43.12,72,32.34,32.33,76.53,59,16.66,42,168,28.26,150.18,3.72,26.9071,0,53.11,12.44,70.37,11.95,0,0,0,0,0,0,0,12.24,24.68,0,14.84,57.65,110.09,11.95,0,26.9071,0,0

43,10:30-10:45,85,42,88,0,229.17,8.01,19.34,0,19.33,51.67,51.67,32.33,45.83,75,32.34,32.33,79.48,58,16.66,43,175,28.26,150.18,3.72,26.9071,0,53.11,12.44,70.37,12.6,0,0,0,0,0,0,0,12.92,24.68,0,14.84,57.65,110.09,12.6,0,26.9071,0,0

44,10:45-11:00,87,43,90,0,229.17,8.01,18.84,0,18.83,50.67,50.67,32.33,45.83,78,32.34,32.33,82.03,56.5,16.66,44,182,28.26,150.18,3.72,26.9071,0,53.11,12.44,70.37,13.94,0,0,0,0,0,0,0,14.28,24.68,0,14.84,57.65,110.09,13.94,0,26.9071,0,0

45,11:00-11:15,89,43,90,0,229.17,8.01,18.34,0,18.33,51,51,32.33,45.83,79,32.34,32.33,84.34,55,16.66,45,186,27.25,150.18,3.72,26.9071,0,53.11,12.44,70.37,14.34,0,0,0,0,0,0,0,14.7,24.68,0,14.84,57.65,110.09,14.34,0,26.9071,0,0

46,11:15-11:30,89,43,90,0,229.17,8.01,17.5,0,17.5,50.33,50.33,32.33,45.83,79,32.34,32.33,85.91,52.5,16.34,46,186,27.25,150.18,3.72,26.9071,0,53.11,12.44,70.37,14.48,0,0,0,0,0,0,0,14.84,24.68,0,14.84,57.65,110.09,14.48,0,26.9071,0,4.37

47,11:30-11:45,90,43,90,0,229.17,13.4,16.66,0,16.67,48.67,48.67,32.33,45.83,79,32.34,32.33,87.32,50,16.34,46,186,26.24,150.18,3.72,26.9071,0,53.11,12.44,70.37,15.02,0,0,0,0,0,0,0,15.39,24.68,0,14.84,57.65,110.09,15.02,0,26.9071,0,4.37

48,11:45-12:00,90,43,90,0,229.17,13.4,15.84,0,15.83,46.67,46.67,32.33,45.83,79,32.34,32.33,88.76,47.5,16.34,46,186,26.24,150.18,3.72,26.9071,0,53.11,12.44,70.37,15.02,0,0,0,0,0,0,0,15.39,24.68,0,14.84,57.65,110.09,15.02,0,26.9071,0,4.37

49,12:00-12:15,91,43,90,0,229.17,13.4,16.66,0,16.67,45.33,45.33,32.33,45.83,79,32.34,32.33,88.16,50,17,46,186,26.24,173.83,4,26.9071,0,53.11,12.44,70.37,15.02,0,0,0,0,0,0,0,15.39,24.68,0,14.84,57.65,110.09,15.02,0,26.9071,0,3.94

50,12:15-12:30,91,43,90,0,229.17,13.4,17.34,0,17.33,46,46,32.33,45.83,79,32.34,32.33,88.34,52,18.34,46,186,26.24,173.83,4,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,110.09,15.75,0,26.9071,0,3.94

51,12:30-12:45,91,43,90,0,229.17,18,18.16,0,18.17,47.67,47.67,32.33,45.83,79,32.34,32.33,87.83,54.5,19.66,46,186,26.24,173.83,4,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

52,12:45-13:00,91,43,90,0,229.17,18.2,18.84,0,18.83,50,50,32.33,45.83,79,32.34,32.33,85.88,56.5,20.34,46,186,26.24,173.83,4,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

53,13:00-13:15,91,43,90,0,229.17,22.01,19.66,0,19.67,52,52,32.33,45.83,79,32.34,32.33,83.45,59,21,45.5,186,26.24,173.83,4.08,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

54,13:15-13:30,91,43,90,0,229.17,22.41,20.66,0,20.67,53.67,53.67,32.33,45.83,79,32.34,32.33,81.99,62,21.66,45.5,186,26.24,173.83,4.08,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

55,13:30-13:45,90,43,89,0,216.67,23.01,20.84,0,20.83,57.33,57.33,32.33,43.33,76,32.34,32.33,78.42,62.5,22.34,44.5,179,26.24,173.83,4.08,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

56,13:45-14:00,89,42,88,0,216.67,24.01,21,0,21,60.33,60.33,32.33,43.33,76,32.34,32.33,77.72,63,23,44.5,179,26.24,173.83,4.08,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,14.84,57.65,170.58,15.75,0,26.9071,0,4.14

57,14:00-14:15,89,43,90,0,170.67,26.01,21.34,0,21.33,61,61,32.33,34.13,72,32.34,32.33,76.32,64,23.34,44.5,168,26.24,173.83,4.27,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,15.49,57.65,170.58,15.75,0,26.9071,0,4.14

58,14:15-14:30,86,42,88,0,169.06,27.01,21.84,0,21.83,61.67,61.67,32.33,33.81,72,32.34,32.33,74.69,65.5,23.66,43.5,168,26.24,173.83,4.27,26.9071,0,53.11,12.44,70.37,15.75,0,0,0,0,0,0,0,16.15,24.68,0,15.49,57.65,170.58,15.75,0,26.9071,0,4.14

59,14:30-14:45,83,40,85,0,140.53,29.01,22.66,0,22.67,68.33,68.33,32.33,28.1,73,32.34,32.33,74.06,68,22,41.5,172,26.24,173.83,4.27,26.9071,0,53.11,12.44,70.37,14.34,0,0,0,0,0,0,0,14.7,24.68,0,15.49,57.65,170.58,14.34,0,26.9071,0,4.14

60,14:45-15:00,80,39,81,0,136.14,29.82,23.34,0,23.33,67.67,67.67,32.33,27.23,69,32.34,32.33,73.06,70,22.34,40.5,161,26.24,173.83,4.27,26.9071,0,53.11,12.44,70.37,13.78,0,0,0,0,0,0,0,14.13,24.68,0,15.49,57.65,170.58,13.78,0,26.9071,0,4.14

61,15:00-15:15,75,37,78,0,129.64,26.01,23.66,0,23.67,67.33,67.33,32.33,25.93,69,32.34,32.33,64.01,71,22.66,39,161,26.24,173.83,4.6,24.3748,0,53.11,12.44,70.37,13.02,0,0,0,0,0,0,0,13.34,24.68,0,15.49,57.65,170.58,13.02,0,24.3748,0,3.94

62,15:15-15:30,71,36,74,0,123,26.61,23.66,0,23.67,67,67,32.33,24.6,64,32.34,32.33,57.49,71,23,35,151,27.25,173.83,4.6,24.3748,0,53.11,12.44,70.37,12.18,0,0,0,0,0,0,0,12.48,24.68,0,15.49,57.65,170.58,12.18,0,24.3748,0,3.94

63,15:30-15:45,65,33,70,0,58.33,27.01,23.5,0,23.5,66.67,66.67,32.33,11.67,64,32.34,32.33,51.12,70.5,23.66,35,151,27.25,173.83,4.6,24.3748,0,53.11,12.44,70.37,11.26,0,0,0,0,0,0,0,11.54,24.68,0,15.49,57.65,170.58,11.26,0,24.3748,0,3.94

64,15:45-16:00,61,31,64,0,54.17,27.61,23.5,0,23.5,66.67,66.67,32.33,10.83,59,32.34,32.33,44.79,70.5,24,32,138,28.26,173.83,4.6,24.3748,0,53.11,12.44,70.37,10.41,0,0,0,0,0,0,0,10.67,24.68,0,15.49,57.65,170.58,10.41,0,24.3748,0,3.94

65,16:00-16:15,57,28,59,0,25,28.01,24.16,0,24.17,66.67,66.67,32.33,5,55,32.34,32.33,38.91,72.5,24,29,127,28.26,173.83,5.11,24.3748,0,53.11,12.44,70.37,9.66,0,0,0,0,0,0,0,9.9,24.68,0,15.95,57.65,170.58,9.66,0,24.3748,0,3.94

66,16:15-16:30,50,25,53,0,25,29.01,24.84,0,24.83,66.67,66.67,32.33,5,48,32.34,32.33,33.24,74.5,24,27,112,28.26,173.83,5.11,24.3748,0,53.11,12.44,70.37,7.49,0,0,0,0,0,0,0,7.69,24.68,0,15.95,57.65,170.58,7.49,0,24.3748,0,3.94

67,16:30-16:45,45,22,46,0,25,29.01,25.5,0,25.5,66.23,66.23,32.33,5,42,32.34,32.33,28.13,76.5,29.34,25,98,28.26,173.83,5.11,24.3748,0,82.08,12.44,70.37,6.76,0,0,0,0,0,0,0,6.92,24.68,0,15.95,57.65,170.58,6.76,0,24.3748,0,3.94

68,16:45-17:00,37,19,39,0,25,28.81,26.16,0,26.17,68.77,68.77,23,5,36,33,33,21.24,78.5,28.66,20,84,28.26,173.83,5.11,24.3748,0,86.91,12.44,70.37,5.82,0,0,0,0,0,0,0,5.97,24.68,0,15.95,57.65,170.58,5.82,0,24.3748,0,3.94

69,17:00-17:15,31,16,32,0,25,38.01,26.16,0,26.17,79.33,79.33,16,5,30,33,33,15.86,78.5,28,17,70,28.26,173.83,5.67,24.3748,0,100.61,12.44,70.37,4.79,0,0,21.25,0,0,0,24.14,4.91,24.68,96.57,15.95,57.65,186.03,4.79,96.57,24.3748,48.28,3.74

70,17:15-17:30,26,12,26,0,25,37.61,26.16,0,26.17,78.67,78.67,8,5,24,31.48,30.04,11.78,78.5,27.66,14,56,29.27,173.83,5.67,24.3748,0,100.61,12.44,70.37,3.92,0,0,21.25,0,0,0,24.14,4.01,24.68,96.57,15.95,57.65,206.23,3.92,96.57,24.3748,48.28,3.74

71,17:30-17:45,22,8,18,0,25,37.02,34.34,0,34.33,78.33,78.33,3,5,18,25.07,23.93,8.02,103,35.66,11,42,29.27,222.11,5.67,26.9066,0,100.61,12.44,70.37,2.96,0,0,21.25,0,0,0,24.14,3.02,24.68,96.57,15.95,68.11,206.23,2.96,96.57,26.9066,48.28,3.74

72,17:45-18:00,16,6,12,0,25,36.02,33.16,0,33.17,78,78,0,5,13,19.49,18.6,5.07,99.5,35,8,32,29.27,273.05,5.67,26.9066,0,100.61,12.44,70.37,2.18,0,0,21.25,0,0,0,24.14,2.24,24.68,96.57,15.95,68.11,206.23,2.18,96.57,26.9066,48.28,3.74

73,18:00-18:15,12,3,7,0,25,36.02,35.5,0,35.5,77.67,77.67,0,5,9,0,0,3.31,106.5,37.66,7,21,30.28,273.05,5.94,26.9066,0,100.61,12.44,66.22,1.67,0,0,21.25,0,0,0,24.14,1.71,24.68,96.57,15.95,87.11,262.19,1.67,96.57,26.9066,48.28,4.53

