Column1,Block,NR/2025/27968/A/85802,NR/2025/30492/A/85589,NR/2025/30083/A/85820,NR/2025/30724/C,NR/2025/30731/C,NR/2025/29440/A/85487,NR/2025/30732/C,NR/2025/30631/C,NR/2025/30191/A/85380,NR/2025/29352/A/85463,NR/2025/30668/C,NR/2025/30101/A/85928,NR/2025/30669/C,NR/2025/30742/C,NR/2025/30657/C,NR/2025/30689/C,NR/2025/30719/C,NR/2025/27962/A/85799,NR/2025/30727/C,NR/2025/30720/C,NR/2025/30732/C/Alternate/1,NR/2025/30735/C,NR/2025/30082/A/85867,NR/2025/30736/C,NR/2025/30121/A/85384,NR/2025/30738/C,NR/2025/29167/A/85481,GNARE/NR/2024/12/20/3668,NR/2025/29439/A/85531,NR/2025/30666/C,NR/2025/30612/C,NR/2025/29985/A/85789,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2236,NR/2025/30334/A/85378,NR/2025/30757/C,NR/2025/29915/A/85482,NR/2025/27970/A/85803,NR/2025/30086/A/85818,NR/2025/29628/A/85826,NR/2025/30084/A/85819,NR/2025/27964/A/85801,NR/2025/27978/A/85881,NR/2025/27963/A/85800,NR/2025/30734/C,NR/2025/28725/A/85770,NR/2025/30105/A/85817,GNA/NR/2025/07/01/3109,NR/2025/30067/A/85918,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2997,NR/2025/29910/A/85823,GNA/NR/2025/07/01/8230,NR/2025/29992/A/85524,NR/2025/26975/A/85843,NR/2025/29353/A/85461,GNA/NR/2025/07/01/8154,NR/2025/29986/A/85791,NR/2025/30660/C,NR/2025/30217/A/85816,Total
26,06:15-06:30,0,11.55,4.37,0,27.91,0.82,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,2.97,0,0,0,7,0,26.5,134.99,16.85,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1623.27

27,06:30-06:45,0,11.55,4.37,0,27.91,0.82,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,4.09,0,0,0,11,0,26.5,134.99,16.85,26.5,81.81,0,0.35,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1628.74

28,06:45-07:00,0,11.55,4.37,0,27.91,0.82,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,5.2,0,0,0,16,0,26.5,134.99,16.85,26.5,81.81,0,0.57,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1635.07

29,07:00-07:15,0,11.55,4.37,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,8.36,0,0,0,21,0,26.5,134.99,16.67,26.5,81.81,0,0.82,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1643.35

30,07:15-07:30,0,11.55,4.37,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,11.52,0,0,0,28,0,26.5,134.99,16.67,26.5,81.81,0,1.23,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1653.9199999999998

31,07:30-07:45,0,11.55,4.37,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,14.68,0,0,0,35,0,26.5,134.99,16.67,26.5,81.81,0,1.6,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1664.45

32,07:45-08:00,0,11.55,4.37,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,17.84,0,0,0,42,0,26.5,134.99,16.67,26.5,81.81,0,2.18,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1675.1899999999998

33,08:00-08:15,0,11.55,4.37,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,21.37,0,0,0,49,0,26.5,134.99,16.49,26.5,81.81,3.44,2.56,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1689.4499999999998

34,08:15-08:30,0,11.55,4.37,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,24.9,0,0,0,56,0,26.5,134.99,16.49,26.5,81.81,4.03,3.53,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1701.54

35,08:30-08:45,0,13.48,4.37,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,28.43,0,0,0,63,0,26.5,134.99,16.49,26.5,81.81,4.62,2.44,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1713.5

36,08:45-09:00,0,13.48,4.37,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,31.96,0,0,0,74,0,26.5,134.99,16.49,26.5,81.81,5.18,2.44,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1728.59

37,09:00-09:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,45.5,0,0,48.12,84,0,26.7,134.99,16.4,26.7,81.81,5.66,2.44,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1789.1000000000001

38,09:15-09:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,58.48,0,0,48.12,95,0,26.7,134.99,16.4,26.7,81.81,6.11,2.84,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1813.9299999999998

39,09:30-09:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,65.22,0,0,48.12,105,0,26.7,134.99,16.4,26.7,81.81,6.5,1.36,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1829.58

40,09:45-10:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,70.61,0,0,48.12,112,0,26.7,134.99,16.4,26.7,81.81,6.94,1.41,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1842.46

41,10:00-10:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,74.66,0,0,48.12,119,0,26.7,134.99,16.4,26.7,81.81,7.31,1.49,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1853.96

42,10:15-10:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,78.82,0,0,48.12,126,0,26.7,134.99,16.4,26.7,81.81,7.41,1.55,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1865.28

43,10:30-10:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,82.31,0,0,48.12,133,0,26.7,134.99,16.4,26.7,81.81,5.26,1.69,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1873.7600000000002

44,10:45-11:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,84.75,0,0,48.12,140,0,26.7,134.99,16.4,26.7,81.81,5.25,1.97,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1883.47

45,11:00-11:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,81.32,0,0,48.12,144,0,26.7,134.99,16.4,26.7,81.81,5.25,2.06,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1884.1299999999999

