Time,Block,NR/2023/12923/F,NR/2023/14086/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/10651/A,NR/2023/13985/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12919/F,NR/2023/10786/A,NR/2023/14101/C,NR/2023/10436/A,NR/2023/12921/F,NR/2023/13679/F,NR/2023/11068/A,NR/2023/10959/A,NR/2023/11712/A,NR/2023/12924/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/10561/A,NR/2023/12813/F,NR/2023/10705/A,NR/2023/13369/F,NR/2023/12920/F,NR/2023/14087/D,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/10460/A,NR/2023/14099/C,NR/2023/10720/A,NR/2023/12916/F,NR/2023/12917/F,NR/2023/10435/A,NR/2023/14085/D,NR/2023/14092/C,NR/2023/11709/A,NR/2023/10650/A,ER/2023/8673/C,NR/2023/12915/F,NR/2023/12661/A,NR/2023/11266/A,NR/2023/14088/D,NR/2023/14083/D,NR/2023/14089/D,Total

3,00:30-00:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

4,00:45-01:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

5,01:00-01:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.530000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.09

6,01:15-01:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.530000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.09

7,01:30-01:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.530000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.09

8,01:45-02:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.530000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.09

9,02:00-02:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

10,02:15-02:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

11,02:30-02:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

12,02:45-03:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

13,03:00-03:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.500000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.37

14,03:15-03:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.500000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.37

15,03:30-03:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.500000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.37

16,03:45-04:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.500000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.37

17,04:00-04:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.28

18,04:15-04:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.28

19,04:30-04:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.28

20,04:45-05:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.440000,54.210000,23.230000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1787.28

21,05:00-05:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1689.41

22,05:15-05:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1689.41

23,05:30-05:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1689.41

24,05:45-06:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,48.400000,0.000000,0.370000,62.920000,63.620000,0,0,0,1689.41

25,06:00-06:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.530000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,1.4,0,0.6,1356.74

26,06:15-06:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.530000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,6.3,0,2.7,1363.74

27,06:30-06:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.530000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,10.5,0,4.5,1422.74

28,06:45-07:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.530000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,33.630000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,17.5,0,7.5,1432.74

29,07:00-07:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.680000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,24.5,0,10.5,1405.01

30,07:15-07:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.680000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,28,0.19,12,1410.2

31,07:30-07:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.680000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,35,0.44,15,1420.45

32,07:45:08:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.820000,0.000000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.930000,147.880000,0.680000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,42,0.8,18,1430.81

33,08:00-08:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,54.6,1.27,23.4,1459.22

34,08:15-08:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,7.740000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,70,1.73,30,1489.42

35,08:30-08:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,13.550000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,81.2,2.23,34.8,1511.73

36,08:45:09:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,18.390000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,95.2,2.56,40.8,1536.9

37,09:00:09:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,108.5,3.19,46.5,1560.03

38,09:15-09:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,4.840000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,116.9,3.65,50.1,1577.33

39,09:30-09:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,9.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,4.840000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,122.5,4.08,52.5,1585.76

40,09:45-10:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,0.000000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,4.840000,34.650000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,126,4.54,54,1606.22

41,10:00-10:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,7.740000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,133,5.01,57,1712.62

42,10:15-10:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,9.680000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,133,5.41,57,1714.96

43,10:30-10:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,10.650000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,133,5.7,57,1716.22

44,10:45-11:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,11.620000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,5.96,60,1727.45

