Column1,Block,NR/2025/26335/A/73886,NR/2025/26755/A/73251,GNARE/NR/2024/12/20/3668,NR/2025/27055/C,NR/2025/27061/C,GNA/NR/2025/05/01/3877,NR/2025/26291/A/73728,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/2025/27111/C,GNA/NR/2025/05/01/7791,NR/2025/27076/C,NR/2025/27118/C,NR/2025/26232/A/73732,NR/2025/26004/A/73305,NR/2025/27087/C,NR/2025/25861/A/73680,NR/2025/26101/A/73420,NR/2025/26153/A/73253,NR/2025/26289/A/73729,NR/2025/25860/A/73681,NR/2025/26959/A/73397,NR/2025/26005/A/73306,NR/2025/26785/A/73252,NR/2025/27082/C,NR/2025/25859/A/73682,NR/2025/26085/A/73210,NR/2025/26828/A/73848,NR/2025/26336/A/73876,NR/2025/26827/A/73849,NR/2025/26879/A/73881,NR/2025/26265/A/73730,NR/2025/27025/C,NR/2025/26233/A/73731,NR/2025/27089/C,NR/2025/27031/C,NR/2025/25967/A/73674,NR/2025/27092/C,NR/2025/27033/C,NR/2025/27093/C,NR/2025/27028/C,NR/2025/26379/A/73673,NR/2025/27029/C,NR/2025/27117/C,NR/2025/27084/C,NR/2025/26082/A/73771,NR/2025/26825/A/73850,NR/2025/27161/C,NR/2025/26822/A/73851,NR/2025/27094/C,NR/2025/26202/A/73769,NR/2025/27095/C,NR/2025/27023/C,NR/2025/26829/A/73847,NR/2025/26191/A/73303,NR/2025/27086/C,NR/2025/27096/C,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,0,0,0,28.98,7.73,14.14,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.479999999999

4,00:45-01:00,0,0,0,0,0,28.98,7.73,14.14,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.479999999999

5,01:00-01:15,0,0,0,0,0,28.98,7.73,13.87,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.119999999999

6,01:15-01:30,0,0,0,0,0,28.98,7.73,13.87,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.119999999999

7,01:30-01:45,0,0,0,0,0,28.98,7.73,13.87,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.119999999999

8,01:45-02:00,0,0,0,0,0,28.98,7.73,13.87,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.119999999999

9,02:00-02:15,0,0,0,0,0,28.98,7.73,13.5,0,0,0,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.63,14.63,222.18,43.9,33.81,0,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2447.5899999999992

10,02:15-02:30,0,0,0,0,0,28.98,7.73,13.5,0,0,0,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.63,14.63,222.18,43.9,33.81,0,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2447.5899999999992

11,02:30-02:45,0,0,0,0,0,28.98,7.73,13.5,0,0,0,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.63,14.63,222.18,43.9,33.81,0,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2447.5899999999992

12,02:45-03:00,0,0,0,0,0,28.98,7.73,13.5,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.63,14.63,222.18,43.9,33.81,0,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2399.2899999999995

13,03:00-03:15,0,0,0,0,0,28.98,7.73,13.22,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,33.81,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2252.2999999999997

14,03:15-03:30,0,0,0,0,0,28.98,7.73,13.22,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,33.81,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2252.2999999999997

15,03:30-03:45,0,0,0,0,0,28.98,7.73,13.22,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,33.81,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2252.2999999999997

16,03:45-04:00,0,0,0,0,0,28.98,7.73,13.22,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,33.81,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2252.2999999999997

17,04:00-04:15,0,0,0,0,0,28.98,7.73,13.03,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,28.98,0,0,62.79,45.83,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2102.38

18,04:15-04:30,0,0,0,0,0,28.98,7.73,13.03,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,28.98,0,0,62.79,45.83,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2102.38

19,04:30-04:45,0,0,0,0,0,28.98,7.73,13.03,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,28.98,0,0,62.79,45.83,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2102.38

20,04:45-05:00,0,0,0,0,0,28.98,7.73,13.03,0,0,0,13.52,1.93,0,156.49,0,4.83,48.3,28.98,0,0,62.79,45.83,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,22.91,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2102.38

21,05:00-05:15,0,0,0,0,0,28.98,7.73,12.76,0,0,0,13.52,1.93,0,96.6,0,4.83,48.3,28.98,0,0,62.79,48.3,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2045.93

22,05:15-05:30,0,0,0.02,0,0,28.98,7.73,12.76,0,0,0,13.52,1.93,0,96.6,0,4.83,48.3,28.98,0,0,62.79,48.3,0,6.76,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2045.95

23,05:30-05:45,0,0,0.11,0,0,28.98,7.73,12.76,0,0,0,13.52,1.93,0,96.6,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2045.08

24,05:45-06:00,1.4,0,0.13,0,0,28.98,7.73,12.76,0,0,0,13.52,1.93,0,96.6,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.48,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,30,0,96.6,14.49,29.1,0,0,30,2046.5

25,06:00-06:15,3.5,0,0.67,0,0,28.98,7.73,12.48,0,0,0,13.52,1.93,0,96.6,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.58,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,2042.3600000000001

26,06:15-06:30,7,0,1.41,0,0,28.98,7.73,12.48,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.58,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1950

27,06:30-06:45,11.94,0,4.68,0,0,28.98,7.73,12.48,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.58,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1958.21

28,06:45-07:00,19.79,0,7.81,0,0,28.98,7.73,12.48,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.58,14.63,222.18,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1969.19

29,07:00-07:15,31.5,0,11.75,0,0,28.98,7.73,12.2,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.68,14.63,0,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1762.48

30,07:15-07:30,42,0,16.85,0,0,28.98,7.73,12.2,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.68,14.63,0,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1778.0800000000002

31,07:30-07:45,54.42,0,22.91,0,0,28.98,7.73,12.2,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.68,14.63,0,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1796.5600000000002

32,07:45-08:00,69,0,29.65,0,0,28.98,7.73,12.2,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.68,14.63,0,43.9,0,0,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,96.6,14.49,29.1,0,0,26.7,1817.88

33,08:00-08:15,84,7.73,36.89,0,0,28.98,11.59,12.02,0,0,0,13.52,1.93,0,19.32,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.97,14.63,0,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,0,14.49,29.1,0,0,26.7,1871.1400000000003

34,08:15-08:30,98,7.73,44.19,0,0,28.98,11.59,12.02,0,0,0,13.52,1.93,0,19.32,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.97,14.63,0,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,0,14.49,29.1,0,0,26.7,1892.4400000000003

35,08:30-08:45,112,7.73,51.47,0,0,28.98,11.59,12.02,0,0,0,13.52,1.93,0,86.94,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.97,14.63,0,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,0,14.49,29.1,0,0,26.7,1981.3400000000001

36,08:45-09:00,123,7.73,58.9,0,0,28.98,11.59,12.02,0,0,0,13.52,1.93,0,86.94,0,4.83,48.3,28.98,0,0,62.79,48.3,0,5.8,48.3,0,0,96.6,0.97,14.63,0,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,0,193.2,24.15,0,10.63,96.6,26.7,0,0,14.49,29.1,0,0,26.7,1999.7700000000002

37,09:00-09:15,137,10.63,66.11,48.3,193.2,28.98,0,11.83,0,0,0,13.52,2.9,0,86.94,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2078.85

