Column1,Block,NR/2025/24753/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,NER/2024/2820/A/48584,NR/30092023/31122025/SH-07,NR/2024/24508/A/48628,NR/2025/24740/C,NR/2025/24742/C,NR/2025/24743/C,NR/2024/24507/A/48629,NR/2024/24614/A/48627,GNA/WR/2025/01/01/8625,NR/2024/24435/A/48363,GNA/NR/2025/01/01/5531,NR/2024/24418/A/48351,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/2024/24566/A/48352,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,NR/2024/24434/A/48368,NR/2025/24752/C,NR/2025/24765/C,SR/2024/15456/A/48371,NR/2025/24751/C,WR/2024/25501/A/48590,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,Total
3,00:30-00:45,0,28.68,28.68,28.68,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,375.71999999999997

4,00:45-01:00,0,28.68,28.68,28.68,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,375.71999999999997

5,01:00-01:15,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

6,01:15-01:30,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

7,01:30-01:45,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

8,01:45-02:00,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

9,02:00-02:15,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

10,02:15-02:30,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

11,02:30-02:45,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

12,02:45-03:00,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

13,03:00-03:15,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.55,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.2

14,03:15-03:30,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.55,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.2

15,03:30-03:45,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.55,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.2

16,03:45-04:00,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.55,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.2

17,04:00-04:15,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

18,04:15-04:30,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

19,04:30-04:45,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

20,04:45-05:00,0,25.81,25.81,25.81,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,367.11

21,05:00-05:15,0,25.81,25.81,25.81,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.43,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,412.09000000000003

22,05:15-05:30,0,25.81,25.81,25.81,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.43,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,412.09000000000003

23,05:30-05:45,0,28.68,28.68,28.68,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.43,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,420.7

24,05:45-06:00,0,28.68,28.68,28.68,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.43,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,420.7

25,06:00-06:15,0,31.54,31.54,31.54,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,411.04,0,0,0,0,26.77,47.8,840.27

26,06:15-06:30,0,31.54,31.54,31.54,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,411.04,0,0,0,0,26.77,47.8,840.27

27,06:30-06:45,0,36.32,36.32,36.32,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,411.04,0,0,0,0,26.77,47.8,854.61

28,06:45-07:00,0,36.32,36.32,36.32,47.8,20.07,38.24,0,8.69,0,0,0,17.21,0,0,16.25,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,411.04,0,0,0,0,26.77,47.8,854.61

29,07:00-07:15,0,36.32,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,0,0,0,191.18,0,0,0,0,26.77,47.8,708.18

30,07:15-07:30,0,36.32,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,0,0,0,191.18,0,0,0,0,26.77,47.8,708.18

31,07:30-07:45,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,0,0,0,191.18,0,0,0,0,26.77,47.8,714.8799999999999

32,07:45-08:00,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,0,0,0,191.18,0,0,0,0,26.77,47.8,714.8799999999999

33,08:00-08:15,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,523.6099999999999

34,08:15-08:30,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,523.6099999999999

35,08:30-08:45,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,523.6099999999999

36,08:45-09:00,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,523.6099999999999

37,09:00-09:15,0,43.02,36.32,36.32,47.8,20.07,0,0,0,28.68,28.68,14.34,0,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,3.82,0,0,0,0,0,0,0,26.77,47.8,467.87

38,09:15-09:30,0,43.02,36.32,36.32,47.8,20.07,0,0,0,28.68,28.68,14.34,0,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,3.82,0,0,0,0,0,0,0,26.77,47.8,467.87

39,09:30-09:45,0,43.02,36.32,36.32,47.8,20.07,0,0,0,38.24,28.68,14.34,0,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,3.82,0,0,0,0,0,0,0,26.77,47.8,477.42999999999995

40,09:45-10:00,0,43.02,36.32,36.32,47.8,20.07,0,0,0,38.24,28.68,14.34,0,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,3.82,0,0,0,0,0,0,0,26.77,47.8,477.42999999999995

41,10:00-10:15,0,43.02,36.32,36.32,47.8,20.07,0,0,7.83,57.35,0,0,28.68,6.51,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,4.78,0,0,0,0,0,0,0,26.77,47.8,497.49999999999994

42,10:15-10:30,0,43.02,36.32,36.32,47.8,20.07,0,0,7.83,78.38,0,0,28.68,6.51,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,4.78,0,0,0,0,0,0,0,26.77,47.8,518.53

43,10:30-10:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,7.83,95.59,0,0,28.68,6.51,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,588.3199999999998

44,10:45-11:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,7.83,110.88,0,0,28.68,6.51,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,603.6099999999999

45,11:00-11:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.72999999999996

46,11:15-11:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.72999999999996

47,11:30-11:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.72999999999996

48,11:45-12:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.55,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.72999999999996

49,12:00-12:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.63999999999993

50,12:15-12:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.63999999999993

51,12:30-12:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.63999999999993

52,12:45-13:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.86,0,19.12,14.34,5.74,1.46,47.8,6.69,4.78,0,0,9.56,0,0,0,26.77,47.8,494.63999999999993

53,13:00-13:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,5.74,4.78,0,0,9.56,0,0,0,26.77,47.8,493.5899999999999

54,13:15-13:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,5.74,4.78,0,0,9.56,0,0,0,26.77,47.8,493.5899999999999

55,13:30-13:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,5.74,4.78,0,0,9.56,0,0,0,26.77,47.8,493.5899999999999

56,13:45-14:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,5.74,4.78,0,0,9.56,0,0,0,26.77,47.8,493.5899999999999

57,14:00-14:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.6299999999999

58,14:15-14:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.6299999999999

59,14:30-14:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.6299999999999

60,14:45-15:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.76,0,19.12,14.34,5.74,1.46,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.6299999999999

61,15:00-15:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.67,0,19.12,14.34,5.74,1.55,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.62999999999994

62,15:15-15:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.67,0,19.12,14.34,5.74,1.55,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.62999999999994

63,15:30-15:45,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.67,0,19.12,14.34,5.74,1.55,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.62999999999994

64,15:45-16:00,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.67,0,19.12,14.34,5.74,1.55,47.8,4.78,4.78,0,0,9.56,0,0,0,26.77,47.8,492.62999999999994

65,16:00-16:15,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,2.87,4.78,0,0,9.56,0,0,0,26.77,47.8,490.43999999999994

66,16:15-16:30,38.24,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,2.87,4.78,0,0,9.56,0,0,0,26.77,47.8,490.43999999999994

67,16:30-16:45,34.13,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,2.87,4.78,0,0,13.67,0,0,0,26.77,47.8,490.43999999999994

68,16:45-17:00,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,2.87,0,0,0,0,0,0,0,26.77,47.8,437.85999999999996

69,17:00-17:15,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0.96,0,47.8,0,0,0,0,0,26.77,47.8,483.74999999999994

70,17:15-17:30,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0.96,0,47.8,0,0,0,0,0,26.77,47.8,483.74999999999994

71,17:30-17:45,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0.96,0,47.8,0,0,0,0,0,26.77,47.8,483.74999999999994

72,17:45-18:00,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0.96,0,47.8,0,0,0,0,0,26.77,47.8,483.74999999999994

73,18:00-18:15,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.18

74,18:15-18:30,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.18

75,18:30-18:45,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.18

76,18:45-19:00,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.18

77,19:00-19:15,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.55,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.3599999999999

78,19:15-19:30,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.55,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.3599999999999

79,19:30-19:45,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.55,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.3599999999999

80,19:45-20:00,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.55,47.8,0,0,47.8,66.91,0,38.24,50,30,26.77,47.8,756.3599999999999

81,20:00-20:15,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,105.15,0,38.24,50,30,26.77,47.8,794.5099999999999

82,20:15-20:30,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,105.15,0,38.24,50,30,26.77,47.8,794.5099999999999

83,20:30-20:45,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,105.15,0,38.24,50,30,26.77,47.8,794.5099999999999

84,20:45-21:00,0,43.02,36.32,36.32,47.8,20.07,38.24,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,47.8,105.15,0,38.24,50,30,26.77,47.8,794.5099999999999

85,21:00-21:15,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,0,229.42,0,38.24,50,30,26.77,47.8,832.7399999999999

86,21:15-21:30,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,0,229.42,0,38.24,50,30,26.77,47.8,832.7399999999999

87,21:30-21:45,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,0,229.42,0,38.24,50,30,26.77,47.8,832.7399999999999

88,21:45-22:00,0,43.02,36.32,36.32,47.8,20.07,0,0,14.34,0,0,0,28.68,0,50,16.25,28.68,0.57,0,19.12,14.34,5.74,1.46,47.8,0,0,0,229.42,0,38.24,50,30,26.77,47.8,832.7399999999999

89,22:00-22:15,0,43.02,25.81,25.81,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,0,286.77,0,38.24,50,30,26.77,47.8,818.9799999999999

90,22:15-22:30,0,43.02,25.81,25.81,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,0,286.77,0,38.24,50,30,26.77,47.8,818.9799999999999

91,22:30-22:45,0,43.02,25.81,25.81,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,0,286.77,0,38.24,50,30,26.77,47.8,818.9799999999999

92,22:45-23:00,0,43.02,25.81,25.81,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,14.34,5.74,1.46,47.8,0,0,0,286.77,0,38.24,50,30,26.77,47.8,818.9799999999999

93,23:00-23:15,0,36.32,25.81,25.81,47.8,20.07,0,0,14.34,0,0,0,28.68,0,0,16.25,28.68,0.48,0,19.12,8.6,5.74,1.46,47.8,0,0,0,286.77,0,38.24,50,30,26.77,47.8,806.54

