Block,Time Block,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,DADRI_RF,DADRI_LF,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,VALLURNTECL,URI,UNCHAHAR4,URI2,ANTA_LF,AURY_LF,DADRI_GF,ANTA_RF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,BRBCL,BSIUL,CHAMERA1,KGSU1AND2,JHAJJAR,DHAULIGNGA,FSTPP I & II,KGSU3AND4,DADRT2,DULHASTI,CHAMERA3,CHAMERA2,TALA,TEHRI,UNCHAHAR2,UNCHAHAR1,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,NLCTS2EXP,NTPL,PARBATI2,NNTPP,SIMHST2,RAMPUR,RIHAND3,SINGRAULI,RAPPC,SALAL,SEWA2,PARBATI3,RIHAND2,RIHAND1,RAPPB,SASAN,RSTPSU1TO6,SINGRAULI_HYDRO,RAPPD,RSTPSU7,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
8,01:45-02:00,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,14.58,12.56,40.59,0,331.79,10.54,14.86,0,388.55,57.3,33.73,47,10.76,9.81,42.38,21.13,5.32,0,0.49,0,26.66,0,0,32.57,0,0,6.26,92.17,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

9,02:00-02:15,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,13.74,12.56,40.59,0,331.79,10.54,14.86,0,340.4,57.3,22.47,47,10.76,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.17,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

10,02:15-02:30,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,12.63,12.56,40.59,0,331.79,10.54,14.86,0,292.25,57.3,22.47,47,10.76,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.17,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

11,02:30-02:45,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,11.84,12.56,40.59,0,331.79,10.54,14.86,0,244.1,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

12,02:45-03:00,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,11.18,12.56,40.59,0,331.79,10.54,14.86,0,104.19,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

13,03:00-03:15,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,11.34,12.56,40.59,0,331.79,10.54,14.86,0,94.98,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

14,03:15-03:30,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,11.07,12.56,27.06,0,331.79,10.54,14.86,0,94.98,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

15,03:30-03:45,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,12.74,12.56,27.06,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

16,03:45-04:00,0,0,145.62,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,12.19,12.56,27.06,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,9.06,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,5.79,92.25,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

17,04:00-04:15,0,0,145.62,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,16.05,12.56,27.06,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,7.36,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,5.79,125.95,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

18,04:15-04:30,0,0,145.62,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,18.63,12.56,13.53,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,7.36,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,5.79,125.95,144.78,66.51,76.44,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

19,04:30-04:45,0,0,145.62,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,4.25,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,5.79,125.95,144.78,66.51,76.44,18.2,22.17,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

20,04:45-05:00,0,0,157.48,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,331.79,10.54,16.06,0,94.98,57.3,22.47,47,4.25,9.81,36.8,17.82,5.32,0,0.49,0,22.99,0,0,32.57,0,0,6.26,125.95,144.78,66.51,76.44,18.2,22.17,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

21,05:00-05:15,0,0,157.48,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,269.33,10.54,16.06,0,94.98,57.3,22.47,47,3.68,9.81,31.14,15.43,5.32,0,0.49,0,19.04,0,0,21.71,0,0,6.26,125.95,144.78,66.51,76.44,18.2,22.17,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

22,05:15-05:30,0,0,157.48,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,182.66,10.54,16.06,0,94.98,57.3,22.47,47,3.68,9.81,23.35,11.87,5.32,0,0.49,0,14.66,0,0,21.71,0,0,6.26,125.95,144.78,66.51,76.44,18.2,22.17,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

23,05:30-05:45,0,0,157.48,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,6.49,8.31,0,36.68,1.64,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,161.48,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,5.32,0,0.49,0,16.89,0,0,21.71,0,0,6.26,125.95,144.78,66.51,76.44,18.2,22.17,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

24,05:45-06:00,0,0,157.48,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,212.51,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,3.86,0,0.49,0,16.89,0,0,21.71,0,0,6.26,91.88,130.15,66.51,76.44,18.2,22.17,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

25,06:00-06:15,0,0,157.48,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,13.53,0,331.79,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,3.86,0,0.49,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,22.17,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

26,06:15-06:30,0,0,157.48,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,266.51,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,3.86,0,6.04,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,22.17,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

27,06:30-06:45,0,0,159.85,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,3.86,0,6.04,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,22.17,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

28,06:45-07:00,0,0,159.85,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,10.54,12.66,0,94.98,57.3,22.47,47,3.68,9.81,28.24,13.25,3.86,0,6.04,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,22.17,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

29,07:00-07:15,0,0,159.85,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.95,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,10.54,12.66,0,241.65,57.3,22.47,47,4.82,9.81,28.38,13.25,3.86,0,6.04,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

30,07:15-07:30,0,0,159.85,0,24.44,0,0,35.18,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,21.07,12.66,0,102.01,57.3,22.47,47,4.82,9.81,28.38,13.25,3.86,0,0.49,0,16.89,0,0,14.46,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

31,07:30-07:45,0,0,159.85,0,24.44,0,0,29.43,0,10.04,114.57,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,21.07,9.91,0,94.98,57.3,22.47,47,4.53,9.81,23.9,11.87,3.86,0,0.49,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

32,07:45-08:00,0,0,159.85,0,24.44,0,0,24.58,0,10.04,94.83,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,356,21.07,9.91,0,94.98,57.3,22.47,47,4.53,9.81,23.83,11.87,3.86,0,0.49,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

33,08:00-08:15,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,259.7,21.07,9.91,0,94.98,57.3,22.47,47,4.53,9.81,23.83,13.08,3.86,0,6.04,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

34,08:15-08:30,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,259.7,21.07,9.91,0,94.98,57.3,22.47,47,4.53,9.81,23.83,13.08,3.86,0,6.04,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,18.47,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

35,08:30-08:45,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,259.7,21.07,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,16.26,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

36,08:45-09:00,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,259.7,21.07,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,16.26,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

37,09:00-09:15,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,259.7,21.07,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,16.26,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

38,09:15-09:30,0,0,159.85,0,24.44,0,0,24.58,0,10.04,78.55,0,0,0,6.49,8.31,0,36.68,0.96,32.49,0,0,0,0,0,0,0,0,0,0,19.26,12.56,0,0,221.18,10.54,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,6.26,91.88,130.15,66.51,76.44,18.2,16.26,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

39,09:30-09:45,0,0,133.21,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,6.49,8.31,0,36.14,0.96,38.67,0,0,0,0,0,0,0,0,0,0,19.26,8.47,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,5.3,91.88,130.15,66.51,71.62,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

40,09:45-10:00,0,0,102.47,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,6.49,8.31,0,36.14,0.96,38.67,0,0,0,0,0,0,0,0,0,0,19.26,8.47,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,4.07,91.88,130.15,66.51,71.62,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

41,10:00-10:15,0,0,79.92,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,6.49,8.31,0,36.14,0.96,38.67,0,0,0,0,0,0,0,0,0,0,19.26,8.47,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,3.18,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

42,10:15-10:30,0,0,53.28,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,4.13,8.31,0,36.14,0.96,38.67,0,0,0,0,0,0,0,0,0,0,19.26,8.47,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,4.53,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,2.11,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

43,10:30-10:45,0,0,21.57,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,3.74,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,18.09,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.81,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.86,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

44,10:45-11:00,0,0,24.81,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,18.72,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.34,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.98,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

45,11:00-11:15,0,0,24.81,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.31,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.98,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

46,11:15-11:30,0,0,24.81,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,18.48,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.31,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.98,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

47,11:30-11:45,0,0,24.81,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.31,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.98,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

48,11:45-12:00,0,0,24.81,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.31,13.08,3.86,0,1.11,0,16.32,0,0,10.86,0,0,0.98,91.88,130.15,66.51,69.38,18.2,4.13,95.91,64.78,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

49,12:00-12:15,0,0,21.57,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,1.86,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.29,13.08,3.5,0,1.11,0,16.32,0,0,10.86,0,0,0.86,91.88,114.02,66.51,69.38,18.2,16.26,95.91,51.5,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

50,12:15-12:30,0,0,21.57,0,24.44,0,0,27.95,0,10.04,78.55,0,0,0,0,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.29,13.08,3.5,0,1.11,0,16.32,0,0,10.86,0,0,0.86,91.88,110.07,66.51,69.38,18.2,16.26,95.91,51.5,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

51,12:30-12:45,0,0,43.15,0,24.44,0,0,27.95,0,0,78.55,0,0,0,0,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.27,13.08,3.32,0,1.11,0,16.32,0,0,10.86,0,0,1.71,91.88,110.07,66.51,69.38,18.2,16.26,95.91,51.5,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

52,12:45-13:00,0,0,45.3,0,24.44,0,0,27.95,0,0,78.55,0,0,0,0,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.27,13.08,3.32,0,1.11,0,16.32,0,0,10.86,0,0,1.79,91.88,110.07,66.51,69.38,18.2,16.26,95.91,51.5,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

53,13:00-13:15,0,0,70.12,0,24.44,0,0,27.95,0,0,78.55,0,0,0,0,8.31,0,36.14,0.96,34.03,0,0,0,0,0,0,0,0,0,0,19.26,6.28,0,0,221.18,0,9.91,0,94.98,57.3,22.47,31.33,5.66,9.89,24.27,13.08,3.69,0,1.11,0,16.32,0,0,10.86,0,0,2.78,91.88,110.07,66.51,69.38,12.14,4.13,95.91,51.5,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

