Column1,Time,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/9334,NR/01102023/06022042/L_NR_2012_07,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/11/4172,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/11/3573,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/7960,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/04/11/9952,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/5285,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024
26,06:15-06:30,0,32,3.54,7.68,0,2.89,86.82,0.37,0,0.23,0,1.15,0,0,0,0,0,31.67,94.99,9.32,13.21,31.67,78.67,2.5,14.01,78.67,29.67,0,9.62,1.92,9.62,0,0,4.03,115.09,48.12,8.04,0,30.28,0,4.23,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.37

27,06:30-06:45,0,32,3.54,7.68,0,2.89,86.82,0.15,1,0.36,0,1.82,0,1,1,0,1,31.33,94.01,18.6,26.39,31.33,77.33,6,12.01,77.33,29.33,0,9.62,1.92,9.62,0,0,4.03,115.09,48.12,8.04,0,29.27,0,4.23,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.37

28,06:45-07:00,0,32,3.54,7.68,0,2.89,86.82,1.34,4,1.5,1,7.49,1,3,2,1,4,31,93,29.71,33,31,76.33,11.69,10,76.33,29,0,9.62,1.92,9.62,0.49,0,4.03,115.09,48.12,8.04,0,29.27,0.49,4.23,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0.49,9.62,7.37

29,07:00-07:15,0,32,3.54,7.68,0,2.89,63.12,4.23,14,3.17,6,15.87,7,5,3,3,9,30.83,92.51,31.6,31.6,30.83,77,19.31,11.61,77,28.67,0,9.62,1.92,9.62,1.26,0,4.03,115.09,48.12,8.04,0,29.27,1.26,4.07,100.27,43.75,130.23,27,0,2.89,2.89,272.15,1.26,9.62,7.28

30,07:15-07:30,0,32,3.54,7.68,0,2.89,50.93,8.05,28,5.49,12,27.43,10,7,8,5,14,30.67,91.99,30.35,30.35,30.67,76.33,28,11.21,76.33,28.33,0,9.62,1.92,9.62,1.86,0,4.03,106.6,48.12,8.04,0,29.27,1.86,4.07,100.27,43.75,82.14,27,0,2.89,2.89,231,1.86,9.62,7.28

31,07:30-07:45,0,32,3.54,7.68,0,2.89,50.93,13.19,42,8.58,18,42.88,10,10,13,5,22,30,90,28.35,28.35,30,75.67,37.45,6,75.67,27.33,0,9.62,1.92,9.62,2.65,0,4.03,98.11,48.12,8.04,0,29.27,2.65,4.07,100.27,43.75,82.14,27,0,2.89,2.89,231,2.65,9.62,7.28

32,07:45-08:00,0,32,3.54,7.68,0,2.89,40.42,19.81,56,11.64,24,58.19,17,15,19,8,27.06,29.67,88.99,27.07,27.07,29.67,75,47.07,5,75,26.67,0,9.62,1.92,9.62,3.51,0,4.03,89.62,48.12,8.04,0,29.27,3.51,4.07,100.27,43.75,63.52,27,0,2.89,2.89,272.15,3.51,9.62,7.28

33,08:00-08:15,0,27,3.54,7.68,0,2.89,40.42,25.89,56,15.66,24,78.32,25,19,30,13,29.46,29.33,88.01,29.47,29.47,29.33,76.67,56.68,3,76.67,26,0,9.62,1.92,9.62,4.99,0,3.88,81.13,48.12,8.04,0,29.27,4.99,4.07,71.4,43.75,63.52,27,0,2.89,2.89,231,4.99,9.62,7.28

34,08:15-08:30,0,27,3.54,7.68,0,2.89,40.42,33.03,74,19.53,31,97.64,33,23,39,17,30.3,28.33,85.01,30.3,30.3,28.33,76,66.27,2.6,76,25,0,9.62,1.92,9.62,6.41,0,3.88,70.19,48.12,8.04,0,29.27,6.41,4.07,52.94,43.75,63.52,27,0,2.89,2.89,192.5,6.41,9.62,7.28

35,08:30-08:45,0,27,3.54,7.68,0,2.89,40.42,40.52,88,22.8,37,113.98,42,25,36,21,31.9,26.67,79.99,31.9,31.9,26.67,75,75.42,2.6,75,24,0,9.62,1.92,9.62,7.72,0,3.88,70.19,48.12,8.04,0,29.27,7.72,4.07,52.94,43.75,63.52,27,0,2.89,2.89,149.68,7.72,9.62,7.28

36,08:45-09:00,0,27,3.54,7.68,0,2.89,40.42,47.91,105,26.53,45,132.66,51,27,45,25,31.9,25,75,31.9,31.9,25,73.33,84.3,2.6,73.33,23.33,0,9.62,1.92,9.62,8.84,0,3.88,70.19,48.12,8.04,0,29.27,8.84,4.07,52.94,43.75,63.52,27,0,2.89,2.89,149.68,8.84,9.62,7.28

37,09:00-09:15,0,27,3.46,7.68,0,2.89,40.42,55.19,123,30.12,52,150.59,59,30,52,29,32.24,21.67,64.99,32.23,32.23,21.67,71.67,90.95,5,71.67,28.33,0,9.62,1.92,9.62,9.83,0,3.88,70.19,48.12,8.04,0,28.26,9.83,4.07,52.94,43.75,63.52,27,0,2.89,2.89,149.68,9.83,9.62,7.19

38,09:15-09:30,0,27,3.46,7.68,0,2.89,40.42,61.96,137,33.53,58,167.62,63,33,58,32,32.24,20.83,62.51,32.23,32.23,20.83,66.67,98.77,5,66.67,28.33,0,9.62,1.92,9.62,11.06,0,3.88,70.19,48.12,8.04,0,28.77,11.06,4.07,52.94,43.75,63.52,27,0,2.89,2.89,149.68,11.06,9.62,7.19

39,09:30-09:45,0,27,3.46,7.68,0,2.89,40.42,68.37,144,36.69,61,183.43,71,34,62,35,32.5,20,60,32.5,32.5,20,63.33,106.14,5,63.33,27.67,0,9.62,1.92,9.62,12.09,0,3.88,70.19,48.12,8.04,0,29.27,12.09,4.07,52.94,43.75,63.52,27,0,2.89,2.89,149.68,12.09,9.62,7.19

40,09:45-10:00,0,27,3.46,7.68,0,2.89,40.42,74.34,154,39.6,66,197.99,75,36,69,38,32.5,20.33,61.01,32.5,32.5,20.33,58.33,113.01,5,58.33,27,0,9.62,1.92,9.62,12.95,0,3.88,70.19,48.12,8.04,0,29.27,12.95,4.07,52.94,43.75,63.52,27,0,2.89,2.89,192.5,12.95,9.62,7.19

41,10:00-10:15,0,27,3.46,7.68,0,2.89,40.42,79.61,165,43.45,70,217.22,80,39,78,40,32.5,20.83,62.51,32.5,32.5,20.83,56.67,118.89,5,56.67,26.33,0,9.62,1.92,9.62,13.89,0,3.88,70.19,48.12,8.04,0,29.27,13.89,3.99,52.94,43.75,63.52,27,0,2.89,2.89,192.5,13.89,9.62,7.09

42,10:15-10:30,0,27,3.46,7.68,0,2.89,40.42,88.26,172,45.76,73,228.77,85,41,83,42,32.5,21.17,63.49,32.5,32.5,21.17,56,128.64,5,56,26,0,9.62,1.92,9.62,14.68,0,3.88,70.19,48.12,8.04,0,29.78,14.68,3.99,52.94,43.75,63.52,27,0,2.89,2.89,231,14.68,9.62,7.09

43,10:30-10:45,0,27,3.46,7.68,0,2.89,40.42,92.43,182,47.08,78,235.41,88,41,90,44,32.5,27.5,82.5,32.5,32.5,27.5,55.67,128.78,5,55.67,26,0,9.62,1.92,9.62,15.41,0,3.88,70.19,48.12,8.04,0,28.77,15.41,3.99,52.94,43.75,63.52,27,0,2.89,2.89,192.5,15.41,9.62,7.09

44,10:45-11:00,0,27,3.46,7.68,0,2.89,40.42,98.33,193,47.08,82,235.41,90,43,91,45,32.5,28,84,32.5,32.5,28,55.33,132.15,5,55.33,26.33,0,9.62,1.92,9.62,16,0,3.88,70.19,48.12,8.04,0,28.77,16,3.99,52.94,43.75,63.52,27,0,2.89,2.89,149.68,16,9.62,7.09

45,11:00-11:15,0,27,3.46,7.68,0,2.89,40.42,98.33,179,47.08,76,235.41,88,45,91,44,32.5,31.67,94.99,32.5,32.5,31.67,73.33,135.04,5,73.33,19,0,9.62,1.92,9.62,16.55,0,4.03,70.19,48.12,8.04,0,28.77,16.55,3.99,52.94,43.75,63.52,27,0,2.89,2.89,149.68,16.55,9.62,7.09

46,11:15-11:30,0,27,3.46,7.68,0,2.89,40.42,98.33,179,47.08,76,235.41,88,45,91,44,32.5,31.67,94.99,32.5,32.5,31.67,73.33,137.47,5,73.33,19.67,0,9.62,1.92,9.62,17.04,0,4.03,70.19,48.12,8.04,0,28.77,17.04,3.99,52.94,43.75,63.52,27,0,2.89,2.89,149.68,17.04,9.62,7.09

47,11:30-11:45,0,27,3.46,7.68,0,2.89,40.42,98.33,179,47.08,76,235.41,90,46,98,45,32.5,31.83,95.51,32.5,32.5,31.83,73.33,139.4,5,73.33,20,0,9.62,1.92,9.62,17.4,0,4.03,70.19,48.12,8.04,0,28.77,17.4,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,17.4,9.62,7.09

48,11:45-12:00,0,27,3.46,7.68,0,2.89,52.62,98.33,179,47.08,76,235.41,90,48,98,45,32.5,32.17,96.49,32.5,32.5,32.17,73.33,143.19,5,73.33,20.33,0,9.62,1.92,9.62,17.66,0,4.03,70.19,48.12,8.04,0,29.27,17.66,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,17.66,9.62,7.09

49,12:00-12:15,0,27,3.46,7.68,0,2.89,52.62,100,175,47.08,75,235.41,87,48,98,43,32.5,32.5,97.5,32.5,32.5,32.5,73.33,144.25,5,73.33,19.33,0,9.62,1.92,9.62,17.66,0,4.03,70.19,48.12,8.04,0,29.27,17.66,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,17.66,9.62,7

50,12:15-12:30,0,27,3.46,7.68,0,2.89,52.62,100,175,47.08,75,235.41,87,48,98,43,32.5,32.83,98.51,32.5,32.5,32.83,73.33,144.58,5,73.33,19,0,9.62,1.92,9.62,17.66,0,4.03,70.19,48.12,8.04,0,29.27,17.66,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,17.66,9.62,7

51,12:30-12:45,0,27,3.46,7.68,0,2.89,52.62,100,186,45.96,79,229.8,90,48,98,45,32.5,33,99,32.5,32.5,33,73.33,143.85,5,73.33,19.33,0,9.62,1.92,9.62,16.23,0,4.03,70.19,48.12,8.04,0,29.27,16.23,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,16.23,9.62,7

52,12:45-13:00,0,27,3.46,7.68,0,2.89,40.42,100,189,45.97,81,229.82,90,48,98,45,32.5,33.17,99.49,32.5,32.5,33.17,73.33,142.98,5,73.33,20,0,9.62,1.92,9.62,16.23,0,4.03,70.19,48.12,8.04,0,29.78,16.23,3.99,52.94,43.75,81.66,27,0,2.89,2.89,149.68,16.23,9.62,7

53,13:00-13:15,0,27,3.64,7.68,0,2.89,40.42,100,193,45.97,82,229.82,87,48,98,43,32.5,33.33,100.01,32.5,32.5,33.33,73.33,141.58,5,73.33,20.33,0,9.62,1.92,9.62,16.23,0,4.03,70.19,48.12,8.04,0,30.79,16.23,4.15,52.94,43.75,63.52,27,0,2.89,2.89,149.68,16.23,9.62,6.91

54,13:15-13:30,0,27,3.64,7.68,0,2.89,40.42,100,193,45.97,82,229.84,87,48,98,43,32.5,33.33,100.01,32.5,32.5,33.33,73.33,139.45,5,73.33,20.67,0,9.62,1.92,9.62,16.23,0,4.03,70.19,48.12,8.04,0,28.77,16.23,4.15,52.94,43.75,63.52,27,0,2.89,2.89,149.68,16.23,9.62,6.91

55,13:30-13:45,0,27,3.64,7.68,0,2.89,40.42,100,189,45.33,81,226.64,90,48,98,45,32.5,33.33,100.01,32.5,32.5,33.33,73.33,135.11,5,73.33,37.33,0,9.62,1.92,9.62,16.23,0,3.11,70.19,48.12,8.04,0,28.77,16.23,4.15,52.94,43.75,63.52,27,0,2.89,2.89,149.68,16.23,9.62,6.91

56,13:45-14:00,0,27,3.64,7.68,0,2.89,40.42,100,189,44.47,81,222.36,90,47,98,45,32.5,33.33,100.01,32.5,32.5,33.33,73.33,129.48,5,73.33,37.33,0,9.62,1.92,9.62,16.23,0,3.8,70.19,48.12,8.04,0,29.27,16.23,4.15,52.94,43.75,81.66,27,0,2.89,2.89,149.68,16.23,9.62,6.91

57,14:00-14:15,0,27,3.92,7.68,0,2.89,52.62,100,193,46.67,82,233.33,73,46,96,37,32.5,33.33,100.01,32.5,32.5,33.33,73.33,123.32,5.2,73.33,37.33,0,9.62,1.92,9.62,15.87,0,3.8,70.19,48.12,8.04,0,28.26,15.87,4.15,52.94,43.75,81.66,27,0,2.89,2.89,192.5,15.87,9.62,6.81

58,14:15-14:30,0,27,3.92,7.68,0,2.89,52.62,100,193,46.67,82,233.33,80,45,95,40,32.5,33.33,100.01,32.5,32.5,33.33,73.33,116.78,5.4,73.33,37.33,0,9.62,1.92,9.62,15.32,0,3.8,115.09,48.12,8.04,0,29.27,15.32,4.15,52.94,43.75,81.66,27,0,2.89,2.89,231,15.32,9.62,6.81

59,14:30-14:45,0,27,2.98,7.68,0,2.89,52.62,100,189,46.67,81,233.33,73,44,91,37,32.5,33.33,100.01,32.5,32.5,33.33,73.33,112.82,5.6,73.33,37.33,0,9.62,1.92,9.62,14.79,0,3.88,115.09,48.12,8.04,0,29.27,14.79,3.99,52.94,43.75,81.66,27,0,2.89,2.89,272.15,14.79,9.62,6.81

60,14:45-15:00,0,27,2.98,7.68,0,2.89,52.62,100,189,46.54,81,232.71,77,42,91,38,32.5,33.33,100.01,32.5,32.5,33.33,73.33,108.29,6,73.33,37.33,0,9.62,1.92,9.62,14.07,0,3.88,115.09,48.12,8.04,0,29.27,14.07,3.99,52.94,43.75,81.66,27,0,2.89,2.89,272.15,14.07,9.62,6.81

61,15:00-15:15,0,27,3.18,7.68,0,2.89,52.62,93.33,182,44.62,78,223.1,80,40,87,40,32.66,30.83,92.51,32.67,32.67,30.83,70,103.26,6.4,70,37.33,0,9.62,1.92,9.62,13.19,0,3.88,115.09,48.12,8.04,0,29.78,13.19,3.99,52.94,43.75,81.66,27,0,2.89,2.89,272.15,13.19,9.62,6.81

62,15:15-15:30,0,27,3.18,7.68,0,2.89,52.62,87.92,172,42.28,73,211.4,80,38,83,40,32.66,30.83,92.51,32.67,32.67,30.83,68,97.65,6.6,68,37.33,0,9.62,1.92,9.62,12.28,0,3.88,115.09,48.12,8.04,0,29.78,12.28,3.99,81.81,43.75,81.66,27,0,2.89,2.89,272.15,12.28,9.62,6.81

63,15:30-15:45,0,27,3.18,7.68,0,2.89,52.62,83.43,161,39.5,69,197.51,73,35,77,37,32.66,30.83,92.51,32.67,32.67,30.83,65.67,90.93,6.8,65.67,36.67,0,9.62,1.92,9.62,11.43,0,3.88,115.09,48.12,8.04,0,29.78,11.43,3.99,100.27,43.75,81.66,27,0,2.89,2.89,272.15,11.43,9.62,6.81

64,15:45-16:00,0,27,3.18,7.68,0,2.89,52.62,77.69,151,36.57,64,182.82,67,32,70,33,32.66,30.83,92.51,32.67,32.67,30.83,63.67,83.78,6.6,63.67,36.33,0,9.62,1.92,9.62,10.42,0,3.88,115.09,48.12,8.04,0,30.28,10.42,3.99,100.27,43.75,81.66,27,0,2.89,2.89,272.15,10.42,9.62,6.81

65,16:00-16:15,50,27,3.46,7.68,0,2.89,52.62,71.34,137,33.38,58,166.92,60,30,63,30,32.66,30.17,90.49,32.67,32.67,30.17,60.67,75.8,7,60.67,35.67,0,9.62,1.92,9.62,9.37,0,4.03,115.09,48.12,8.04,0,29.77,9.37,4.15,100.27,43.75,81.66,27,0,2.89,2.89,272.15,9.37,9.62,6.91

66,16:15-16:30,50,27,3.46,7.68,0,2.89,52.62,64.51,123,30.05,52,150.23,53,26,57,27,32.66,28.83,86.51,32.67,32.67,28.83,57.67,67.12,7.4,57.67,34.33,0,9.62,1.92,9.62,8.38,0,4.03,115.09,48.12,8.04,0,30.28,8.38,4.15,100.27,43.75,81.66,27,0,2.89,2.89,272.15,8.38,9.62,6.91

