Time,Block,NR/2023/13905/C,NR/2023/13679/F,NR/2023/10436/A,NR/2023/13887/D,NR/2023/13898/C,NR/2023/12706/A,NR/2023/12919/F,NR/2023/12923/F,NR/2023/10720/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/10651/A,NR/2023/11712/A,NR/2023/12813/F,NR/2023/13369/F,NR/2023/12661/A,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13913/C,NR/2023/12814/F,NR/2023/10650/A,NR/2023/10786/A,NR/2023/10956/A,NR/2023/10460/A,NR/2023/13053/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10432/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/11266/A,NR/2023/10947/A,NR/2023/10705/A,NR/2023/11953/A,NR/2023/12924/F,NR/2023/13890/D,NR/2023/12917/F,NR/2023/13885/D,NR/2023/11068/A,NR/2023/12920/F,NR/2023/10959/A,NR/2023/13892/D,ER/2023/8568/C,NR/2023/13894/D,ER/2023/8566/C,NR/2023/13884/D,Total
30,07:15-07:30,18.480000,4.840000,24.200000,45.510000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,28,100.000000,12,100.000000,0.61,1601.82

31,07:30-07:45,18.480000,4.840000,24.200000,45.510000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,35,100.000000,15,50.000000,1.13,1562.34

32,07:45:08:00,18.480000,4.840000,24.200000,45.510000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,50.4,100.000000,21.6,50.000000,1.16,1584.37

33,08:00-08:15,18.300000,4.840000,24.200000,45.510000,33.640000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.970000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,24.200000,0.920000,147.910000,48.410000,0.980000,21.280000,59.5,100.000000,25.5,0.000000,1.74,1602.51

34,08:15-08:30,18.300000,4.840000,24.200000,45.510000,33.640000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.970000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,24.200000,0.920000,147.910000,48.410000,0.980000,21.280000,70,100.000000,30,0.000000,2.03,1617.8

35,08:30-08:45,18.300000,4.840000,24.200000,45.510000,33.640000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.970000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,24.200000,0.920000,147.910000,48.410000,0.980000,21.280000,89.6,100.000000,38.4,0.000000,2.42,1646.19

36,08:45:09:00,18.300000,4.840000,24.200000,45.510000,33.640000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.970000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,24.200000,0.920000,147.910000,48.410000,0.980000,21.280000,101.5,100.000000,43.5,0.000000,2.9,1663.67

37,09:00:09:15,16.450000,4.840000,24.200000,45.510000,35.680000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,112,100.000000,48,0.000000,3.68,1696.86

38,09:15-09:30,16.450000,4.840000,24.200000,45.510000,35.680000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,119,100.000000,51,0.000000,3.87,1707.05

39,09:30-09:45,16.450000,4.840000,24.200000,45.510000,35.680000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,133,100.000000,57,0.000000,4.07,1727.25

40,09:45-10:00,16.450000,4.840000,24.200000,45.510000,35.680000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,140,100.000000,60,0.000000,4.26,1737.44

41,10:00-10:15,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,147,100.000000,63,0.000000,5.23,1840.43

42,10:15-10:30,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,154,100.000000,66,0.000000,6.1,1851.3

