Column1,Block,NR/2024/23018/C,NR/2024/22888/A/36136,NR/2024/22833/A/36150,NR/2024/22874/A/36154,NR/2024/23013/C,NR/2024/23015/C,NR/2024/23010/C,NR/2024/22872/A/35920,NR/2024/22839/A/36148,NR/2024/22860/A/36142,NR/2024/22753/A/36126,NR/2024/22835/A/36131,NR/2024/22820/A/35887,NR/2024/22734/A/36135,NR/2024/21658/A/35879,NR/2024/22837/A/36149,NR/2024/22816/A/35900,NR/2024/22802/A/36152,NR/2024/22848/A/36144,NR/2024/22754/A/36125,NR/2024/22832/A/36151,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,NR/2024/22898/A/35935,NR/2024/23012/C,NR/2024/22899/A/35934,Total
29,07:00-07:15,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0.77,0,1351.2042

30,07:15-07:30,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,1.05,0,1351.4841999999999

31,07:30-07:45,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,1.47,0,1351.9042

32,07:45-08:00,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,1.47,0,1351.9042

33,08:00-08:15,0,25.17,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,1.48,0,1353.1742

34,08:15-08:30,0,25.17,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,1.77,0,1353.4642

35,08:30-08:45,0,25.15,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,2.51,0,1354.1842

36,08:45-09:00,0,25.15,37.39,48.4,28.07,164.78,241.98,9.68,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,4.01,0,1356.6542

37,09:00-09:15,0,25.15,37.39,48.4,28.07,164.78,241.98,9.68,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,4.65,10.65,1410.5342

38,09:15-09:30,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.59,10.65,1414.4042

39,09:30-09:45,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,7.06,10.65,1414.8742

40,09:45-10:00,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,0,0,90.98,4.84,96.79,0.97,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.63,10.65,1414.4442000000001

41,10:00-10:15,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.28,10.65,1413.0941999999998

42,10:15-10:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.13,10.65,1414.9142000000002

43,10:30-10:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.28,10.65,1414.0642

44,10:45-11:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,4.81,10.65,1413.5942

45,11:00-11:15,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.01,10.65,1413.7942

46,11:15-11:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,7.5,10.65,1416.2842

47,11:30-11:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,8.25,10.65,1417.0342

48,11:45-12:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,4.03,10.65,1412.8142

49,12:00-12:15,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,9.05,10.65,1417.8342

50,12:15-12:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,9.68,10.65,1418.4642000000001

51,12:30-12:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,9.39,10.65,1418.1742000000002

52,12:45-13:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.39,10.65,1415.1742000000002

53,13:00-13:15,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.4,10.65,1415.1842000000001

54,13:15-13:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.53,10.65,1414.3142

55,13:30-13:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,4.89,10.65,1413.6742000000002

56,13:45-14:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,0,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.6,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.99,10.65,1414.7742

57,14:00-14:15,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,3.31,10.65,1425.9242

58,14:15-14:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,4.8,10.65,1427.4142

59,14:30-14:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,5.55,10.65,1428.1642

60,14:45-15:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,42.59,6.01,10.65,1428.6242

61,15:00-15:15,19.36,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,23.23,3.23,10.65,1425.8442000000002

62,15:15-15:30,16.26,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,26.33,2.36,10.65,1424.9742

63,15:30-15:45,12.78,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,29.81,5.19,10.65,1427.8042000000003

64,15:45-16:00,7.65,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.97,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,14.88,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,34.94,5.6,10.65,1428.2142000000001

65,16:00-16:15,23.33,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.87,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,15.06,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,19.26,5.04,10.65,1427.7341999999999

66,16:15-16:30,17.42,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.87,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,15.06,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,25.17,3.38,10.65,1426.0742000000002

67,16:30-16:45,12.97,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.87,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,15.06,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,29.62,2.11,10.65,1424.8041999999998

68,16:45-17:00,9.1,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.87,37.39,48.4,96.79,84.38,0,37.39,24.2,0,0,0,15.06,21.78,0,48.4,26.9071,26.9071,2.42,96.79,24.79,28.65,1.41,10.65,1419.2642

69,17:00-17:15,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,0.49,0,1322.0800000000002

70,17:15-17:30,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,2.24,0,1323.8300000000002

71,17:30-17:45,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,1.14,0,1322.7300000000002

72,17:45-18:00,0,25.15,37.39,48.4,28.07,164.78,241.98,12.58,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,0.78,0,1322.3700000000001

73,18:00-18:15,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,0.81,0,1321.43

74,18:15-18:30,0,25.15,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,3,3,2.42,96.79,24.79,0,0.41,0,1321.0300000000002

75,18:30-18:45,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,25.9717,32,2.42,96.79,24.79,0,0.07,0,1391.0717

