Time,Block,NR/2023/16707/D,NR/2023/16291/F,NR/2023/16627/F,NR/2023/16185/A,NR/2023/16191/A,NR/2023/13636/A,NR/2023/13148/A,NR/2023/13165/A,NR/2023/16739/C,NR/2023/13519/A,NR/2023/16734/C,NR/2023/16726/C,NR/2023/16709/D,NR/2023/16291/F/II,NR/2023/13242/A,NR/2023/16073/A,NR/2023/13253/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/13385/A,WR/2023/18762/C,NR/2023/13908/A,NR/2023/13376/A,NR/2023/13387/A,NR/2023/16626/F,NR/2023/16520/F,NR/2023/16077/A,NR/2023/13254/A,NR/2023/16437/F,NR/2023/15770/A,NR/2023/16741/C,NR/2023/16716/D,Total

3,00:30-00:45,67.670000,0.810000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.060000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1662.47

4,00:45-01:00,67.670000,0.810000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.060000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1662.47

5,01:00-01:15,67.670000,0.460000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.160000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.22

6,01:15-01:30,67.670000,0.460000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.160000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.22

7,01:30-01:45,67.670000,0.460000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.160000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.22

8,01:45-02:00,67.670000,0.460000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.160000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.22

9,02:00-02:15,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.890000,7.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.14

10,02:15-02:30,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.890000,7.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1517.14

11,02:30-02:45,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.890000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1518.14

12,02:45-03:00,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.890000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1518.14

13,03:00-03:15,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.800000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1423.15

14,03:15-03:30,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.800000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1423.15

15,03:30-03:45,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.800000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1423.15

16,03:45-04:00,67.670000,0.630000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.800000,8.070000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1423.15

17,04:00-04:15,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.700000,6.050000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1420.98

18,04:15-04:30,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.700000,6.050000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1420.98

19,04:30-04:45,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.700000,6.050000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1420.98

20,04:45-05:00,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.700000,6.050000,4.830000,0.000000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1420.98

21,05:00-05:15,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.610000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1391.31

22,05:15-05:30,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.610000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1391.31

23,05:30-05:45,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.610000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1391.31

24,05:45-06:00,67.670000,0.580000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.610000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,0.000000,0,1391.31

25,06:00-06:15,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.430000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1291.17

26,06:15-06:30,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.430000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1291.17

27,06:30-06:45,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.430000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1291.17

28,06:45-07:00,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.430000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1291.17

29,07:00-07:15,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.330000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1291.07

30,07:15-07:30,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.330000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.1,1291.17

31,07:30-07:45,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.330000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.39,1291.46

32,07:45:08:00,67.670000,0.680000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.330000,6.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.68,1291.75

33,08:00-08:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.250000,5.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.06,1291.34

34,08:15-08:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.250000,5.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.45,1291.73

35,08:30-08:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.250000,5.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.74,1292.02

36,08:45:09:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.250000,5.050000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.03,1292.31

37,09:00:09:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,8.070000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.32,1295.52

38,09:15-09:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,8.070000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.61,1295.81

39,09:30-09:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,8.070000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.32,1295.52

40,09:45-10:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,8.070000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.8,1296

41,10:00-10:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.87,1299.09

42,10:15-10:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.67,1298.89

43,10:30-10:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,4.64,1299.86

44,10:45-11:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.150000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,6.19,1301.41

45,11:00-11:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,5.12,1300.25

46,11:15-11:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.38,1298.51

47,11:30-11:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.38,1298.51

48,11:45-12:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.19,1298.32

49,12:00-12:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.32,1297.45

50,12:15-12:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.29,1298.42

51,12:30-12:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.71,1297.84

52,12:45-13:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,3.19,1298.32

53,13:00-13:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,4.64,1299.77

54,13:15-13:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,6.09,1301.22

55,13:30-13:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,6.96,1302.09

56,13:45-14:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,7.54,1302.67

57,14:00-14:15,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,5.9,1359.46

58,14:15-14:30,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,4.54,1358.1

59,14:30-14:45,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,4.64,1358.2

60,14:45-15:00,67.670000,0.970000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.060000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,4.45,1358.01

61,15:00-15:15,67.670000,0.870000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.250000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,2.42,1356.07

62,15:15-15:30,67.670000,0.870000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.250000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.74,1355.39

63,15:30-15:45,67.670000,0.870000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.250000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.84,1355.49

64,15:45-16:00,67.670000,0.870000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.250000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.84,1355.49

65,16:00-16:15,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.330000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.64,1355.32

66,16:15-16:30,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.330000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,1.64,1355.32

67,16:30-16:45,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.330000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.68,1354.36

68,16:45-17:00,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,58.430000,10.330000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.29,1353.97

69,17:00-17:15,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.520000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.1,1295.54

