Time,Block,NR/2023/14723/C,NR/2023/13859/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/11892/A,NR/2023/14712/D,NR/2023/13858/A,NR/2023/11205/A,NR/2023/11204/A,ER/2023/8988/C,NR/2023/11315/A,NR/2023/14709/D,NR/2023/11521/A,NR/2023/13983/F,NR/2023/11203/A,NR/2023/11954/A,NR/2023/11264/A,NR/2023/14713/D,NR/2023/13573/A,NR/2023/13283/A/II,NR/2023/11328/A,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14722/C,NR/2023/11458/A,NR/2023/14706/D,NR/2023/11524/A,NR/2023/11469/A,NR/2023/12646/A,NR/2023/14719/C,NR/2023/14136/F,NR/2023/14187/F,NR/2023/11654/A,NR/2023/11325/A,NR/2023/11739/A,NR/2023/14710/D,NR/2023/13573/A/II,NR/2023/13983/F/II,Total
11,02:30-02:45,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,59.420000,0.580000,2119.61

12,02:45-03:00,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,59.420000,0.580000,2119.61

13,03:00-03:15,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.280000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.250000,1988.91

14,03:15-03:30,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.280000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.250000,1988.91

15,03:30-03:45,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.280000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.250000,1988.91

16,03:45-04:00,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.280000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.250000,1988.91

17,04:00-04:15,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1988.91

18,04:15-04:30,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1988.91

19,04:30-04:45,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1988.91

20,04:45-05:00,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,200.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,0.000000,30.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1988.91

21,05:00-05:15,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,100.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,0.000000,0,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1721.94

22,05:15-05:30,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,100.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,0.000000,0,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1721.94

23,05:30-05:45,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,100.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,0.000000,0,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1721.94

24,05:45-06:00,5.890000,177.970000,27.780000,0.000000,0.000000,0,77.170000,231.610000,48.230000,100.000000,22.190000,192.920000,48.230000,0.530000,62.940000,0.000000,0.000000,0,0.000000,24.120000,48.230000,64.820000,21.220000,5.790000,0.000000,0,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1721.94

25,06:00-06:15,5.890000,177.970000,0.000000,0.000000,0.000000,0,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,1.4,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,0.6,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1375.12

26,06:15-06:30,5.890000,177.970000,0.000000,0.000000,0.000000,0.1,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,6.3,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,2.7,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1382.22

27,06:30-06:45,5.890000,177.970000,0.000000,0.000000,0.000000,0.51,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,10.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,4.5,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1388.63

28,06:45-07:00,5.890000,177.970000,0.000000,0.000000,0.000000,0.89,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,17.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,7.5,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1399.01

29,07:00-07:15,5.890000,177.970000,0.000000,0.000000,0.000000,1.31,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,24.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,10.5,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1406.53

30,07:15-07:30,5.890000,177.970000,0.000000,0.000000,0.000000,1.77,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,24.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,10.5,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1406.99

31,07:30-07:45,5.890000,177.970000,0.000000,0.000000,0.000000,2.32,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,38.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,16.5,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1427.54

32,07:45:08:00,5.890000,177.970000,0.000000,0.000000,0.000000,2.79,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.680000,62.940000,0.000000,0.000000,52.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,22.5,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1448.01

33,08:00-08:15,5.890000,177.970000,0.000000,0.000000,0.000000,2.33,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,65.8,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,28.2,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1466.83

34,08:15-08:30,5.890000,177.970000,0.000000,0.000000,0.000000,2.33,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,77,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,33,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1482.83

35,08:30-08:45,5.890000,177.970000,0.000000,0.000000,0.000000,2.33,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,84,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,36,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1492.83

36,08:45:09:00,5.890000,177.970000,0.000000,0.000000,0.000000,2.33,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,98,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,42,147.460000,84.870000,0.000000,0.000000,0.000000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1512.83

37,09:00:09:15,5.890000,177.970000,0.000000,0.000000,0.000000,3.79,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,112,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,48,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1588.41

38,09:15-09:30,5.890000,177.970000,0.000000,0.000000,0.000000,3.79,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,125.3,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,53.7,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1607.41

39,09:30-09:45,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,136.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,58.5,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1623

40,09:45-10:00,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,147,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,0.000000,63,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1638

41,10:00-10:15,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,154,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,66,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1738.67

42,10:15-10:30,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,171.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,73.5,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1763.67

43,10:30-10:45,5.890000,177.970000,0.000000,0.000000,0.000000,3.86,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,0.000000,178.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,76.5,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1774.15

44,10:45-11:00,5.890000,177.970000,0.000000,0.000000,0.000000,3.86,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1800.66

45,11:00-11:15,5.890000,177.970000,0.000000,0.000000,0.000000,4.15,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1800.95

46,11:15-11:30,5.890000,177.970000,0.000000,0.000000,0.000000,4.05,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1800.85

47,11:30-11:45,5.890000,177.970000,0.000000,0.000000,0.000000,4.05,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1800.85

48,11:45-12:00,5.890000,177.970000,0.000000,0.000000,0.000000,5.31,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,148.000000,84.870000,0.000000,30.000000,24.120000,0.960000,197.580000,24.120000,42.430000,0.000000,62.700000,0.000000,1803.37

49,12:00-12:15,5.890000,177.970000,0.000000,0.000000,0.000000,6.27,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,147.460000,84.870000,0.000000,30.000000,24.120000,0.960000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1803.07

50,12:15-12:30,5.890000,177.970000,0.000000,0.000000,0.000000,6.84,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,150.090000,84.870000,0.000000,30.000000,24.120000,0.960000,200.380000,24.120000,42.430000,0.000000,62.700000,0.000000,1809.79

51,12:30-12:45,5.890000,177.970000,0.000000,0.000000,0.000000,7.23,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,182,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,78,153.950000,84.870000,0.000000,30.000000,24.120000,0.960000,205.530000,24.120000,42.430000,0.000000,62.700000,0.000000,1819.19

52,12:45-13:00,5.890000,177.970000,0.000000,0.000000,0.000000,7.52,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,178.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,76.5,154.800000,84.870000,0.000000,30.000000,24.120000,0.960000,206.660000,24.120000,42.430000,0.000000,62.700000,0.000000,1816.46

53,13:00-13:15,5.890000,177.970000,0.000000,0.000000,0.000000,6.75,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,178.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,76.5,157.670000,84.870000,0.000000,30.000000,24.120000,0.960000,210.500000,24.120000,42.430000,0.000000,62.700000,0.000000,1822.4

54,13:15-13:30,5.890000,177.970000,0.000000,0.000000,0.000000,5.79,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,178.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,76.5,156.010000,84.870000,0.000000,30.000000,24.120000,0.960000,208.290000,24.120000,42.430000,0.000000,62.700000,0.000000,1817.57

55,13:30-13:45,5.890000,177.970000,0.000000,0.000000,0.000000,4.82,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,175,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,75,157.670000,84.870000,0.000000,30.000000,24.120000,0.960000,210.500000,24.120000,42.430000,0.000000,62.700000,0.000000,1815.47

56,13:45-14:00,5.890000,177.970000,0.000000,0.000000,0.000000,3.86,77.170000,15.750000,7.720000,100.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,175,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,90.670000,75,158.210000,84.870000,0.000000,30.000000,24.120000,0.960000,211.220000,24.120000,42.430000,0.000000,62.700000,0.000000,1815.77

57,14:00-14:15,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,171.5,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,73.5,159.880000,84.870000,23.080000,30.000000,24.120000,0.960000,213.430000,24.120000,42.430000,0.000000,62.700000,0.000000,1802.69

58,14:15-14:30,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,170.8,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,73.2,159.470000,84.870000,23.080000,30.000000,24.120000,0.960000,212.900000,24.120000,42.430000,0.000000,62.700000,0.000000,1800.75

