Column1,Block,NR/2025/24933/C,NR/2025/24934/C,NR/2025/24935/C,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/20/4168,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/2024/24434/A/49848,NR/2025/24837/A/50194,NR/2025/24938/C,NR/2025/24838/A/50195,NR/2025/24939/C,NR/2025/24839/A/50196,NR/2024/24566/A/49839,WR/2024/25501/A/50163,NER/2024/2820/A/50143,NR/2024/24508/A/50191,SR/2024/15456/A/49838,NR/2024/24418/A/49832,NR/2024/24614/A/50190,NR/2024/24507/A/50192,NR/2024/24435/A/49847,Total
3,00:30-00:45,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

4,00:45-01:00,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

5,01:00-01:15,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

6,01:15-01:30,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

7,01:30-01:45,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

8,01:45-02:00,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

9,02:00-02:15,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.7300000000001

10,02:15-02:30,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.7300000000001

11,02:30-02:45,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.7300000000001

12,02:45-03:00,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.7300000000001

13,03:00-03:15,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

14,03:15-03:30,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

15,03:30-03:45,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

16,03:45-04:00,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

17,04:00-04:15,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

18,04:15-04:30,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

19,04:30-04:45,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

20,04:45-05:00,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,346.83000000000004

21,05:00-05:15,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,0,0.43,0,17.29,16.33,392.03000000000003

22,05:15-05:30,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,0,0.43,0,17.29,16.33,392.03000000000003

23,05:30-05:45,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,0,0.43,0,17.29,16.33,392.03000000000003

24,05:45-06:00,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,0,0.43,0,17.29,16.33,392.03000000000003

25,06:00-06:15,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,326.64,0.38,0,17.29,16.33,737.73

26,06:15-06:30,0,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,326.64,0.38,0,17.29,16.33,737.73

27,06:30-06:45,19.21,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,326.64,0.38,0,17.29,16.33,756.94

28,06:45-07:00,19.21,0,0,24.02,0,1.37,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,8.73,326.64,0.38,0,17.29,16.33,756.94

29,07:00-07:15,57.64,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,14.41,124.89,0.86,0,28.82,16.33,932.3299999999999

30,07:15-07:30,57.64,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,14.41,124.89,0.86,0,28.82,16.33,932.3299999999999

31,07:30-07:45,57.64,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0,0,0,0,0,5.76,0,38.43,14.41,124.89,0.86,0,28.82,16.33,932.3299999999999

32,07:45-08:00,57.64,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0.02,0,0.02,0,0.01,5.76,0,38.43,14.41,124.89,0.86,0,28.82,16.33,932.3799999999999

33,08:00-08:15,96.07,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0.05,0,0.03,0,0.03,5.76,0,38.43,14.41,0,0.86,0,28.82,16.33,845.9799999999999

34,08:15-08:30,96.07,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0.09,0,0.08,0,0.05,5.76,0,38.43,14.41,0,0.86,0,28.82,16.33,846.09

35,08:30-08:45,96.07,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0.18,0,0.15,0,0.11,5.76,0,38.43,14.41,0,0.86,0,28.82,16.33,846.31

36,08:45-09:00,96.07,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,0,0.25,0,0.18,0,0.12,5.76,0,38.43,14.41,0,0.86,0,28.82,16.33,846.42

37,09:00-09:15,124.89,28.82,14.41,36.51,5.76,1.37,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,0,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,3.84,0.33,0,0.58,0,0.16,5.76,0,0,0,0,0.86,0,0,16.33,791.0700000000002

38,09:15-09:30,124.89,28.82,14.41,36.51,5.76,1.37,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,0,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,3.84,0.43,0,0.58,0,0.21,5.76,0,0,0,0,0.86,0,0,16.33,791.2200000000001

39,09:30-09:45,124.89,28.82,14.41,36.51,5.76,1.37,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,0,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,3.84,0.53,0,0.58,0,0.24,5.76,0,0,0,0,0.86,0,0,16.33,791.3500000000001

40,09:45-10:00,124.89,28.82,14.41,36.51,5.76,1.37,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,0,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,0,0,3.84,0.86,0,0.58,0,0.29,5.76,0,0,0,0,0.86,0,0,16.33,791.7300000000001

41,10:00-10:15,153.71,0,0,36.51,0,1.47,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,4.8,0.86,14.41,0.58,38.43,0.33,5.76,0,0,7.87,0,0.86,6.54,28.82,16.33,634.3100000000001

42,10:15-10:30,153.71,0,0,36.51,0,1.47,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,4.8,0.86,14.41,0.58,38.43,0.37,5.76,0,0,7.87,0,0.86,6.54,28.82,16.33,634.35

43,10:30-10:45,153.71,0,0,36.51,0,1.47,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,4.8,0.86,14.41,0.58,38.43,0.48,5.76,0,0,7.87,0,0.86,6.54,28.82,16.33,634.46

44,10:45-11:00,153.71,0,0,36.51,0,1.47,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,4.8,0.86,14.41,0.58,38.43,0.48,5.76,0,0,7.87,0,0.86,6.54,28.82,16.33,634.46

45,11:00-11:15,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.58,38.43,0.47,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1800000000001

46,11:15-11:30,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.58,38.43,0.48,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1900000000001

47,11:30-11:45,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.58,38.43,0.48,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1900000000001

48,11:45-12:00,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.58,38.43,0.38,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.0900000000001

49,12:00-12:15,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1800000000001

50,12:15-12:30,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1800000000001

51,12:30-12:45,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.86,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.1800000000001

52,12:45-13:00,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,6.72,0.96,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.86,0,28.82,16.33,470.2800000000001

53,13:00-13:15,0,0,0,34.59,0,1.37,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,5.76,0.96,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,469.13

54,13:15-13:30,0,0,0,34.59,0,1.37,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,5.76,0.96,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,469.13

55,13:30-13:45,0,0,0,34.59,0,1.37,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,5.76,0.86,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,469.03000000000003

56,13:45-14:00,0,0,0,34.59,0,1.37,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,5.76,0.86,14.41,0.67,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,469.03000000000003

57,14:00-14:15,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,4.8,0.86,14.41,0.66,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,468.1600000000001

58,14:15-14:30,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,4.8,0.84,14.41,0.65,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,468.13

59,14:30-14:45,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,4.8,0.83,14.41,0.64,38.43,0.38,5.76,0,0,14.41,0,0.77,0,28.82,16.33,468.11

60,14:45-15:00,0,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,4.8,0.81,14.41,0.62,38.43,0.36,5.76,0,0,14.41,0,0.77,0,28.82,16.33,468.05000000000007

61,15:00-15:15,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,4.8,0.81,14.41,0.62,38.43,0.36,5.76,0,0,14.41,0,0.67,0,28.82,16.33,457.3600000000001

62,15:15-15:30,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,4.8,0.89,14.41,0.62,38.43,0.36,5.76,0,0,14.41,0,0.67,0,28.82,16.33,457.4400000000001

63,15:30-15:45,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,4.8,0.89,14.41,0.62,38.43,0.36,5.76,0,0,14.41,0,0.67,0,28.82,16.33,457.4400000000001

64,15:45-16:00,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,4.8,0.89,14.41,0.62,38.43,0.36,5.76,0,0,14.41,0,0.67,0,28.82,16.33,457.4400000000001

65,16:00-16:15,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,2.88,0.72,14.41,0.56,38.43,0.32,5.76,0,0,14.41,0,0.48,0,28.82,16.33,455.0600000000001

66,16:15-16:30,0,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,2.88,0.61,14.41,0.48,38.43,0.28,5.76,0,0,14.41,0,0.48,0,28.82,16.33,454.8300000000001

67,16:30-16:45,28.82,0,0,32.66,0,1.47,0,31.7,28.82,9.61,0,32.66,20.17,19.21,0,0,0,0,0,48.04,26.9,32.66,0,48.04,0,0,2.88,0.52,19.79,0.4,29.49,0.23,5.76,0,0,14.41,0,0.48,0,28.82,16.33,479.86999999999995

68,16:45-17:00,28.82,0,0,34.59,0,1.47,0,31.7,28.82,14.41,0,34.59,20.17,19.21,0,0,0,0,0,48.04,26.9,34.59,0,48.04,0,0,2.88,0.41,0,0.33,0,0.18,5.76,0,0,14.41,0,0.48,0,28.82,16.33,440.95

69,17:00-17:15,28.82,0,0,36.51,0,1.37,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0.96,0.26,0,0.2,0,0.12,5.76,0,0,14.41,0,0.48,0,28.82,16.33,451.07

70,17:15-17:30,28.82,0,0,36.51,0,1.37,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0.96,0.16,0,0.12,0,0.07,5.76,0,0,14.41,0,0.48,0,28.82,16.33,450.84000000000003

71,17:30-17:45,28.82,0,0,36.51,0,1.37,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0.96,0.06,0,0.04,0,0.03,5.76,0,0,14.41,0,0.48,0,28.82,16.33,450.62

72,17:45-18:00,28.82,0,0,36.51,0,1.37,0,31.7,28.82,14.41,0,36.51,20.17,19.21,0,0,0,0,0,48.04,26.9,43.23,0,48.04,0,0,0.96,0.06,0,0.04,0,0.02,5.76,0,0,14.41,0,0.48,0,28.82,16.33,450.61

73,18:00-18:15,28.82,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0.06,0,0.04,0,0.03,5.76,38.43,38.43,14.41,134.5,0.48,0,28.82,16.33,1031.2999999999997

74,18:15-18:30,28.82,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,134.5,0.48,0,28.82,16.33,1031.1699999999998

75,18:30-18:45,28.82,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,134.5,0.48,0,28.82,16.33,1031.1699999999998

76,18:45-19:00,0,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,134.5,0.48,0,28.82,16.33,1002.3499999999999

