Column1,Block,NR/2024/23682/C,NR/2024/23640/A/40977,NR/2024/23639/A/40978,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/8106,NR/2024/23384/A/40946,NR/30092023/26122029/SH-06,NR/2024/23382/A/41087,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,NR/2024/23681/C,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23383/A/40958,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23648/A/40969,Total
16,03:45-04:00,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

17,04:00-04:15,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

18,04:15-04:30,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

19,04:30-04:45,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

20,04:45-05:00,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

21,05:00-05:15,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

22,05:15-05:30,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

23,05:30-05:45,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

24,05:45-06:00,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

25,06:00-06:15,0,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.53,37.24,37.24,2.89,405.91

26,06:15-06:30,0,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.53,37.24,37.24,2.89,405.91

27,06:30-06:45,0.06,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.53,37.24,37.24,2.89,405.96999999999997

28,06:45-07:00,0.4,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.53,37.24,37.24,2.89,406.31

29,07:00-07:15,0.49,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.58,37.24,37.24,2.89,406.45000000000005

30,07:15-07:30,0.85,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.58,37.24,37.24,2.89,406.81

31,07:30-07:45,0.96,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.58,37.24,37.24,2.89,406.92

32,07:45-08:00,0.99,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.58,37.24,37.24,2.89,406.95000000000005

33,08:00-08:15,1.47,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.96,37.24,37.24,2.89,407.81

34,08:15-08:30,1.52,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.96,37.24,37.24,2.89,407.86

35,08:30-08:45,1.71,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.96,37.24,37.24,2.89,408.05

36,08:45-09:00,2.41,0,0,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.96,37.24,37.24,2.89,408.75

37,09:00-09:15,2.7,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,461.97

38,09:15-09:30,3.08,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,462.35

39,09:30-09:45,3.47,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,462.74000000000007

40,09:45-10:00,3.76,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,463.03000000000003

41,10:00-10:15,4.24,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,463.51000000000005

42,10:15-10:30,4.63,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,463.90000000000003

43,10:30-10:45,5.36,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,464.63000000000005

44,10:45-11:00,5.69,10.6,42.42,0,12.42,0,12.42,6.75,26.87,24.83,26.87,37.24,175.45,0,5.16,0.87,37.24,37.24,2.89,464.96000000000004

45,11:00-11:15,6.12,10.6,42.42,0,12.42,0,12.42,6.75,26.54,24.83,26.54,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,464.63000000000005

46,11:15-11:30,6.56,10.6,42.42,0,12.42,0,12.42,6.75,24.8,24.83,24.8,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,461.59000000000003

47,11:30-11:45,7.13,10.6,42.42,0,12.42,0,12.42,6.75,24.8,24.83,24.8,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,462.16

48,11:45-12:00,7.33,10.6,42.42,0,12.42,0,12.42,6.75,24.8,24.83,24.8,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,462.36

49,12:00-12:15,7.52,10.6,42.42,0,12.42,0,12.42,6.75,24.8,24.83,24.8,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,462.55

50,12:15-12:30,7.9,10.6,42.42,0,12.42,0,12.42,6.75,24.8,24.83,24.8,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,462.93

51,12:30-12:45,8.19,10.6,42.42,0,12.42,0,12.42,6.75,8.28,24.83,8.28,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,430.18

52,12:45-13:00,8.48,10.6,42.42,0,12.42,0,12.42,6.75,8.28,24.83,8.28,37.24,175.45,0,5.06,0.87,37.24,37.24,2.89,430.46999999999997

53,13:00-13:15,7.9,10.6,42.42,0,12.42,0,12.42,6.75,14.58,24.83,14.58,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,442.39000000000004

54,13:15-13:30,7.42,10.6,42.42,0,12.42,0,12.42,6.75,14.58,24.83,14.58,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,441.91

55,13:30-13:45,7.13,10.6,42.42,0,12.42,0,12.42,6.75,19.58,24.83,19.58,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,451.62

56,13:45-14:00,6.94,10.6,42.42,0,12.42,0,12.42,6.75,17.08,24.83,17.08,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,446.42999999999995

57,14:00-14:15,6.46,10.6,42.42,0,12.42,0,12.42,6.75,29.04,24.83,29.04,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,470.02

58,14:15-14:30,5.98,10.6,42.42,0,12.42,0,12.42,6.75,27.3,24.83,27.3,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,466.06000000000006

59,14:30-14:45,5.49,10.6,42.42,0,12.42,0,12.42,6.75,18.28,24.83,18.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,447.53000000000003

60,14:45-15:00,5.01,10.6,42.42,0,12.42,0,12.42,6.75,9.28,24.83,9.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,429.05

61,15:00-15:15,4.63,10.6,42.42,0,12.42,0,12.42,6.75,9.28,24.83,9.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,428.67

62,15:15-15:30,4.34,10.6,42.42,0,12.42,0,12.42,6.75,9.28,24.83,9.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,428.38

63,15:30-15:45,3.66,10.6,42.42,0,12.42,0,12.42,6.75,9.28,24.83,9.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,427.70000000000005

64,15:45-16:00,2.89,10.6,42.42,0,12.42,0,12.42,6.75,9.28,24.83,9.28,37.24,175.45,0,5.06,0.92,37.24,37.24,2.89,426.93

65,16:00-16:15,2.31,10.6,42.42,0,12.42,0,12.42,6.75,4.28,24.83,4.28,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,416.2

66,16:15-16:30,1.74,10.6,42.42,0,12.42,0,12.42,6.75,4.28,24.83,4.28,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,415.63

67,16:30-16:45,1.5,10.6,42.13,0,12.42,0,12.42,6.75,1.78,24.83,1.78,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,410.09999999999997

68,16:45-17:00,1.29,10.6,33.07,0,12.42,0,12.42,6.75,1.78,24.83,1.78,37.24,175.45,0,5.06,0.77,37.24,37.24,2.89,400.83

69,17:00-17:15,0.72,0,0,0,12.42,0,12.42,6.75,1.78,29.21,1.78,37.24,175.45,0,5.06,0.72,37.24,37.24,2.89,360.92

70,17:15-17:30,0.6,0,0,0,12.42,0,12.42,6.75,1.78,29.21,1.78,37.24,175.45,0,5.06,0.72,37.24,37.24,2.89,360.8

71,17:30-17:45,0.52,0,0,0,12.42,0,12.42,6.75,31.59,29.21,0,37.24,175.45,0,5.06,0.72,37.24,37.24,2.89,388.75000000000006

72,17:45-18:00,0.14,0,0,0,12.42,0,12.42,6.75,31.59,29.21,0,37.24,175.45,0,5.06,0.72,37.24,37.24,2.89,388.37000000000006

73,18:00-18:15,0.01,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.16,0.72,37.24,37.24,2.89,540.25

74,18:15-18:30,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.16,0.72,37.24,37.24,2.89,540.24

75,18:30-18:45,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.16,0.72,37.24,37.24,2.89,540.24

76,18:45-19:00,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.16,0.72,37.24,37.24,2.89,540.24

77,19:00-19:15,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,540.27

78,19:15-19:30,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,540.27

79,19:30-19:45,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,540.27

80,19:45-20:00,0,0,0,120.5,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,540.27

81,20:00-20:15,0,0,0,192.8,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,612.5699999999999

82,20:15-20:30,0,0,0,192.8,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,612.5699999999999

83,20:30-20:45,0,0,0,192.8,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,612.5699999999999

84,20:45-21:00,0,0,0,192.8,12.42,0,12.42,6.75,31.5,29.21,31.5,37.24,175.45,0,5.24,0.67,37.24,37.24,2.89,612.5699999999999

85,21:00-21:15,0,0,0,192.8,12.42,0,12.42,6.75,31.5,24.83,31.5,37.24,175.45,0,5.24,0.72,37.24,37.24,2.89,608.24

86,21:15-21:30,0,0,0,192.8,12.42,0,12.42,6.75,31.5,24.83,31.5,37.24,175.45,0,5.24,0.72,37.24,37.24,2.89,608.24

87,21:30-21:45,0,0,0,192.8,12.42,0,12.42,6.75,6.48,24.83,6.48,37.24,175.45,0,5.24,0.72,37.24,37.24,2.89,558.2

88,21:45-22:00,0,0,0,192.8,12.42,0,12.42,6.75,6.48,24.83,6.48,37.24,175.45,0,5.24,0.72,37.24,37.24,2.89,558.2

89,22:00-22:15,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.67,37.24,37.24,2.89,680.3499999999999

90,22:15-22:30,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.67,37.24,37.24,2.89,680.3499999999999

91,22:30-22:45,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.67,37.24,37.24,2.89,680.3499999999999

92,22:45-23:00,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.67,37.24,37.24,2.89,680.3499999999999

93,23:00-23:15,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.58,37.24,37.24,2.89,680.26

94,23:15-23:30,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.58,37.24,37.24,2.89,680.26

95,23:30-23:45,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.58,37.24,37.24,2.89,680.26

96,23:45-24:00,0,0,0,192.8,12.42,30.57,12.42,6.75,6.48,24.83,6.48,37.24,175.45,91.71,5.16,0.58,37.24,37.24,2.89,680.26

