Time,Block,NR/2023/11956/F,NR/2023/11342/A,NR/2023/12045/C,NR/2023/11957/F,NR/2023/10344/A,NR/2023/11961/F,NR/2023/12050/C,NR/2023/10434/A,NR/2023/11958/F,NR/2023/10229/A,NR/2023/11955/F,NR/2023/11952/F,NR/2023/11941/F,NR/2023/12041/D,NR/2023/11947/F,NR/2023/11862/F,NR/2023/11962/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11963/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12040/D,NR/2023/12039/D,NR/2023/12035/D,Total
8,01:45-02:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.440000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.22

9,02:00-02:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.350000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.13

10,02:15-02:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.350000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.13

11,02:30-02:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.350000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.13

12,02:45-03:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.350000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.13

13,03:00-03:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.260000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.57

14,03:15-03:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.260000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.57

15,03:30-03:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.260000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.57

16,03:45-04:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.260000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.57

17,04:00-04:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.160000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.47

18,04:15-04:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.160000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.47

19,04:30-04:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.160000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.47

20,04:45-05:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.160000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,691.47

21,05:00-05:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.080000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,678.73

22,05:15-05:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.080000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,678.73

23,05:30-05:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.080000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,678.73

24,05:45-06:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.080000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,678.73

25,06:00-06:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,10.980000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,687.02

26,06:15-06:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,10.980000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,687.02

27,06:30-06:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,10.980000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,687.02

28,06:45-07:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,10.980000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,1.5,3.5,0.39,692.41

29,07:00-07:15,0.370000,115.980000,25.530000,0.720000,12.250000,0.700000,10.880000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,7.5,17.5,0.68,709.53

30,07:15-07:30,0.370000,115.980000,25.530000,0.720000,12.250000,0.700000,10.880000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,13.2,30.8,0.83,728.68

31,07:30-07:45,0.370000,115.980000,25.530000,0.720000,12.250000,0.700000,10.880000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,19.5,45.5,1.17,750.02

32,07:45:08:00,0.370000,115.980000,25.530000,0.720000,12.250000,0.700000,10.880000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,24.9,58.1,2.17,769.02

33,08:00-08:15,0.350000,115.980000,25.530000,0.710000,12.250000,0.690000,10.800000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,33,77,2.7,796.47

34,08:15-08:30,0.350000,115.980000,25.530000,0.710000,12.250000,0.690000,10.800000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,39,91,3.24,817.01

35,08:30-08:45,0.350000,115.980000,25.530000,0.710000,12.250000,0.690000,10.800000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,42,98,3.82,827.59

36,08:45:09:00,0.350000,115.980000,25.530000,0.710000,12.250000,0.690000,10.800000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,51,119,4.63,858.4

37,09:00:09:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.700000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,55.5,129.5,5.29,876

38,09:15-09:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.700000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,61.5,143.5,5.49,896.2

39,09:30-09:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.700000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,66,154,5.59,911.3

40,09:45-10:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.700000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,69.6,162.4,5.79,923.5

41,10:00-10:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,72,168,6.08,931.7

42,10:15-10:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,76.8,179.2,6.27,947.89

43,10:30-10:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,78,182,6.46,952.08

44,10:45-11:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,6.66,957.28

45,11:00-11:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,6.85,957.47

46,11:15-11:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,6.94,957.56

47,11:30-11:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.04,957.66

48,11:45-12:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.610000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.14,957.76

49,12:00-12:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.33,957.86

50,12:15-12:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,13.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.52,958.05

51,12:30-12:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.81,969.34

52,12:45-13:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,8.2,969.73

53,13:00-13:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,8.58,970.11

54,13:15-13:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,8.2,969.73

55,13:30-13:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,8.01,969.54

56,13:45-14:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,79.5,185.5,7.72,969.25

57,14:00-14:15,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,78.6,183.4,7.33,965.77

58,14:15-14:30,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,78,182,6.94,963.38

59,14:30-14:45,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,77.1,179.9,6.66,960.1

60,14:45-15:00,0.350000,115.980000,27.570000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,75,175,6.27,952.71

61,15:00-15:15,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,71.1,165.9,6.08,941.56

62,15:15-15:30,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,66,154,5.21,923.69

63,15:30-15:45,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,63,147,4.34,912.82

64,15:45-16:00,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.430000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,60,140,4.24,902.72

65,16:00-16:15,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,54,126,3.47,882.04

66,16:15-16:30,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,48,112,2.6,861.17

67,16:30-16:45,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,42,98,2.31,840.88

68,16:45-17:00,0.350000,115.980000,29.610000,0.710000,12.250000,0.690000,10.520000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,33,77,2.17,810.74

69,17:00-17:15,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.610000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,81.050000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,27.6,64.4,1.75,794.46

70,17:15-17:30,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.610000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,134.150000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,21,49,1.66,825.47

71,17:30-17:45,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.610000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,15,35,1.37,864.33

72,17:45-18:00,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.610000,24.160000,0.560000,42.970000,0.360000,0.000000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,12,28,0.94,853.9

73,18:00-18:15,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.700000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,9,21,0.45,879.97

74,18:15-18:30,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.700000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,3,7,0,859.52

75,18:30-18:45,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.700000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,1.5,3.5,0,854.52

76,18:45-19:00,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.700000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,0,0,0,849.52

77,19:00-19:15,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.880000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,0,0,0,849.7

78,19:15-19:30,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.880000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,0,0,0,849.7

79,19:30-19:45,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.880000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,0,0,0,849.7

80,19:45-20:00,0.350000,115.980000,31.660000,0.710000,12.250000,0.690000,10.880000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.660000,41.560000,0.000000,0.660000,0,0,0,849.7

81,20:00-20:15,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,10.980000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,849.8

82,20:15-20:30,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,10.980000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,849.8

83,20:30-20:45,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,10.980000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,849.8

84,20:45-21:00,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,10.980000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,849.8

85,21:00-21:15,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,11.080000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,193.300000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,849.9

