Time,Block,ER/2023/7979/C,NR/2023/10561/A,NR/2023/13056/D,NR/2023/10436/A,NR/2023/13061/C,NR/2023/10956/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12916/F,NR/2023/12956/F,NR/2023/12814/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12813/F,SR/2023/5843/C,NR/2023/11709/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/10959/A,ER/2023/7974/C,SR/2023/5842/C,NR/2023/13058/D,NR/2023/11266/A,NR/2023/13059/C,NR/2023/13085/C,NR/2023/11712/A,ER/2023/7955/C,NR/2023/13067/C,NR/2023/10488/A,NR/2023/12661/A,NR/2023/10651/A,NR/2023/12915/F,NR/2023/13080/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/12169/A,NR/2023/13074/C,NR/2023/11507/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13070/C,NR/2023/12920/F,NR/2023/10947/A,NR/2023/12917/F,NR/2023/12906/F,NR/2023/13057/D,Total

3,00:30-00:45,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,17.200000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

4,00:45-01:00,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,17.200000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

5,01:00-01:15,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,27.530000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,32.310000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.34

6,01:15-01:30,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,27.530000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,32.310000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.34

7,01:30-01:45,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,27.530000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,32.310000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.34

8,01:45-02:00,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,27.530000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,32.310000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.34

9,02:00-02:15,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

10,02:15-02:30,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

11,02:30-02:45,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

12,02:45-03:00,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

13,03:00-03:15,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.200000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.68

14,03:15-03:30,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.200000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.68

15,03:30-03:45,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.200000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.68

16,03:45-04:00,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.200000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.68

17,04:00-04:15,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.100000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.58

18,04:15-04:30,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.100000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.58

19,04:30-04:45,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.100000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.58

20,04:45-05:00,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.440000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,18.100000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1490.58

21,05:00-05:15,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,17.920000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1391.76

22,05:15-05:30,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,17.920000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1391.76

23,05:30-05:45,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,17.920000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1391.76

24,05:45-06:00,0.000000,48.380000,38.700000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,100.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,65.020000,17.920000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1391.76

25,06:00-06:15,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0,37.850000,0,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1300.38

26,06:15-06:30,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0,37.850000,1.5,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,3.5,1305.38

27,06:30-06:45,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0,37.850000,3,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,7,1310.38

28,06:45-07:00,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.530000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0.12,37.850000,6,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,14,1320.5

29,07:00-07:15,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0.48,37.850000,9,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,21,1329.91

30,07:15-07:30,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0.37,37.850000,12,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,28,1339.8

31,07:30-07:45,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,0.89,37.850000,18,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,42,1360.32

32,07:45:08:00,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.370000,4.840000,78.370000,0.640000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.700000,23.220000,25.040000,0.000000,0.00,1.74,37.850000,22.5,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,52.5,1376.17

33,08:00-08:15,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,2.03,37.850000,25.5,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,59.5,1386.66

34,08:15-08:30,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,2.71,37.850000,33,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,77,1412.34

35,08:30-08:45,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,3.19,37.850000,39,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,91,1432.82

36,08:45:09:00,100.000000,48.380000,40.250000,24.190000,27.520000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,3.59,37.850000,45,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,105,1453.22

37,09:00:09:15,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,3.43,37.850000,51.9,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,121.1,1501.07

38,09:15-09:30,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,3.86,37.850000,56.4,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,131.6,1516.5

39,09:30-09:45,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.11,37.850000,61.2,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,21.990000,6.770000,0.000000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,142.8,1532.75

40,09:45-10:00,100.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,0.000000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.26,25.810000,65.4,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,34.030000,6.770000,0.000000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,152.6,1546.9

41,10:00-10:15,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.31,0.000000,68.7,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,160.3,1649.84

42,10:15-10:30,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.31,0.000000,73.2,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,170.8,1664.84

