Column1,Block,NR/2025/33637/A/100026,NR/2025/33633/A/100028,NR/2025/33632/A/100030,GNARE/NR/2024/12/20/3668,NR/2025/34402/C,NR/2025/34403/C,NR/2025/34404/C,NR/2025/34424/C,NR/2025/34417/C,NR/2025/34427/C,NR/2025/34420/C,NR/2025/34454/C,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,NR/2025/34438/C,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34439/C,NR/2025/31421/A/100354,NR/2025/32004/A/100266,NR/2025/29440/A/99843,NR/2025/34078/A/99913,NR/2025/32556/A/100263,NR/2025/32375/A/100351,NR/2025/31045/A/100302,NR/2025/34247/A/100296,NR/2025/31043/A/100301,NR/2025/32397/A/99829,NR/2025/31048/A/100303,NR/2025/31049/A/100304,NR/2025/32559/A/100261,NR/2025/34445/C,NR/2025/32610/A/100260,NR/2025/32455/A/100424,NR/2025/29992/A/100136,NR/2025/32262/A/100166,NR/2025/34263/A/100307,NR/2025/32532/A/100284,NR/2025/32535/A/100289,NR/2025/32532/A/100283,NR/2025/32534/A/100287,NR/2025/32535/A/100290,NR/2025/32534/A/100288,NR/2025/32599/A/100046,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1354.05

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1354.05

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.81

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.81

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.81

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.81

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.8200000000002

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.8200000000002

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.8200000000002

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,105.83,0.63,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1353.8200000000002

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1324.49

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1324.49

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1324.49

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,0,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1324.49

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.53,0,26.24,48.1,0,163.56,0,8.66,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1077.95

25,06:00-06:15,0,0,0,0.03,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.82,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1069.6100000000001

26,06:15-06:30,0,0,0,1.04,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.82,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0,0.01,0,0,0,2,20.44,15.25,20.76,40.89,1072.63

27,06:30-06:45,0,0,0,4.11,0,0,0,0,0,0,0,0.84,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.82,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0.05,0.19,0.1,0,0,6,20.44,15.25,20.76,40.89,1080.8700000000001

28,06:45-07:00,0,0,0,6.56,0,0,0,0,0,0,0,1.38,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.82,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0.06,0.22,0.12,0,0,11,20.44,15.25,20.76,40.89,1088.92

29,07:00-07:15,0,0,0,9.48,0,0,0,0,0,0,0,1.97,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0,0.19,0.38,0.19,0,0,17,20.44,15.25,20.76,40.89,1098.8400000000001

30,07:15-07:30,0,0,0,13.13,0,0,0,0,0,0,0,2.97,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.07,0.19,0.38,0.19,0.04,0.05,25,20.44,15.25,20.76,40.89,1111.65

31,07:30-07:45,0,0,0,19.5,0,0,0,0,0,0,0,3.86,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.16,0.19,0.38,0.19,0.1,0.13,35,20.44,15.25,20.76,40.89,1129.1400000000003

32,07:45-08:00,0,0,0,24.26,0,0,0,0,0,0,0,5.25,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.25,0.19,0.48,0.29,0.13,0.19,46,20.44,15.25,20.76,40.89,1146.6700000000003

33,08:00-08:15,1.64,0,1.15,30.08,0,0,0,0,0,0,0,6.19,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.96,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.35,0.19,0.48,0.29,0.23,0.27,60,20.44,15.25,20.76,40.89,1170.5900000000001

34,08:15-08:30,1.64,0,1.15,36.12,0,0,0,0,0,0,0,8.53,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.96,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.44,0.19,0.48,0.29,0.29,0.34,74,20.44,15.25,20.76,40.89,1193.19

35,08:30-08:45,1.64,0,1.15,42.1,0,0,0,0,0,0,0,5.88,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.96,0,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.53,0.19,0.48,0.29,0.35,0.4,70,20.44,15.25,20.76,40.89,1192.73

36,08:45-09:00,1.64,0,1.15,47.92,0,0,0,0,0,0,0,5.88,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.96,13.47,26.24,48.1,0,163.56,0,0,0,0,26.24,192.42,26.24,0,44.26,0,81.78,0.67,0.19,0.48,0.29,0.47,0.47,77,20.44,15.25,20.76,40.89,1219.3500000000004

37,09:00-09:15,1.64,0,1.15,54.11,163.56,0,0,43.73,76.6,37.18,43.73,5.88,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,98,20.44,15.25,20.76,40.89,1293.2500000000005

38,09:15-09:30,1.64,0,1.15,60,163.56,0,0,43.73,76.6,37.18,43.73,6.86,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,109,20.44,15.25,20.76,40.89,1311.1200000000003

39,09:30-09:45,1.64,0,1.15,65.9,163.56,0,0,43.73,76.6,37.18,43.73,6.86,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,116,20.44,15.25,20.76,40.89,1324.0200000000004

40,09:45-10:00,1.64,0,1.15,71.59,163.56,0,0,43.73,76.6,37.18,43.73,7.83,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,123,20.44,15.25,20.76,40.89,1337.6800000000003

41,10:00-10:15,1.64,1.44,1.15,76.01,163.56,0,0,43.73,76.6,37.18,43.73,7.83,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.89,0.19,0.48,0.29,0.63,0.71,147,20.44,15.25,20.76,40.89,1367.3700000000006

42,10:15-10:30,1.64,1.44,1.15,80.17,163.56,0,0,43.73,76.6,37.18,43.73,7.83,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.94,0.19,0.48,0.29,0.57,0.65,154,20.44,15.25,20.76,40.89,1378.4600000000003

43,10:30-10:45,1.64,1.44,1.15,84.44,163.56,0,0,43.73,76.6,37.18,43.73,11.54,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.34,165,20.44,15.25,20.76,40.89,1396.5800000000004

44,10:45-11:00,1.64,1.44,1.15,88.37,163.56,0,0,43.73,76.6,37.18,43.73,12.82,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.31,175,20.44,15.25,20.76,40.89,1411.7600000000002

45,11:00-11:15,1.64,1.44,1.15,90.94,163.56,0,0,43.73,76.6,37.18,43.73,14.09,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.31,182,20.44,15.25,20.76,40.89,1422.6000000000004

46,11:15-11:30,1.64,1.44,1.15,93.12,163.56,0,0,43.73,76.6,37.18,43.73,15.53,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0,189,20.44,15.25,20.76,40.89,1432.9100000000003

47,11:30-11:45,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,16.9,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,189,20.44,15.25,20.76,40.89,1438.2100000000005

48,11:45-12:00,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,18.18,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,189,20.44,15.25,20.76,40.89,1439.4900000000005

49,12:00-12:15,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,19.37,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,179,20.44,15.25,20.76,40.89,1430.6800000000005

50,12:15-12:30,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,19.67,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,179,20.44,15.25,20.76,40.89,1430.9800000000005

51,12:30-12:45,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,19.93,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,165,20.44,15.25,20.76,40.89,1417.2400000000005

52,12:45-13:00,1.64,1.44,1.15,96.67,163.56,0,0,43.73,76.6,37.18,43.73,20.2,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,165,20.44,15.25,20.76,40.89,1417.5100000000004

53,13:00-13:15,1.64,1.44,1.15,96,163.56,0,0,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,140,20.44,15.25,20.76,40.89,1380.4500000000005

54,13:15-13:30,1.64,1.44,1.15,92.67,163.56,0,0,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.58,0.19,0.48,0.29,0.38,0.38,140,20.44,15.25,20.76,40.89,1377.1200000000006

55,13:30-13:45,1.64,1.44,1.15,88.67,163.56,0,0,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.12,0.19,0.48,0.29,0.08,0.38,161,20.44,15.25,20.76,40.89,1393.3600000000004

