Column1,Block,NR/2024/24071/A/44384,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/2024/24060/A/44551,NR/2024/24097/A/44379,NR/2024/24088/A/44381,NR/2024/24129/C,NR/2024/24052/A/44385,NR/2024/24051/A/44386,NR/2024/24135/C,WR/2024/25054/A/44550,NR/2024/23952/A/44437,GNA/NR/2024/12/01/3428,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1475,Total
18,04:15-04:30,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.1199999999999

19,04:30-04:45,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.1199999999999

20,04:45-05:00,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.1199999999999

21,05:00-05:15,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,4.8,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,406.9599999999999

22,05:15-05:30,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,4.8,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,406.9599999999999

23,05:30-05:45,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,416.5599999999999

24,05:45-06:00,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,416.5599999999999

25,06:00-06:15,0,0,0,25.9,0,150,0,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,289.72

26,06:15-06:30,0,0,0,25.9,0,150,0,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,289.72

27,06:30-06:45,0,0,0,25.9,0,150,0,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,289.72

28,06:45-07:00,0,0,0,25.9,0,150,0,2.11,0,17.27,14.39,4.8,0,2.88,2.88,0,0,0.43,8.63,0,25.9,8.63,25.9,289.72

29,07:00-07:15,0,0,0,36.45,0,150,0,2.2,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.53,8.63,0,36.45,8.63,36.45,333.07

30,07:15-07:30,0,0,0,36.45,0,150,0,2.2,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.53,8.63,0,36.45,8.63,36.45,333.07

31,07:30-07:45,0,0,0,36.45,0,150,0,2.2,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.53,8.63,0,36.45,8.63,36.45,333.07

32,07:45-08:00,0,0,0,36.45,0,150,0,2.2,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.53,8.63,0,36.45,8.63,36.45,333.07

33,08:00-08:15,0,0,0,36.45,0,150,0,2.11,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.82,14.39,0,36.45,14.39,36.45,344.78999999999996

34,08:15-08:30,0,0,0,36.45,0,150,0,2.11,0,28.78,14.39,4.8,0,2.88,2.88,0,0,0.82,14.39,0,36.45,14.39,36.45,344.78999999999996

35,08:30-08:45,0,0,0,36.45,0,150,0,2.11,0,28.78,7.67,4.8,0,2.88,0,0,0,0.82,14.39,0,36.45,14.39,36.45,335.18999999999994

36,08:45-09:00,0,0,0,36.45,0,150,0,2.11,0,28.78,7.67,4.8,0,2.88,0,0,0,0.82,14.39,0,36.45,14.39,36.45,335.18999999999994

37,09:00-09:15,3.84,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,21.39,2.88,0,31.37,0,0.82,8.63,0,25.9,8.63,25.9,348.61999999999995

38,09:15-09:30,3.84,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,25.04,2.88,0,27.72,0,0.82,8.63,0,25.9,8.63,25.9,348.61999999999995

39,09:30-09:45,3.84,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,28.59,2.88,0,24.17,0,0.82,8.63,0,25.9,8.63,25.9,348.61999999999995

40,09:45-10:00,3.84,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,30.7,2.88,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,348.61999999999995

41,10:00-10:15,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,30.7,2.88,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,349.5799999999999

42,10:15-10:30,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,30.7,2.88,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,349.5799999999999

43,10:30-10:45,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,30.7,2.88,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,349.5799999999999

44,10:45-11:00,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,4.8,30.7,2.88,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,349.5799999999999

45,11:00-11:15,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,347.6599999999999

46,11:15-11:30,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,347.6599999999999

47,11:30-11:45,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,347.6599999999999

48,11:45-12:00,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.82,8.63,0,25.9,8.63,25.9,347.6599999999999

49,12:00-12:15,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.82,8.63,0,25.9,8.63,25.9,347.66999999999996

50,12:15-12:30,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.82,8.63,0,25.9,8.63,25.9,347.66999999999996

51,12:30-12:45,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.82,8.63,0,25.9,8.63,25.9,347.66999999999996

52,12:45-13:00,6.72,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.82,8.63,0,25.9,8.63,25.9,347.66999999999996

53,13:00-13:15,5.76,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.77,8.63,0,25.9,8.63,25.9,346.65999999999997

54,13:15-13:30,5.76,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.77,8.63,0,25.9,8.63,25.9,346.65999999999997

55,13:30-13:45,5.76,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.77,8.63,0,25.9,8.63,25.9,346.65999999999997

56,13:45-14:00,5.76,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.71,3.84,0,34.06,0,0.77,8.63,0,25.9,8.63,25.9,346.65999999999997

57,14:00-14:15,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.77,8.63,0,25.9,8.63,25.9,345.6899999999999

58,14:15-14:30,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.77,8.63,0,25.9,8.63,25.9,345.6899999999999

59,14:30-14:45,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.77,8.63,0,25.9,8.63,25.9,345.6899999999999

60,14:45-15:00,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,30.7,3.84,0,22.06,0,0.77,8.63,0,25.9,8.63,25.9,345.6899999999999

61,15:00-15:15,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,28.68,3.84,0,24.08,0,0.62,8.63,0,25.9,8.63,25.9,345.53999999999996

62,15:15-15:30,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,25.33,3.84,0,27.44,0,0.62,8.63,0,25.9,8.63,25.9,345.54999999999995

63,15:30-15:45,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,21.78,3.84,0,30.99,0,0.62,8.63,0,25.9,8.63,25.9,345.54999999999995

64,15:45-16:00,4.8,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,18.23,3.84,0,28.78,0,0.62,8.63,0,25.9,8.63,25.9,339.78999999999996

65,16:00-16:15,2.88,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,14.68,3.84,0,33.19,0,0.48,8.63,0,25.9,8.63,25.9,338.59

66,16:15-16:30,2.88,0,0,25.9,0,150,0,2.11,0,28.78,7.67,0,11.32,3.84,0,25.33,0,0.48,8.63,0,25.9,8.63,25.9,327.36999999999995

67,16:30-16:45,2.88,0,0,34.53,0,150,0,2.11,0,28.78,7.67,0,8.25,3.84,0,18.61,0,0.48,8.63,0,34.53,8.63,34.53,343.47

68,16:45-17:00,2.88,0,0,34.53,0,150,0,2.11,0,28.78,7.67,0,5.56,3.84,0,12.47,0,0.48,8.63,0,34.53,8.63,34.53,334.64

69,17:00-17:15,0.96,0,0,34.53,0,150,0,2.11,0,28.78,7.67,3.84,0,3.84,0,0,0,0.48,14.39,0,34.53,14.39,34.53,330.04999999999995

70,17:15-17:30,0.96,0,0,34.53,0,150,0,2.11,0,28.78,7.67,3.84,0,3.84,0,0,0,0.48,14.39,0,34.53,14.39,34.53,330.04999999999995

71,17:30-17:45,0.96,0,0,34.53,0,150,0,2.11,0,28.78,7.67,3.84,0,3.84,0,0,0,0.48,14.39,0,34.53,14.39,34.53,330.04999999999995

72,17:45-18:00,0.96,0,0,34.53,0,150,0,2.11,0,28.78,7.67,3.84,0,3.84,0,0,0,0.48,14.39,0,34.53,14.39,34.53,330.04999999999995

73,18:00-18:15,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

74,18:15-18:30,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

75,18:30-18:45,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

76,18:45-19:00,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

77,19:00-19:15,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

78,19:15-19:30,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

79,19:30-19:45,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

80,19:45-20:00,0,0,0,34.53,0,150,0,2.11,150,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,14.39,50,34.53,14.39,34.53,567.5099999999999

81,20:00-20:15,0,0,0,25.9,0,150,0,2.2,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.1899999999999

82,20:15-20:30,0,0,0,25.9,0,150,0,2.2,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.1899999999999

83,20:30-20:45,0,0,0,25.9,0,150,0,2.2,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.1899999999999

84,20:45-21:00,0,0,0,25.9,0,150,0,2.2,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.1899999999999

85,21:00-21:15,0,0,0,25.9,0,150,0,2.11,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.0999999999999

86,21:15-21:30,0,0,0,25.9,0,150,0,2.11,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.0999999999999

87,21:30-21:45,0,0,0,25.9,0,150,0,2.11,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.0999999999999

88,21:45-22:00,0,0,0,25.9,0,150,0,2.11,250,28.78,7.67,3.84,0,3.84,0,0,38.37,0.53,8.63,50,25.9,8.63,25.9,630.0999999999999

89,22:00-22:15,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.48,8.63,50,25.9,8.63,25.9,753.0499999999998

90,22:15-22:30,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.48,8.63,50,25.9,8.63,25.9,753.0499999999998

91,22:30-22:45,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.48,8.63,50,25.9,8.63,25.9,753.0499999999998

92,22:45-23:00,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.48,8.63,50,25.9,8.63,25.9,753.0499999999998

93,23:00-23:15,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.43,8.63,50,25.9,8.63,25.9,752.9999999999998

94,23:15-23:30,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.43,8.63,50,25.9,8.63,25.9,752.9999999999998

95,23:30-23:45,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.43,8.63,50,25.9,8.63,25.9,752.9999999999998

96,23:45-24:00,0,95.13,0,25.9,0,150,31.71,2.11,250,28.78,7.67,0.96,0,2.88,0,0,38.37,0.43,8.63,50,25.9,8.63,25.9,752.9999999999998

