Time,Block,NR/2023/12872/F,NR/2023/10959/A,NR/2023/13483/C,NR/2023/11709/A,NR/2023/12813/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13477/C,NR/2023/12922/F,NR/2023/12924/F,NR/2023/11712/A,NR/2023/11447/A,NR/2023/12917/F,NR/2023/13151/F,NR/2023/12919/F,NR/2023/13315/F,NR/2023/12706/A,NR/2023/13463/D,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13480/C,NR/2023/12923/F,NR/2023/11953/A,NR/2023/10786/A,NR/2023/10561/A,NR/2023/10720/A,NR/2023/12169/A,NR/2023/10460/A,NR/2023/12814/F,NR/2023/10432/A,NR/2023/10435/A,NR/2023/12921/F,NR/2023/13459/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/13455/D,NR/2023/13424/D,NR/2023/13454/D,NR/2023/11266/A,NR/2023/13456/D,NR/2023/10947/A,NR/2023/13469/C,NR/2023/10488/A,NR/2023/10956/A,NR/2023/12920/F,Total
5,01:00-01:15,0.530000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,154.750000,1.020000,0.610000,64.320000,12.710000,0.920000,23.330000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,27.520000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1449.04

6,01:15-01:30,0.530000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,105.420000,1.020000,0.610000,64.320000,12.710000,0.920000,23.330000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,27.520000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1399.71

7,01:30-01:45,0.530000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,48.360000,1.020000,0.610000,64.320000,12.710000,0.920000,23.330000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,27.520000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1342.65

8,01:45-02:00,0.530000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,23.330000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,27.520000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1294.29

9,02:00-02:15,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1294.24

10,02:15-02:30,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1294.24

11,02:30-02:45,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1294.24

12,02:45-03:00,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.960000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1294.24

13,03:00-03:15,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

14,03:15-03:30,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

15,03:30-03:45,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

16,03:45-04:00,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

17,04:00-04:15,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

18,04:15-04:30,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

19,04:30-04:45,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

20,04:45-05:00,0.440000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.870000,0.610000,0.000000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1234.47

21,05:00-05:15,0.480000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,0.000000,0.000000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1135.76

22,05:15-05:30,0.480000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,0.000000,0.000000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1135.76

23,05:30-05:45,0.480000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,0.000000,0.000000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1135.76

24,05:45-06:00,0.480000,21.270000,30.570000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,0.000000,0.000000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,37.840000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1135.76

25,06:00-06:15,0.530000,21.270000,29.560000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,1.4,0.000000,0.6,37.840000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1059.34

26,06:15-06:30,0.530000,21.270000,29.560000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,2.1,0.000000,0.9,37.840000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1060.34

27,06:30-06:45,0.530000,21.270000,29.560000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,2.8,0.000000,1.2,37.840000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1061.34

28,06:45-07:00,0.530000,21.270000,29.560000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,17.5,0.000000,7.5,37.840000,0.19,0.000000,0.000000,48.360000,85.080000,0.930000,1082.53

29,07:00-07:15,0.680000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,39.660000,0.520000,24.180000,24.5,0.000000,10.5,37.840000,0.39,0.000000,0.000000,48.360000,85.080000,0.930000,1130.5

30,07:15-07:30,0.680000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,39.660000,0.520000,24.180000,35,0.000000,15,37.840000,0.61,0.000000,0.000000,48.360000,85.080000,0.930000,1145.72

31,07:30-07:45,0.680000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,39.660000,0.520000,24.180000,47.6,0.000000,20.4,37.840000,1.13,0.000000,0.000000,48.360000,85.080000,0.930000,1164.24

32,07:45:08:00,0.680000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,39.660000,0.520000,24.180000,59.5,0.000000,25.5,37.840000,2.32,0.000000,0.000000,48.360000,85.080000,0.930000,1182.43

33,08:00-08:15,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.590000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,39.660000,0.520000,24.180000,68.6,0.000000,29.4,37.840000,2.8,0.000000,0.000000,48.360000,85.080000,0.980000,1196.36

34,08:15-08:30,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.590000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,39.660000,0.520000,24.180000,80.5,0.000000,34.5,37.840000,3.58,0.000000,0.000000,48.360000,85.080000,0.980000,1214.14

35,08:30-08:45,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.590000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,39.660000,0.520000,24.180000,87.5,0.000000,37.5,37.840000,3.77,0.000000,0.000000,48.360000,85.080000,0.980000,1224.33

36,08:45:09:00,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.590000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,39.660000,0.520000,24.180000,98,0.000000,42,37.840000,4.26,0.000000,0.000000,48.360000,85.080000,0.980000,1239.82

37,09:00:09:15,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.500000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,106.4,24.180000,45.6,37.840000,4.26,0.000000,0.000000,48.360000,85.080000,0.980000,1274.94

38,09:15-09:30,0.970000,21.270000,27.520000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.500000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,112,24.180000,48,37.840000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1283.81

39,09:30-09:45,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,13.010000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.500000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,119,24.180000,51,37.840000,5.03,0.000000,0.000000,48.360000,85.080000,0.980000,1294.72

40,09:45-10:00,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,25.040000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.500000,0.610000,0.000000,0.000000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,123.9,24.180000,53.1,25.800000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1301.81

41,10:00-10:15,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.400000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,133,24.180000,57,0.000000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1405.64

42,10:15-10:30,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.400000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,147,24.180000,63,0.000000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1425.64

43,10:30-10:45,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.400000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,156.8,24.180000,67.2,0.000000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1439.64

44,10:45-11:00,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.400000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,164.5,24.180000,70.5,0.000000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1450.64

45,11:00-11:15,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,171.5,24.180000,73.5,0.000000,6,0.000000,30.000000,48.360000,85.080000,0.980000,1491.42

46,11:15-11:30,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,171.5,24.180000,73.5,0.000000,6.87,0.000000,30.000000,48.360000,85.080000,0.980000,1492.29

47,11:30-11:45,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,178.5,24.180000,76.5,0.000000,7.74,0.000000,30.000000,48.360000,85.080000,0.980000,1503.16

