Column1,Block,NR/2025/32454/C,NR/2025/32350/C,NR/2025/32434/C,NR/2025/32435/C,NR/2025/30084/A/92487,NR/2025/32430/C,NR/2025/32448/C,NR/2025/32442/C,NR/2025/30086/A/92486,NR/2025/32413/C,NR/2025/32446/C,NR/2025/32444/C,NR/2025/29985/A/92150,NR/2025/31419/A/92480,NR/2025/31138/A/92456,NR/2025/31420/A/92478,NR/2025/31138/A/92457,NR/2025/31347/A/92016,NR/2025/31136/A/92454,NR/2025/31137/A/92684,NR/2025/31136/A/92453,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/92458,NR/2025/32351/C,GNA/NR/2025/07/01/8154,NR/2025/30067/A/92559,NR/2025/30105/A/92485,NR/2025/32457/C,NR/2025/32459/C,NR/2025/29992/A/92107,NR/2025/28728/A/92688,NR/2025/27975/A/92689,NR/2025/30083/A/92488,NR/2025/27973/A/92690,NR/2025/30082/A/92548,GNA/NR/2025/07/01/8139,NR/2025/29915/A/92310,NR/2025/32451/C,NR/2025/29628/A/92493,NR/2025/30217/A/92484,NR/2025/32452/C,NR/2025/29910/A/92491,NR/30092023/26122029/SH-06,NR/2025/30121/A/92019,NR/2025/31780/A/92148,NR/2025/27978/A/92555,NR/2025/29167/A/92312,NR/2025/31870/A/92077,NR/2025/32449/C,NR/2025/29353/A/92526,NR/2025/29439/A/92112,NR/2025/29440/A/91975,NR/2025/29352/A/92528,NR/2025/32449/C/Alternate/1,NR/2025/30191/A/92017,NR/2025/30101/A/92547,NR/2025/32396/C,NR/2025/32401/C,GNA/NR/2025/07/16/5917,NR/2025/27965/A/92692,NR/2025/32402/C,NR/2025/27966/A/92691,GNA/NR/2025/07/23/7329,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,8.87,43.8,19.28,192.76,15.28,49.15,15.5,2181.2000000000007

4,00:45-01:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,8.87,43.8,19.28,192.76,15.28,49.15,15.5,2181.2000000000007

5,01:00-01:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.77,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2198.4400000000005

6,01:15-01:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.77,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2198.4400000000005

7,01:30-01:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.77,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2198.4400000000005

8,01:45-02:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.77,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2198.4400000000005

9,02:00-02:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,0,96.38,54.21,12.53,0,96.38,0,0.67,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2076.82

10,02:15-02:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,0,96.38,54.21,12.53,0,96.38,0,0.67,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2076.82

11,02:30-02:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,0,96.38,54.21,12.53,0,96.38,0,0.67,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2076.82

12,02:45-03:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,0,96.38,54.21,12.53,0,96.38,0,0.67,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.26,43.8,19.28,192.76,15.28,49.15,15.5,2076.82

13,03:00-03:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,54.21,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.17,1773.33

14,03:15-03:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,54.21,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.17,1773.33

15,03:30-03:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,54.21,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.17,1773.33

16,03:45-04:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,54.21,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,96.38,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.17,1773.33

17,04:00-04:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.08,1526.27

18,04:15-04:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.08,1526.27

19,04:30-04:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.08,1526.27

20,04:45-05:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,19.28,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,18.08,1526.27

21,05:00-05:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.98,1523.5099999999998

22,05:15-05:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,12.53,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.98,1523.5099999999998

23,05:30-05:45,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.98,1522.5500000000002

24,05:45-06:00,0,0,0,0,26.28,0,0,0,26.28,0,0,0,1,0,0,0,0,0,0,0,0,0.19,0,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.63,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.98,1523.7399999999998

25,06:00-06:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,3,0,0.03,0,0,0,0,0,0.09,0.78,0.03,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.82,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.9,1526.5900000000001

26,06:15-06:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,7,0,0.05,0,0,0,0,0,0.2,1.37,0.05,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.82,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.9,1531.33

27,06:30-06:45,0.84,0,0,0,26.28,0,0,0,26.28,0,0,0,11,0,0.07,0,0,0,0,0,0.27,3.1,0.13,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.82,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.9,1538.0700000000002

28,06:45-07:00,1.38,0,0,0,26.28,0,0,0,26.28,0,0,0,14,0,0.09,0,0.03,0,0.05,0.03,0.34,4.49,0.17,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.82,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.9,1543.2400000000002

29,07:00-07:15,1.98,0,0,0,26.28,0,0,0,26.28,0,0,0,21,0,0.1,0,0.1,0,0.15,0.1,0.39,6.73,0.19,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1553.3500000000001

30,07:15-07:30,2.98,0,0,0,26.28,0,0,0,26.28,0,0,0,28,0,0.19,0,0.17,0,0.27,0.17,0.39,9.26,0.19,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1564.2299999999998

31,07:30-07:45,3.86,0,0,0,26.28,0,0,0,26.28,0,0,0,39,0,0.19,0,0.27,0,0.4,0.31,0.39,10,0.19,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1577.22

32,07:45-08:00,5.26,0,0,0,26.28,0,0,0,26.28,0,0,0,49,0,0.19,0,0.31,0,0.96,0.36,0.39,10,0.29,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1589.3700000000001

33,08:00-08:15,6.2,0,0,0,26.28,0,0,0,26.28,0,0,0,62,0,0.19,1.64,0.4,9.64,0.96,0.45,0.39,13.05,0.29,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1617.91

34,08:15-08:30,8.55,0,0,0,26.28,0,0,0,26.28,0,0,0,74,0,0.19,1.64,0.49,9.64,0.96,0.66,0.39,16.84,0.29,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,11.57,192.76,96.38,0,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1636.3500000000001

35,08:30-08:45,5.89,0,0,0,26.28,0,0,0,26.28,0,0,0,88,0,0.19,1.64,0.58,9.64,0.96,0.77,0.39,20.97,0.29,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,13.49,192.76,96.38,0,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1653.9399999999998

36,08:45-09:00,5.89,0,0,0,26.28,0,0,0,26.28,0,0,0,102,0,0.19,1.64,0.67,9.64,0.96,0.77,0.48,24.82,0.29,0,20.79,0,17.52,0,0,44.33,96.38,0,8.76,0,48.19,0,0,0,76.74,7.71,0,16.62,26.93,6.75,0,96.38,0,13.49,192.76,96.38,0,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,0,159.03,26.93,43.8,19.28,192.76,15.28,0,17.8,1671.97

37,09:00-09:15,5.89,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,112,0,0.19,1.64,0.67,9.64,0.96,0.77,0.48,28.43,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1731.6000000000004

38,09:15-09:30,6.87,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,123,0,0.19,1.64,0.67,9.64,0.96,0.77,0.48,32.14,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1747.29

39,09:30-09:45,6.87,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,133,0,0.19,1.64,0.67,9.64,0.96,0.77,0.48,34.11,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1759.2600000000002

40,09:45-10:00,7.85,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,140,0,0.19,1.64,0.67,9.64,0.96,0.77,0.48,37.18,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1770.31

