Block,Time Block,FSTPP I & II,DULHASTI,MAPS,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,CHAMERA3,DHAULIGNGA,DADRT2,SEWA2,SINGRAULI,TALST2,TANAKPUR,TALA,SIMHST1,SINGRAULI_HYDRO,SIMHST2,JHAJJAR,KGSU3AND4,KGSU1AND2,KKNPPU2,KOLDAM,KKNP,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KOTESHWR,KUDGI,RSTPSU7,RIHAND3,SALAL,RIHAND2,SASAN,RSTPSU1TO6,KISHANGANGA,KHSTPP-I,KHSTPP-II,RIHAND1,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NAPP,NTPL,RAPPC,PARBATI3,RAPPB,NLCEXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
15,03:30-03:45,12.97,52.13,0,29.96,74.53,1.49,11.86,0,0.86,35.23,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.07,0,0,0,237.87,0,0,0,3.89,0,6.32,13.68,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

16,03:45-04:00,12.97,52.13,0,29.96,74.53,1.49,11.86,0,0.86,35.23,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,6.93,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

17,04:00-04:15,12.97,52.13,0,28.89,74.53,1.49,11.86,0,0.86,28.65,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,6.78,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

18,04:15-04:30,15.18,52.13,0,28.89,74.53,1.49,16.02,0,0.86,28.65,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,6.78,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

19,04:30-04:45,15.18,52.13,0,25.67,74.53,1.49,13.26,0,0.86,28.65,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,8.64,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

20,04:45-05:00,15.18,52.13,0,25.67,74.53,1.49,13.26,0,0.86,28.65,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,8.64,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

21,05:00-05:15,15.18,52.13,0,25.67,74.53,1.49,13.26,0,0.86,20.04,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,8.34,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

22,05:15-05:30,15.18,52.13,0,25.67,74.53,1.49,13.26,0,0.86,20.04,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,8.07,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.82,0,0,0,0,0,0,0

23,05:30-05:45,15.18,52.13,0,25.67,74.53,1.49,13.26,0,0.86,20.04,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,436.75,0,128.35,0,11.17,7.64,0,0,0,253.93,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,16.35,0,0,0,0,0,0,0

24,05:45-06:00,20.16,52.13,0,25.67,74.53,1.49,17.16,0,0.86,20.04,0,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,454.86,0,128.35,0,11.17,7.5,0,0,0,178.81,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

25,06:00-06:15,20.16,52.13,0,25.67,74.53,1.49,17.16,0,0.86,20.04,0,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,442.08,0,128.35,0,11.17,7.36,0,0,0,234.22,0,0,0,3.89,0,6.32,14.54,13.02,40.85,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

26,06:15-06:30,20.16,52.13,0,25.67,74.53,1.49,17.16,0,0.86,20.04,0,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,451.77,0,128.35,0,11.17,7.36,0,0,0,234.22,0,0,0,3.89,0,6.32,14.54,13.02,40.85,37.45,0,0,123.67,50.67,117.96,149.37,0,0,40.6,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

27,06:30-06:45,20.16,52.13,0,25.67,74.53,1.49,17.16,0,0.86,20.04,0,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,461.47,0,128.35,0,11.17,7.36,0,0,0,234.22,0,0,0,3.89,0,6.32,14.54,13.02,40.85,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.23,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

28,06:45-07:00,20.16,52.13,0,48.68,74.53,1.49,17.16,0,0.86,20.04,0,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,461.47,0,128.35,0,11.17,7.36,0,0,0,234.22,0,0,0,3.89,0,6.32,14.54,13.02,40.85,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

29,07:00-07:15,17.37,52.13,0,48.68,74.53,1.49,17.16,0,0.86,20.04,0,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,442.08,0,128.35,0,11.17,7.36,0,0,0,323.01,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,52.44,0,0,0,0,0,0,0

30,07:15-07:30,17.37,52.13,0,29.96,74.53,1.49,17.16,0,0.86,20.04,0,0,34.66,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,422.7,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,27.23,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,8.17,0,0,0,0,0,0,0

31,07:30-07:45,17.37,52.13,0,29.96,74.53,1.49,13.82,0,0.86,20.04,0,0,27.81,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,422.7,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

32,07:45-08:00,15.07,52.13,0,29.96,74.53,1.49,13.71,0,0.86,20.04,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,403.31,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,37.45,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

33,08:00-08:15,15.07,52.13,0,29.96,74.53,1.49,13.71,0,0.86,20.04,0,0,27.32,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,37.45,0,0,123.67,50.67,117.96,149.37,0,0,34.99,82.6,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

34,08:15-08:30,15.07,52.13,0,29.96,74.53,1.49,13.71,0,0.86,20.04,0,0,27.32,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,37.45,0,0,123.67,50.67,117.96,149.37,0,0,34.99,82.6,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

35,08:30-08:45,15.07,52.13,0,29.96,74.53,1.49,13.71,0,0.86,20.04,0,0,27.32,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,28.09,0,0,123.67,50.67,117.96,149.37,0,0,34.99,82.6,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

36,08:45-09:00,15.07,52.13,0,29.96,74.53,1.49,13.71,0,0.86,20.04,0,0,27.32,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.36,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,13.62,28.09,0,0,123.67,50.67,117.96,149.37,0,0,43.54,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

37,09:00-09:15,15.07,52.13,0,29.96,74.53,1.49,14.93,0,0.86,20.04,0,0,28.28,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,393.62,0,128.35,0,11.17,7.64,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,11.49,28.09,0,0,123.67,50.67,117.96,149.37,0,0,36.1,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

38,09:15-09:30,15.07,52.13,0,29.96,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,403.31,0,128.35,0,11.17,7.64,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,4.59,28.09,0,0,123.67,50.67,117.96,149.37,0,0,36.1,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

39,09:30-09:45,15.07,52.13,0,29.96,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,413.01,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,36.1,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

40,09:45-10:00,15.07,52.13,0,29.96,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,413.01,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,36.1,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

41,10:00-10:15,15.07,52.13,0,26.75,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,422.7,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,41.35,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

42,10:15-10:30,15.07,52.13,0,26.75,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,422.7,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,41.35,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

43,10:30-10:45,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,442.08,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,0,14.54,13.02,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

44,10:45-11:00,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,471.16,0,128.35,0,11.17,9.37,0,0,0,237.87,0,0,0,3.89,0,0,14.54,13.02,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

45,11:00-11:15,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,480.85,0,128.35,0,11.17,10.23,0,0,0,237.87,0,0,0,3.89,0,0,14.54,13.02,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,37.39,83.12,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

46,11:15-11:30,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,509.93,0,128.35,0,11.17,10.23,0,0,0,237.87,0,0,0,3.89,0,0,14.54,13.02,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,37.39,83.12,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

47,11:30-11:45,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,529.31,0,128.35,0,11.17,9.58,0,0,0,237.87,0,0,0,3.89,0,0,14.52,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,37.39,83.12,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

48,11:45-12:00,15.07,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,539,0,128.35,0,11.17,9.58,0,0,0,237.87,0,0,0,3.89,0,0,14.54,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,37.39,83.12,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

49,12:00-12:15,15.07,52.13,0,48.68,74.53,1.49,14.93,0,0.86,20.04,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,480.85,0,128.35,0,11.17,9.58,0,0,0,237.87,0,0,0,3.89,0,0,14.54,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

50,12:15-12:30,17.86,52.13,0,48.68,74.53,1.49,14.93,0,0.86,35.23,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,480.85,0,128.35,0,11.17,9.44,0,0,0,237.87,0,0,0,3.89,0,0,14.54,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

51,12:30-12:45,17.86,52.13,0,23.54,74.53,1.49,14.93,0,0.86,35.23,0,0,36.3,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,529.31,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,0,13.72,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

52,12:45-13:00,17.86,52.13,0,23.54,74.53,1.49,14.93,0,0.86,20.04,0,0,36.3,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,529.31,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,27.47,0,28.09,0,0,123.67,37.73,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

53,13:00-13:15,15.07,52.13,0,23.54,74.53,1.49,14.94,0,0.86,20.04,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,480.85,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,27.47,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

54,13:15-13:30,15.07,52.13,0,23.54,74.53,1.49,14.94,0,0.86,20.04,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,480.85,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

55,13:30-13:45,20.16,52.13,0,23.54,74.53,1.49,14.94,0,0.86,20.04,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,480.85,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

56,13:45-14:00,20.16,52.13,0,23.54,74.53,1.49,14.94,0,0.86,20.04,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,480.85,0,128.35,0,11.17,7.5,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,13.02,0,28.09,0,0,123.67,49.56,117.96,149.37,0,0,42.64,95.82,45.87,0,148.62,0,3.19,0,0,44.06,0,58.67,0,0,0,0,0,0,0,0

