Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/05/16/9317,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,GNA/ER/2025/05/16/9578,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/5800,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2474,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/3877
8,01:45-02:00,0,55.67,22.67,55.67,0,22.66,0,68,15,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.25,4.51,477,5.07,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,29.27,11.24

9,02:00-02:15,0,53.67,19.83,53.67,0,19.83,0,59.51,14.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,0,4.48,11.15,4.35,436,5.07,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.76,11.24

10,02:15-02:30,0,51.67,19.5,51.67,0,19.5,0,58.5,13.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,0,4.48,11.15,4.35,477,5.07,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.76,28.89

11,02:30-02:45,0,50,19.17,50,0,19.17,0,57.49,12.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,16.43,16.43,0,4.48,11.15,4.35,477,5.07,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.76,28.89

12,02:45-03:00,0,49,18.67,49,0,18.67,0,55.99,11.67,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,16.43,16.43,0,4.48,11.15,4.35,477,5.07,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

13,03:00-03:15,0,48,18.17,48,0,18.17,0,54.49,11.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,16.43,16.43,0,4.48,11.06,4.35,477,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

14,03:15-03:30,0,46.67,17.83,46.67,0,17.83,0,53.51,11.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,16.43,16.43,0,4.48,11.06,4.35,477,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

15,03:30-03:45,0,45,17.5,45,0,17.5,0,52.5,11.67,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.48,11.06,4.35,477,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

16,03:45-04:00,0,43.33,17.17,43.33,0,17.17,0,51.49,11.67,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.48,11.06,4.35,477,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

17,04:00-04:15,0,41.67,19.17,41.67,0,19.17,0,57.49,12,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.29,10.87,4.19,487,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

18,04:15-04:30,0,40,18.83,40,0,18.83,0,56.51,12.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.29,10.87,4.19,447,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

19,04:30-04:45,0,38.67,18.5,38.67,0,18.5,0,55.5,12.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.29,10.87,4.19,407,4.91,0,100.33,10.59,0,0,115.16,86.86,0,28.94,260.59,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

20,04:45-05:00,0,38.33,18.17,38.33,0,18.17,0,54.49,12.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,21.13,21.13,0,4.29,10.87,4.19,367,4.91,0,100.33,10.59,0,0,115.16,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

21,05:00-05:15,0,34,14.17,34,0,14.17,0,42.49,12,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.79,4.19,0,4.76,0,100.33,10.59,0,0,115.16,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,27.75,28.89

22,05:15-05:30,0,34,14.17,34,0,14.17,0,42.49,11.33,0,0,0,6.4,0,0,0,0.02,0,0,0,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.79,4.19,0,4.76,0,100.33,10.59,0,0,115.16,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,27.75,28.89

23,05:30-05:45,0,33.33,16.83,33.33,0.01,16.83,0,50.51,11.33,0,0,0,6.4,0,0,0,0.12,0,0,0,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.79,4.19,0,4.76,0,100.33,10.59,0,0,115.16,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.25,28.89

24,05:45-06:00,0,33,16.5,33,1.07,16.5,0,49.5,11.33,0,0,0,6.4,0,0,0,0.13,0,0,0,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.79,4.19,0,4.76,0,100.33,10.59,0,0,66.07,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,27.75,28.89

25,06:00-06:15,0,33,16.33,33,0.58,16.33,15.26,49.01,14,1,1,0.45,6.4,1,0,13.44,0.68,1,0,2.23,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.69,4.19,0,4.76,0,100.33,10.59,0,0,115.16,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.76,28.89

26,06:15-06:30,1.94,31.33,15.83,31.33,1.37,15.83,23.67,47.51,13,2,5,0.75,6.4,2,0,21.69,1.44,2,0,3.73,96.3,15.49,24.08,0,0,10.43,0,26.93,26.93,0,4.29,10.69,4.19,0,4.76,0,100.33,10.59,0,0,68.34,63.15,0,28.94,200.66,272.29,13.48,96.3,0,192.6,14.44,0,0,7.23,28.76,28.89

27,06:30-06:45,4.85,29.33,15.5,29.33,7.4,15.5,33,46.5,12,3,7,2.13,6.4,3,0,31.46,4.78,3,0,10.65,96.3,15.49,24.08,0,0,10.43,0.54,26.93,26.93,0,4.29,10.69,4.19,0,4.76,0,100.33,10.59,0,0.72,68.34,63.15,0,28.94,200.66,272.29,13.48,96.3,0.72,192.6,14.44,0,0,7.23,28.26,28.89

28,06:45-07:00,7.76,28.67,15,28.67,15.24,15,32.97,45,11.33,5,9,3.63,6.4,4,0,32.98,7.97,6,1,18.14,96.3,15.49,24.08,0,0,10.43,1.02,26.93,26.93,0,4.29,10.69,4.19,0,4.76,0,100.33,10.59,0,1.33,68.34,63.15,0,28.94,200.66,272.29,13.48,96.3,1.33,192.6,14.44,0,0,7.23,28.26,28.89

29,07:00-07:15,12.61,36.67,17.19,36.67,24.31,17.19,33,51.56,10.67,7,13,5.75,6.4,7,0,33,11.99,9,6,28.76,96.3,11.58,24.08,0,0,10.43,1.64,26.93,26.93,0,4.11,10.41,3.96,0,4.6,0,100.33,10.59,0,2.12,68.34,52.65,0,28.94,200.66,272.29,13.48,96.3,2.12,192.6,14.44,0,0,7.23,28.26,28.89

30,07:15-07:30,15.52,36,16.36,36,34.02,16.36,33,49.1,10.33,9,19,8.26,6.4,9,0,33,17.19,13,12,41.27,96.3,11.58,24.08,0,0,10.43,2.35,26.93,26.93,0,4.11,10.41,3.96,0,4.6,0,100.33,10.59,0,3.04,68.34,52.65,0,28.94,200.66,272.29,13.48,96.3,3.04,192.6,14.44,0,0,7.23,27.75,28.89

31,07:30-07:45,21.34,35,15.42,35,43.81,15.42,33,46.23,9.67,14,33,11.05,6.4,17,0,33,23.38,20,18,55.22,96.3,11.72,24.08,0,0,10.43,3.2,26.93,26.93,0,4.11,10.41,3.96,0,4.6,0,100.33,10.59,0,4.14,68.34,52.65,0,28.94,200.66,272.29,13.48,96.3,4.14,192.6,14.44,0,0,7.23,27.75,28.89

32,07:45-08:00,29.11,33.67,14.59,33.67,53.5,14.59,33,43.74,9.33,18,37,14.39,6.4,18,0,33,30.25,26,24,71.95,96.3,11.58,24.08,0,0,10.43,4.11,26.93,26.93,0,4.11,10.41,3.96,0,4.6,0,71.44,10.59,0,5.32,70.23,40.45,0,28.94,129.04,231.12,13.48,96.3,5.32,192.6,14.44,0,0,7.23,28.26,28.89

33,08:00-08:15,33,32.67,15.97,32.67,63.12,15.97,33,47.89,12,23,44,18.3,6.8,22,0,33,37.64,37,30,91.5,96.3,11.58,24.08,0,0,10.43,4.9,26.93,26.93,0,4.11,10.23,4.51,0,4.6,0,52.96,10.59,0,6.34,70.23,40.45,0,28.94,129.04,192.6,13.48,0,6.34,192.6,14.44,0,0,7.23,28.76,28.89

34,08:15-08:30,33,32,15.61,32,72.52,15.61,33,46.85,11.67,26,50,22.03,7.8,25,0,33,45.09,42,37,110.17,96.3,11.58,24.08,0,0,10.43,5.8,26.93,26.93,0,4.11,10.23,4.51,0,4.6,0,52.96,10.59,0,7.51,70.23,40.45,0,28.94,129.04,149.76,13.48,0,7.51,192.6,14.44,0,0,7.23,29.27,28.89

35,08:30-08:45,33,30.67,15.16,30.67,81.4,15.16,33,45.45,11.33,29,57,25.62,7.2,28,0,33,52.52,49,45,128.09,96.3,11.58,24.08,0,0,10.43,6.67,26.93,26.93,0,4.11,10.23,4.51,0,4.6,0,52.96,10.59,0,8.63,70.23,40.45,0,28.94,129.04,149.76,13.48,0,8.63,192.6,14.44,0,0,7.23,30.28,28.89

36,08:45-09:00,33,30,15.04,30,80.56,15.04,33,45.13,11.33,32,63,29.07,7,31,0,33,60.1,55,52,145.37,96.3,11.58,24.08,0,0,10.43,7.46,26.93,26.93,0,4.11,10.23,4.51,0,4.6,0,52.96,10.59,0,9.66,70.23,40.45,0,28.94,129.04,149.76,13.48,0,9.66,192.6,14.44,0,0,7.23,30.79,28.89

37,09:00-09:15,33,24.33,15.29,24.33,89.13,15.29,33,45.87,11.67,34,69,32.6,7,34,0,33,67.46,63,58,162.97,96.3,11.58,24.08,0,0,10.43,8.32,26.94,26.94,0,4.11,10.04,4.51,0,4.6,0,52.96,10.59,0,10.76,70.23,40.45,0,28.94,129.04,149.76,13.48,0,10.76,192.6,14.44,0,0,7.23,30.28,28.89

38,09:15-09:30,33,24.67,15.46,24.67,97.02,15.46,33,46.38,11.67,37,72,35.82,7.2,36,0,33,73.73,67,64,179.09,96.3,15.49,24.08,0,0,10.43,9.05,26.94,26.94,0,4.11,10.04,4.51,0,4.6,0,52.96,10.59,0,11.72,70.23,40.45,0,28.94,129.04,149.76,13.48,0,11.72,192.6,14.44,0,0,7.23,30.28,28.89

39,09:30-09:45,33,33.33,15.69,33.33,104.33,15.69,33,47.07,20,39,77,38.64,7.2,39,0,33,79.76,73,70,193.18,96.3,15.49,24.08,0,0,10.43,9.66,26.94,26.94,0,4.11,10.04,4.51,0,4.6,0,52.96,10.59,0,12.5,70.23,40.45,0,28.94,129.04,149.76,13.48,0,12.5,192.6,14.44,0,0,7.23,30.28,28.89

40,09:45-10:00,33,33.33,15.65,33.33,110.37,15.65,33,46.96,20,41,83,41.3,7,42,0,33,85.45,79,76,206.51,96.3,15.49,24.08,0,0,10.43,10.38,26.94,26.94,0,4.11,10.04,4.51,0,4.6,0,52.96,10.59,0,13.43,70.23,40.45,0,28.94,129.04,149.76,13.48,0,13.43,192.6,14.44,0,0,7.23,30.28,28.89

41,10:00-10:15,33,34,20.33,34,115.82,20.33,33,61.01,16,43,89,43.95,6.8,45,0,33,90.57,84,81,219.76,96.3,15.49,24.08,0,0,10.43,10.95,26.94,26.94,0,4.02,9.96,4.51,0,4.68,0,52.96,10.59,0,14.18,70.23,40.45,0,28.94,129.04,149.76,13.48,0,14.18,192.6,14.44,0,0,7.23,31.29,28.89

42,10:15-10:30,33,34.67,20.33,34.67,121.18,20.33,33,61.01,16.33,44,93,46.46,6.4,47,0,33,95.32,87,84,232.27,96.3,15.49,24.08,0,0,10.43,11.54,26.94,26.94,0,4.02,9.96,4.51,0,4.68,0,52.96,10.59,0,14.93,70.23,40.45,0,28.94,129.04,149.76,13.48,0,14.93,192.6,14.44,0,0,7.23,31.29,28.89

43,10:30-10:45,33,35,16.33,35,126.54,16.33,33,49.01,16.33,45,93,48.33,6.4,47,0,33,99.57,91,87,241.67,96.3,15.49,24.08,0,0,10.43,12.29,26.94,26.94,0,4.02,9.96,4.51,0,4.68,0,52.96,10.59,0,15.9,70.23,40.45,0,28.94,129.04,149.76,13.48,0,15.9,192.6,14.44,0,0,7.23,31.29,28.89

44,10:45-11:00,33,35.33,16.83,35.33,130.33,16.83,33,50.51,16.67,46,93,48.33,6.4,47,0,33,100,94,88,241.67,96.3,15.49,24.08,0,0,10.43,13.38,26.94,26.94,0,4.02,9.96,4.51,0,4.68,0,52.96,10.59,0,17.32,70.23,40.45,0,28.94,129.04,149.76,13.48,0,17.32,192.6,14.44,0,0,7.23,31.29,28.89

45,11:00-11:15,33,32.67,15.5,32.67,133.74,15.5,33,46.5,13,46,95,48.33,6.4,47,0,33,100,97,90,241.67,96.3,13.6,24.08,0,0,10.43,13.71,26.94,26.94,0,4.02,9.76,3.11,0,4.6,0,52.96,10.59,0,17.75,70.23,40.45,0,28.94,129.04,149.76,13.48,0,17.75,192.6,14.44,0,0,7.23,29.77,28.89

46,11:15-11:30,33,34.33,16.17,34.33,136.67,16.17,33,48.49,13.67,46,96,48.33,6.4,48,0,33,100,98,90,241.67,96.3,13.6,24.08,0,0,10.43,13.94,26.94,26.94,0,4.02,9.76,4.19,0,4.6,0,52.96,10.59,0,18.05,70.23,40.45,0,28.94,129.04,173.34,13.48,0,18.05,192.6,14.44,0,0,7.23,29.77,28.89

47,11:30-11:45,33,36.33,16.67,36.33,138.61,16.67,33,49.99,19.33,46,98,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.26,26.94,26.94,0,4.02,9.76,4.19,0,4.6,0,52.96,10.59,0,18.44,70.23,40.45,0,28.94,129.04,192.6,13.48,0,18.44,192.6,14.44,0,0,7.23,29.77,28.89

48,11:45-12:00,33,39,17.5,39,140.47,17.5,33,52.5,20.33,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.39,26.94,26.94,0,4.02,9.76,4.19,0,4.6,0,52.96,10.59,0,18.63,70.23,40.45,0,28.94,129.04,211.86,13.48,0,18.63,192.6,14.44,0,0,7.23,29.77,28.89

49,12:00-12:15,33,43.67,19.17,43.67,141.63,19.17,33,57.49,21.33,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.55,26.95,26.95,0,4.02,9.58,4.19,0,4.68,0,52.96,10.59,0,18.83,70.23,40.45,0,28.94,129.04,211.86,13.48,0,18.83,192.6,14.44,0,0,7.23,29.77,28.89

50,12:15-12:30,33,46.33,20.83,46.33,141.63,20.83,33,62.51,22.33,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.6,26.95,26.95,0,4.02,9.58,4.19,0,4.68,0,52.96,10.59,0,18.9,70.23,40.45,0,28.94,129.04,231.12,13.48,0,18.9,192.6,14.44,0,0,7.23,30.28,28.89

51,12:30-12:45,33,53.67,27.33,53.67,142.32,27.33,33,82.01,23.33,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.64,26.95,26.95,0,4.02,9.58,4.19,0,4.68,0,52.96,10.59,0,18.96,70.23,40.45,0,28.94,129.04,231.12,13.48,0,18.96,192.6,14.44,0,0,7.23,30.28,28.89

52,12:45-13:00,33,55.33,27.83,55.33,140.56,27.83,33,83.51,23.67,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.55,26.95,26.95,0,4.02,9.58,4.19,0,4.68,0,52.96,10.59,0,18.83,70.23,40.45,0,28.94,129.04,192.6,13.48,0,18.83,192.6,14.44,0,0,7.23,30.28,28.89

53,13:00-13:15,33,56.67,28.17,56.67,139.59,28.17,33,84.49,24,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.4,26.95,26.95,0,4.11,9.5,4.28,0,4.37,0,52.96,10.59,0,18.64,70.23,40.45,0,28.94,129.04,149.76,13.48,0,18.64,192.6,14.44,0,0,7.23,30.28,28.89

54,13:15-13:30,33,58,28.33,58,137.25,28.33,33,85.01,24.33,46,99,48.33,7,49,0,33,100,99,90,241.67,96.3,13.6,24.08,0,0,10.43,14.27,26.95,26.95,0,4.11,9.5,4.28,0,4.37,0,52.96,10.59,0,18.47,68.34,40.45,0,28.94,129.04,149.76,13.48,0,18.47,192.6,14.44,0,0,7.23,30.28,28.89

55,13:30-13:45,33,59,28.67,59,133.84,28.67,33,85.99,24.67,45,97,48.33,7,48,0,33,100,91,90,241.67,96.3,13.6,24.08,0,0,10.43,14.09,26.95,26.95,0,4.11,9.5,4.28,0,4.37,0,52.96,10.59,0,18.22,70.23,40.45,0,28.94,129.04,149.76,13.48,0,18.22,192.6,14.44,0,0,7.23,30.28,28.89

56,13:45-14:00,33,60,29,60,130.53,29,33,87,24.67,45,95,48.33,8,48,0,33,100,91,90,241.67,96.3,13.6,24.08,0,0,10.43,13.84,26.95,26.95,0,4.11,9.5,4.28,0,4.37,0,52.96,10.59,0,17.91,70.23,40.45,0,28.94,129.04,192.6,13.48,0,17.91,192.6,14.44,0,0,7.23,30.28,28.89

57,14:00-14:15,33,60.33,29.17,60.33,126.83,29.17,33,87.49,27.67,44,93,48.33,10.8,47,0,33,100,91,88,241.67,96.3,13.6,24.08,0,0,10.43,13.26,26.95,26.95,0,4.29,9.5,2.72,0,4.45,0,100.33,10.59,0,17.16,70.23,64.16,0,28.94,194.75,192.6,13.48,0,17.16,192.6,14.44,0,0,7.23,28.76,28.89

58,14:15-14:30,33,60,29.67,60,121.18,29.67,33,88.99,28.33,44,92,48.33,12.41,46,0,33,100,91,87,241.67,96.3,13.6,24.08,0,0,10.43,12.71,26.95,26.95,0,4.29,9.5,3.88,0,4.45,0,100.33,10.59,0,16.45,70.23,64.16,0,28.94,214.01,231.12,13.48,0,16.45,192.6,14.44,0,0,7.23,29.28,28.89

59,14:30-14:45,33,60,30.33,60,114.94,30.33,33,91.01,29,42,88,48.33,14.21,44,0,33,98.32,86,75,241.67,96.3,13.6,24.08,0,0,10.17,12.43,26.95,26.95,0,4.29,9.5,3.88,0,4.45,0,100.33,10.59,0,16.09,70.23,74.66,0,28.94,260.59,272.29,13.48,0,16.09,192.6,14.44,0,0,7.23,30.29,28.89

60,14:45-15:00,33,60.33,31,60.33,92.83,31,33,93,29.33,41,85,46.79,14.81,42,0,33,94.44,84,72,233.92,96.3,13.6,24.08,0,0,10.17,12.03,26.95,26.95,0,4.29,9.5,3.88,0,4.45,0,100.33,10.59,0,15.57,70.23,74.66,0,28.94,260.59,272.29,13.48,0,15.57,192.6,14.44,0,0,7.23,30.29,28.89

61,15:00-15:15,33,58,31,58,80.49,31,33,93,29.67,40,79,44.71,14.81,39,0,33,90.14,82,69,223.52,96.3,13.6,24.08,0,0,10.17,11.53,26.95,26.95,0,4.57,9.4,3.88,0,4.6,0,100.33,10.59,0,14.93,115.16,74.66,0,28.94,260.59,272.29,13.48,0,14.93,192.6,14.44,0,0,7.23,29.28,28.89

62,15:15-15:30,33,58,31.17,58,71.65,31.17,33,93.49,29.67,39,73,42.29,14.21,37,0,33,85.53,78,64,211.43,96.3,13.6,24.08,0,0,10.17,10.89,26.95,26.95,0,4.57,9.4,3.88,0,4.6,0,100.33,10.59,0,14.1,115.16,86.86,0,28.94,260.59,272.29,13.48,0,14.1,192.6,14.44,0,0,7.23,29.28,28.89

