Time,Block,NR/2024/19677/A/17285,NR/2024/19679/A/17292,NR/2024/19337/A/17390,NR/2024/19043/A/17310,NR/2024/18935/A/17242,NR/2024/19172/A/18029,NR/2024/19942/C,NR/2024/18978/A/17256,NR/2024/18976/A/17253,NR/2024/19609/A/17880,NR/2024/19484/A/17918,NR/2024/19787/A/17734,NR/2024/19946/C,NR/2024/19245/A/17391,NR/2024/19945/C,NR/2024/18977/A/17255,NR/2024/18996/A/17862,NR/2024/18986/A/17335,NR/2024/19290/A/18028,NR/2024/19485/A/17916,NR/2024/18919/A/17883,NR/2024/19483/A/17920,NR/2024/19469/A/17389,NR/2024/18934/A/17241,NR/2024/19916/C,NR/2024/19656/A/17388,NR/2024/18936/A/17243,NR/2024/19075/A/17302,NR/2024/19121/A/17459,NR/2024/19739/A/17396,NR/2024/19030/A/17316,NR/2024/18855/A/17460,NR/2024/19914/C,NR/2024/19115/A/17299,NR/2024/19764/A/17813,NR/2024/19143/A/17297,NR/2024/19024/A/17392,NR/2024/19936/C,NR/2024/19963/C,NR/2024/19929/C,NR/2024/19928/C,NR/2024/19727/A/17572,NR/2024/19622/A/17267,NR/2024/19726/A/17576,NR/2024/19944/C,NR/2024/19913/C,Total
3,00:30-00:45,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.530000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,44.450000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1853.11

4,00:45-01:00,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.530000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,43.490000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1852.15

5,01:00-01:15,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,63.780000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1824.07

6,01:15-01:30,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,66.680000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1826.97

7,01:30-01:45,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,64.750000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1825.04

8,01:45-02:00,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,66.680000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1826.97

9,02:00-02:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,0.000000,37.330000,0.000000,28.990000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,31.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,629.8

10,02:15-02:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,0.000000,37.330000,0.000000,28.990000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,31.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,629.8

11,02:30-02:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,0.000000,37.330000,0.000000,28.990000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,31.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,629.8

12,02:45-03:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,48.320000,0.000000,0.000000,0.000000,37.330000,0.000000,28.990000,0.000000,48.320000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,31.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,629.8

13,03:00-03:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

14,03:15-03:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

15,03:30-03:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

16,03:45-04:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

17,04:00-04:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

18,04:15-04:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,472.86

19,04:30-04:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,471.89

20,04:45-05:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,471.89

21,05:00-05:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,469.89

22,05:15-05:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,469.89

23,05:30-05:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,469.89

24,05:45-06:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,469.89

25,06:00-06:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,460.23

26,06:15-06:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,460.23

27,06:30-06:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.23,460.46

28,06:45-07:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.51,460.74

29,07:00-07:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.82,461.2

30,07:15-07:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.89,461.27

31,07:30-07:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.45,461.83

32,07:45:08:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2.19,462.57

33,08:00-08:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,3.17,584.69

34,08:15-08:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,3.49,585.01

35,08:30-08:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,3.72,585.24

36,08:45:09:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4.16,585.68

37,09:00:09:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4.49,586.01

38,09:15-09:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4.64,586.16

39,09:30-09:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4.78,586.3

40,09:45-10:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.650000,37.330000,0.000000,12.450000,0.000000,0.000000,62.820000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,5.17,586.69

41,10:00-10:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,5.68,761.15

42,10:15-10:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,6.04,761.51

43,10:30-10:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,6.43,761.9

44,10:45-11:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,66.870000,0.000000,0.000000,0.000000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,6.96,762.43

45,11:00-11:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7.39,762.86

46,11:15-11:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7.78,763.25

