Column1,Block,NR/2025/30830/C,NR/2025/29167/A/86149,NR/2025/30832/C,NR/2025/29439/A/86007,NR/2025/29440/A/85890,NR/2025/30854/C,NR/2025/30833/C,NR/2025/30101/A/86419,NR/2025/30819/C,NR/2025/30791/C,NR/2025/27970/A/86331,NR/2025/27968/A/86330,NR/2025/30880/C,NR/2025/30889/C,NR/2025/30778/C,NR/2025/29915/A/86148,NR/2025/30882/C,NR/2025/30891/C,NR/2025/30882/C/Alternate/1,NR/2025/27962/A/86332,NR/2025/30067/A/86340,NR/2025/30847/C,NR/2025/30492/A/86009,NR/2025/30892/C,NR/2025/27964/A/86334,NR/2025/30191/A/85907,NR/2025/30851/C,NR/2025/30893/C,NR/2025/27963/A/86333,NR/2025/29353/A/86107,NR/2025/30883/C,NR/2025/30894/C,NR/2025/28725/A/86323,NR/2025/30881/C,NR/2025/30334/A/85906,NR/2025/30121/A/85909,NR/2025/30897/C,NR/2025/29985/A/86274,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/2236,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/2025/29986/A/86276,GNA/NR/2025/07/01/8230,NR/2025/30105/A/86359,NR/2025/30082/A/86348,NR/2025/29992/A/85999,NR/2025/30083/A/86362,NR/2025/27978/A/86420,NR/2025/29628/A/86375,NR/2025/29352/A/86109,NR/2025/26975/A/86380,NR/2025/30086/A/86360,NR/2025/30084/A/86361,NR/2025/30217/A/86356,NR/2025/29910/A/86369,Total
11,02:30-02:45,0,54.14,0,0,0.67,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,49.09,15.26,19.25,20.76,134.99,26.94,17.78,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2328.479999999999

12,02:45-03:00,0,54.14,0,0,0.67,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,49.09,15.26,19.25,20.76,134.99,26.94,17.78,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2328.479999999999

13,03:00-03:15,0,54.14,0,0,0.63,0,0,30.74,0,0,0,144.38,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.59,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,2004.2399999999998

14,03:15-03:30,0,54.14,0,0,0.63,0,0,30.74,0,0,0,144.38,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.59,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,2004.2399999999998

15,03:30-03:45,0,54.14,0,0,0.63,0,0,30.74,0,0,0,144.38,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.59,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,2004.2399999999998

16,03:45-04:00,0,54.14,0,0,0.63,0,0,30.74,0,0,0,144.38,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.59,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,2004.2399999999998

17,04:00-04:15,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.32,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,1661.0699999999997

18,04:15-04:30,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.32,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,1661.0699999999997

19,04:30-04:45,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.32,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,1661.0699999999997

20,04:45-05:00,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.32,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,19.25,1661.0699999999997

21,05:00-05:15,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.13,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1523.4699999999996

22,05:15-05:30,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,5.12,0,158.75,0,0,0,12.51,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.13,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1523.4699999999996

23,05:30-05:45,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,96.52,0,67.35,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.13,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1521.55

24,05:45-06:00,0,0,0,0,0.63,0,0,30.74,0,0,0,0,0,0,0,0,114.65,0,49.21,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,1,0.09,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,17.13,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1522.6299999999999

25,06:00-06:15,0,0,0,0,0.82,0,0,30.74,0,0,0,0,0,0,0,0,48.06,0,115.81,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,3,0.66,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.95,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1525.22

26,06:15-06:30,0,0,0,0,0.82,0,0,30.74,0,0,0,0,0,0,0,0,92.31,0,71.55,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0,7,1.42,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.95,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1529.97

27,06:30-06:45,0,0,0,0,0.82,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0.35,11,5.39,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.95,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1538.3

28,06:45-07:00,0,0,0,0,0.82,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0.57,16,8.96,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.95,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1547.09

29,07:00-07:15,0,0,0,0,0.87,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,0.82,21,13.47,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.85,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1556.8

30,07:15-07:30,0,0,0,0,0.87,0,0,30.74,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,10.59,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,1.23,28,18.06,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.85,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1568.8

31,07:30-07:45,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,1.6,42,22.97,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.85,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1556.3699999999997

32,07:45-08:00,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,0,6.74,2.18,49,28.13,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.85,43.75,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1569.11

33,08:00-08:15,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,3.44,6.74,2.56,60,32.99,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.77,26.25,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1571.3

34,08:15-08:30,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,4.03,6.74,3.53,70,38.16,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.77,26.25,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1588.03

35,08:30-08:45,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,3.91,6.74,0.97,84,43.87,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.77,26.25,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1605.0600000000002

36,08:45-09:00,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,163.87,0,0,0,0,0,9.62,0,0,48.12,0,0,0,81.81,27.91,0,143.17,0,4.5,6.74,0.97,98,49.7,81.81,26.94,0,15.26,19.25,20.76,134.99,26.94,16.77,26.25,0,224.98,16.04,48.12,44.28,8.02,96.25,76.63,28.63,5.78,24.06,24.06,7.7,16.59,1625.4799999999998

37,09:00-09:15,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.05,0,0.97,98,55.08,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.67,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1625.5800000000002

38,09:15-09:30,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.52,0,1.02,109,60.66,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.67,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1642.68

39,09:30-09:45,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.88,0,1.1,123,69.84,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.67,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1666.3000000000002

40,09:45-10:00,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,6.42,0,1.16,130,74.03,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.67,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1678.0900000000001

41,10:00-10:15,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,6.71,0,1.26,133,78.65,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.58,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1686.01

42,10:15-10:30,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,7.05,0,1.29,140,82.76,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.58,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1697.49

43,10:30-10:45,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.26,0,1.34,133,85.8,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.58,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1691.79

44,10:45-11:00,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.25,0,1.45,140,88.02,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.58,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1701.1100000000001

45,11:00-11:15,143.17,0,0,0,0,16.59,0,0,48.12,44.28,0,0,96.25,8.02,48.12,0,163.87,24.06,0,0,0,0.96,10.59,16.04,0,0,76.63,7.7,0,81.81,27.91,24.06,0,0,5.25,0,1.45,172,90.25,81.81,26.96,0,15.26,19.25,20.76,134.99,26.96,16.49,26.25,0,224.98,0,0,0,0,0,0,28.63,5.78,0,0,0,0,1735.2500000000002

