Column1,Block,NR/2024/23171/C,NR/2024/23017/A/37780,NR/2024/23174/C,NR/2024/22820/A/37737,NR/2024/23168/C,NR/2024/23118/A/38012,NR/2024/22803/A/38023,NR/2024/22754/A/38000,NR/2024/22848/A/38008,NR/2024/21658/A/37761,NR/2024/23169/C,NR/2024/22874/A/38020,NR/2024/23115/A/37771,NR/2024/23119/A/38014,NR/2024/23038/A/37728,NR/2024/22835/A/38049,NR/2024/23122/A/38013,NR/2024/23121/A/38015,NR/2024/23116/A/37776,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/16/2535,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7119,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,Total
21,05:00-05:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.91,20.6,145.38,0,2.13,8.81,17.52,0,0,975.2099999999998

22,05:15-05:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.91,20.6,145.38,0,2.13,8.81,17.52,0,0,975.2099999999998

23,05:30-05:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.91,20.6,145.38,0,2.13,8.81,17.52,0,0,975.2099999999998

24,05:45-06:00,0,7.75,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.91,20.6,145.38,0,2.13,8.81,17.52,0,0,974.2399999999998

25,06:00-06:15,0,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.73,20.6,0,0,2.13,8.81,17.52,0,0,780.3199999999998

26,06:15-06:30,0,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.73,20.6,0,0,2.13,8.81,17.52,0,0,780.3199999999998

27,06:30-06:45,0,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.73,20.6,0,0,2.13,8.81,17.52,0,0,780.3199999999998

28,06:45-07:00,0.36,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.73,20.6,0,0,2.13,8.81,17.52,0,0,780.6799999999998

29,07:00-07:15,0.72,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.54,20.6,0,0,2.13,8.81,17.52,0,0,780.8499999999998

30,07:15-07:30,1.11,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.54,20.6,0,0,2.13,8.81,17.52,0,0,781.2399999999998

31,07:30-07:45,1.68,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.54,20.6,0,0,2.13,8.81,17.52,0,0,781.8099999999998

32,07:45-08:00,2.16,7.75,163.36,4.85,0,8.81,96.92,0,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.54,20.6,0,0,2.13,8.81,17.52,0,0,782.2899999999998

33,08:00-08:15,2.86,8.72,163.36,4.85,0,8.81,96.92,0,84.49,0.97,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.36,20.6,0,0,2.13,8.81,17.52,0,0,784.0699999999999

34,08:15-08:30,3.67,8.72,163.36,4.85,0,8.81,96.92,0,84.49,0.97,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.36,20.6,0,0,2.13,8.81,17.52,0,0,784.8799999999999

35,08:30-08:45,4.08,8.72,163.36,4.85,0,8.81,96.92,0,84.49,0.97,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.36,20.6,0,0,2.13,8.81,17.52,0,0,785.2899999999998

36,08:45-09:00,4.59,9.69,163.36,4.85,0,8.81,96.92,0,84.49,0.97,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,10.36,20.6,0,0,2.13,8.81,17.52,0,0,786.7699999999999

37,09:00-09:15,5.16,9.69,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,48.46,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.27,20.6,0,0,2.13,12.48,24.82,0,0,888.2200000000001

38,09:15-09:30,5.62,11.63,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,48.46,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.27,20.6,0,0,2.13,12.48,24.82,0,0,890.6200000000002

39,09:30-09:45,6.02,11.63,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,48.46,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.27,20.6,0,0,2.13,12.48,24.82,0,0,891.0200000000001

40,09:45-10:00,5.75,11.63,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,48.46,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.27,20.6,0,0,2.13,12.48,24.82,0,0,890.7500000000001

41,10:00-10:15,6.44,11.63,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.6200000000001

42,10:15-10:30,5.68,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.8300000000002

43,10:30-10:45,7.96,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,846.1100000000001

44,10:45-11:00,9.2,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.3500000000001

45,11:00-11:15,8.27,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,846.4200000000001

46,11:15-11:30,9.11,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.26

47,11:30-11:45,9.21,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.3600000000001

48,11:45-12:00,9.23,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.3800000000001

49,12:00-12:15,7.47,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,845.6200000000001

50,12:15-12:30,9.22,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.3700000000001

51,12:30-12:45,8.55,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,846.7

52,12:45-13:00,8.97,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,847.1200000000001

53,13:00-13:15,5.57,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.72

54,13:15-13:30,5.01,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.1600000000001

55,13:30-13:45,5.46,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.6100000000001

56,13:45-14:00,4.87,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.02

57,14:00-14:15,4.72,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,842.8700000000001

58,14:15-14:30,4.86,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.01

59,14:30-14:45,5.14,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,843.2900000000002

60,14:45-15:00,3.64,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,841.7900000000002

61,15:00-15:15,4.48,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,842.6300000000001

62,15:15-15:30,4.26,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,0,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,842.4100000000001

63,15:30-15:45,3.87,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,871.5900000000001

64,15:45-16:00,3.11,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.97,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,870.8300000000002

65,16:00-16:15,2.4,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.87,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,870.0200000000002

66,16:15-16:30,2.83,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.87,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,870.45

67,16:30-16:45,3.69,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.87,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,871.3100000000002

68,16:45-17:00,1.67,12.6,163.36,4.85,0,12.48,96.92,0,84.49,0.87,30.05,29.57,42.64,37.44,3.88,91.1,37.44,37.44,10.66,82.38,18.51,10.91,20.6,0,0,2.13,12.48,24.82,0,0,869.2900000000002

69,17:00-17:15,0.95,12.6,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,854.9200000000002

70,17:15-17:30,1,12.6,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,854.9700000000001

71,17:30-17:45,0.59,12.6,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,854.5600000000003

72,17:45-18:00,0.43,12.6,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,854.4000000000002

73,18:00-18:15,0.27,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,853.2700000000003

74,18:15-18:30,0.08,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,853.0800000000003

75,18:30-18:45,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,853.0000000000001

76,18:45-19:00,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.84,20.6,0,0,2.13,12.48,24.82,0,0,853.0000000000001

77,19:00-19:15,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.75,20.6,0,0,2.13,12.48,24.82,0,0,852.9100000000001

78,19:15-19:30,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.75,20.6,0,0,2.13,12.48,24.82,0,0,852.9100000000001

79,19:30-19:45,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.75,20.6,0,0,2.13,12.48,24.82,0,0,852.9100000000001

80,19:45-20:00,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.82,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.75,20.6,0,0,2.13,12.48,24.82,0,0,852.9100000000001

81,20:00-20:15,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.78,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.66,20.6,0,0,2.13,12.48,24.82,0,0,852.7800000000001

82,20:15-20:30,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.78,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.66,20.6,0,0,2.13,12.48,24.82,0,0,852.7800000000001

83,20:30-20:45,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.78,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.66,20.6,0,0,2.13,12.48,24.82,0,0,852.7800000000001

84,20:45-21:00,0,11.63,163.36,4.85,38.77,12.48,96.92,0,84.49,0.78,30.05,29.57,0,37.44,3.88,91.1,37.44,37.44,0,82.38,18.51,11.66,20.6,0,0,2.13,12.48,24.82,0,0,852.7800000000001

85,21:00-21:15,0,11.63,163.36,4.85,38.77,8.81,96.92,0,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.56,20.6,0,0,2.13,8.81,17.52,0,0,805.0099999999998

86,21:15-21:30,0,11.63,163.36,4.85,38.77,8.81,96.92,0,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.56,20.6,0,0,2.13,8.81,17.52,0,0,805.0099999999998

87,21:30-21:45,0,11.63,163.36,4.85,38.77,8.81,96.92,0,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.56,20.6,0,0,2.13,8.81,17.52,0,0,805.0099999999998

88,21:45-22:00,0,11.63,163.36,4.85,38.77,8.81,96.92,0,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.56,20.6,0,0,2.13,8.81,17.52,0,0,805.0099999999998

89,22:00-22:15,0,10.66,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,0,997.7999999999998

90,22:15-22:30,0,10.66,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,0,997.7999999999998

91,22:30-22:45,0,9.69,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,0,996.8299999999998

92,22:45-23:00,0,9.69,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,0,996.8299999999998

93,23:00-23:15,0,9.69,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,94.4,26.43,26.43,0,82.38,18.51,11.38,20.6,145.38,0,2.13,8.81,17.52,0,0,1000.0299999999997

94,23:15-23:30,0,9.69,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,94.4,26.43,26.43,0,82.38,18.51,11.38,20.6,145.38,0,2.13,8.81,17.52,0,0,1000.0299999999997

95,23:30-23:45,0,9.69,163.36,4.85,38.77,8.81,96.92,48.46,84.49,0.78,30.05,29.57,0,26.43,3.88,94.4,26.43,26.43,0,82.38,18.51,11.38,20.6,145.38,0,2.13,8.81,17.52,0,0,1000.0299999999997

