Time,Block,NR/2023/13431/C,NR/2023/11712/A,NR/2023/13423/C,NR/2023/13416/D,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10561/A,NR/2023/10959/A,NR/2023/13151/F,NR/2023/13417/D,NR/2023/12917/F,NR/2023/12915/F,NR/2023/12924/F,NR/2023/10720/A,NR/2023/12169/A,NR/2023/13448/C,NR/2023/13444/C,NR/2023/12706/A,NR/2023/10460/A,NR/2023/13411/D,NR/2023/13447/C,NR/2023/11953/A,NR/2023/13427/C,NR/2023/12919/F,NR/2023/10947/A,NR/2023/11266/A,NR/2023/11447/A,NR/2023/12872/F,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13429/C,NR/2023/13415/D,NR/2023/13442/C,SR/2023/6114/C,NR/2023/12813/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/12956/F,NR/2023/12922/F,NR/2023/13443/C,NR/2023/10435/A,NR/2023/13412/D,NR/2023/11709/A,NR/2023/12814/F,Total

3,00:30-00:45,191.510000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,33.650000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,17.200000,12.710000,0.480000,38.690000,63.110000,15.330000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1490.96

4,00:45-01:00,131.540000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,33.650000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,17.200000,12.710000,0.480000,38.690000,63.110000,15.330000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1430.99

5,01:00-01:15,85.110000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,23.330000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,27.520000,12.710000,0.530000,38.690000,63.110000,15.230000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1384.51

6,01:15-01:30,42.560000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,23.330000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,27.520000,12.710000,0.530000,38.690000,63.110000,15.230000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1341.96

7,01:30-01:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,23.330000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,27.520000,12.710000,0.530000,38.690000,63.110000,15.230000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.4

8,01:45-02:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,23.330000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,27.520000,12.710000,0.530000,38.690000,63.110000,15.230000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.4

9,02:00-02:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,15.150000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.27

10,02:15-02:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,15.150000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.27

11,02:30-02:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,15.150000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.27

12,02:45-03:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,15.150000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1299.27

13,03:00-03:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,100.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1339.49

14,03:15-03:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,84.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1323.49

15,03:30-03:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,21.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1260.49

16,03:45-04:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,13.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1252.49

17,04:00-04:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,22.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1261.49

18,04:15-04:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,22.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1261.49

19,04:30-04:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,22.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1261.49

20,04:45-05:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.440000,38.690000,63.110000,15.050000,0,0.000000,22.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1261.49

21,05:00-05:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,14.960000,0,0.000000,100.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1240.79

22,05:15-05:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,14.960000,0,0.000000,100.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1240.79

23,05:30-05:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,14.960000,0,0.000000,100.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1240.79

24,05:45-06:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,0.000000,0.000000,0.820000,23.210000,37.840000,12.710000,0.480000,38.690000,63.110000,14.960000,0,0.000000,100.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,0.000000,85.600000,1240.79

25,06:00-06:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0.3,0.000000,6.770000,23.210000,0,0.7,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.530000,38.690000,63.110000,14.870000,0.3,0.000000,40.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,29.560000,24.180000,0.7,0.000000,85.600000,1104.37

26,06:15-06:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0.3,0.000000,6.770000,23.210000,0,0.7,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.530000,38.690000,63.110000,14.870000,0.6,0.000000,40.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,29.560000,24.180000,1.4,0.000000,85.600000,1105.37

27,06:30-06:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0.3,0.000000,6.770000,23.210000,0,0.7,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.530000,38.690000,63.110000,14.870000,0.9,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,29.560000,24.180000,2.1,0.000000,85.600000,1066.37

28,06:45-07:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,1.5,0.000000,6.770000,23.210000,0.19,3.5,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.530000,38.690000,63.110000,14.870000,6,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,29.560000,24.180000,14,0.000000,85.600000,1087.56

29,07:00-07:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,2.1,0.000000,6.770000,23.210000,0.39,4.9,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.680000,38.690000,63.110000,14.870000,8.4,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,19.6,0.000000,85.600000,1129.72

30,07:15-07:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,3,0.000000,6.770000,23.210000,0.61,7,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.680000,38.690000,63.110000,14.870000,12,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,28,0.000000,85.600000,1144.94

31,07:30-07:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,3.9,0.000000,6.770000,23.210000,1.13,9.1,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.680000,38.690000,63.110000,14.870000,16.5,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,38.5,0.000000,85.600000,1163.46

32,07:45:08:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,5.4,0.000000,6.770000,23.210000,2.32,12.6,0.000000,0.000000,0.820000,0.000000,37.840000,12.710000,0.680000,38.690000,63.110000,14.870000,21,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,49,0.000000,85.600000,1184.65

33,08:00-08:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,6,0.000000,6.770000,23.210000,2.8,14,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.870000,24,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,56,0.000000,85.600000,1197.67

34,08:15-08:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,6.6,0.000000,6.770000,23.210000,3.58,15.4,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.870000,27,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,63,0.000000,85.600000,1210.45

35,08:30-08:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,7.5,0.000000,6.770000,23.210000,3.77,17.5,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.870000,30,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,70,0.000000,85.600000,1223.64

36,08:45:09:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,9,0.000000,6.770000,23.210000,4.26,21,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.870000,36,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,84,0.000000,85.600000,1249.13

37,09:00:09:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,9.6,0.000000,6.770000,23.210000,4.26,22.4,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.770000,39,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,91,0.000000,85.600000,1285.21

38,09:15-09:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,10.2,0.000000,6.770000,23.210000,5.13,23.8,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.770000,42,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,27.520000,24.180000,98,0.000000,85.600000,1298.08

39,09:30-09:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,13.010000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,11.1,0.000000,6.770000,23.210000,5.03,25.9,0.000000,0.000000,0.970000,0.000000,37.840000,12.710000,0.970000,38.690000,63.110000,14.770000,45.6,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,106.4,0.000000,85.600000,1313.99

40,09:45-10:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,25.040000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,11.7,0.000000,6.770000,23.210000,5.13,27.3,0.000000,0.000000,0.970000,0.000000,25.800000,12.710000,0.970000,38.690000,63.110000,14.770000,48.3,0.000000,0.00,62.870000,0.000000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,112.7,0.000000,85.600000,1325.08

41,10:00-10:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,12.3,0.000000,6.770000,23.210000,5.13,28.7,0.000000,0.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.680000,51,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,119,0.000000,85.600000,1426.92

42,10:15-10:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,13.2,0.000000,6.770000,23.210000,5.13,30.8,0.000000,0.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.680000,54.9,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,128.1,0.000000,85.600000,1442.92

43,10:30-10:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,13.5,0.000000,6.770000,23.210000,5.13,31.5,0.000000,0.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.680000,56.1,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,130.9,0.000000,85.600000,1447.92

