Time,Block,NR/2024/18919/A/16556,NR/2024/19483/A/16678,NR/2024/19290/A/16714,NR/2024/19596/C,NR/2024/18986/A/15951,NR/2024/18936/A/16005,NR/2024/19075/A/15988,NR/2024/19469/A/16066,NR/2024/19601/C,NR/2024/19245/A/16068,NR/2024/19577/C,NR/2024/19115/A/15986,NR/2024/19024/A/16069,NR/2024/19121/A/16092,NR/2024/19485/A/16680,NR/2024/19604/C,NR/2024/19582/C,NR/2024/19337/A/16067,NR/2024/19607/C,NR/2024/18935/A/16004,NR/2024/19594/C,NR/2024/18977/A/16062,NR/2024/19606/C,NR/2024/19598/C,NR/2024/19484/A/16679,NR/2024/18976/A/16021,NR/2024/19610/C,NR/2024/18978/A/16023,NR/2024/18934/A/16001,NR/2024/19030/A/16003,NR/2024/19043/A/15996,NR/2024/19143/A/15984,NR/2024/19602/C,NR/2024/18855/A/16093,NR/2024/18996/A/16578,NR/2024/19172/A/16715,NR/2024/19581/C,Total

3,00:30-00:45,9.650000,12.430000,67.570000,289.590000,0.530000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,61.780000,38.610000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1369.13

4,00:45-01:00,9.650000,12.430000,67.570000,289.590000,0.530000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,59.850000,38.610000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1367.2

5,01:00-01:15,9.650000,12.430000,67.570000,289.590000,0.480000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,0.000000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1268.69

6,01:15-01:30,9.650000,12.430000,67.570000,289.590000,0.480000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,0.000000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1268.69

7,01:30-01:45,9.650000,12.430000,67.570000,289.590000,0.480000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,0.000000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1268.69

8,01:45-02:00,9.650000,12.430000,67.570000,289.590000,0.480000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,0.000000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1268.69

9,02:00-02:15,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

10,02:15-02:30,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

11,02:30-02:45,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

12,02:45-03:00,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

13,03:00-03:15,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

14,03:15-03:30,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

15,03:30-03:45,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

16,03:45-04:00,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

17,04:00-04:15,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

18,04:15-04:30,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

19,04:30-04:45,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

20,04:45-05:00,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,505.14

21,05:00-05:15,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,503.14

22,05:15-05:30,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,503.14

23,05:30-05:45,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,503.14

24,05:45-06:00,9.650000,12.430000,67.570000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,503.14

25,06:00-06:15,0.000000,12.430000,67.570000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,493.54

26,06:15-06:30,0.000000,12.430000,67.570000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0,493.54

27,06:30-06:45,0.000000,12.430000,67.570000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.14,493.68

28,06:45-07:00,0.000000,12.430000,67.570000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.71,494.25

29,07:00-07:15,0.000000,12.430000,67.570000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,1.23,494.87

30,07:15-07:30,0.000000,12.430000,67.570000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,1.64,495.28

31,07:30-07:45,0.000000,12.430000,67.570000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,2.27,495.91

32,07:45:08:00,0.000000,12.430000,67.570000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,2.86,496.5

33,08:00-08:15,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,3.4,497.38

34,08:15-08:30,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,3.91,497.89

35,08:30-08:45,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,4.51,498.49

36,08:45:09:00,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,5.05,499.03

37,09:00:09:15,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,5.55,499.53

38,09:15-09:30,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,6.03,500.01

39,09:30-09:45,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,6.51,500.49

40,09:45-10:00,0.000000,12.430000,67.570000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.790000,37.290000,96.530000,52.510000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,6.93,500.91

41,10:00-10:15,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,66.790000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.000000,48.260000,115.840000,7.3,715.76

42,10:15-10:30,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,66.790000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.000000,48.260000,115.840000,7.69,716.15

43,10:30-10:45,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,66.790000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.000000,48.260000,115.840000,7.92,716.38

44,10:45-11:00,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,66.790000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.000000,48.260000,115.840000,7.98,716.44

45,11:00-11:15,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,8.04,716.5

46,11:15-11:30,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,8.84,717.3

47,11:30-11:45,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.54,715

48,11:45-12:00,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,0.000000,3.860000,0.000000,0.000000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,7.68,716.14

49,12:00-12:15,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,7.07,788.9

50,12:15-12:30,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,7.27,789.1

51,12:30-12:45,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,4.83,786.66

52,12:45-13:00,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.85,788.68

53,13:00-13:15,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,8.99,790.82

54,13:15-13:30,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,7.86,789.69

55,13:30-13:45,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.02,787.85

56,13:45-14:00,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.15,787.98

57,14:00-14:15,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,4.25,786.08

58,14:15-14:30,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,5.87,787.7

