Column1,Block,NR/2025/29628/A/91580,NR/2025/29353/A/91659,NR/2025/29915/A/91162,NR/2025/29352/A/91660,NR/2025/30086/A/91573,NR/2025/30084/A/91574,NR/2025/31870/A/91256,NR/2025/29910/A/91578,NR/2025/30067/A/91646,NR/2025/32127/C,NR/2025/32173/C,NR/2025/29440/A/91114,NR/2025/31780/A/91303,NR/2025/29992/A/91260,NR/2025/30082/A/91695,NR/2025/30083/A/91575,NR/2025/28728/A/91628,GNARE/NR/2024/12/20/3668,NR/2025/30105/A/91572,NR/2025/32240/C,NR/2025/32255/C,NR/2025/32126/C,NR/2025/32242/C,NR/2025/30101/A/91687,NR/2025/27966/A/91616,NR/2025/27978/A/91691,NR/2025/32197/C,NR/2025/32194/C,NR/2025/30217/A/91571,NR/2025/32238/C,NR/2025/32240/C/Alternate/1,NR/2025/29167/A/91163,NR/2025/29439/A/91278,NR/2025/32245/C,NR/2025/32229/C,NR/2025/32185/C,NR/2025/32212/C,NR/2025/27975/A/91618,NR/2025/32243/C,NR/2025/32252/C,NR/2025/32253/C,NR/2025/27973/A/91617,NR/2025/30121/A/91142,NR/2025/32256/C,NR/2025/27965/A/91615,NR/2025/32257/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,NR/2025/32335/C,GNA/NR/2025/07/01/8139,NR/2025/30191/A/91144,NR/2025/31136/A/91638,NR/2025/31136/A/91639,NR/2025/31138/A/91643,NR/2025/32249/C,NR/2025/31419/A/91346,NR/2025/29985/A/91304,NR/2025/31137/A/91640,NR/2025/31347/A/91145,NR/2025/31137/A/91641,NR/2025/31420/A/91345,NR/2025/31138/A/91642,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,GNA/NR/2025/07/25/1179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,Total
3,00:30-00:45,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.91,96.11,44.21,48.06,8.74,81.69,0,0.24,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,32,134.79,81.69,49.02,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,32,0,18.21,43.68,19.22,2020.65

4,00:45-01:00,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.91,96.11,44.21,48.06,8.74,81.69,0,0.24,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,32,134.79,81.69,49.02,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,32,0,18.21,43.68,19.22,2020.65

5,01:00-01:15,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.77,96.11,44.21,48.06,8.74,81.69,0,8.02,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,15,134.79,81.69,49.02,0,0,22.04,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,15,0,18.03,43.68,19.22,2015.4799999999998

6,01:15-01:30,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.77,96.11,44.21,48.06,8.74,81.69,0,7.92,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,15,134.79,81.69,49.02,0,0,21.78,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,15,0,18.03,43.68,19.22,2015.1199999999997

7,01:30-01:45,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.77,96.11,44.21,48.06,8.74,81.69,0,7.78,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,20.7,134.79,81.69,49.02,0,0,21.37,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,20.7,0,18.03,43.68,19.22,2025.9699999999998

8,01:45-02:00,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.77,96.11,44.21,48.06,8.74,81.69,0,7.62,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,20.7,134.79,81.69,49.02,0,0,20.95,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,20.7,0,18.03,43.68,19.22,2025.3899999999999

9,02:00-02:15,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.67,0,44.21,48.06,8.74,81.69,0,3.02,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,49.02,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.93,43.68,19.22,1898.7600000000002

10,02:15-02:30,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.67,0,44.21,48.06,8.74,81.69,0,2.8,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,49.02,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.93,43.68,19.22,1897.9300000000003

11,02:30-02:45,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.67,0,44.21,48.06,8.74,81.69,0,2.69,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,49.02,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.93,43.68,19.22,1897.5400000000004

12,02:45-03:00,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.67,0,44.21,48.06,8.74,81.69,0,2.59,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,49.02,0,0,7.13,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.93,43.68,19.22,1897.1600000000003

13,03:00-03:15,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.85,43.68,19.22,1649.97

14,03:15-03:30,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.85,43.68,19.22,1649.97

15,03:30-03:45,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.85,43.68,19.22,1649.97

16,03:45-04:00,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,54.06,0,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.85,43.68,19.22,1649.97

17,04:00-04:15,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.75,43.68,19.22,1403.5900000000004

18,04:15-04:30,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.75,43.68,19.22,1403.5900000000004

19,04:30-04:45,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.75,43.68,19.22,1403.5900000000004

20,04:45-05:00,76.52,81.69,0,28.59,26.21,26.21,12.49,19.22,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.75,43.68,19.22,1403.5900000000004

21,05:00-05:15,76.52,81.69,0,28.59,26.21,26.21,12.49,16.57,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.67,43.68,19.22,1400.8600000000004

22,05:15-05:30,76.52,81.69,0,28.59,26.21,26.21,12.49,16.57,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.67,43.68,19.22,1400.8600000000004

23,05:30-05:45,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.67,43.68,19.22,1399.9000000000003

24,05:45-06:00,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.62,0,44.21,48.06,8.74,81.69,0.23,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0,0,0,0,0,1,0,0,0,0,0,20.73,163.39,15.23,26.7,0,17.67,43.68,19.22,1401.1300000000003

25,06:00-06:15,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.82,0,44.21,48.06,8.74,81.69,0.6,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.05,0,0,0,0,3,0.02,0,0,0,0.02,20.73,163.39,15.23,26.7,0,17.57,43.68,19.22,1403.69

26,06:15-06:30,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.82,0,44.21,48.06,8.74,81.69,2.77,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.11,0,0,0,0,7,0.03,0,0,0,0.03,20.73,163.39,15.23,26.7,0,17.57,43.68,19.22,1409.94

27,06:30-06:45,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.82,0,44.21,48.06,8.74,81.69,4.14,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.34,0,0,0.84,0,11,0.16,0,0,0,0.09,20.73,163.39,15.23,26.7,0,17.57,43.68,19.22,1416.5699999999997

28,06:45-07:00,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.82,0,44.21,48.06,8.74,81.69,7.03,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.02,0.01,1.37,0,14,0.19,0,0.01,0,0.1,20.73,163.39,15.23,26.7,0,17.57,43.68,19.22,1423.1100000000001

29,07:00-07:15,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.86,0,44.21,48.06,8.74,81.69,10.86,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.12,0.08,1.97,0,21,0.19,0,0.08,0,0.1,20.73,163.39,15.23,26.7,0,17.47,43.68,19.22,1434.7200000000003

30,07:15-07:30,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.86,0,44.21,48.06,8.74,81.69,15.74,17.47,192.22,0,0,0,31.18,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.22,0.14,2.97,0,28,0.19,0,0.14,0,0.19,20.73,163.39,15.23,26.7,0,17.47,43.68,19.22,1447.9100000000008

31,07:30-07:45,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.86,0,44.21,48.06,8.74,81.69,21.06,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.37,0.24,3.85,0,42,0.19,0,0.28,0,0.19,20.73,163.39,15.23,26.7,0,17.47,43.68,19.22,1437.3200000000002

32,07:45-08:00,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.86,0,44.21,48.06,8.74,81.69,26.62,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.55,0.33,5.25,0,49,0.29,0,0.38,0,0.19,20.73,163.39,15.23,26.7,0,17.47,43.68,19.22,1451.7500000000005

33,08:00-08:15,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.96,0,44.21,48.06,8.74,81.69,28.63,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.7,0.42,6.18,0,63,0.29,9.61,0.49,1.63,0.19,20.73,163.39,15.23,26.7,0,17.39,43.68,19.22,1480.3000000000006

34,08:15-08:30,76.52,81.69,0,28.59,26.21,26.21,11.53,16.57,0,0,0,0.96,0,44.21,48.06,8.74,81.69,33.71,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.86,0.52,8.52,0,77,0.29,9.61,0.69,1.63,0.19,20.73,163.39,15.23,26.7,0,17.39,43.68,19.22,1502.1800000000003

35,08:30-08:45,76.52,81.69,0,28.59,26.21,26.21,13.46,16.57,0,0,0,0.96,0,44.21,48.06,8.74,81.69,39.09,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.38,0.96,0.58,5.87,0,91,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.7,0,17.39,43.68,19.22,1521.0800000000004

36,08:45-09:00,76.52,81.69,0,28.59,26.21,26.21,13.46,16.57,0,0,0,0.96,0,44.21,48.06,8.74,81.69,44.62,17.47,192.22,0,0,0,0,0,96.11,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,26.7,134.79,81.69,0,0,0,48.06,0.48,0.96,0.67,5.87,0,105,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.7,0,17.39,43.68,19.22,1540.8000000000002

37,09:00-09:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,49.8,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,5.87,0,119,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1605.8500000000004

38,09:15-09:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,54.99,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,6.85,0,130,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1623.0200000000004

39,09:30-09:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,60,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,6.85,0,140,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1638.0300000000002

