Time,Block,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/26921,NR/2024/21243/A/26654,NR/2024/21159/A/26689,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21023/A/26662,NR/2024/21113/A/26920,NR/2024/21099/A/26624,NR/2024/21510/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/2024/21312/A/26469,NR/2024/20930/A/26842,NR/2024/21148/A/26682,NR/2024/21087/A/26658,NR/2024/20877/A/26932,NR/2024/21160/A/26684,NR/2024/21490/C,NR/2024/21515/C,NR/2024/21339/A/26618,NR/2024/21511/C,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21146/A/26683,NR/2024/21152/A/26651,NR/2024/21141/A/26623,NR/2024/21108/A/26889,NR/2024/21489/C,NR/2024/21492/C,NR/30092023/26122029/SH-06,NR/2024/21227/A/26891,NR/2024/21076/A/26948,NR/2024/21104/A/26890,NR/2024/21103/A/26892,NR/2024/21486/C,NR/2024/21062/A/26874,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21516/C,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21158/A/26685,NR/2024/21186/A/26931,NR/2024/20573/A/26859,NR/2024/21183/A/26944,NR/2024/20711/A/26969,NR/2024/21488/C,NR/2024/20966/A/26652,NR/2024/21150/A/26681,NR/2024/19779/A/26765,NR/2024/21199/A/26661,NR/2024/20574/A/26861,NR/2024/21494/C,NR/2024/21075/A/26947,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26700,NR/2024/21156/A/26679,NR/2024/21142/A/26622,NR/2024/21238/A/26946,NR/2024/20688/A/26659,NR/2024/21514/C,NR/2024/21153/A/26680,NR/2024/21096/A/26895,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/13072024/13072024/IEX-240712-01506_GNA,NR/01072024/31072024/R2,NR/2024/21173/A/26657,NR/2024/21072/A/26922,NR/2024/21210/A/26620,Total

3,00:30-00:45,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,19.560000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.590000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.630000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2671.88

4,00:45-01:00,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,19.560000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.500000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.630000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2671.79

5,01:00-01:15,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,19.560000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.500000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2671.74

6,01:15-01:30,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,19.560000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.300000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2671.54

7,01:30-01:45,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,25.860000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.210000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2677.75

8,01:45-02:00,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,25.860000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.780000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2678.32

9,02:00-02:15,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.330000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2158.66

10,02:15-02:30,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.330000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2158.66

11,02:30-02:45,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2154.15

12,02:45-03:00,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.580000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2154.15

13,03:00-03:15,12.500000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.52

14,03:15-03:30,12.500000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.52

15,03:30-03:45,12.500000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.52

16,03:45-04:00,12.500000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.52

17,04:00-04:15,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.34

18,04:15-04:30,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.34

19,04:30-04:45,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.34

20,04:45-05:00,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,67.430000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2073.34

21,05:00-05:15,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2029.99

22,05:15-05:30,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2029.99

23,05:30-05:45,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2029.99

24,05:45-06:00,12.320000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.530000,0.000000,18.060000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2029.99

25,06:00-06:15,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.670000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1957.79

