Time,Block,NR/2023/11640/A,NR/2023/11961/F,NR/2023/12725/C,ER/2023/7743/C,NR/2023/12731/C,NR/2023/10223/A,NR/2023/10344/A,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11476/A,NR/2023/12717/D,NR/2023/12747/C,NR/2023/12749/C,NR/2023/12679/D,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11342/A,NR/2023/12735/C,NR/2023/11284/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12728/C,NR/2023/10611/A,NR/2023/10173/A,NR/2023/11643/A,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12716/D,NR/2023/12742/C,NR/2023/11941/F,NR/2023/11947/F,NR/2023/12722/D,NR/2023/10236/A,NR/2023/12718/D,NR/2023/11958/F,NR/2023/12755/C,NR/2023/10434/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11962/F,NR/2023/12756/C,NR/2023/11952/F,NR/2023/10229/A,NR/2023/12721/D,Total

3,00:30-00:45,23.150000,1.020000,13.660000,0.000000,170.160000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,62.840000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1300.07

4,00:45-01:00,23.150000,1.020000,13.660000,0.000000,120.850000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,62.840000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1250.76

5,01:00-01:15,23.150000,1.020000,13.660000,0.000000,141.150000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1208.22

6,01:15-01:30,23.150000,1.020000,13.660000,0.000000,103.450000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1170.52

7,01:30-01:45,23.150000,1.020000,13.660000,0.000000,67.680000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1134.75

8,01:45-02:00,23.150000,1.020000,13.660000,0.000000,30.940000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1098.01

9,02:00-02:15,23.150000,1.020000,13.560000,0.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1066.97

10,02:15-02:30,23.150000,1.020000,13.560000,0.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1066.97

11,02:30-02:45,23.150000,1.020000,13.560000,0.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1066.97

12,02:45-03:00,23.150000,1.020000,13.560000,0.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1066.97

13,03:00-03:15,0.000000,1.020000,13.480000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.24

14,03:15-03:30,0.000000,1.020000,13.480000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.24

15,03:30-03:45,0.000000,1.020000,13.480000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.24

16,03:45-04:00,0.000000,1.020000,13.480000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.24

17,04:00-04:15,0.000000,1.020000,13.380000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.14

18,04:15-04:30,0.000000,1.020000,13.380000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.14

19,04:30-04:45,0.000000,1.020000,13.380000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.14

20,04:45-05:00,0.000000,1.020000,13.380000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,1086.14

21,05:00-05:15,0.000000,1.020000,13.200000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,997.76

22,05:15-05:30,0.000000,1.020000,13.200000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,997.76

23,05:30-05:45,0.000000,1.020000,13.200000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,997.76

24,05:45-06:00,0.000000,1.020000,13.200000,80.000000,0.000000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,0.000000,43.030000,0,997.76

25,06:00-06:15,0.000000,1.020000,13.010000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,0,904.76

26,06:15-06:30,0.000000,1.020000,13.010000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,3.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,1.5,909.76

27,06:30-06:45,0.000000,1.020000,13.010000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,7,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,3,914.76

28,06:45-07:00,0.000000,1.020000,13.010000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0.24,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,31.710000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,14,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,6,925

29,07:00-07:15,0.000000,1.020000,12.930000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0.34,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,24.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,10.5,937.97

30,07:15-07:30,0.000000,1.020000,12.930000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0.44,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,36.4,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,15.6,955.07

31,07:30-07:45,0.000000,1.020000,12.930000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0.76,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,51.8,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,22.2,977.39

32,07:45:08:00,0.000000,1.020000,12.930000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,1.2,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,56,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,24,983.83

33,08:00-08:15,0.000000,1.020000,12.830000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,1.6,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,70,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,30,1004.13

34,08:15-08:30,0.000000,1.020000,12.830000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,2.08,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,84,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,36,1024.61

35,08:30-08:45,0.000000,1.020000,12.830000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,2.95,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,98,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,42,1045.48

36,08:45:09:00,0.000000,1.020000,12.830000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,2.96,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,29.660000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,114.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,48.9,1068.49

37,09:00:09:15,0.000000,1.020000,12.730000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.57,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,123.9,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,53.1,1111.26

38,09:15-09:30,0.000000,1.020000,12.730000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.96,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,135.8,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,58.2,1128.65

39,09:30-09:45,0.000000,1.020000,12.730000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.96,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,144.2,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,61.8,1140.65

40,09:45-10:00,0.000000,1.020000,12.730000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,156.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,66.9,1157.69

41,10:00-10:15,0.000000,1.020000,12.550000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.06,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,164.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,70.5,1169.57

42,10:15-10:30,0.000000,1.020000,12.550000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,175,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,75,1184.6

43,10:30-10:45,0.000000,1.020000,12.550000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,178.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,76.5,1189.6

44,10:45-11:00,0.000000,1.020000,12.550000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.35,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,182,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,78,1194.86

45,11:00-11:15,0.000000,1.020000,12.460000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.93,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,184.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,78.9,1198.35

46,11:15-11:30,0.000000,1.020000,12.460000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,184.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,78.9,1199.51

47,11:30-11:45,0.000000,1.020000,12.460000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,5.99,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,185.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,79.5,1201.41

