Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,94.858860,0.000000,29.975524,403.945542,12.578384,19.291953,0.000000,0.000000,30.882634,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

19,04:30-04:45,94.858860,0.000000,29.975524,403.945542,12.578384,19.291953,0.000000,0.000000,40.466899,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,12.275500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,1.856373,5.091815,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

20,04:45-05:00,94.858860,0.000000,29.975524,403.945542,12.578384,19.291953,0.000000,0.000000,40.466899,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,12.275500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,1.856373,5.091815,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

21,05:00-05:15,94.858860,0.000000,29.975524,403.945542,12.578384,19.291953,0.000000,0.000000,26.622960,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,110.359949,75.231376,0.000000,0.000000,0.000000,53.830666,121.141702,0.000000,12.275500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,15.895501,10.183629,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

22,05:15-05:30,130.149558,0.000000,35.990287,403.945542,15.819440,19.291953,0.000000,0.000000,26.622960,231.021700,42.134886,361.792522,28.277538,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,0.000000,24.550999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,15.895501,10.183629,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

