Time,Block,NR/2024/19143/A/18014,NR/2024/19172/A/18487,NR/2024/19483/A/18406,NR/2024/20138/C,NR/2024/18986/A/17974,NR/2024/19043/A/17991,NR/2024/19764/A/18067,NR/2024/19484/A/18405,NR/2024/20134/C,NR/2024/19656/A/18072,NR/2024/19337/A/18070,NR/2024/20122/C,NR/2024/18976/A/17938,NR/2024/20103/C,NR/2024/20136/C,NR/2024/18919/A/18413,NR/2024/18935/A/17949,NR/2024/18855/A/18061,NR/2024/19290/A/18486,NR/2024/19726/A/18007,NR/2024/19245/A/18069,NR/2024/20112/C,NR/2024/20135/C,NR/2024/19739/A/18074,NR/2024/18936/A/17948,NR/2024/19469/A/18203,NR/2024/19485/A/18404,NR/2024/19787/A/17977,NR/2024/18978/A/17935,NR/2024/18977/A/17937,NR/2024/19121/A/18056,NR/2024/19727/A/18008,NR/2024/20104/C,NR/2024/19075/A/18019,NR/2024/18934/A/17950,NR/2024/19030/A/17997,NR/2024/20105/C,NR/2024/19115/A/18018,NR/2024/19024/A/18068,NR/2024/20156/C,NR/2024/18996/A/18446,Total

3,00:30-00:45,2.000000,115.970000,12.450000,193.280000,0.530000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,27.45,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,193.280000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1588.14

4,00:45-01:00,2.000000,115.970000,12.450000,193.280000,0.530000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,27.74,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,193.280000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1588.43

5,01:00-01:15,2.000000,115.970000,12.450000,193.280000,0.480000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1270.72

6,01:15-01:30,2.000000,115.970000,12.450000,193.280000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1178.91

7,01:30-01:45,2.000000,115.970000,12.450000,193.280000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1178.91

8,01:45-02:00,2.000000,115.970000,12.450000,193.280000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1178.91

9,02:00-02:15,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

10,02:15-02:30,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

11,02:30-02:45,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

12,02:45-03:00,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

13,03:00-03:15,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

14,03:15-03:30,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

15,03:30-03:45,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

16,03:45-04:00,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

17,04:00-04:15,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

18,04:15-04:30,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,550.75

19,04:30-04:45,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,549.78

20,04:45-05:00,2.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,549.78

21,05:00-05:15,0.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,547.78

22,05:15-05:30,0.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,547.78

23,05:30-05:45,0.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,547.78

24,05:45-06:00,0.000000,115.970000,12.450000,0.000000,0.480000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,9.660000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,547.78

25,06:00-06:15,0.000000,115.970000,12.450000,0.000000,0.530000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,538.17

26,06:15-06:30,0.000000,115.970000,12.450000,0.000000,0.530000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.12,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,538.29

27,06:30-06:45,0.000000,115.970000,12.450000,0.000000,0.530000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.53,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,538.7

28,06:45-07:00,0.000000,115.970000,12.450000,0.000000,0.530000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.84,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,539.01

29,07:00-07:15,0.000000,115.970000,12.450000,0.000000,0.630000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,1.25,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,539.52

30,07:15-07:30,0.000000,115.970000,12.450000,0.000000,0.630000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,1.75,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,540.02

31,07:30-07:45,0.000000,115.970000,12.450000,0.000000,0.630000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,2.32,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,540.59

32,07:45:08:00,0.000000,115.970000,12.450000,0.000000,0.630000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,2.93,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,541.2

33,08:00-08:15,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,3.56,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,662.97

34,08:15-08:30,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,4.18,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,663.59

35,08:30-08:45,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,4.77,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,664.18

36,08:45:09:00,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,5.36,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,664.77

37,09:00:09:15,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,5.92,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,665.33

38,09:15-09:30,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,6.46,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,665.87

39,09:30-09:45,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,6.94,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,666.35

40,09:45-10:00,0.000000,115.970000,12.450000,0.000000,0.970000,0.000000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,7.38,0,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,66.870000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,666.79

41,10:00-10:15,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,7.78,0,0.000000,5.800000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,66.870000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,889.46

42,10:15-10:30,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,8.14,0,0.000000,5.800000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,66.870000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,889.82

43,10:30-10:45,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,8.45,0,0.000000,5.800000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,66.870000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,890.13

44,10:45-11:00,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,8.69,0,0.000000,5.800000,0.000000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,66.870000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,890.37

45,11:00-11:15,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,8.89,0,0.000000,5.800000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,890.57

46,11:15-11:30,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,9.07,0,0.000000,5.800000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,890.75

47,11:30-11:45,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,9.22,0,0.000000,5.800000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,890.9

48,11:45-12:00,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,9.33,0,0.000000,5.800000,66.870000,67.650000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,3.870000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,891.01

49,12:00-12:15,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.38,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.76

50,12:15-12:30,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.42,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.8

51,12:30-12:45,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.42,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.8

52,12:45-13:00,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.39,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.77

