Time,Block,NR/2024/20350/A/20867,NR/2024/19683/A/21029,NR/2024/19475/A/21329,NR/2024/20592/C,NR/2024/20570/C,NR/2024/20538/C,NR/2024/19432/A/21406,NR/2024/20130/A/21132,NR/2024/20050/A/21342,NR/2024/19791/A/21393,NR/2024/20211/A/21115,NR/2024/20602/C,NR/2024/19779/A/21092,NR/2024/20141/A/21119,NR/2024/20048/A/21343,NR/2024/20583/C,NR/2024/20090/A/21033,NR/2024/20033/A/21402,NR/2024/20584/C,NR/2024/19699/A/21404,NR/2024/20524/A/21359,NR/2024/19355/A/21485,NR/2024/20565/C,NR/2024/20578/C,NR/2024/20109/A/21484,NR/2024/20212/A/21116,NR/2024/20144/A/21117,NR/2024/20041/A/21344,NR/2024/20569/C,NR/2024/20564/C,NR/2024/20581/C,NR/2024/20142/A/21118,NR/2024/19918/A/21392,NR/2024/19966/A/21106,NR/2024/19919/A/21391,NR/2024/19757/A/21401,NR/2024/20031/A/21400,NR/2024/20034/A/21399,NR/2024/20559/C,NR/2024/19637/A/21107,NR/2024/19760/A/21064,NR/2024/20037/A/21063,NR/2024/19588/A/21128,NR/2024/20052/A/20866,NR/2024/20567/C,Total
4,00:45-01:00,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2112.19

5,01:00-01:15,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.580000,0.350000,30.150000,48.240000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,96.490000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1967.39

6,01:15-01:30,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.580000,0.350000,30.150000,48.240000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,96.490000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1967.39

7,01:30-01:45,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.580000,0.350000,30.150000,48.240000,1.930000,12.430000,0.000000,0.000000,19.300000,0.000000,28.950000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1644.15

8,01:45-02:00,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.580000,0.350000,30.150000,48.240000,1.930000,12.430000,0.000000,0.000000,19.300000,0.000000,28.950000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1644.15

9,02:00-02:15,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.13

10,02:15-02:30,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.13

11,02:30-02:45,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.13

12,02:45-03:00,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.13

13,03:00-03:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

14,03:15-03:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

15,03:30-03:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

16,03:45-04:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

17,04:00-04:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

18,04:15-04:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

19,04:30-04:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

20,04:45-05:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.480000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1451.08

21,05:00-05:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1215.69

22,05:15-05:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1215.69

23,05:30-05:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1215.69

24,05:45-06:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.530000,0.350000,30.150000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1215.69

25,06:00-06:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.530000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1081.57

26,06:15-06:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.530000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1081.57

27,06:30-06:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.530000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0.52,1082.09

28,06:45-07:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.530000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0.7,1082.27

29,07:00-07:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.680000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,1,1082.72

30,07:15-07:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.680000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0.96,1082.68

31,07:30-07:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.680000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,1.16,1082.88

32,07:45:08:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.680000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,1.85,1083.57

33,08:00-08:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,242.920000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,9.650000,2.87,1280.15

34,08:15-08:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,73.330000,242.920000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,9.650000,3.97,1281.25

35,08:30-08:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,121.570000,242.920000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,9.650000,5.02,1330.54

36,08:45:09:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,0.000000,0.000000,121.570000,242.920000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,9.650000,5.86,1331.38

37,09:00:09:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,9.650000,6.21,1490.93

38,09:15-09:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,9.650000,6.3,1491.02

39,09:30-09:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,9.650000,5.98,1490.7

40,09:45-10:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,9.650000,7.42,1492.14

41,10:00-10:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.76,1496.34

42,10:15-10:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.04,1495.62

43,10:30-10:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.95,1496.53

44,10:45-11:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.52,1496.1

45,11:00-11:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,8.77,1497.35

46,11:15-11:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.15,1495.73

